dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,epsilon_rl,min_support_rl,inlier_ratio_rl,residual_rl,winner
Downtown,000000_lcam_front_lidar.ply,0.10002,799,0.0726,0.09259,0.15001,500,0.01331,0.11141,0.25,200,0.00055,0.0006,0.3,800,0.14004,0.0322,rl
Downtown,000001_lcam_front_lidar.ply,0.10002,799,0.27901,0.03308,0.15001,500,0.00111,0.00755,0.25,200,0.00345,0.04224,0.3,800,0.15906,0.08814,strict
Downtown,000002_lcam_front_lidar.ply,0.10002,799,0.28082,0.02663,0.15001,500,0.0166,0.01729,0.25,200,0.00491,0.08014,0.3,800,0.12872,0.02683,strict
Downtown,000003_lcam_front_lidar.ply,0.10002,799,0.01931,0.01654,0.15001,500,0.01897,0.06308,0.25,200,0.00377,0.37774,0.3,800,0.12716,0.02465,rl
Downtown,000004_lcam_front_lidar.ply,0.10002,799,0.00133,0.00649,0.15001,500,0.00116,0.0044,0.25,200,0.00237,0.01496,0.3,800,0.1396,0.04086,rl
Downtown,000005_lcam_front_lidar.ply,0.10002,799,0.27353,0.01764,0.15001,500,0.34694,0.10635,0.25,200,0.02115,0.16246,0.3,800,0.13355,0.02779,standard
Downtown,000006_lcam_front_lidar.ply,0.10002,799,0.02865,0.03982,0.15001,500,0.00098,0.00365,0.25,200,0.00158,0.0058,0.3,800,0.04338,0.17282,rl
Downtown,000007_lcam_front_lidar.ply,0.10002,799,0.02174,0.03177,0.15001,500,0.00053,0.00079,0.25,200,0.00531,0.08879,0.3,800,0.13587,0.04132,rl
Downtown,000008_lcam_front_lidar.ply,0.10002,799,0.15158,0.015,0.15001,500,0.01261,0.03177,0.25,200,0.00252,0.2586,0.3,800,0.1392,0.01732,strict
Downtown,000009_lcam_front_lidar.ply,0.10002,799,0.04072,0.06857,0.15001,500,0.00053,0.00106,0.25,200,0.00379,0.01658,0.3,800,0.13741,0.01399,rl
