frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply/000000_lcam_front_lidar.ply,0.15,500,0.85,0.11297,0.14262,1,0.05506,0.99934,0.10468
000001_lcam_front_lidar.ply/000001_lcam_front_lidar.ply,0.15,500,0.85,0.10535,-0.00884,2,0.04381,0.9999,0.08004
000002_lcam_front_lidar.ply/000002_lcam_front_lidar.ply,0.15,500,0.85,0.15403,-0.02097,3,0.04911,0.99897,0.11229
000003_lcam_front_lidar.ply/000003_lcam_front_lidar.ply,0.15,500,0.85,0.12733,-0.00179,4,0.0424,0.99952,0.08262
000004_lcam_front_lidar.ply/000004_lcam_front_lidar.ply,0.15,500,0.85,0.11009,-0.01245,5,0.04677,0.99964,0.09631
000005_lcam_front_lidar.ply/000005_lcam_front_lidar.ply,0.15,500,0.85,0.16443,0.00458,6,0.0443,0.99983,0.06227
000006_lcam_front_lidar.ply/000006_lcam_front_lidar.ply,0.15,500,0.85,0.15135,-0.02924,7,0.0381,0.99981,0.08833
000007_lcam_front_lidar.ply/000007_lcam_front_lidar.ply,0.15,500,0.85,0.20299,-0.01685,8,0.04509,0.99978,0.116
000008_lcam_front_lidar.ply/000008_lcam_front_lidar.ply,0.15,500,0.85,0.16776,-0.00408,9,0.04334,0.99953,0.10059
000009_lcam_front_lidar.ply/000009_lcam_front_lidar.ply,0.15,500,0.85,0.15738,0.00895,10,0.05193,0.99941,0.07984
000010_lcam_front_lidar.ply/000010_lcam_front_lidar.ply,0.15,500,0.85,0.11658,-0.0544,11,0.01393,0.97538,0.08542
000011_lcam_front_lidar.ply/000011_lcam_front_lidar.ply,0.15,500,0.85,0.15224,0.03428,12,0.05167,0.99966,0.07964
000012_lcam_front_lidar.ply/000012_lcam_front_lidar.ply,0.15,500,0.85,0.12409,-0.00344,13,0.04841,0.9996,0.05997
000013_lcam_front_lidar.ply/000013_lcam_front_lidar.ply,0.15,500,0.85,0.14618,-0.00872,14,0.05095,0.99969,0.06252
000014_lcam_front_lidar.ply/000014_lcam_front_lidar.ply,0.15,500,0.85,0.12009,-0.01164,15,0.06388,0.99962,0.09162
000015_lcam_front_lidar.ply/000015_lcam_front_lidar.ply,0.15,500,0.85,0.13905,-0.00839,16,0.05696,0.99942,0.07451
000016_lcam_front_lidar.ply/000016_lcam_front_lidar.ply,0.15,500,0.85,0.12975,-0.00941,17,0.05376,0.99954,0.06695
000017_lcam_front_lidar.ply/000017_lcam_front_lidar.ply,0.15,500,0.85,0.14199,-0.01617,18,0.05696,0.99949,0.08569
000018_lcam_front_lidar.ply/000018_lcam_front_lidar.ply,0.15,500,0.85,0.13394,-0.00266,19,0.03966,0.99981,0.03651
000019_lcam_front_lidar.ply/000019_lcam_front_lidar.ply,0.15,500,0.85,0.14747,-0.01984,20,0.07344,0.99927,0.12359
000020_lcam_front_lidar.ply/000020_lcam_front_lidar.ply,0.15,500,0.85,0.13515,0.00101,21,0.04017,0.99997,0.03524
000021_lcam_front_lidar.ply/000021_lcam_front_lidar.ply,0.15,500,0.85,0.176,-0.0164,22,0.04104,0.9996,0.04967
000022_lcam_front_lidar.ply/000022_lcam_front_lidar.ply,0.15,500,0.85,0.13691,-0.03937,23,0.02509,0.96744,0.06685
000023_lcam_front_lidar.ply/000023_lcam_front_lidar.ply,0.15,500,0.85,0.15265,0.0236,24,0.044,0.99973,0.04718
000024_lcam_front_lidar.ply/000024_lcam_front_lidar.ply,0.15,500,0.85,0.13978,-0.00838,25,0.04537,0.99978,0.0467
000025_lcam_front_lidar.ply/000025_lcam_front_lidar.ply,0.15,500,0.85,0.15648,-0.04505,26,0.02714,0.96749,0.07064
000026_lcam_front_lidar.ply/000026_lcam_front_lidar.ply,0.15,500,0.85,0.14685,-0.00532,27,0.02533,0.97141,0.05884
000027_lcam_front_lidar.ply/000027_lcam_front_lidar.ply,0.15,500,0.85,0.14443,-0.00886,28,0.0248,0.97599,0.05687
000028_lcam_front_lidar.ply/000028_lcam_front_lidar.ply,0.15,500,0.85,0.14602,-0.01177,29,0.0237,0.97428,0.05768
000029_lcam_front_lidar.ply/000029_lcam_front_lidar.ply,0.15,500,0.85,0.16186,-0.01315,30,0.02484,0.9803,0.06808
000030_lcam_front_lidar.ply/000030_lcam_front_lidar.ply,0.15,500,0.85,0.18893,-0.01335,31,0.02578,0.9804,0.0767
000031_lcam_front_lidar.ply/000031_lcam_front_lidar.ply,0.15,500,0.85,0.14075,-0.01009,32,0.02684,0.98743,0.08111
000032_lcam_front_lidar.ply/000032_lcam_front_lidar.ply,0.15,500,0.85,0.17588,-0.0115,33,0.02372,0.99365,0.07972
000033_lcam_front_lidar.ply/000033_lcam_front_lidar.ply,0.15,500,0.85,0.13057,-0.05639,34,0.0317,0.83207,0.13999
000034_lcam_front_lidar.ply/000034_lcam_front_lidar.ply,0.15,500,0.85,0.17402,0.02,35,0.0225,0.99938,0.1118
000035_lcam_front_lidar.ply/000035_lcam_front_lidar.ply,0.15,500,0.85,0.17883,0.07762,36,0.10576,0.99979,0.10321
000036_lcam_front_lidar.ply/000036_lcam_front_lidar.ply,0.15,500,0.85,0.15407,0.0002,37,0.10399,0.99994,0.07932
000037_lcam_front_lidar.ply/000037_lcam_front_lidar.ply,0.15,500,0.85,0.12204,-0.12646,38,0.03993,0.86662,0.14413
000038_lcam_front_lidar.ply/000038_lcam_front_lidar.ply,0.15,500,0.85,0.15345,-0.01208,39,0.01992,0.97792,0.14165
000039_lcam_front_lidar.ply/000039_lcam_front_lidar.ply,0.15,500,0.85,0.13808,0.00123,40,0.02344,0.99784,0.13221
000040_lcam_front_lidar.ply/000040_lcam_front_lidar.ply,0.15,500,0.85,0.16612,0.0889,41,0.08605,0.99988,0.06023
000041_lcam_front_lidar.ply/000041_lcam_front_lidar.ply,0.15,500,0.85,0.15313,-0.13137,42,0.01832,0.99142,0.16497
000042_lcam_front_lidar.ply/000042_lcam_front_lidar.ply,0.15,500,0.85,0.13774,0.05615,43,0.00428,0.99783,0.00651
000043_lcam_front_lidar.ply/000043_lcam_front_lidar.ply,0.15,500,0.85,0.13127,-0.00964,44,0.00518,0.99773,0.00754
000044_lcam_front_lidar.ply/000044_lcam_front_lidar.ply,0.15,500,0.85,0.13399,-0.08131,45,0.03495,0.85976,0.16831
000045_lcam_front_lidar.ply/000045_lcam_front_lidar.ply,0.15,500,0.85,0.14165,0.06025,46,0.0045,0.99669,0.00799
000046_lcam_front_lidar.ply/000046_lcam_front_lidar.ply,0.15,500,0.85,0.1534,-0.0321,47,0.00728,0.99514,0.0573
000047_lcam_front_lidar.ply/000047_lcam_front_lidar.ply,0.15,500,0.85,0.14261,-0.03963,48,0.03863,0.86892,0.14138
000048_lcam_front_lidar.ply/000048_lcam_front_lidar.ply,0.15,500,0.85,0.13503,0.01011,49,0.0183,0.98481,0.09526
000049_lcam_front_lidar.ply/000049_lcam_front_lidar.ply,0.15,500,0.85,0.14354,0.00261,50,0.00655,0.97336,0.04311
000050_lcam_front_lidar.ply/000050_lcam_front_lidar.ply,0.15,500,0.85,0.12773,0.0033,51,0.00788,0.98867,0.02375
000051_lcam_front_lidar.ply/000051_lcam_front_lidar.ply,0.15,500,0.85,0.14414,-0.04798,52,0.03556,0.88654,0.12443
000052_lcam_front_lidar.ply/000052_lcam_front_lidar.ply,0.15,500,0.85,0.15596,0.09116,53,0.08497,0.99994,0.05496
000053_lcam_front_lidar.ply/000053_lcam_front_lidar.ply,0.15,500,0.85,0.14898,-0.01947,54,0.09693,0.99957,0.09771
000054_lcam_front_lidar.ply/000054_lcam_front_lidar.ply,0.15,500,0.85,0.16512,-0.00984,55,0.09663,0.99956,0.09679
000055_lcam_front_lidar.ply/000055_lcam_front_lidar.ply,0.15,500,0.85,0.20953,0.00155,56,0.08852,0.99997,0.0576
000056_lcam_front_lidar.ply/000056_lcam_front_lidar.ply,0.15,500,0.85,0.19705,-0.00465,57,0.09836,1.0,0.0666
000057_lcam_front_lidar.ply/000057_lcam_front_lidar.ply,0.15,500,0.85,0.16549,-0.00518,58,0.10688,0.99998,0.07399
000058_lcam_front_lidar.ply/000058_lcam_front_lidar.ply,0.15,500,0.85,0.15963,-0.02036,59,0.09038,0.99995,0.06172
000059_lcam_front_lidar.ply/000059_lcam_front_lidar.ply,0.15,500,0.85,0.17968,-0.00389,60,0.10386,0.99999,0.07647
000060_lcam_front_lidar.ply/000060_lcam_front_lidar.ply,0.15,500,0.85,0.14089,-0.01255,61,0.09854,1.0,0.07094
000061_lcam_front_lidar.ply/000061_lcam_front_lidar.ply,0.15,500,0.85,0.17552,0.00187,62,0.11341,1.0,0.07695
000062_lcam_front_lidar.ply/000062_lcam_front_lidar.ply,0.15,500,0.85,0.16647,-0.02192,63,0.09927,0.99999,0.07252
000063_lcam_front_lidar.ply/000063_lcam_front_lidar.ply,0.15,500,0.85,0.23127,-0.02959,64,0.08057,1.0,0.0743
000064_lcam_front_lidar.ply/000064_lcam_front_lidar.ply,0.15,500,0.85,0.24476,-0.05887,65,0.02703,0.99968,0.06487
000065_lcam_front_lidar.ply/000065_lcam_front_lidar.ply,0.15,500,0.85,0.2003,-0.01197,66,0.01898,0.99975,0.05272
000066_lcam_front_lidar.ply/000066_lcam_front_lidar.ply,0.15,500,0.85,0.25382,-0.01236,67,0.02621,0.99894,0.07166
000067_lcam_front_lidar.ply/000067_lcam_front_lidar.ply,0.15,500,0.85,0.213,0.04336,68,0.06483,1.0,0.04249
000068_lcam_front_lidar.ply/000068_lcam_front_lidar.ply,0.15,500,0.85,0.22602,-0.07439,69,0.02929,0.99987,0.10015
000069_lcam_front_lidar.ply/000069_lcam_front_lidar.ply,0.15,500,0.85,0.22184,-0.01987,70,0.02881,0.99979,0.11891
000070_lcam_front_lidar.ply/000070_lcam_front_lidar.ply,0.15,500,0.85,0.21247,0.00071,71,0.02709,0.99795,0.09351
000071_lcam_front_lidar.ply/000071_lcam_front_lidar.ply,0.15,500,0.85,0.26106,-0.0087,72,0.0234,0.99965,0.08402
000072_lcam_front_lidar.ply/000072_lcam_front_lidar.ply,0.15,500,0.85,0.22676,-0.00388,73,0.02514,0.99869,0.07497
000073_lcam_front_lidar.ply/000073_lcam_front_lidar.ply,0.15,500,0.85,0.21547,-0.0058,74,0.02655,0.99877,0.06943
000074_lcam_front_lidar.ply/000074_lcam_front_lidar.ply,0.15,500,0.85,0.24155,-0.00018,75,0.02734,0.99983,0.05169
000075_lcam_front_lidar.ply/000075_lcam_front_lidar.ply,0.15,500,0.85,0.2036,0.02619,76,0.07598,0.99987,0.07659
000076_lcam_front_lidar.ply/000076_lcam_front_lidar.ply,0.15,500,0.85,0.21592,-0.03937,77,0.03036,1.0,0.04414
000077_lcam_front_lidar.ply/000077_lcam_front_lidar.ply,0.15,500,0.85,0.2644,-0.00789,78,0.03182,1.0,0.04283
000078_lcam_front_lidar.ply/000078_lcam_front_lidar.ply,0.15,500,0.85,0.2099,-0.00556,79,0.03364,0.99995,0.03758
000079_lcam_front_lidar.ply/000079_lcam_front_lidar.ply,0.15,500,0.85,0.21051,-0.01198,80,0.03374,0.99994,0.04173
000080_lcam_front_lidar.ply/000080_lcam_front_lidar.ply,0.15,500,0.85,0.27449,-0.01172,81,0.03143,0.99999,0.04056
000081_lcam_front_lidar.ply/000081_lcam_front_lidar.ply,0.15,500,0.85,0.21067,-0.01243,82,0.04155,0.9999,0.06565
000082_lcam_front_lidar.ply/000082_lcam_front_lidar.ply,0.15,500,0.85,0.22078,-0.00986,83,0.02896,0.99997,0.0402
000083_lcam_front_lidar.ply/000083_lcam_front_lidar.ply,0.15,500,0.85,0.28175,-0.00961,84,0.03962,0.99996,0.06075
000084_lcam_front_lidar.ply/000084_lcam_front_lidar.ply,0.15,500,0.85,0.25903,-0.00819,85,0.04528,0.99996,0.06844
000085_lcam_front_lidar.ply/000085_lcam_front_lidar.ply,0.15,500,0.85,0.23169,1e-05,86,0.05616,0.99995,0.07019
000086_lcam_front_lidar.ply/000086_lcam_front_lidar.ply,0.15,500,0.85,0.3733,0.00975,87,0.07504,0.99998,0.06844
000087_lcam_front_lidar.ply/000087_lcam_front_lidar.ply,0.15,500,0.85,0.25072,-0.04619,88,0.04715,0.99998,0.08504
000088_lcam_front_lidar.ply/000088_lcam_front_lidar.ply,0.15,500,0.85,0.23913,-0.00485,89,0.04616,0.99999,0.07274
000089_lcam_front_lidar.ply/000089_lcam_front_lidar.ply,0.15,500,0.85,0.27607,-0.02251,90,0.04155,0.99964,0.08845
000090_lcam_front_lidar.ply/000090_lcam_front_lidar.ply,0.15,500,0.85,0.23018,-0.01201,91,0.0306,0.99975,0.0706
000091_lcam_front_lidar.ply/000091_lcam_front_lidar.ply,0.15,500,0.85,0.21246,0.01773,92,0.05504,1.0,0.06408
000092_lcam_front_lidar.ply/000092_lcam_front_lidar.ply,0.15,500,0.85,0.22357,-0.0127,93,0.04098,0.99998,0.04136
