frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply/000000_lcam_front_lidar.ply,0.1,800,0.9,0.09263,0.09291,1,0.12312,0.07603,0.06323
000001_lcam_front_lidar.ply/000001_lcam_front_lidar.ply,0.1,800,0.9,0.10004,-0.00478,2,0.13073,0.06201,0.06379
000002_lcam_front_lidar.ply/000002_lcam_front_lidar.ply,0.1,800,0.9,0.07816,-0.0056,3,0.13799,0.05737,0.06813
000003_lcam_front_lidar.ply/000003_lcam_front_lidar.ply,0.1,800,0.9,0.08536,-0.00719,4,0.14199,0.05171,0.0688
000004_lcam_front_lidar.ply/000004_lcam_front_lidar.ply,0.1,800,0.9,0.11024,-0.0028,5,0.15006,0.04892,0.06971
000005_lcam_front_lidar.ply/000005_lcam_front_lidar.ply,0.1,800,0.9,0.0956,-0.0054,6,0.15656,0.03971,0.07073
000006_lcam_front_lidar.ply/000006_lcam_front_lidar.ply,0.1,800,0.9,0.08887,-0.00487,7,0.1623,0.0392,0.07181
000007_lcam_front_lidar.ply/000007_lcam_front_lidar.ply,0.1,800,0.9,0.09457,-0.01199,8,0.16054,0.0416,0.07297
000008_lcam_front_lidar.ply/000008_lcam_front_lidar.ply,0.1,800,0.9,0.09489,-0.00057,9,0.16877,0.04749,0.07235
000009_lcam_front_lidar.ply/000009_lcam_front_lidar.ply,0.1,800,0.9,0.10002,-0.00857,10,0.1708,0.04666,0.07332
000010_lcam_front_lidar.ply/000010_lcam_front_lidar.ply,0.1,800,0.9,0.08318,-0.02154,11,0.15462,0.06193,0.06861
000011_lcam_front_lidar.ply/000011_lcam_front_lidar.ply,0.1,800,0.9,0.10816,-0.00528,12,0.16455,0.04038,0.07257
000012_lcam_front_lidar.ply/000012_lcam_front_lidar.ply,0.1,800,0.9,0.09483,0.00212,13,0.17794,0.03522,0.07355
000013_lcam_front_lidar.ply/000013_lcam_front_lidar.ply,0.1,800,0.9,0.07798,-0.00916,14,0.17871,0.03758,0.07413
000014_lcam_front_lidar.ply/000014_lcam_front_lidar.ply,0.1,800,0.9,0.09632,-0.01021,15,0.18228,0.02491,0.07789
000015_lcam_front_lidar.ply/000015_lcam_front_lidar.ply,0.1,800,0.9,0.12883,-0.0158,16,0.17002,0.049,0.07221
000016_lcam_front_lidar.ply/000016_lcam_front_lidar.ply,0.1,800,0.9,0.09099,-0.01282,17,0.16562,0.05399,0.07054
000017_lcam_front_lidar.ply/000017_lcam_front_lidar.ply,0.1,800,0.9,0.09108,-0.01526,18,0.16287,0.0425,0.07212
000018_lcam_front_lidar.ply/000018_lcam_front_lidar.ply,0.1,800,0.9,0.09557,-0.00394,19,0.17453,0.02518,0.07812
000019_lcam_front_lidar.ply/000019_lcam_front_lidar.ply,0.1,800,0.9,0.12055,-0.01898,20,0.15954,0.05158,0.07404
000020_lcam_front_lidar.ply/000020_lcam_front_lidar.ply,0.1,800,0.9,0.1034,-0.01374,21,0.1565,0.04739,0.07416
000021_lcam_front_lidar.ply/000021_lcam_front_lidar.ply,0.1,800,0.9,0.09485,-0.01372,22,0.15585,0.03749,0.07736
000022_lcam_front_lidar.ply/000022_lcam_front_lidar.ply,0.1,800,0.9,0.11725,-0.00553,23,0.15862,0.04131,0.07511
000023_lcam_front_lidar.ply/000023_lcam_front_lidar.ply,0.1,800,0.9,0.13306,-0.00963,24,0.16105,0.0351,0.07735
000024_lcam_front_lidar.ply/000024_lcam_front_lidar.ply,0.1,800,0.9,0.12513,-0.02335,25,0.14872,0.03615,0.0797
000025_lcam_front_lidar.ply/000025_lcam_front_lidar.ply,0.1,800,0.9,0.10626,-0.00243,26,0.1579,0.0252,0.07964
000026_lcam_front_lidar.ply/000026_lcam_front_lidar.ply,0.1,800,0.9,0.122,-0.01128,27,0.15099,0.03323,0.07079
000027_lcam_front_lidar.ply/000027_lcam_front_lidar.ply,0.1,800,0.9,0.11552,0.04691,28,0.04389,0.99997,0.03277
