dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,epsilon_rl,min_support_rl,inlier_ratio_rl,residual_rl,epsilon_rl_v2_reward,min_support_rl_v2_reward,inlier_ratio_rl_v2_reward,residual_rl_v2_reward,winner
Downtown,000000_lcam_front_lidar.ply,0.10002,799,0.0726,0.09259,0.15001,500,0.01331,0.11141,0.25,200,0.00055,0.0006,0.3,800,0.14004,0.0322,0.25,800,0.13425,0.02836,rl
Downtown,000001_lcam_front_lidar.ply,0.10002,799,0.27901,0.03308,0.15001,500,0.00111,0.00755,0.25,200,0.00345,0.04224,0.3,800,0.15906,0.08814,0.25,800,0.14225,0.06317,strict
Downtown,000002_lcam_front_lidar.ply,0.10002,799,0.28082,0.02663,0.15001,500,0.0166,0.01729,0.25,200,0.00491,0.08014,0.3,800,0.12872,0.02683,0.25,800,0.12872,0.02683,strict
Downtown,000003_lcam_front_lidar.ply,0.10002,799,0.01931,0.01654,0.15001,500,0.01897,0.06308,0.25,200,0.00377,0.37774,0.3,800,0.12716,0.02465,0.25,800,0.12716,0.02465,rl
Downtown,000004_lcam_front_lidar.ply,0.10002,799,0.00133,0.00649,0.15001,500,0.00116,0.0044,0.25,200,0.00237,0.01496,0.3,800,0.1396,0.04086,0.4,800,0.17845,0.15402,rl_v2_reward
Downtown,000005_lcam_front_lidar.ply,0.10002,799,0.27353,0.01764,0.15001,500,0.34694,0.10635,0.25,200,0.02115,0.16246,0.3,800,0.13355,0.02779,0.4,800,0.05474,0.33456,standard
Downtown,000006_lcam_front_lidar.ply,0.10002,799,0.02865,0.03982,0.15001,500,0.00098,0.00365,0.25,200,0.00158,0.0058,0.3,800,0.04338,0.17282,0.4,800,0.19422,0.14653,rl_v2_reward
Downtown,000007_lcam_front_lidar.ply,0.10002,799,0.02174,0.03177,0.15001,500,0.00053,0.00079,0.25,200,0.00531,0.08879,0.3,800,0.13587,0.04132,0.4,800,0.03297,0.38188,rl
Downtown,000008_lcam_front_lidar.ply,0.10002,799,0.15158,0.015,0.15001,500,0.01261,0.03177,0.25,200,0.00252,0.2586,0.3,800,0.1392,0.01732,0.4,800,0.19072,0.15479,rl_v2_reward
Downtown,000009_lcam_front_lidar.ply,0.10002,799,0.04072,0.06857,0.15001,500,0.00053,0.00106,0.25,200,0.00379,0.01658,0.3,800,0.13741,0.01399,0.4,800,0.04397,0.29252,rl
Downtown,000010_lcam_front_lidar.ply,0.10002,799,0.17957,0.03876,0.15001,500,0.0176,0.0927,0.25,200,0.00583,0.09444,0.3,800,0.13544,0.01156,0.4,800,0.04626,0.31294,strict
Downtown,000011_lcam_front_lidar.ply,0.10002,799,0.01227,0.01287,0.15001,500,0.01892,0.08143,0.25,200,0.00088,0.28514,0.3,800,0.14143,0.01279,0.4,800,0.04229,0.29351,rl
Downtown,000012_lcam_front_lidar.ply,0.10002,799,0.1921,0.02957,0.15001,500,0.02006,0.09775,0.25,200,0.00548,0.07838,0.3,800,0.13726,0.01637,0.4,800,0.13858,0.03714,strict
Downtown,000013_lcam_front_lidar.ply,0.10002,799,0.01615,0.01446,0.15001,500,0.03931,0.06518,0.25,200,0.00308,0.00906,0.3,800,0.03362,0.21946,0.4,800,0.13652,0.02646,rl_v2_reward
Downtown,000014_lcam_front_lidar.ply,0.10002,799,0.07321,0.02165,0.15001,500,0.01797,0.01336,0.25,200,0.00167,0.00941,0.3,800,0.13398,0.01516,0.4,800,0.1349,0.02765,rl_v2_reward
Downtown,000015_lcam_front_lidar.ply,0.10002,799,0.0215,0.02127,0.15001,500,0.02246,0.10606,0.25,200,0.00894,0.30427,0.3,800,0.03219,0.11117,0.4,800,0.04264,0.31449,rl_v2_reward
Downtown,000016_lcam_front_lidar.ply,0.10002,799,0.20979,0.02724,0.15001,500,0.0205,0.09982,0.25,200,0.00567,0.08312,0.3,800,0.03353,0.12734,0.4,800,0.04393,0.36616,strict
Downtown,000017_lcam_front_lidar.ply,0.10002,799,0.0603,0.02121,0.15001,500,0.01432,0.01466,0.25,200,0.00193,0.40723,0.3,800,0.12428,0.01712,0.4,800,0.0439,0.34208,rl
Downtown,000018_lcam_front_lidar.ply,0.10002,799,0.02554,0.03267,0.15001,500,0.01127,0.02429,0.25,200,0.00566,0.07792,0.3,800,0.03474,0.20856,0.4,800,0.14878,0.02572,rl_v2_reward
Downtown,000019_lcam_front_lidar.ply,0.10002,799,0.30124,0.01649,0.15001,500,0.01839,0.14408,0.25,200,0.00096,0.00131,0.3,800,0.15634,0.0251,0.4,800,0.15703,0.03136,strict
Downtown,000020_lcam_front_lidar.ply,0.10002,799,0.00988,0.01352,0.15001,500,0.00988,0.01352,0.25,200,0.01386,0.36876,0.3,800,0.04023,0.22535,0.4,800,0.14718,0.03792,rl_v2_reward
Downtown,000021_lcam_front_lidar.ply,0.10002,799,0.02496,0.02015,0.15001,500,0.01156,0.09945,0.25,200,0.01057,0.35909,0.3,800,0.1513,0.01972,0.4,800,0.15196,0.02563,rl_v2_reward
Downtown,000022_lcam_front_lidar.ply,0.10002,799,0.05971,0.04248,0.15001,500,0.37777,0.03998,0.25,200,0.00137,0.22981,0.3,800,0.04094,0.2118,0.4,800,0.04962,0.32384,standard
Downtown,000023_lcam_front_lidar.ply,0.10002,799,0.0289,0.02424,0.15001,500,0.00922,0.02407,0.25,200,0.00546,0.05754,0.3,800,0.02892,0.11311,0.4,800,0.04935,0.35841,rl_v2_reward
Downtown,000024_lcam_front_lidar.ply,0.10002,799,0.00886,0.02141,0.15001,500,0.37393,0.03761,0.25,200,0.00163,0.3705,0.3,800,0.14559,0.01993,0.4,800,0.19184,0.14878,standard
Downtown,000025_lcam_front_lidar.ply,0.10002,799,0.0281,0.02445,0.15001,500,0.00152,0.00826,0.25,200,0.00175,0.26539,0.3,800,0.13248,0.02717,0.4,800,0.04483,0.3928,rl
