frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.3,800,0.9,0.1426,0.3541,1,0.14004,0.99996,0.0322
000001_lcam_front_lidar.ply,0.3,800,0.9,0.17138,0.3397,1,0.15906,0.99999,0.08814
000002_lcam_front_lidar.ply,0.3,800,0.9,0.13889,0.34545,1,0.12872,0.99998,0.02683
000003_lcam_front_lidar.ply,0.3,800,0.9,0.12497,0.34522,1,0.12716,0.99998,0.02465
000004_lcam_front_lidar.ply,0.3,800,0.9,0.13932,0.34786,1,0.1396,1.0,0.04086
000005_lcam_front_lidar.ply,0.3,800,0.9,0.13896,0.34806,1,0.13355,1.0,0.02779
000006_lcam_front_lidar.ply,0.3,800,0.9,0.22317,0.18059,1,0.04338,0.99949,0.17282
000007_lcam_front_lidar.ply,0.3,800,0.9,0.14791,0.34551,1,0.13587,0.99999,0.04132
000008_lcam_front_lidar.ply,0.3,800,0.9,0.15256,0.35968,1,0.1392,1.0,0.01732
000009_lcam_front_lidar.ply,0.3,800,0.9,0.18443,0.35836,1,0.13741,1.0,0.01399
000010_lcam_front_lidar.ply,0.3,800,0.9,0.14407,0.36065,1,0.13544,1.0,0.01156
000011_lcam_front_lidar.ply,0.3,800,0.9,0.1382,0.36668,1,0.14143,1.0,0.01279
000012_lcam_front_lidar.ply,0.3,800,0.9,0.15437,0.3585,1,0.13726,1.0,0.01637
000013_lcam_front_lidar.ply,0.3,800,0.9,0.16203,0.15256,1,0.03362,0.99873,0.21946
000014_lcam_front_lidar.ply,0.3,800,0.9,0.15097,0.35464,1,0.13398,1.0,0.01516
000015_lcam_front_lidar.ply,0.3,800,0.9,0.19449,0.20387,1,0.03219,0.99991,0.11117
000016_lcam_front_lidar.ply,0.3,800,0.9,0.18347,0.1973,1,0.03353,0.99994,0.12734
000017_lcam_front_lidar.ply,0.3,800,0.9,0.17729,0.34494,1,0.12428,1.0,0.01712
000018_lcam_front_lidar.ply,0.3,800,0.9,0.19923,0.15636,1,0.03474,0.99774,0.20856
000019_lcam_front_lidar.ply,0.3,800,0.9,0.21069,0.3681,1,0.15634,0.99999,0.0251
000020_lcam_front_lidar.ply,0.3,800,0.9,0.1923,0.15279,1,0.04023,0.99931,0.22535
000021_lcam_front_lidar.ply,0.3,800,0.9,0.20753,0.36499,1,0.1513,1.0,0.01972
000022_lcam_front_lidar.ply,0.3,800,0.9,0.20613,0.16072,1,0.04094,0.99926,0.2118
000023_lcam_front_lidar.ply,0.3,800,0.9,0.27233,0.19081,1,0.02892,0.99994,0.11311
000024_lcam_front_lidar.ply,0.3,800,0.9,0.2167,0.35787,1,0.14559,0.99999,0.01993
000025_lcam_front_lidar.ply,0.3,800,0.9,0.21587,0.34347,1,0.13248,0.99998,0.02717
000026_lcam_front_lidar.ply,0.3,800,0.9,0.1971,0.38631,1,0.1727,0.99999,0.02741
000027_lcam_front_lidar.ply,0.3,800,0.9,0.22062,0.3691,1,0.15778,0.99999,0.02324
000028_lcam_front_lidar.ply,0.3,800,0.9,0.2148,0.36154,1,0.1453,1.0,0.01223
000029_lcam_front_lidar.ply,0.3,800,0.9,0.22437,0.3568,1,0.14236,1.0,0.01673
000030_lcam_front_lidar.ply,0.3,800,0.9,0.21224,0.22026,1,0.02857,0.9997,0.06586
000031_lcam_front_lidar.ply,0.3,800,0.9,0.18647,0.34714,1,0.14072,0.99998,0.03797
000032_lcam_front_lidar.ply,0.3,800,0.9,0.2305,0.19982,1,0.03195,0.99943,0.10977
000033_lcam_front_lidar.ply,0.3,800,0.9,0.27018,0.25042,1,0.06487,0.99996,0.06273
000034_lcam_front_lidar.ply,0.3,800,0.9,0.20381,0.21772,1,0.0568,0.99992,0.12918
000035_lcam_front_lidar.ply,0.3,800,0.9,0.24626,0.19087,1,0.05316,0.99978,0.16401
000036_lcam_front_lidar.ply,0.3,800,0.9,0.16757,0.1907,1,0.05625,0.99975,0.19089
000037_lcam_front_lidar.ply,0.3,800,0.9,0.30708,0.17542,1,0.05422,0.99977,0.1897
000038_lcam_front_lidar.ply,0.3,800,0.9,0.20691,0.36311,1,0.14157,1.0,0.00696
000039_lcam_front_lidar.ply,0.3,800,0.9,0.308,0.34749,1,0.14208,1.0,0.019
000040_lcam_front_lidar.ply,0.3,800,0.9,0.16401,0.36859,1,0.14574,1.0,0.01436
000041_lcam_front_lidar.ply,0.3,800,0.9,0.25905,0.17025,1,0.04637,0.99986,0.19461
000042_lcam_front_lidar.ply,0.3,800,0.9,0.24489,0.32687,1,0.11074,1.0,0.0104
000043_lcam_front_lidar.ply,0.3,800,0.9,0.26204,0.32559,1,0.11085,1.0,0.01199
000044_lcam_front_lidar.ply,0.3,800,0.9,0.27969,0.32909,1,0.12065,1.0,0.01749
000045_lcam_front_lidar.ply,0.3,800,0.9,0.30961,0.32626,1,0.12235,0.99999,0.01918
000046_lcam_front_lidar.ply,0.3,800,0.9,0.19476,0.18666,1,0.03438,0.9998,0.15033
000047_lcam_front_lidar.ply,0.3,800,0.9,0.16122,0.35829,1,0.15035,0.99996,0.04398
000048_lcam_front_lidar.ply,0.3,800,0.9,0.20364,0.34204,1,0.12559,1.0,0.01665
000049_lcam_front_lidar.ply,0.3,800,0.9,0.214,0.32818,1,0.1145,1.0,0.01835
000050_lcam_front_lidar.ply,0.3,800,0.9,0.20209,0.34535,1,0.12922,1.0,0.02095
000051_lcam_front_lidar.ply,0.3,800,0.9,0.16741,0.33035,1,0.1159,1.0,0.03061
000052_lcam_front_lidar.ply,0.3,800,0.9,0.20208,0.33208,1,0.12076,1.0,0.02655
000053_lcam_front_lidar.ply,0.3,800,0.9,0.18505,0.33585,1,0.12772,1.0,0.03692
000054_lcam_front_lidar.ply,0.3,800,0.9,0.13792,0.3552,1,0.13734,0.99999,0.02615
000055_lcam_front_lidar.ply,0.3,800,0.9,0.14141,0.34851,1,0.12479,0.99999,0.01578
000056_lcam_front_lidar.ply,0.3,800,0.9,0.11588,0.3574,1,0.1404,0.99997,0.0326
000057_lcam_front_lidar.ply,0.3,800,0.9,0.11446,0.36021,1,0.13852,0.99996,0.02443
000058_lcam_front_lidar.ply,0.3,800,0.9,0.12239,0.3833,1,0.17085,0.99995,0.04255
000059_lcam_front_lidar.ply,0.3,800,0.9,0.12766,0.37821,1,0.16509,0.99996,0.04113
000060_lcam_front_lidar.ply,0.3,800,0.9,0.11568,0.33668,1,0.12479,0.99987,0.04698
000061_lcam_front_lidar.ply,0.3,800,0.9,0.13427,0.33546,1,0.1265,0.99989,0.04398
000062_lcam_front_lidar.ply,0.3,800,0.9,0.12783,0.24041,1,0.03501,0.99997,0.05779
000063_lcam_front_lidar.ply,0.3,800,0.9,0.12743,0.35556,1,0.13474,1.0,0.02069
000064_lcam_front_lidar.ply,0.3,800,0.9,0.14208,0.34687,1,0.13391,0.99996,0.03603
000065_lcam_front_lidar.ply,0.3,800,0.9,0.12984,0.37313,1,0.15785,0.99997,0.03798
000066_lcam_front_lidar.ply,0.3,800,0.9,0.17044,0.3635,1,0.13974,1.0,0.01064
000067_lcam_front_lidar.ply,0.3,800,0.9,0.20378,0.33772,1,0.11851,1.0,0.01124
000068_lcam_front_lidar.ply,0.2,800,0.9,0.17279,0.26005,1,0.0388,1.0,0.01458
000069_lcam_front_lidar.ply,0.2,800,0.9,0.24104,0.25189,1,0.03798,1.0,0.01429
000070_lcam_front_lidar.ply,0.2,800,0.9,0.23139,0.24129,1,0.03911,0.99999,0.04194
000071_lcam_front_lidar.ply,0.2,800,0.9,0.20552,0.24753,1,0.04048,0.99999,0.03857
000072_lcam_front_lidar.ply,0.2,800,0.9,0.22467,0.26101,1,0.04266,1.0,0.00961
000073_lcam_front_lidar.ply,0.2,800,0.9,0.3162,0.24878,1,0.04865,1.0,0.02576
000074_lcam_front_lidar.ply,0.2,800,0.9,0.26325,0.32302,1,0.1084,1.0,0.00979
000075_lcam_front_lidar.ply,0.2,800,0.9,0.21555,0.25997,1,0.04355,1.0,0.01323
000076_lcam_front_lidar.ply,0.2,800,0.9,0.22692,0.24383,1,0.02771,1.0,0.01363
000077_lcam_front_lidar.ply,0.2,800,0.9,0.1935,0.25912,1,0.04367,1.0,0.01939
000078_lcam_front_lidar.ply,0.2,800,0.9,0.19553,0.234,1,0.0325,0.99996,0.05065
000079_lcam_front_lidar.ply,0.2,800,0.9,0.19924,0.23648,1,0.03308,0.99997,0.04653
000080_lcam_front_lidar.ply,0.3,800,0.9,0.16443,0.26169,1,0.059,0.99999,0.05484
000081_lcam_front_lidar.ply,0.2,800,0.9,0.23482,0.24889,1,0.04403,1.0,0.03439
000082_lcam_front_lidar.ply,0.2,800,0.9,0.19079,0.22121,1,0.03599,0.99996,0.0833
000083_lcam_front_lidar.ply,0.2,800,0.9,0.29046,0.21588,1,0.02808,0.99999,0.05618
000084_lcam_front_lidar.ply,0.2,800,0.9,0.23042,0.22567,1,0.03144,0.99997,0.05346
000085_lcam_front_lidar.ply,0.3,800,0.9,0.15381,0.21871,1,0.0678,0.99999,0.1594
000086_lcam_front_lidar.ply,0.2,800,0.9,0.21772,0.32296,1,0.10441,1.0,0.00882
000087_lcam_front_lidar.ply,0.3,800,0.9,0.16604,0.3875,1,0.18642,0.99999,0.0537
000088_lcam_front_lidar.ply,0.3,800,0.9,0.22253,0.20131,1,0.0367,1.0,0.11837
000089_lcam_front_lidar.ply,0.3,800,0.9,0.24987,0.23456,1,0.06073,1.0,0.0948
000090_lcam_front_lidar.ply,0.3,800,0.9,0.16672,0.38372,1,0.19209,0.99999,0.07281
000091_lcam_front_lidar.ply,0.2,800,0.9,0.17259,0.37645,1,0.15609,1.0,0.01601
000092_lcam_front_lidar.ply,0.3,800,0.9,0.16298,0.39244,1,0.19679,1.0,0.07101
000093_lcam_front_lidar.ply,0.3,800,0.9,0.13424,0.38416,1,0.19359,1.0,0.0817
000094_lcam_front_lidar.ply,0.2,800,0.9,0.18787,0.19521,1,0.03531,1.0,0.13329
000095_lcam_front_lidar.ply,0.3,800,0.9,0.22119,0.40487,1,0.20755,1.0,0.05279
000096_lcam_front_lidar.ply,0.2,800,0.9,0.41694,0.16714,1,0.03592,1.0,0.14364
000097_lcam_front_lidar.ply,0.3,800,0.9,0.4787,0.19362,1,0.0589,1.0,0.12952
000098_lcam_front_lidar.ply,0.2,800,0.9,0.44654,0.19975,1,0.04052,0.99997,0.08227
000099_lcam_front_lidar.ply,0.2,800,0.9,0.49131,0.30606,1,0.12223,0.99997,0.02298
000100_lcam_front_lidar.ply,0.3,800,0.9,0.28012,0.35184,1,0.1649,0.99994,0.06093
000101_lcam_front_lidar.ply,0.3,800,0.9,0.25745,0.33283,1,0.1285,0.99994,0.03007
000102_lcam_front_lidar.ply,0.3,800,0.9,0.30818,0.33466,1,0.13569,0.99993,0.03295
000103_lcam_front_lidar.ply,0.3,800,0.9,0.20751,0.19584,1,0.0491,0.99988,0.15259
000104_lcam_front_lidar.ply,0.3,800,0.9,0.21644,0.18782,1,0.04642,0.99982,0.15926
000105_lcam_front_lidar.ply,0.3,800,0.9,0.21703,0.34613,1,0.13775,0.9999,0.03163
