frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,800,0.9,0.09151,0.39403,1,0.13425,0.99997,0.02836
000001_lcam_front_lidar.ply,0.25,800,0.9,0.11073,0.38315,1,0.14225,0.99998,0.06317
000002_lcam_front_lidar.ply,0.25,800,0.9,0.13572,0.38351,1,0.12872,0.99998,0.02683
000003_lcam_front_lidar.ply,0.25,800,0.9,0.09408,0.38836,1,0.12716,0.99998,0.02465
000004_lcam_front_lidar.ply,0.4,800,0.9,0.11917,0.37266,1,0.17845,0.99996,0.15402
000005_lcam_front_lidar.ply,0.4,800,0.9,0.12168,0.15992,1,0.05474,0.99998,0.33456
000006_lcam_front_lidar.ply,0.4,800,0.9,0.10919,0.39448,1,0.19422,0.99994,0.14653
000007_lcam_front_lidar.ply,0.4,800,0.9,0.11664,0.11749,1,0.03297,0.99955,0.38188
000008_lcam_front_lidar.ply,0.4,800,0.9,0.10732,0.38664,1,0.19072,0.99996,0.15479
000009_lcam_front_lidar.ply,0.4,800,0.9,0.12588,0.16958,1,0.04397,0.99995,0.29252
000010_lcam_front_lidar.ply,0.4,800,0.9,0.14231,0.16171,1,0.04626,0.99984,0.31294
000011_lcam_front_lidar.ply,0.4,800,0.9,0.12811,0.1669,1,0.04229,0.99996,0.29351
000012_lcam_front_lidar.ply,0.4,800,0.9,0.1393,0.38964,1,0.13858,0.99999,0.03714
000013_lcam_front_lidar.ply,0.4,800,0.9,0.12493,0.39734,1,0.13652,1.0,0.02646
000014_lcam_front_lidar.ply,0.4,800,0.9,0.12159,0.39371,1,0.1349,1.0,0.02765
000015_lcam_front_lidar.ply,0.4,800,0.9,0.1618,0.15434,1,0.04264,0.99529,0.31449
000016_lcam_front_lidar.ply,0.4,800,0.9,0.16067,0.13007,1,0.04393,0.9942,0.36616
000017_lcam_front_lidar.ply,0.4,800,0.9,0.16698,0.14099,1,0.0439,0.9976,0.34208
000018_lcam_front_lidar.ply,0.4,800,0.9,0.1639,0.40473,1,0.14878,1.0,0.02572
000019_lcam_front_lidar.ply,0.4,800,0.9,0.15272,0.41187,1,0.15703,1.0,0.03136
000020_lcam_front_lidar.ply,0.4,800,0.9,0.15121,0.39826,1,0.14718,1.0,0.03792
000021_lcam_front_lidar.ply,0.4,800,0.9,0.15494,0.41078,1,0.15196,1.0,0.02563
000022_lcam_front_lidar.ply,0.4,800,0.9,0.16574,0.15654,1,0.04962,0.99778,0.32384
000023_lcam_front_lidar.ply,0.4,800,0.9,0.16388,0.13896,1,0.04935,0.99798,0.35841
000024_lcam_front_lidar.ply,0.4,800,0.9,0.13293,0.39007,1,0.19184,0.99977,0.14878
000025_lcam_front_lidar.ply,0.4,800,0.9,0.14976,0.11814,1,0.04483,0.99909,0.3928
000026_lcam_front_lidar.ply,0.4,800,0.9,0.12438,0.43084,1,0.2051,0.99999,0.09603
000027_lcam_front_lidar.ply,0.4,800,0.9,0.11084,0.42926,1,0.20114,0.99999,0.09089
000028_lcam_front_lidar.ply,0.4,800,0.9,0.13742,0.38576,1,0.19163,0.99969,0.15354
000029_lcam_front_lidar.ply,0.4,800,0.9,0.1895,0.40517,1,0.17448,0.99997,0.07061
000030_lcam_front_lidar.ply,0.4,800,0.9,0.15845,0.17413,1,0.02407,0.99966,0.24207
000031_lcam_front_lidar.ply,0.4,800,0.9,0.12575,0.39272,1,0.14467,1.0,0.04935
000032_lcam_front_lidar.ply,0.4,800,0.9,0.10932,0.40804,1,0.16671,0.99995,0.06723
000033_lcam_front_lidar.ply,0.4,800,0.9,0.11889,0.40542,1,0.17125,0.99995,0.07889
000034_lcam_front_lidar.ply,0.4,800,0.9,0.09672,0.41669,1,0.18514,0.99994,0.08865
000035_lcam_front_lidar.ply,0.4,800,0.9,0.10114,0.41611,1,0.17807,0.99993,0.07537
000036_lcam_front_lidar.ply,0.4,800,0.9,0.11993,0.23519,1,0.05629,0.99976,0.19082
000037_lcam_front_lidar.ply,0.4,800,0.9,0.10714,0.43055,1,0.19934,0.99994,0.08604
000038_lcam_front_lidar.ply,0.4,800,0.9,0.10348,0.40753,1,0.18594,0.99993,0.1063
000039_lcam_front_lidar.ply,0.4,800,0.9,0.1367,0.22464,1,0.05123,0.99978,0.19984
000040_lcam_front_lidar.ply,0.4,800,0.9,0.10277,0.40863,1,0.14726,0.99999,0.03051
000041_lcam_front_lidar.ply,0.4,800,0.9,0.1601,0.17875,1,0.04924,0.99948,0.2846
000042_lcam_front_lidar.ply,0.4,800,0.9,0.11918,0.21821,1,0.04548,0.99983,0.20177
000043_lcam_front_lidar.ply,0.4,800,0.9,0.17013,0.20424,1,0.04215,0.99985,0.21567
000044_lcam_front_lidar.ply,0.4,800,0.9,0.15015,0.39375,1,0.1447,0.99999,0.04278
000045_lcam_front_lidar.ply,0.4,800,0.9,0.14848,0.3944,1,0.1456,0.99999,0.0405
000046_lcam_front_lidar.ply,0.4,800,0.9,0.15599,0.39992,1,0.16323,0.99995,0.06418
000047_lcam_front_lidar.ply,0.4,800,0.9,0.1379,0.39943,1,0.15099,0.99995,0.04787
000048_lcam_front_lidar.ply,0.4,800,0.9,0.15863,0.39714,1,0.14604,1.0,0.03867
000049_lcam_front_lidar.ply,0.4,800,0.9,0.14732,0.39457,1,0.14227,0.99999,0.0378
000050_lcam_front_lidar.ply,0.4,800,0.9,0.13591,0.39322,1,0.14247,0.99999,0.04365
000051_lcam_front_lidar.ply,0.4,800,0.9,0.15407,0.3945,1,0.14969,0.99998,0.04946
000052_lcam_front_lidar.ply,0.4,800,0.9,0.11864,0.39697,1,0.14822,0.99999,0.0503
000053_lcam_front_lidar.ply,0.4,800,0.9,0.11076,0.41617,1,0.18168,0.99997,0.0838
000054_lcam_front_lidar.ply,0.4,800,0.9,0.11593,0.41399,1,0.16445,0.99995,0.04991
000055_lcam_front_lidar.ply,0.4,800,0.9,0.10949,0.40639,1,0.16736,0.99995,0.06865
000056_lcam_front_lidar.ply,0.4,800,0.9,0.11075,0.40541,1,0.16839,0.99996,0.07646
000057_lcam_front_lidar.ply,0.4,800,0.9,0.08333,0.40981,1,0.1637,0.99991,0.0618
000058_lcam_front_lidar.ply,0.4,800,0.9,0.07108,0.42328,1,0.17232,0.99997,0.0559
000059_lcam_front_lidar.ply,0.4,800,0.9,0.09652,0.4096,1,0.16762,0.99993,0.06741
000060_lcam_front_lidar.ply,0.4,800,0.9,0.09532,0.15431,1,0.00757,0.92611,0.25564
000061_lcam_front_lidar.ply,0.4,800,0.9,0.09462,0.41368,1,0.15995,0.99996,0.04415
000062_lcam_front_lidar.ply,0.4,800,0.9,0.0846,0.16335,1,0.00672,0.89069,0.24015
000063_lcam_front_lidar.ply,0.4,800,0.9,0.11641,0.40422,1,0.15673,0.99996,0.04765
000064_lcam_front_lidar.ply,0.4,800,0.9,0.14388,0.40835,1,0.16507,0.99995,0.05409
000065_lcam_front_lidar.ply,0.4,800,0.9,0.11224,0.41162,1,0.15898,0.99997,0.0432
000066_lcam_front_lidar.ply,0.4,800,0.9,0.15831,0.4066,1,0.15862,0.99997,0.03723
000067_lcam_front_lidar.ply,0.4,800,0.9,0.16674,0.40391,1,0.16501,0.99996,0.05795
000068_lcam_front_lidar.ply,0.4,800,0.9,0.16697,0.40945,1,0.15924,0.99998,0.03914
000069_lcam_front_lidar.ply,0.4,800,0.9,0.18028,0.40347,1,0.15983,0.99997,0.04382
000070_lcam_front_lidar.ply,0.4,800,0.9,0.15738,0.45379,1,0.19932,0.99999,0.03483
