frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15001,500,0.85,0.29152,2.03936,1,0.01331,0.95313,0.11141
000001_lcam_front_lidar.ply,0.15001,500,0.85,0.30022,1.93676,1,0.00111,0.96283,0.00755
000002_lcam_front_lidar.ply,0.15001,500,0.85,0.25911,2.16551,1,0.0166,0.99978,0.01729
000003_lcam_front_lidar.ply,0.15001,500,0.85,0.27222,2.18954,1,0.01897,0.99992,0.06308
000004_lcam_front_lidar.ply,0.15001,500,0.85,0.33506,1.98647,1,0.00116,0.98741,0.0044
000005_lcam_front_lidar.ply,0.15001,500,0.85,0.29076,5.46895,1,0.34694,0.99979,0.10635
000006_lcam_front_lidar.ply,0.15001,500,0.85,0.28048,1.985,1,0.00098,0.98761,0.00365
000007_lcam_front_lidar.ply,0.15001,500,0.85,0.30211,1.98068,1,0.00053,0.98771,0.00079
000008_lcam_front_lidar.ply,0.15001,500,0.85,0.28661,2.12482,1,0.01261,0.99935,0.03177
000009_lcam_front_lidar.ply,0.15001,500,0.85,0.33942,1.98092,1,0.00053,0.98783,0.00106
000010_lcam_front_lidar.ply,0.15001,500,0.85,0.27834,2.01145,1,0.0176,0.91771,0.0927
000011_lcam_front_lidar.ply,0.15001,500,0.85,0.33494,2.05149,1,0.01892,0.93115,0.08143
000012_lcam_front_lidar.ply,0.15001,500,0.85,0.30032,2.01934,1,0.02006,0.90937,0.09775
000013_lcam_front_lidar.ply,0.15001,500,0.85,0.33588,2.39295,1,0.03931,0.99994,0.06518
000014_lcam_front_lidar.ply,0.15001,500,0.85,0.28036,2.17942,1,0.01797,0.99984,0.01336
000015_lcam_front_lidar.ply,0.15001,500,0.85,0.31918,2.10555,1,0.02246,0.94047,0.10606
000016_lcam_front_lidar.ply,0.15001,500,0.85,0.28059,2.10308,1,0.0205,0.94905,0.09982
000017_lcam_front_lidar.ply,0.15001,500,0.85,0.2518,2.14254,1,0.01432,0.99965,0.01466
000018_lcam_front_lidar.ply,0.15001,500,0.85,0.27172,2.11256,1,0.01127,0.99991,0.02429
000019_lcam_front_lidar.ply,0.15001,500,0.85,0.34036,1.96674,1,0.01839,0.89142,0.14408
000020_lcam_front_lidar.ply,0.15001,500,0.85,0.27225,2.09853,1,0.00988,0.99988,0.01352
000021_lcam_front_lidar.ply,0.15001,500,0.85,0.29649,2.08231,1,0.01156,0.98335,0.09945
000022_lcam_front_lidar.ply,0.15001,500,0.85,0.31108,5.7777,1,0.37777,1.0,0.03998
000023_lcam_front_lidar.ply,0.15001,500,0.85,0.30096,2.09109,1,0.00922,0.99947,0.02407
000024_lcam_front_lidar.ply,0.15001,500,0.85,0.29737,5.73925,1,0.37393,1.0,0.03761
000025_lcam_front_lidar.ply,0.15001,500,0.85,0.32079,1.98129,1,0.00152,0.98303,0.00826
000026_lcam_front_lidar.ply,0.15001,500,0.85,0.3442,2.07293,1,0.0074,0.99945,0.00609
000027_lcam_front_lidar.ply,0.15001,500,0.85,0.35464,2.20982,1,0.02105,0.99965,0.05305
000028_lcam_front_lidar.ply,0.15001,500,0.85,0.30929,2.3383,1,0.03383,0.99998,0.03776
000029_lcam_front_lidar.ply,0.15001,500,0.85,0.3218,1.95584,1,0.00094,0.9732,0.00323
000030_lcam_front_lidar.ply,0.15001,500,0.85,0.26491,2.39106,1,0.03915,0.9998,0.07719
000031_lcam_front_lidar.ply,0.15001,500,0.85,0.28262,4.73408,1,0.27343,0.99987,0.06726
000032_lcam_front_lidar.ply,0.15001,500,0.85,0.27273,1.92651,1,0.00423,0.94209,0.04567
000033_lcam_front_lidar.ply,0.15001,500,0.85,0.27191,1.83129,1,0.0026,0.90267,0.04126
000034_lcam_front_lidar.ply,0.15001,500,0.85,0.36533,1.89552,1,0.00337,0.93092,0.08508
000035_lcam_front_lidar.ply,0.15001,500,0.85,0.3347,2.20435,1,0.02044,0.99996,0.03921
000036_lcam_front_lidar.ply,0.15001,500,0.85,0.29678,2.03543,1,0.00356,0.99992,0.00182
000037_lcam_front_lidar.ply,0.15001,500,0.85,0.31616,2.54313,1,0.05432,0.99998,0.03936
000038_lcam_front_lidar.ply,0.15001,500,0.85,0.30051,2.54576,1,0.05458,1.0,0.00914
000039_lcam_front_lidar.ply,0.15001,500,0.85,0.3412,2.76667,1,0.11146,0.82604,0.07812
000040_lcam_front_lidar.ply,0.15001,500,0.85,0.29226,2.32341,1,0.03236,0.99991,0.08933
000041_lcam_front_lidar.ply,0.15001,500,0.85,0.48675,1.99189,1,0.0005,0.99346,0.00032
000042_lcam_front_lidar.ply,0.15001,500,0.85,0.35284,2.65811,1,0.09123,0.87288,0.08455
000043_lcam_front_lidar.ply,0.15001,500,0.85,0.32542,2.5219,1,0.07633,0.87931,0.08645
000044_lcam_front_lidar.ply,0.15001,500,0.85,0.46573,2.09438,1,0.02068,0.9438,0.06764
000045_lcam_front_lidar.ply,0.15001,500,0.85,0.3659,2.1445,1,0.02425,0.95102,0.0645
000046_lcam_front_lidar.ply,0.15001,500,0.85,0.36306,2.16162,1,0.02617,0.94995,0.06293
000047_lcam_front_lidar.ply,0.15001,500,0.85,0.33544,2.08585,1,0.03113,0.88727,0.08033
000048_lcam_front_lidar.ply,0.15001,500,0.85,0.34026,2.34618,1,0.04455,0.95035,0.07102
000049_lcam_front_lidar.ply,0.15001,500,0.85,0.36836,1.94461,1,0.00114,0.9666,0.00639
000050_lcam_front_lidar.ply,0.15001,500,0.85,0.31483,2.70495,1,0.08038,0.95059,0.07134
000051_lcam_front_lidar.ply,0.15001,500,0.85,0.29861,2.98206,1,0.11075,0.93728,0.0836
000052_lcam_front_lidar.ply,0.15001,500,0.85,0.28121,3.01931,1,0.11216,0.94887,0.06928
000053_lcam_front_lidar.ply,0.15001,500,0.85,0.30354,3.24599,1,0.13271,0.95945,0.0549
000054_lcam_front_lidar.ply,0.15001,500,0.85,0.36969,1.95449,1,0.00185,0.968,0.00972
000055_lcam_front_lidar.ply,0.15001,500,0.85,0.46662,1.93953,1,0.00145,0.96253,0.00771
000056_lcam_front_lidar.ply,0.15001,500,0.85,0.31588,2.00871,1,0.00174,0.99566,0.00227
