frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.10002,799,0.9,0.25037,4.98018,1,0.29803,0.99994,0.03717
000001_lcam_front_lidar.ply,0.10002,799,0.9,0.28673,4.78997,1,0.27901,0.99995,0.03311
000002_lcam_front_lidar.ply,0.10002,799,0.9,0.32156,2.1589,1,0.01594,0.99976,0.01662
000003_lcam_front_lidar.ply,0.10002,799,0.9,0.24897,5.04071,1,0.30407,0.99999,0.01985
000004_lcam_front_lidar.ply,0.10002,799,0.9,0.2703,2.32552,1,0.03256,0.99994,0.02769
000005_lcam_front_lidar.ply,0.10002,799,0.9,0.29586,2.01305,1,0.00156,0.99874,0.00101
000006_lcam_front_lidar.ply,0.10002,799,0.9,0.30343,2.99845,1,0.09985,1.0,0.01276
000007_lcam_front_lidar.ply,0.10002,799,0.9,0.28231,3.52185,1,0.15219,0.99999,0.01546
000008_lcam_front_lidar.ply,0.10002,799,0.9,0.27472,3.51462,1,0.15146,0.99999,0.01455
000009_lcam_front_lidar.ply,0.10002,799,0.9,0.35233,2.40704,1,0.04072,0.99991,0.06857
000010_lcam_front_lidar.ply,0.10002,799,0.9,0.37283,2.0932,1,0.01526,0.9703,0.0631
000011_lcam_front_lidar.ply,0.10002,799,0.9,0.44252,2.12191,1,0.01227,0.99961,0.01287
000012_lcam_front_lidar.ply,0.10002,799,0.9,0.34007,3.92503,1,0.19251,0.99997,0.03057
000013_lcam_front_lidar.ply,0.10002,799,0.9,0.35894,2.1608,1,0.01615,0.99967,0.01446
000014_lcam_front_lidar.ply,0.10002,799,0.9,0.30289,2.16333,1,0.0164,0.99968,0.01491
000015_lcam_front_lidar.ply,0.10002,799,0.9,0.22247,3.11642,1,0.11164,1.0,0.02099
000016_lcam_front_lidar.ply,0.10002,799,0.9,0.25483,2.11375,1,0.01139,0.9999,0.02193
000017_lcam_front_lidar.ply,0.10002,799,0.9,0.21619,2.60297,1,0.0603,1.0,0.02121
000018_lcam_front_lidar.ply,0.10002,799,0.9,0.26501,5.02228,1,0.30223,1.0,0.01829
000019_lcam_front_lidar.ply,0.10002,799,0.9,0.21004,5.01244,1,0.30124,1.0,0.01649
000020_lcam_front_lidar.ply,0.10002,799,0.9,0.25164,2.1357,1,0.01363,0.99969,0.01456
000021_lcam_front_lidar.ply,0.10002,799,0.9,0.21441,5.07259,1,0.30726,1.0,0.01044
000022_lcam_front_lidar.ply,0.10002,799,0.9,0.27056,2.59705,1,0.05971,0.99998,0.04248
000023_lcam_front_lidar.ply,0.10002,799,0.9,0.28214,2.28883,1,0.0289,0.99989,0.02424
000024_lcam_front_lidar.ply,0.10002,799,0.9,0.27189,2.28822,1,0.02885,0.99986,0.01927
000025_lcam_front_lidar.ply,0.10002,799,0.9,0.21871,2.28084,1,0.0281,0.99992,0.02445
000026_lcam_front_lidar.ply,0.10002,799,0.9,0.2216,2.30195,1,0.0302,0.99999,0.01317
000027_lcam_front_lidar.ply,0.10002,799,0.9,0.309,2.18071,1,0.0181,0.99986,0.01156
000028_lcam_front_lidar.ply,0.10002,799,0.9,0.32414,2.3174,1,0.03174,1.0,0.01632
