frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,200,0.8,0.25343,3.09919,1,0.11,0.9996,0.16668
000001_lcam_front_lidar.ply,0.25,200,0.8,0.28073,2.0808,1,0.01549,0.96297,0.12914
000002_lcam_front_lidar.ply,0.25,200,0.8,0.28656,3.20331,1,0.12085,0.9974,0.17332
000003_lcam_front_lidar.ply,0.25,200,0.8,0.26925,2.90974,1,0.09104,0.99966,0.15826
000004_lcam_front_lidar.ply,0.25,200,0.8,0.30232,2.19284,1,0.0203,0.99494,0.05144
000005_lcam_front_lidar.ply,0.25,200,0.8,0.27559,3.00845,1,0.10089,0.9998,0.15828
000006_lcam_front_lidar.ply,0.25,200,0.8,0.28355,2.24544,1,0.02929,0.97628,0.22581
000007_lcam_front_lidar.ply,0.25,200,0.8,0.23972,2.25355,1,0.02861,0.98372,0.21274
000008_lcam_front_lidar.ply,0.25,200,0.8,0.23166,1.98015,1,0.00384,0.97089,0.02669
000009_lcam_front_lidar.ply,0.25,200,0.8,0.2651,8.61463,1,0.66184,0.99812,0.32357
000010_lcam_front_lidar.ply,0.25,200,0.8,0.24295,2.33778,1,0.03585,0.98964,0.22975
000011_lcam_front_lidar.ply,0.25,200,0.8,0.26487,2.3518,1,0.03762,0.98779,0.23472
000012_lcam_front_lidar.ply,0.25,200,0.8,0.278,8.07071,1,0.60766,0.99707,0.3206
000013_lcam_front_lidar.ply,0.25,200,0.8,0.28351,7.96596,1,0.59759,0.99505,0.31867
000014_lcam_front_lidar.ply,0.25,200,0.8,0.24591,2.40164,1,0.04075,0.99709,0.10114
000015_lcam_front_lidar.ply,0.25,200,0.8,0.2958,7.81869,1,0.58288,0.99494,0.31582
000016_lcam_front_lidar.ply,0.25,200,0.8,0.33768,2.77563,1,0.07863,0.99467,0.17316
000017_lcam_front_lidar.ply,0.25,200,0.8,0.25875,7.67092,1,0.56793,0.99579,0.31425
000018_lcam_front_lidar.ply,0.25,200,0.8,0.35162,2.19582,1,0.0233,0.98142,0.13514
000019_lcam_front_lidar.ply,0.25,200,0.8,0.34507,7.57673,1,0.55856,0.99557,0.30888
000020_lcam_front_lidar.ply,0.25,200,0.8,0.24394,2.3013,1,0.03377,0.98181,0.1905
000021_lcam_front_lidar.ply,0.25,200,0.8,0.30504,2.17585,1,0.01977,0.98905,0.11624
000022_lcam_front_lidar.ply,0.25,200,0.8,0.33893,2.33724,1,0.03573,0.98997,0.18945
000023_lcam_front_lidar.ply,0.25,200,0.8,0.30772,6.32786,1,0.43429,0.99249,0.27237
000024_lcam_front_lidar.ply,0.25,200,0.8,0.3466,2.05406,1,0.00863,0.98389,0.01921
000025_lcam_front_lidar.ply,0.25,200,0.8,0.33443,2.14421,1,0.02562,0.94398,0.14533
000026_lcam_front_lidar.ply,0.25,200,0.8,0.47746,2.29917,1,0.0309,0.99507,0.07747
000027_lcam_front_lidar.ply,0.25,200,0.8,0.39206,2.04667,1,0.00722,0.98723,0.01936
000028_lcam_front_lidar.ply,0.25,200,0.8,0.50159,2.17571,1,0.01913,0.9922,0.05285
000029_lcam_front_lidar.ply,0.25,200,0.8,0.32675,2.34884,1,0.03819,0.98345,0.24192
000030_lcam_front_lidar.ply,0.25,200,0.8,0.29887,3.06819,1,0.10682,0.99998,0.20399
000031_lcam_front_lidar.ply,0.25,200,0.8,0.42254,3.49912,1,0.15042,0.99748,0.27814
000032_lcam_front_lidar.ply,0.25,200,0.8,0.46548,2.6636,1,0.06729,0.99534,0.17998
000033_lcam_front_lidar.ply,0.25,200,0.8,0.27492,2.17958,1,0.02333,0.97312,0.18854
000034_lcam_front_lidar.ply,0.25,200,0.8,0.28988,3.43188,1,0.14394,0.99624,0.28918
000035_lcam_front_lidar.ply,0.25,200,0.8,0.60507,2.03084,1,0.00661,0.98235,0.08627
000036_lcam_front_lidar.ply,0.25,200,0.8,0.66117,6.43466,1,0.44557,0.98946,0.23576
000037_lcam_front_lidar.ply,0.25,200,0.8,0.3378,2.12192,1,0.03538,0.88405,0.18174
000038_lcam_front_lidar.ply,0.25,200,0.8,0.68735,5.90767,1,0.39451,0.98126,0.18018
000039_lcam_front_lidar.ply,0.25,200,0.8,0.30641,2.1112,1,0.01142,0.99848,0.10406
000040_lcam_front_lidar.ply,0.25,200,0.8,0.51028,3.26437,1,0.12648,0.99981,0.32946
000041_lcam_front_lidar.ply,0.25,200,0.8,0.75558,2.22524,1,0.03092,0.95802,0.20364
000042_lcam_front_lidar.ply,0.25,200,0.8,0.57744,2.01649,1,0.00205,0.998,0.00173
000043_lcam_front_lidar.ply,0.25,200,0.8,1.08375,1.91011,1,0.01448,0.88266,0.20009
000044_lcam_front_lidar.ply,0.25,200,0.8,0.84978,2.11302,1,0.0113,1.0,0.00243
000045_lcam_front_lidar.ply,0.25,200,0.8,0.62354,2.02787,1,0.00281,0.99987,0.00157
000046_lcam_front_lidar.ply,0.25,200,0.8,0.49306,2.02742,1,0.00285,0.99948,0.00174
000047_lcam_front_lidar.ply,0.25,200,0.8,0.62979,2.00582,1,0.00708,0.96749,0.12293
000048_lcam_front_lidar.ply,0.25,200,0.8,0.46498,2.11233,1,0.01123,1.0,0.00228
000049_lcam_front_lidar.ply,0.25,200,0.8,0.64019,2.11128,1,0.01113,1.0,0.00225
000050_lcam_front_lidar.ply,0.25,200,0.8,0.56551,2.14273,1,0.01451,0.99879,0.13553
000051_lcam_front_lidar.ply,0.25,200,0.8,0.51081,2.11128,1,0.01113,1.0,0.00288
000052_lcam_front_lidar.ply,0.25,200,0.8,0.73283,2.11059,1,0.01106,1.0,0.0035
000053_lcam_front_lidar.ply,0.25,200,0.8,0.96176,2.02962,1,0.003,0.99979,0.00161
000054_lcam_front_lidar.ply,0.25,200,0.8,0.86443,2.11076,1,0.01108,1.0,0.00355
000055_lcam_front_lidar.ply,0.25,200,0.8,1.03581,2.00694,1,0.00069,1.0,0.00022
000056_lcam_front_lidar.ply,0.25,200,0.8,1.10861,2.11094,1,0.01109,1.0,0.00303
000057_lcam_front_lidar.ply,0.25,200,0.8,0.62203,2.11007,1,0.01101,1.0,0.0021
000058_lcam_front_lidar.ply,0.25,200,0.8,0.74412,2.11111,1,0.01111,1.0,0.0021
000059_lcam_front_lidar.ply,0.25,200,0.8,1.0819,2.03108,1,0.00313,0.99992,0.00152
000060_lcam_front_lidar.ply,0.25,200,0.8,0.91456,2.11146,1,0.01115,1.0,0.00269
000061_lcam_front_lidar.ply,0.25,200,0.8,1.07641,2.11128,1,0.01113,1.0,0.00227
000062_lcam_front_lidar.ply,0.25,200,0.8,0.64303,2.11146,1,0.01115,1.0,0.00194
000063_lcam_front_lidar.ply,0.25,200,0.8,0.77,2.11198,1,0.0112,1.0,0.00156
000064_lcam_front_lidar.ply,0.25,200,0.8,1.16546,2.11719,1,0.01186,0.99931,0.16484
000065_lcam_front_lidar.ply,0.25,200,0.8,1.21287,2.11233,1,0.01123,1.0,0.00194
000066_lcam_front_lidar.ply,0.25,200,0.8,0.58768,2.11285,1,0.01128,1.0,0.00177
000067_lcam_front_lidar.ply,0.25,200,0.8,0.73292,2.11302,1,0.0113,1.0,0.00183
000068_lcam_front_lidar.ply,0.25,200,0.8,0.82392,2.11285,1,0.01128,1.0,0.00296
000069_lcam_front_lidar.ply,0.25,200,0.8,0.84736,2.0329,1,0.00335,0.9997,0.00174
000070_lcam_front_lidar.ply,0.25,200,0.8,1.04962,2.11423,1,0.01142,1.0,0.00371
000071_lcam_front_lidar.ply,0.25,200,0.8,0.94552,2.11371,1,0.01137,1.0,0.00395
000072_lcam_front_lidar.ply,0.25,200,0.8,0.82295,2.11441,1,0.01144,1.0,0.00366
000073_lcam_front_lidar.ply,0.25,200,0.8,0.77093,2.11528,1,0.01153,1.0,0.00249
000074_lcam_front_lidar.ply,0.25,200,0.8,0.64159,2.02123,1,0.00226,0.99933,0.00183
000075_lcam_front_lidar.ply,0.25,200,0.8,0.52318,2.03463,1,0.00351,0.99978,0.00169
000076_lcam_front_lidar.ply,0.25,200,0.8,0.71471,2.1178,1,0.01181,0.99987,0.02064
000077_lcam_front_lidar.ply,0.25,200,0.8,0.69325,2.11632,1,0.01163,1.0,0.00224
000078_lcam_front_lidar.ply,0.25,200,0.8,0.95051,2.03007,1,0.00306,0.99976,0.00163
000079_lcam_front_lidar.ply,0.25,200,0.8,1.13699,2.01223,1,0.00161,0.99804,0.00123
000080_lcam_front_lidar.ply,0.25,200,0.8,0.638,1.77696,1,0.00226,0.8772,0.0139
000081_lcam_front_lidar.ply,0.25,200,0.8,0.40452,2.53979,1,0.05425,0.99863,0.17788
000082_lcam_front_lidar.ply,0.25,200,0.8,0.40132,2.57243,1,0.05771,0.99767,0.14444
000083_lcam_front_lidar.ply,0.25,200,0.8,0.39416,3.24837,1,0.12505,0.99892,0.27044
000084_lcam_front_lidar.ply,0.25,200,0.8,0.30447,2.85598,1,0.0859,0.99848,0.17916
000085_lcam_front_lidar.ply,0.25,200,0.8,0.26334,3.18833,1,0.11899,0.9992,0.26578
000086_lcam_front_lidar.ply,0.25,200,0.8,0.2475,2.21561,1,0.02243,0.99565,0.04693
000087_lcam_front_lidar.ply,0.25,200,0.8,0.22211,3.31802,1,0.13184,0.99981,0.25565
000088_lcam_front_lidar.ply,0.25,200,0.8,0.26893,3.05213,1,0.10535,0.99933,0.19
000089_lcam_front_lidar.ply,0.25,200,0.8,0.22424,2.2436,1,0.02521,0.99576,0.04854
000090_lcam_front_lidar.ply,0.25,200,0.8,0.19899,2.8872,1,0.08915,0.99785,0.16259
000091_lcam_front_lidar.ply,0.25,200,0.8,0.23402,2.85902,1,0.08625,0.99826,0.15908
000092_lcam_front_lidar.ply,0.25,200,0.8,0.20001,2.12514,1,0.01366,0.99425,0.06879
000093_lcam_front_lidar.ply,0.25,200,0.8,0.19704,2.71661,1,0.07175,0.99954,0.11104
000094_lcam_front_lidar.ply,0.25,200,0.8,0.18899,2.60129,1,0.06026,0.99934,0.1061
000095_lcam_front_lidar.ply,0.25,200,0.8,0.20691,2.4267,1,0.04286,0.99903,0.07811
000096_lcam_front_lidar.ply,0.25,200,0.8,0.18415,2.34491,1,0.04493,0.9478,0.19917
000097_lcam_front_lidar.ply,0.25,200,0.8,0.2067,2.14994,1,0.01658,0.99207,0.09173
000098_lcam_front_lidar.ply,0.25,200,0.8,0.1992,2.22429,1,0.02325,0.99591,0.10754
000099_lcam_front_lidar.ply,0.25,200,0.8,0.20362,2.31552,1,0.03247,0.99543,0.09368
000100_lcam_front_lidar.ply,0.25,200,0.8,0.20106,2.03744,1,0.00845,0.97645,0.07689
000101_lcam_front_lidar.ply,0.25,200,0.8,0.19252,9.48214,1,0.74825,0.99984,0.26552
000102_lcam_front_lidar.ply,0.25,200,0.8,0.21523,1.97551,1,0.00674,0.95407,0.05204
000103_lcam_front_lidar.ply,0.25,200,0.8,0.19279,2.2383,1,0.02552,0.99155,0.08033
000104_lcam_front_lidar.ply,0.25,200,0.8,0.20007,2.05011,1,0.00712,0.98947,0.05156
000105_lcam_front_lidar.ply,0.25,200,0.8,0.19206,2.04714,1,0.01054,0.97088,0.12596
000106_lcam_front_lidar.ply,0.25,200,0.8,0.21733,2.48662,1,0.04892,0.99869,0.09446
000107_lcam_front_lidar.ply,0.25,200,0.8,0.24213,2.09329,1,0.0108,0.99265,0.07492
000108_lcam_front_lidar.ply,0.25,200,0.8,0.21564,2.17462,1,0.01953,0.98965,0.09037
000109_lcam_front_lidar.ply,0.25,200,0.8,0.20934,2.59719,1,0.05991,0.99903,0.11089
000110_lcam_front_lidar.ply,0.25,200,0.8,0.21569,2.45447,1,0.04569,0.99876,0.09114
000111_lcam_front_lidar.ply,0.25,200,0.8,0.1878,2.7229,1,0.07248,0.99904,0.11934
000112_lcam_front_lidar.ply,0.25,200,0.8,0.19525,2.82916,1,0.08302,0.99947,0.1312
000113_lcam_front_lidar.ply,0.25,200,0.8,0.23248,2.86665,1,0.08681,0.9993,0.14087
000114_lcam_front_lidar.ply,0.25,200,0.8,0.18499,3.2196,1,0.122,0.99982,0.20301
000115_lcam_front_lidar.ply,0.25,200,0.8,0.27474,3.26344,1,0.12639,0.99977,0.22526
000116_lcam_front_lidar.ply,0.25,200,0.8,0.26768,2.2276,1,0.02368,0.9954,0.0461
000117_lcam_front_lidar.ply,0.25,200,0.8,0.28962,3.06293,1,0.10788,0.99205,0.17198
000118_lcam_front_lidar.ply,0.25,200,0.8,0.44358,1.91306,1,0.00444,0.93431,0.15022
000119_lcam_front_lidar.ply,0.25,200,0.8,0.2848,2.72506,1,0.07271,0.99899,0.16477
000120_lcam_front_lidar.ply,0.25,200,0.8,0.60686,2.86154,1,0.08622,0.99969,0.21092
000121_lcam_front_lidar.ply,0.25,200,0.8,0.83057,1.86472,1,0.01036,0.88054,0.16981
000122_lcam_front_lidar.ply,0.25,200,0.8,1.1409,2.1215,1,0.01467,0.9874,0.20473
000123_lcam_front_lidar.ply,0.25,200,0.8,0.95527,2.09479,1,0.00948,1.0,0.002
000124_lcam_front_lidar.ply,0.25,200,0.8,1.17568,2.12309,1,0.01231,1.0,0.00179
000125_lcam_front_lidar.ply,0.25,200,0.8,0.60218,2.1243,1,0.01243,1.0,0.00274
000126_lcam_front_lidar.ply,0.25,200,0.8,0.82687,2.04112,1,0.00413,0.9999,0.00156
000127_lcam_front_lidar.ply,0.25,200,0.8,0.99019,2.1283,1,0.01283,1.0,0.00151
000128_lcam_front_lidar.ply,0.25,200,0.8,0.67013,2.12847,1,0.01285,1.0,0.00159
000129_lcam_front_lidar.ply,0.25,200,0.8,0.53889,2.1316,1,0.01316,1.0,0.00147
000130_lcam_front_lidar.ply,0.25,200,0.8,0.76133,2.13681,1,0.01368,1.0,0.00186
000131_lcam_front_lidar.ply,0.25,200,0.8,0.51676,2.13958,1,0.01396,1.0,0.0029
000132_lcam_front_lidar.ply,0.25,200,0.8,0.85926,2.1467,1,0.01467,1.0,0.00447
000133_lcam_front_lidar.ply,0.25,200,0.8,0.82626,2.11076,1,0.01108,1.0,0.00299
000134_lcam_front_lidar.ply,0.25,200,0.8,0.68042,2.15573,1,0.01557,1.0,0.00577
000135_lcam_front_lidar.ply,0.25,200,0.8,0.5176,2.16163,1,0.01616,1.0,0.00641
000136_lcam_front_lidar.ply,0.25,200,0.8,0.5319,2.11302,1,0.0113,1.0,0.00215
000137_lcam_front_lidar.ply,0.25,200,0.8,0.55641,1.75516,1,0.00295,0.86282,0.04764
000138_lcam_front_lidar.ply,0.25,200,0.8,0.47244,2.11007,1,0.01101,1.0,0.00187
000139_lcam_front_lidar.ply,0.25,200,0.8,0.3332,2.11094,1,0.01109,1.0,0.00152
000140_lcam_front_lidar.ply,0.25,200,0.8,0.46133,2.11042,1,0.01104,1.0,0.00199
000141_lcam_front_lidar.ply,0.25,200,0.8,0.38105,2.10937,1,0.01094,1.0,0.00264
000142_lcam_front_lidar.ply,0.25,200,0.8,0.40562,2.03135,1,0.00318,0.99979,0.00161
000143_lcam_front_lidar.ply,0.25,200,0.8,0.36947,2.03204,1,0.00321,0.99996,0.00189
000144_lcam_front_lidar.ply,0.25,200,0.8,0.45088,2.11163,1,0.01116,1.0,0.0015
000145_lcam_front_lidar.ply,0.25,200,0.8,0.42138,2.11111,1,0.01111,1.0,0.00147
000146_lcam_front_lidar.ply,0.25,200,0.8,0.3811,2.11198,1,0.0112,1.0,0.00183
000147_lcam_front_lidar.ply,0.25,200,0.8,0.36585,2.11267,1,0.01127,1.0,0.00206
000148_lcam_front_lidar.ply,0.25,200,0.8,0.44221,2.10937,1,0.01094,1.0,0.00237
000149_lcam_front_lidar.ply,0.25,200,0.8,0.37955,2.11076,1,0.01108,1.0,0.0016
000150_lcam_front_lidar.ply,0.25,200,0.8,0.38122,2.11024,1,0.01102,1.0,0.00154
000151_lcam_front_lidar.ply,0.25,200,0.8,0.30127,2.1099,1,0.01099,1.0,0.00149
000152_lcam_front_lidar.ply,0.25,200,0.8,0.31726,2.11007,1,0.01101,1.0,0.00141
000153_lcam_front_lidar.ply,0.25,200,0.8,0.29793,2.11181,1,0.01118,1.0,0.00203
000154_lcam_front_lidar.ply,0.25,200,0.8,0.3345,2.11007,1,0.01101,1.0,0.00146
000155_lcam_front_lidar.ply,0.25,200,0.8,0.39654,2.11267,1,0.01127,1.0,0.00174
000156_lcam_front_lidar.ply,0.25,200,0.8,0.39163,2.04028,1,0.00403,1.0,0.00163
000157_lcam_front_lidar.ply,0.25,200,0.8,0.34772,2.11041,1,0.01104,1.0,0.00227
000158_lcam_front_lidar.ply,0.25,200,0.8,0.34625,2.1118,1,0.01118,1.0,0.00243
000159_lcam_front_lidar.ply,0.25,200,0.8,0.51332,2.04281,1,0.00429,0.99996,0.00129
000160_lcam_front_lidar.ply,0.25,200,0.8,0.41293,2.04338,1,0.00434,0.99999,0.00131
000161_lcam_front_lidar.ply,0.25,200,0.8,0.48936,2.11111,1,0.01111,1.0,0.00388
000162_lcam_front_lidar.ply,0.25,200,0.8,0.46141,2.11163,1,0.01116,1.0,0.00199
000163_lcam_front_lidar.ply,0.25,200,0.8,0.50947,2.11094,1,0.01109,1.0,0.00165
000164_lcam_front_lidar.ply,0.25,200,0.8,0.40803,2.11215,1,0.01122,1.0,0.00264
000165_lcam_front_lidar.ply,0.25,200,0.8,0.55513,2.11042,1,0.01104,1.0,0.00235
000166_lcam_front_lidar.ply,0.25,200,0.8,0.41442,2.11163,1,0.01116,1.0,0.00261
000167_lcam_front_lidar.ply,0.25,200,0.8,0.34424,2.10851,1,0.01085,1.0,0.00283
