dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
Hospital,000000_lcam_front_lidar.ply,0.10002,799,0.14017,0.14074,0.15001,500,0.17394,0.19342,0.25,200,0.11,0.16668,standard
Hospital,000001_lcam_front_lidar.ply,0.10002,799,0.07873,0.12758,0.15001,500,0.02663,0.14629,0.25,200,0.01549,0.12914,strict
Hospital,000002_lcam_front_lidar.ply,0.10002,799,0.04342,0.10065,0.15001,500,0.02,0.05144,0.25,200,0.12085,0.17332,loose
Hospital,000003_lcam_front_lidar.ply,0.10002,799,0.02642,0.09288,0.15001,500,0.20747,0.20041,0.25,200,0.09104,0.15826,standard
Hospital,000004_lcam_front_lidar.ply,0.10002,799,0.03719,0.09087,0.15001,500,0.19349,0.19803,0.25,200,0.0203,0.05144,standard
Hospital,000005_lcam_front_lidar.ply,0.10002,799,0.0521,0.10784,0.15001,500,0.03286,0.09039,0.25,200,0.10089,0.15828,loose
Hospital,000006_lcam_front_lidar.ply,0.10002,799,0.05342,0.108,0.15001,500,0.02604,0.18954,0.25,200,0.02929,0.22581,strict
Hospital,000007_lcam_front_lidar.ply,0.10002,799,0.06247,0.09973,0.15001,500,0.06033,0.08767,0.25,200,0.02861,0.21274,strict
Hospital,000008_lcam_front_lidar.ply,0.10002,799,0.06524,0.09109,0.15001,500,0.22887,0.20427,0.25,200,0.00384,0.02669,standard
Hospital,000009_lcam_front_lidar.ply,0.10002,799,0.09403,0.10474,0.15001,500,0.06415,0.0931,0.25,200,0.66184,0.32357,loose
Hospital,000010_lcam_front_lidar.ply,0.10002,799,0.09766,0.11408,0.15001,500,0.09698,0.1457,0.25,200,0.03585,0.22975,strict
Hospital,000011_lcam_front_lidar.ply,0.10002,799,0.08391,0.10943,0.15001,500,0.32832,0.20989,0.25,200,0.03762,0.23472,standard
Hospital,000012_lcam_front_lidar.ply,0.10002,799,0.05429,0.12578,0.15001,500,0.02925,0.06107,0.25,200,0.60766,0.3206,loose
Hospital,000013_lcam_front_lidar.ply,0.10002,799,0.0825,0.11602,0.15001,500,0.20486,0.21191,0.25,200,0.59759,0.31867,loose
Hospital,000014_lcam_front_lidar.ply,0.10002,799,0.05365,0.13103,0.15001,500,0.02061,0.04044,0.25,200,0.04075,0.10114,strict
Hospital,000015_lcam_front_lidar.ply,0.10002,799,0.07884,0.13088,0.15001,500,0.02385,0.05101,0.25,200,0.58288,0.31582,loose
Hospital,000016_lcam_front_lidar.ply,0.10002,799,0.05462,0.13956,0.15001,500,0.01023,0.01462,0.25,200,0.07863,0.17316,loose
Hospital,000017_lcam_front_lidar.ply,0.10002,799,0.04118,0.1132,0.15001,500,0.01497,0.04853,0.25,200,0.56793,0.31425,loose
Hospital,000018_lcam_front_lidar.ply,0.10002,799,0.04167,0.11631,0.15001,500,0.00333,0.00114,0.25,200,0.0233,0.13514,strict
Hospital,000019_lcam_front_lidar.ply,0.10002,799,0.01764,0.12042,0.15001,500,0.00694,0.10048,0.25,200,0.55856,0.30888,loose
Hospital,000020_lcam_front_lidar.ply,0.10002,799,0.07432,0.13876,0.15001,500,0.09517,0.19289,0.25,200,0.03377,0.1905,standard
Hospital,000021_lcam_front_lidar.ply,0.10002,799,0.0092,0.08758,0.15001,500,0.02094,0.16617,0.25,200,0.01977,0.11624,standard
Hospital,000022_lcam_front_lidar.ply,0.10002,799,0.0242,0.11024,0.15001,500,0.01156,0.03979,0.25,200,0.03573,0.18945,loose
Hospital,000023_lcam_front_lidar.ply,0.10002,799,0.01342,0.03825,0.15001,500,0.04163,0.20701,0.25,200,0.43429,0.27237,loose
Hospital,000024_lcam_front_lidar.ply,0.10002,799,0.02868,0.13984,0.15001,500,0.03863,0.15825,0.25,200,0.00863,0.01921,standard
Hospital,000025_lcam_front_lidar.ply,0.10002,799,0.00597,0.04832,0.15001,500,0.04517,0.22219,0.25,200,0.02562,0.14533,standard
Hospital,000026_lcam_front_lidar.ply,0.10002,799,0.03441,0.10447,0.15001,500,0.00743,0.01851,0.25,200,0.0309,0.07747,strict
Hospital,000027_lcam_front_lidar.ply,0.10002,799,0.04122,0.09987,0.15001,500,0.06071,0.20374,0.25,200,0.00722,0.01936,standard
Hospital,000028_lcam_front_lidar.ply,0.10002,799,0.02389,0.12741,0.15001,500,0.0347,0.19779,0.25,200,0.01913,0.05285,standard
Hospital,000029_lcam_front_lidar.ply,0.10002,799,0.06399,0.14002,0.15001,500,0.04167,0.21065,0.25,200,0.03819,0.24192,strict
Hospital,000030_lcam_front_lidar.ply,0.10002,799,0.04387,0.14235,0.15001,500,0.03365,0.19515,0.25,200,0.10682,0.20399,loose
Hospital,000031_lcam_front_lidar.ply,0.10002,799,0.06224,0.13966,0.15001,500,0.02502,0.17239,0.25,200,0.15042,0.27814,loose
Hospital,000032_lcam_front_lidar.ply,0.10002,799,0.04523,0.01224,0.15001,500,0.03694,0.10413,0.25,200,0.06729,0.17998,loose
Hospital,000033_lcam_front_lidar.ply,0.10002,799,0.01877,0.15009,0.15001,500,0.00425,0.05833,0.25,200,0.02333,0.18854,loose
Hospital,000034_lcam_front_lidar.ply,0.10002,799,0.05759,0.14262,0.15001,500,0.13523,0.17725,0.25,200,0.14394,0.28918,loose
Hospital,000035_lcam_front_lidar.ply,0.10002,799,0.06488,0.12752,0.15001,500,0.01014,0.12569,0.25,200,0.00661,0.08627,strict
Hospital,000036_lcam_front_lidar.ply,0.10002,799,0.0509,0.14135,0.15001,500,0.09102,0.20642,0.25,200,0.44557,0.23576,loose
Hospital,000037_lcam_front_lidar.ply,0.10002,799,0.01908,0.0398,0.15001,500,0.03497,0.11722,0.25,200,0.03538,0.18174,loose
Hospital,000038_lcam_front_lidar.ply,0.10002,799,0.04865,0.13711,0.15001,500,0.00274,0.00207,0.25,200,0.39451,0.18018,loose
Hospital,000039_lcam_front_lidar.ply,0.10002,799,0.03658,0.11031,0.15001,500,0.06896,0.19685,0.25,200,0.01142,0.10406,standard
Hospital,000040_lcam_front_lidar.ply,0.10002,799,0.05167,0.14702,0.15001,500,0.07687,0.20604,0.25,200,0.12648,0.32946,loose
Hospital,000041_lcam_front_lidar.ply,0.10002,799,0.05118,0.15789,0.15001,500,0.08236,0.21793,0.25,200,0.03092,0.20364,standard
Hospital,000042_lcam_front_lidar.ply,0.10002,799,0.03938,0.13517,0.15001,500,0.01033,0.13861,0.25,200,0.00205,0.00173,strict
Hospital,000043_lcam_front_lidar.ply,0.10002,799,0.00335,0.00162,0.15001,500,0.00189,0.00189,0.25,200,0.01448,0.20009,loose
Hospital,000044_lcam_front_lidar.ply,0.10002,799,0.06601,0.07043,0.15001,500,0.0142,0.18886,0.25,200,0.0113,0.00243,strict
Hospital,000045_lcam_front_lidar.ply,0.10002,799,0.03602,0.13978,0.15001,500,0.0576,0.21363,0.25,200,0.00281,0.00157,standard
Hospital,000046_lcam_front_lidar.ply,0.10002,799,0.0283,0.1332,0.15001,500,0.02573,0.19024,0.25,200,0.00285,0.00174,strict
Hospital,000047_lcam_front_lidar.ply,0.10002,799,0.02708,0.12816,0.15001,500,0.00102,0.00063,0.25,200,0.00708,0.12293,strict
Hospital,000048_lcam_front_lidar.ply,0.10002,799,0.11387,0.06979,0.15001,500,0.01549,0.14901,0.25,200,0.01123,0.00228,strict
Hospital,000049_lcam_front_lidar.ply,0.10002,799,0.02877,0.14317,0.15001,500,0.03066,0.15274,0.25,200,0.01113,0.00225,standard
Hospital,000050_lcam_front_lidar.ply,0.10002,799,0.02533,0.13387,0.15001,500,0.00292,0.00142,0.25,200,0.01451,0.13553,strict
Hospital,000051_lcam_front_lidar.ply,0.10002,799,0.02193,0.12596,0.15001,500,0.01172,0.09034,0.25,200,0.01113,0.00288,strict
Hospital,000052_lcam_front_lidar.ply,0.10002,799,0.00977,0.1275,0.15001,500,0.01161,0.08943,0.25,200,0.01106,0.0035,standard
Hospital,000053_lcam_front_lidar.ply,0.10002,799,0.00354,0.00573,0.15001,500,0.00809,0.00406,0.25,200,0.003,0.00161,standard
Hospital,000054_lcam_front_lidar.ply,0.10002,799,0.00774,0.06247,0.15001,500,0.01507,0.1425,0.25,200,0.01108,0.00355,standard
Hospital,000055_lcam_front_lidar.ply,0.10002,799,0.00347,0.00436,0.15001,500,0.00745,0.005,0.25,200,0.00069,0.00022,standard
Hospital,000056_lcam_front_lidar.ply,0.10002,799,0.01708,0.15489,0.15001,500,0.00307,0.00178,0.25,200,0.01109,0.00303,strict
Hospital,000057_lcam_front_lidar.ply,0.10002,799,0.00804,0.07179,0.15001,500,0.00427,0.00279,0.25,200,0.01101,0.0021,loose
Hospital,000058_lcam_front_lidar.ply,0.10002,799,0.00658,0.07856,0.15001,500,0.01422,0.1439,0.25,200,0.01111,0.0021,standard
Hospital,000059_lcam_front_lidar.ply,0.10002,799,0.01281,0.13995,0.15001,500,0.01684,0.17994,0.25,200,0.00313,0.00152,standard
Hospital,000060_lcam_front_lidar.ply,0.10002,799,0.00368,0.00261,0.15001,500,0.01481,0.13029,0.25,200,0.01115,0.00269,standard
Hospital,000061_lcam_front_lidar.ply,0.10002,799,0.00314,0.00164,0.15001,500,0.01139,0.04473,0.25,200,0.01113,0.00227,standard
Hospital,000062_lcam_front_lidar.ply,0.10002,799,0.00618,0.14952,0.15001,500,0.0175,0.21108,0.25,200,0.01115,0.00194,standard
Hospital,000063_lcam_front_lidar.ply,0.10002,799,0.00321,0.00169,0.15001,500,0.01469,0.12298,0.25,200,0.0112,0.00156,standard
Hospital,000064_lcam_front_lidar.ply,0.10002,799,0.00816,0.07764,0.15001,500,0.00323,0.00369,0.25,200,0.01186,0.16484,loose
Hospital,000065_lcam_front_lidar.ply,0.10002,799,0.00747,0.15959,0.15001,500,0.00181,0.00143,0.25,200,0.01123,0.00194,loose
