frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.1,500,0.9,0.0475,0.36931,1,0.10385,0.04038,0.03269
000001_lcam_front_lidar.ply,0.1,500,0.9,0.03187,0.37853,1,0.10993,0.0374,0.03141
000002_lcam_front_lidar.ply,0.1,500,0.9,0.04863,0.3694,1,0.10407,0.04184,0.03274
000003_lcam_front_lidar.ply,0.1,500,0.9,0.04764,0.36391,1,0.09903,0.04363,0.03334
000004_lcam_front_lidar.ply,0.1,500,0.9,0.04164,0.37033,1,0.1035,0.04237,0.03193
000005_lcam_front_lidar.ply,0.1,500,0.9,0.03609,0.36825,1,0.10142,0.0454,0.03283
000006_lcam_front_lidar.ply,0.1,500,0.9,0.04672,0.36672,1,0.10112,0.0408,0.03144
000007_lcam_front_lidar.ply,0.1,500,0.9,0.04902,0.36934,1,0.10055,0.03533,0.02642
000008_lcam_front_lidar.ply,0.1,500,0.9,0.05918,0.36688,1,0.10112,0.04246,0.03162
000009_lcam_front_lidar.ply,0.1,500,0.9,0.05233,0.35985,1,0.10404,0.05729,0.05318
000010_lcam_front_lidar.ply,0.1,500,0.9,0.04944,0.36557,1,0.11083,0.06707,0.05482
000011_lcam_front_lidar.ply,0.1,500,0.9,0.03949,0.36996,1,0.11468,0.0617,0.0566
000012_lcam_front_lidar.ply,0.1,500,0.9,0.0524,0.3703,1,0.11541,0.06099,0.05508
000013_lcam_front_lidar.ply,0.1,500,0.9,0.05016,0.36338,1,0.1071,0.0787,0.05054
000014_lcam_front_lidar.ply,0.1,500,0.9,0.06352,0.3872,1,0.11224,0.00136,0.01037
000015_lcam_front_lidar.ply,0.1,500,0.9,0.05285,0.38813,1,0.11045,0.00125,0.00891
000016_lcam_front_lidar.ply,0.1,500,0.9,0.06357,0.37139,1,0.11656,0.07045,0.05206
000017_lcam_front_lidar.ply,0.1,500,0.9,0.06308,0.36833,1,0.11461,0.06837,0.05336
000018_lcam_front_lidar.ply,0.1,500,0.9,0.06744,0.36453,1,0.11143,0.06628,0.05417
000019_lcam_front_lidar.ply,0.1,500,0.9,0.06334,0.37031,1,0.11616,0.06277,0.05335
000020_lcam_front_lidar.ply,0.1,500,0.9,0.06328,0.37978,1,0.12636,0.06329,0.05384
000021_lcam_front_lidar.ply,0.1,500,0.9,0.05173,0.38753,1,0.13063,0.05936,0.05082
000022_lcam_front_lidar.ply,0.1,500,0.9,0.06348,0.38887,1,0.13455,0.06144,0.0527
