frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15001,500,0.85,0.27075,3.72671,1,0.17394,0.99365,0.19342
000001_lcam_front_lidar.ply,0.15001,500,0.85,0.27424,1.96943,1,0.02663,0.85155,0.14629
000002_lcam_front_lidar.ply,0.15001,500,0.85,0.34097,2.17346,1,0.02,0.98673,0.05144
000003_lcam_front_lidar.ply,0.15001,500,0.85,0.28515,4.06437,1,0.20747,0.99486,0.20041
000004_lcam_front_lidar.ply,0.15001,500,0.85,0.32219,3.92445,1,0.19349,0.99478,0.19803
000005_lcam_front_lidar.ply,0.15001,500,0.85,0.39577,2.10498,1,0.03286,0.88817,0.09039
000006_lcam_front_lidar.ply,0.15001,500,0.85,0.42941,2.08344,1,0.02604,0.91151,0.18954
000007_lcam_front_lidar.ply,0.15001,500,0.85,0.41683,2.58409,1,0.06033,0.99039,0.08767
000008_lcam_front_lidar.ply,0.15001,500,0.85,0.39804,4.27534,1,0.22887,0.99331,0.20427
000009_lcam_front_lidar.ply,0.15001,500,0.85,0.5143,2.6232,1,0.06415,0.99086,0.0931
000010_lcam_front_lidar.ply,0.15001,500,0.85,0.73932,2.9498,1,0.09698,0.99,0.1457
000011_lcam_front_lidar.ply,0.15001,500,0.85,0.52734,5.24206,1,0.32832,0.97945,0.20989
000012_lcam_front_lidar.ply,0.15001,500,0.85,0.76386,2.07841,1,0.02925,0.89294,0.06107
000013_lcam_front_lidar.ply,0.15001,500,0.85,0.93411,4.01791,1,0.20486,0.98465,0.21191
000014_lcam_front_lidar.ply,0.15001,500,0.85,0.76855,2.17489,1,0.02061,0.98441,0.04044
000015_lcam_front_lidar.ply,0.15001,500,0.85,0.89387,2.21319,1,0.02385,0.98732,0.05101
000016_lcam_front_lidar.ply,0.15001,500,0.85,0.90711,2.07425,1,0.01023,0.986,0.01462
000017_lcam_front_lidar.ply,0.15001,500,0.85,0.94967,2.13648,1,0.01497,0.99341,0.04853
000018_lcam_front_lidar.ply,0.15001,500,0.85,1.05236,1.9759,1,0.00333,0.97128,0.00114
000019_lcam_front_lidar.ply,0.15001,500,0.85,1.45868,1.97019,1,0.00694,0.95037,0.10048
000020_lcam_front_lidar.ply,0.15001,500,0.85,1.89019,2.94091,1,0.09517,0.99459,0.19289
000021_lcam_front_lidar.ply,0.15001,500,0.85,1.72602,2.14199,1,0.02094,0.96631,0.16617
000022_lcam_front_lidar.ply,0.15001,500,0.85,1.11001,2.08314,1,0.01156,0.98376,0.03979
000023_lcam_front_lidar.ply,0.15001,500,0.85,1.64103,2.41384,1,0.04163,0.99876,0.20701
000024_lcam_front_lidar.ply,0.15001,500,0.85,1.824,2.38257,1,0.03863,0.99814,0.15825
000025_lcam_front_lidar.ply,0.15001,500,0.85,1.31606,2.37083,1,0.04517,0.95955,0.22219
000026_lcam_front_lidar.ply,0.15001,500,0.85,1.21071,2.04889,1,0.00743,0.98729,0.01851
000027_lcam_front_lidar.ply,0.15001,500,0.85,1.01718,2.34419,1,0.06071,0.86854,0.20374
000028_lcam_front_lidar.ply,0.15001,500,0.85,0.96981,2.33644,1,0.0347,0.9947,0.19779
000029_lcam_front_lidar.ply,0.15001,500,0.85,1.22296,2.04621,1,0.04167,0.81477,0.21065
000030_lcam_front_lidar.ply,0.15001,500,0.85,1.09576,2.12159,1,0.03365,0.89256,0.19515
000031_lcam_front_lidar.ply,0.15001,500,0.85,0.96352,2.1785,1,0.02502,0.96416,0.17239
000032_lcam_front_lidar.ply,0.15001,500,0.85,1.03025,2.34474,1,0.03694,0.98765,0.10413
000033_lcam_front_lidar.ply,0.15001,500,0.85,1.16879,2.03529,1,0.00425,0.99638,0.05833
000034_lcam_front_lidar.ply,0.15001,500,0.85,1.08364,3.30251,1,0.13523,0.97513,0.17725
000035_lcam_front_lidar.ply,0.15001,500,0.85,1.24976,2.07026,1,0.01014,0.98444,0.12569
000036_lcam_front_lidar.ply,0.15001,500,0.85,1.58329,2.86825,1,0.09102,0.979,0.20642
000037_lcam_front_lidar.ply,0.15001,500,0.85,1.33919,2.33522,1,0.03497,0.99279,0.11722
000038_lcam_front_lidar.ply,0.15001,500,0.85,1.01851,2.01657,1,0.00274,0.99457,0.00207
000039_lcam_front_lidar.ply,0.15001,500,0.85,1.4305,2.65487,1,0.06896,0.98264,0.19685
000040_lcam_front_lidar.ply,0.15001,500,0.85,1.26467,2.70872,1,0.07687,0.96999,0.20604
000041_lcam_front_lidar.ply,0.15001,500,0.85,1.53397,2.77657,1,0.08236,0.97648,0.21793
000042_lcam_front_lidar.ply,0.15001,500,0.85,1.04208,1.95458,1,0.01033,0.92564,0.13861
000043_lcam_front_lidar.ply,0.15001,500,0.85,1.27498,2.01213,1,0.00189,0.9966,0.00189
000044_lcam_front_lidar.ply,0.15001,500,0.85,0.87918,1.92909,1,0.0142,0.89354,0.18886
000045_lcam_front_lidar.ply,0.15001,500,0.85,0.49857,2.52676,1,0.0576,0.97536,0.21363
000046_lcam_front_lidar.ply,0.15001,500,0.85,0.57264,2.21669,1,0.02573,0.9797,0.19024
000047_lcam_front_lidar.ply,0.15001,500,0.85,0.51163,2.00298,1,0.00102,0.99637,0.00063
000048_lcam_front_lidar.ply,0.15001,500,0.85,0.56996,2.05002,1,0.01549,0.94758,0.14901
000049_lcam_front_lidar.ply,0.15001,500,0.85,0.54077,2.28543,1,0.03066,0.98942,0.15274
000050_lcam_front_lidar.ply,0.15001,500,0.85,0.50093,2.02893,1,0.00292,0.99988,0.00142
000051_lcam_front_lidar.ply,0.15001,500,0.85,0.52908,2.10171,1,0.01172,0.99226,0.09034
000052_lcam_front_lidar.ply,0.15001,500,0.85,0.51527,2.10083,1,0.01161,0.99234,0.08943
000053_lcam_front_lidar.ply,0.15001,500,0.85,0.46509,2.0809,1,0.00809,1.0,0.00406
000054_lcam_front_lidar.ply,0.15001,500,0.85,0.5551,2.08997,1,0.01507,0.96964,0.1425
000055_lcam_front_lidar.ply,0.15001,500,0.85,0.45907,2.07448,1,0.00745,1.0,0.005
000056_lcam_front_lidar.ply,0.15001,500,0.85,0.54593,2.0303,1,0.00307,0.99979,0.00178
000057_lcam_front_lidar.ply,0.15001,500,0.85,0.51734,2.04025,1,0.00427,0.99877,0.00279
000058_lcam_front_lidar.ply,0.15001,500,0.85,0.54347,2.12017,1,0.01422,0.98899,0.1439
000059_lcam_front_lidar.ply,0.15001,500,0.85,0.52627,2.16813,1,0.01684,0.99986,0.17994
000060_lcam_front_lidar.ply,0.15001,500,0.85,0.58028,2.11062,1,0.01481,0.98127,0.13029
000061_lcam_front_lidar.ply,0.15001,500,0.85,0.56855,2.1077,1,0.01139,0.99691,0.04473
000062_lcam_front_lidar.ply,0.15001,500,0.85,0.58575,2.12836,1,0.0175,0.97668,0.21108
000063_lcam_front_lidar.ply,0.15001,500,0.85,0.5616,2.11964,1,0.01469,0.98638,0.12298
000064_lcam_front_lidar.ply,0.15001,500,0.85,0.71638,2.02019,1,0.00323,0.99395,0.00369
000065_lcam_front_lidar.ply,0.15001,500,0.85,0.68544,2.01526,1,0.00181,0.9986,0.00143
000066_lcam_front_lidar.ply,0.15001,500,0.85,0.78118,2.12805,1,0.01455,0.99128,0.11589
000067_lcam_front_lidar.ply,0.15001,500,0.85,0.58959,2.03836,1,0.01019,0.96822,0.10981
000068_lcam_front_lidar.ply,0.15001,500,0.85,0.62278,2.08972,1,0.01038,0.99295,0.19732
000069_lcam_front_lidar.ply,0.15001,500,0.85,0.65005,2.08055,1,0.00806,1.0,0.00371
000070_lcam_front_lidar.ply,0.15001,500,0.85,0.55684,2.0338,1,0.0034,0.99989,0.00152
000071_lcam_front_lidar.ply,0.15001,500,0.85,0.91068,2.10493,1,0.04311,0.83692,0.19446
000072_lcam_front_lidar.ply,0.15001,500,0.85,0.90262,2.07984,1,0.00799,0.99999,0.00472
000073_lcam_front_lidar.ply,0.15001,500,0.85,1.05097,1.84933,1,0.00911,0.87909,0.2134
000074_lcam_front_lidar.ply,0.15001,500,0.85,1.13533,2.03443,1,0.00349,0.99976,0.00188
000075_lcam_front_lidar.ply,0.15001,500,0.85,1.0358,2.08107,1,0.00811,1.0,0.00305
000076_lcam_front_lidar.ply,0.15001,500,0.85,1.02982,2.0347,1,0.00351,0.99982,0.00209
000077_lcam_front_lidar.ply,0.15001,500,0.85,0.95252,3.48896,1,0.17255,0.88172,0.20621
000078_lcam_front_lidar.ply,0.15001,500,0.85,0.77448,2.0202,1,0.00212,0.99951,0.00152
000079_lcam_front_lidar.ply,0.15001,500,0.85,0.95508,2.06753,1,0.00675,1.0,0.00308
000080_lcam_front_lidar.ply,0.15001,500,0.85,0.71331,2.55974,1,0.06248,0.96746,0.22434
000081_lcam_front_lidar.ply,0.15001,500,0.85,0.78954,2.69052,1,0.07,0.99526,0.21195
000082_lcam_front_lidar.ply,0.15001,500,0.85,0.84278,2.8127,1,0.08559,0.9784,0.20716
000083_lcam_front_lidar.ply,0.15001,500,0.85,0.74859,2.93379,1,0.09998,0.96698,0.22017
000084_lcam_front_lidar.ply,0.15001,500,0.85,0.60328,2.04766,1,0.00766,0.98555,0.07081
000085_lcam_front_lidar.ply,0.15001,500,0.85,0.55563,2.02177,1,0.00398,0.991,0.00595
000086_lcam_front_lidar.ply,0.15001,500,0.85,0.5186,3.02714,1,0.10391,0.99404,0.20868
000087_lcam_front_lidar.ply,0.15001,500,0.85,0.59678,2.08253,1,0.01054,0.98857,0.06299
000088_lcam_front_lidar.ply,0.15001,500,0.85,0.45914,2.4228,1,0.0447,0.98788,0.05834
000089_lcam_front_lidar.ply,0.15001,500,0.85,0.48269,2.53247,1,0.05477,0.99237,0.07475
000090_lcam_front_lidar.ply,0.15001,500,0.85,0.52139,2.25154,1,0.0267,0.99226,0.07238
000091_lcam_front_lidar.ply,0.15001,500,0.85,0.52912,3.6732,1,0.16766,0.99832,0.1799
000092_lcam_front_lidar.ply,0.15001,500,0.85,0.53763,2.50592,1,0.05108,0.99758,0.11952
000093_lcam_front_lidar.ply,0.15001,500,0.85,0.29934,4.1361,1,0.2141,0.99756,0.15503
