frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.10002,799,0.9,0.33866,3.39705,1,0.14017,0.99766,0.14074
000001_lcam_front_lidar.ply,0.10002,799,0.9,0.36838,2.76439,1,0.07873,0.98853,0.12758
000002_lcam_front_lidar.ply,0.10002,799,0.9,0.38157,2.39789,1,0.04342,0.98184,0.10065
000003_lcam_front_lidar.ply,0.10002,799,0.9,0.42329,2.0252,1,0.02642,0.88048,0.09288
000004_lcam_front_lidar.ply,0.10002,799,0.9,0.47413,2.3472,1,0.03719,0.98766,0.09087
000005_lcam_front_lidar.ply,0.10002,799,0.9,0.42707,2.4872,1,0.0521,0.9831,0.10784
000006_lcam_front_lidar.ply,0.10002,799,0.9,0.41303,2.50048,1,0.05342,0.98314,0.108
000007_lcam_front_lidar.ply,0.10002,799,0.9,0.50424,2.60522,1,0.06247,0.99028,0.09973
000008_lcam_front_lidar.ply,0.10002,799,0.9,0.51508,2.63174,1,0.06524,0.98966,0.09109
000009_lcam_front_lidar.ply,0.10002,799,0.9,0.55752,2.91205,1,0.09403,0.98589,0.10474
000010_lcam_front_lidar.ply,0.10002,799,0.9,0.57169,2.95728,1,0.09766,0.99036,0.11408
000011_lcam_front_lidar.ply,0.10002,799,0.9,0.56412,2.80089,1,0.08391,0.98091,0.10943
000012_lcam_front_lidar.ply,0.10002,799,0.9,0.65516,2.51847,1,0.05429,0.9878,0.12578
000013_lcam_front_lidar.ply,0.10002,799,0.9,0.73447,2.80362,1,0.0825,0.98931,0.11602
000014_lcam_front_lidar.ply,0.10002,799,0.9,0.64137,2.52502,1,0.05365,0.99428,0.13103
000015_lcam_front_lidar.ply,0.10002,799,0.9,0.65463,2.7659,1,0.07884,0.98877,0.13088
000016_lcam_front_lidar.ply,0.10002,799,0.9,0.74215,2.51705,1,0.05462,0.98544,0.13956
000017_lcam_front_lidar.ply,0.10002,799,0.9,0.61938,2.40725,1,0.04118,0.99772,0.1132
000018_lcam_front_lidar.ply,0.10002,799,0.9,0.66345,2.35405,1,0.04167,0.96869,0.11631
000019_lcam_front_lidar.ply,0.10002,799,0.9,0.59149,1.84709,1,0.01764,0.83535,0.12042
000020_lcam_front_lidar.ply,0.10002,799,0.9,0.56165,2.71081,1,0.07432,0.98379,0.13876
000021_lcam_front_lidar.ply,0.10002,799,0.9,0.73474,1.95787,1,0.0092,0.93293,0.08758
000022_lcam_front_lidar.ply,0.10002,799,0.9,0.76086,2.22195,1,0.0242,0.98997,0.11024
000023_lcam_front_lidar.ply,0.10002,799,0.9,0.60779,2.11644,1,0.01342,0.99112,0.03825
000024_lcam_front_lidar.ply,0.10002,799,0.9,0.61182,2.18467,1,0.02868,0.94893,0.13984
000025_lcam_front_lidar.ply,0.10002,799,0.9,0.68754,1.98749,1,0.00597,0.96388,0.04832
000026_lcam_front_lidar.ply,0.10002,799,0.9,0.64354,2.32085,1,0.03441,0.98837,0.10447
000027_lcam_front_lidar.ply,0.10002,799,0.9,0.49251,2.38229,1,0.04122,0.98507,0.09987
000028_lcam_front_lidar.ply,0.10002,799,0.9,0.51073,2.0707,1,0.02389,0.9159,0.12741
000029_lcam_front_lidar.ply,0.10002,799,0.9,0.49776,2.59188,1,0.06399,0.97598,0.14002
000030_lcam_front_lidar.ply,0.10002,799,0.9,0.65751,2.21695,1,0.04387,0.88912,0.14235
000031_lcam_front_lidar.ply,0.10002,799,0.9,0.70383,2.58551,1,0.06224,0.98156,0.13966
000032_lcam_front_lidar.ply,0.10002,799,0.9,0.41524,0.51003,1,0.04523,0.02889,0.01224
000033_lcam_front_lidar.ply,0.10002,799,0.9,0.625,1.99843,1,0.01877,0.90538,0.15009
000034_lcam_front_lidar.ply,0.10002,799,0.9,0.89043,2.49092,1,0.05759,0.95753,0.14262
000035_lcam_front_lidar.ply,0.10002,799,0.9,0.82981,2.55264,1,0.06488,0.95193,0.12752
000036_lcam_front_lidar.ply,0.10002,799,0.9,0.71839,2.50125,1,0.0509,0.99611,0.14135
000037_lcam_front_lidar.ply,0.10002,799,0.9,0.68852,2.16364,1,0.01908,0.98642,0.0398
000038_lcam_front_lidar.ply,0.10002,799,0.9,0.59345,2.46918,1,0.04865,0.99136,0.13711
000039_lcam_front_lidar.ply,0.10002,799,0.9,0.6463,2.28149,1,0.03658,0.95785,0.11031
000040_lcam_front_lidar.ply,0.10002,799,0.9,0.68944,2.47017,1,0.05167,0.97675,0.14702
000041_lcam_front_lidar.ply,0.10002,799,0.9,0.59878,2.46162,1,0.05118,0.97491,0.15789
000042_lcam_front_lidar.ply,0.10002,799,0.9,0.57511,2.38503,1,0.03938,0.99564,0.13517
000043_lcam_front_lidar.ply,0.10002,799,0.9,0.59337,2.03322,1,0.00335,0.99985,0.00162
000044_lcam_front_lidar.ply,0.10002,799,0.9,0.41217,1.10444,1,0.06601,0.22218,0.07043
000045_lcam_front_lidar.ply,0.10002,799,0.9,0.3951,2.11201,1,0.03602,0.87588,0.13978
000046_lcam_front_lidar.ply,0.10002,799,0.9,0.36037,2.27399,1,0.0283,0.9955,0.1332
000047_lcam_front_lidar.ply,0.10002,799,0.9,0.40932,2.19191,1,0.02708,0.96054,0.12816
000048_lcam_front_lidar.ply,0.10002,799,0.9,0.36441,1.39307,1,0.11387,0.12718,0.06979
000049_lcam_front_lidar.ply,0.10002,799,0.9,0.39709,2.15881,1,0.02877,0.93557,0.14317
000050_lcam_front_lidar.ply,0.10002,799,0.9,0.39431,2.17549,1,0.02533,0.9611,0.13387
000051_lcam_front_lidar.ply,0.10002,799,0.9,0.44559,2.1749,1,0.02193,0.97782,0.12596
000052_lcam_front_lidar.ply,0.10002,799,0.9,0.51644,2.05662,1,0.00977,0.97944,0.1275
000053_lcam_front_lidar.ply,0.10002,799,0.9,0.38578,2.01117,1,0.00354,0.98788,0.00573
000054_lcam_front_lidar.ply,0.10002,799,0.9,0.36956,1.89509,1,0.00774,0.90883,0.06247
000055_lcam_front_lidar.ply,0.10002,799,0.9,0.41636,2.01957,1,0.00347,0.99242,0.00436
000056_lcam_front_lidar.ply,0.10002,799,0.9,0.35723,2.16337,1,0.01708,0.99627,0.15489
000057_lcam_front_lidar.ply,0.10002,799,0.9,0.38549,2.0333,1,0.00804,0.97646,0.07179
000058_lcam_front_lidar.ply,0.10002,799,0.9,0.43522,2.0447,1,0.00658,0.98945,0.07856
000059_lcam_front_lidar.ply,0.10002,799,0.9,0.40153,2.07773,1,0.01281,0.9748,0.13995
000060_lcam_front_lidar.ply,0.10002,799,0.9,0.41528,2.03442,1,0.00368,0.99881,0.00261
000061_lcam_front_lidar.ply,0.10002,799,0.9,0.43361,2.03109,1,0.00314,0.99983,0.00164
000062_lcam_front_lidar.ply,0.10002,799,0.9,0.46088,1.89025,1,0.00618,0.91422,0.14952
000063_lcam_front_lidar.ply,0.10002,799,0.9,0.46155,2.03168,1,0.00321,0.99978,0.00169
000064_lcam_front_lidar.ply,0.10002,799,0.9,0.44245,2.08136,1,0.00816,0.99988,0.07764
000065_lcam_front_lidar.ply,0.10002,799,0.9,0.51531,2.01417,1,0.00747,0.96976,0.15959
000066_lcam_front_lidar.ply,0.10002,799,0.9,0.39537,2.0981,1,0.01026,0.99775,0.13907
000067_lcam_front_lidar.ply,0.10002,799,0.9,0.46364,1.98723,1,0.00774,0.9549,0.15158
000068_lcam_front_lidar.ply,0.10002,799,0.9,0.50141,2.08081,1,0.00809,0.99995,0.16699
000069_lcam_front_lidar.ply,0.10002,799,0.9,0.43058,2.10722,1,0.01083,0.99944,0.04654
000070_lcam_front_lidar.ply,0.10002,799,0.9,0.5084,2.0835,1,0.00842,0.99965,0.03199
000071_lcam_front_lidar.ply,0.10002,799,0.9,0.48079,1.88799,1,0.0055,0.91648,0.12623
000072_lcam_front_lidar.ply,0.10002,799,0.9,0.41443,2.0077,1,0.0042,0.98284,0.14391
000073_lcam_front_lidar.ply,0.10002,799,0.9,0.62188,2.03252,1,0.0037,0.99777,0.00267
000074_lcam_front_lidar.ply,0.10002,799,0.9,0.6884,3.19656,1,0.12786,0.95896,0.14244
000075_lcam_front_lidar.ply,0.10002,799,0.9,0.53888,3.00562,1,0.10326,0.98649,0.13436
000076_lcam_front_lidar.ply,0.10002,799,0.9,0.43764,1.08009,1,0.09578,0.06114,0.01607
000077_lcam_front_lidar.ply,0.10002,799,0.9,0.52091,2.4224,1,0.05432,0.93959,0.11902
000078_lcam_front_lidar.ply,0.10002,799,0.9,0.49632,3.01335,1,0.11174,0.948,0.14321
000079_lcam_front_lidar.ply,0.10002,799,0.9,0.55033,2.95188,1,0.10649,0.94348,0.14207
000080_lcam_front_lidar.ply,0.10002,799,0.9,0.48633,2.35367,1,0.05802,0.88673,0.11031
000081_lcam_front_lidar.ply,0.10002,799,0.9,0.51189,2.75011,1,0.08964,0.92688,0.13972
000082_lcam_front_lidar.ply,0.10002,799,0.9,0.6052,1.97378,1,0.02273,0.87326,0.10266
000083_lcam_front_lidar.ply,0.10002,799,0.9,0.48278,3.36833,1,0.13929,0.98772,0.14083
000084_lcam_front_lidar.ply,0.10002,799,0.9,0.44809,2.41392,1,0.05637,0.9251,0.07113
000085_lcam_front_lidar.ply,0.10002,799,0.9,0.37367,3.47212,1,0.1503,0.98458,0.13881
000086_lcam_front_lidar.ply,0.10002,799,0.9,0.45833,2.72294,1,0.07651,0.97892,0.15281
000087_lcam_front_lidar.ply,0.10002,799,0.9,0.43246,2.9818,1,0.10752,0.95331,0.11192
000088_lcam_front_lidar.ply,0.10002,799,0.9,0.35338,3.45762,1,0.14691,0.99426,0.12672
000089_lcam_front_lidar.ply,0.10002,799,0.9,0.40037,3.03676,1,0.10658,0.98548,0.09363
000090_lcam_front_lidar.ply,0.10002,799,0.9,0.34886,3.50992,1,0.15297,0.99012,0.12152
000091_lcam_front_lidar.ply,0.10002,799,0.9,0.3646,2.70002,1,0.07286,0.98569,0.08395
000092_lcam_front_lidar.ply,0.10002,799,0.9,0.43925,2.60104,1,0.06189,0.99106,0.07476
000093_lcam_front_lidar.ply,0.10002,799,0.9,0.56504,3.71448,1,0.17281,0.99318,0.13077
000094_lcam_front_lidar.ply,0.10002,799,0.9,0.55837,3.41365,1,0.14408,0.98643,0.12054
000095_lcam_front_lidar.ply,0.10002,799,0.9,0.37651,2.24174,1,0.02575,0.99214,0.09222
000096_lcam_front_lidar.ply,0.10002,799,0.9,0.63282,2.13258,1,0.01401,0.99624,0.05505
000097_lcam_front_lidar.ply,0.10002,799,0.9,0.31232,2.636,1,0.0646,0.99499,0.13412
