frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply/000000_lcam_front_lidar.ply,0.25,200,0.8,0.03212,0.27334,1,0.23649,0.05021,0.05885
000001_lcam_front_lidar.ply/000001_lcam_front_lidar.ply,0.25,200,0.8,0.03958,-0.0092,2,0.07814,0.99997,0.01775
000002_lcam_front_lidar.ply/000002_lcam_front_lidar.ply,0.25,200,0.8,0.04345,0.28435,3,0.23746,0.03242,0.06139
000003_lcam_front_lidar.ply/000003_lcam_front_lidar.ply,0.25,200,0.8,0.04628,-0.00737,4,0.0755,0.99995,0.03127
000004_lcam_front_lidar.ply/000004_lcam_front_lidar.ply,0.25,200,0.8,0.04514,-0.00738,5,0.07514,0.99987,0.03708
000005_lcam_front_lidar.ply/000005_lcam_front_lidar.ply,0.25,200,0.8,0.04377,-0.00795,6,0.07492,0.99985,0.03357
000006_lcam_front_lidar.ply/000006_lcam_front_lidar.ply,0.25,200,0.8,0.04331,-0.00853,7,0.07358,0.99991,0.02298
000007_lcam_front_lidar.ply/000007_lcam_front_lidar.ply,0.25,200,0.8,0.04353,-0.00846,8,0.07594,0.99998,0.01978
000008_lcam_front_lidar.ply/000008_lcam_front_lidar.ply,0.25,200,0.8,0.04456,-0.0095,9,0.07247,0.99984,0.02787
000009_lcam_front_lidar.ply/000009_lcam_front_lidar.ply,0.25,200,0.8,0.04347,-0.00636,10,0.07701,0.99952,0.0542
000010_lcam_front_lidar.ply/000010_lcam_front_lidar.ply,0.25,200,0.8,0.05281,0.2924,11,0.22384,0.02612,0.06245
000011_lcam_front_lidar.ply/000011_lcam_front_lidar.ply,0.25,200,0.8,0.05396,-0.00713,12,0.07508,0.99982,0.04264
000012_lcam_front_lidar.ply/000012_lcam_front_lidar.ply,0.25,200,0.8,0.055,-0.00891,13,0.07589,0.99998,0.01654
000013_lcam_front_lidar.ply/000013_lcam_front_lidar.ply,0.25,200,0.8,0.05654,0.3104,14,0.24714,0.02461,0.0443
000014_lcam_front_lidar.ply/000014_lcam_front_lidar.ply,0.25,200,0.8,0.05157,-0.008,15,0.07512,0.99993,0.01394
000015_lcam_front_lidar.ply/000015_lcam_front_lidar.ply,0.25,200,0.8,0.05304,-0.00924,16,0.07402,0.99998,0.00923
000016_lcam_front_lidar.ply/000016_lcam_front_lidar.ply,0.25,200,0.8,0.05545,-0.01,17,0.002,0.99713,0.00025
000017_lcam_front_lidar.ply/000017_lcam_front_lidar.ply,0.25,200,0.8,0.06364,-0.01,18,0.00368,1.0,0.0005
000018_lcam_front_lidar.ply/000018_lcam_front_lidar.ply,0.25,200,0.8,0.05128,-0.01,19,0.00354,1.0,0.00031
000019_lcam_front_lidar.ply/000019_lcam_front_lidar.ply,0.25,200,0.8,0.06027,0.35826,20,0.27801,0.00402,0.02478
000020_lcam_front_lidar.ply/000020_lcam_front_lidar.ply,0.25,200,0.8,0.05015,0.35161,21,0.27112,0.00339,0.02364
000021_lcam_front_lidar.ply/000021_lcam_front_lidar.ply,0.25,200,0.8,0.03958,-0.00671,22,0.09235,1.0,0.02824
000022_lcam_front_lidar.ply/000022_lcam_front_lidar.ply,0.25,200,0.8,0.04245,-0.00944,23,0.07799,1.0,0.01323
000023_lcam_front_lidar.ply/000023_lcam_front_lidar.ply,0.25,200,0.8,0.04763,0.34982,24,0.26853,0.00501,0.02133
000024_lcam_front_lidar.ply/000024_lcam_front_lidar.ply,0.25,200,0.8,0.05373,-0.01,25,0.03138,1.0,0.00013
000025_lcam_front_lidar.ply/000025_lcam_front_lidar.ply,0.25,200,0.8,0.05306,-0.01,26,0.10829,1.0,0.00502
