frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply/000000_lcam_front_lidar.ply,0.15,500,0.85,0.03225,-0.00986,1,0.07633,1.0,0.00033
000001_lcam_front_lidar.ply/000001_lcam_front_lidar.ply,0.15,500,0.85,0.04629,-0.01,2,0.07277,1.0,0.00011
000002_lcam_front_lidar.ply/000002_lcam_front_lidar.ply,0.15,500,0.85,0.05139,-0.01,3,0.07038,1.0,0.00039
000003_lcam_front_lidar.ply/000003_lcam_front_lidar.ply,0.15,500,0.85,0.04115,-0.01,4,0.07066,1.0,0.0001
000004_lcam_front_lidar.ply/000004_lcam_front_lidar.ply,0.15,500,0.85,0.02706,-0.01,5,0.07036,1.0,8e-05
000005_lcam_front_lidar.ply/000005_lcam_front_lidar.ply,0.15,500,0.85,0.04561,-0.01,6,0.07123,1.0,0.0001
000006_lcam_front_lidar.ply/000006_lcam_front_lidar.ply,0.15,500,0.85,0.03187,-0.01,7,0.07057,1.0,9e-05
000007_lcam_front_lidar.ply/000007_lcam_front_lidar.ply,0.15,500,0.85,0.0416,-0.01,8,0.07215,1.0,9e-05
000008_lcam_front_lidar.ply/000008_lcam_front_lidar.ply,0.15,500,0.85,0.03167,-0.01,9,0.07038,1.0,9e-05
000009_lcam_front_lidar.ply/000009_lcam_front_lidar.ply,0.15,500,0.85,0.03168,-0.01,10,0.07199,1.0,0.00194
000010_lcam_front_lidar.ply/000010_lcam_front_lidar.ply,0.15,500,0.85,0.04786,0.2786,11,0.21364,0.00316,0.02279
000011_lcam_front_lidar.ply/000011_lcam_front_lidar.ply,0.15,500,0.85,0.04072,0.28137,12,0.22053,0.00189,0.02207
000012_lcam_front_lidar.ply/000012_lcam_front_lidar.ply,0.15,500,0.85,0.04124,0.29064,13,0.23114,0.00365,0.02122
000013_lcam_front_lidar.ply/000013_lcam_front_lidar.ply,0.15,500,0.85,0.03555,-0.00926,14,0.06958,1.0,0.0051
000014_lcam_front_lidar.ply/000014_lcam_front_lidar.ply,0.15,500,0.85,0.03951,-0.00937,15,0.06853,1.0,0.0018
000015_lcam_front_lidar.ply/000015_lcam_front_lidar.ply,0.15,500,0.85,0.04768,0.32228,16,0.24716,0.00708,0.01848
000016_lcam_front_lidar.ply/000016_lcam_front_lidar.ply,0.15,500,0.85,0.03553,-0.0095,17,0.06955,1.0,0.00215
000017_lcam_front_lidar.ply/000017_lcam_front_lidar.ply,0.15,500,0.85,0.03749,0.33762,18,0.25954,0.00865,0.02335
000018_lcam_front_lidar.ply/000018_lcam_front_lidar.ply,0.15,500,0.85,0.03561,-0.01,19,0.06716,1.0,0.00125
000019_lcam_front_lidar.ply/000019_lcam_front_lidar.ply,0.15,500,0.85,0.0338,-0.01,20,0.06533,1.0,0.00096
000020_lcam_front_lidar.ply/000020_lcam_front_lidar.ply,0.15,500,0.85,0.04978,0.34649,21,0.26686,0.00446,0.02331
000021_lcam_front_lidar.ply/000021_lcam_front_lidar.ply,0.15,500,0.85,0.03558,0.34936,22,0.26764,0.00652,0.01862
000022_lcam_front_lidar.ply/000022_lcam_front_lidar.ply,0.15,500,0.85,0.03913,0.34162,23,0.25995,0.00625,0.0208
000023_lcam_front_lidar.ply/000023_lcam_front_lidar.ply,0.15,500,0.85,0.03211,0.34546,24,0.26443,0.00378,0.01874
000024_lcam_front_lidar.ply/000024_lcam_front_lidar.ply,0.15,500,0.85,0.03956,-0.00972,25,0.07147,1.0,9e-05
000025_lcam_front_lidar.ply/000025_lcam_front_lidar.ply,0.15,500,0.85,0.04219,0.31175,26,0.24404,0.00458,0.01478
000026_lcam_front_lidar.ply/000026_lcam_front_lidar.ply,0.15,500,0.85,0.03114,0.3006,27,0.25844,0.00042,0.00959
000027_lcam_front_lidar.ply/000027_lcam_front_lidar.ply,0.15,500,0.85,0.04873,0.31676,28,0.28994,0.0029,0.01299
000028_lcam_front_lidar.ply/000028_lcam_front_lidar.ply,0.15,500,0.85,0.03182,0.35321,29,0.32708,0.00162,0.01106
000029_lcam_front_lidar.ply/000029_lcam_front_lidar.ply,0.15,500,0.85,0.02597,0.30338,30,0.28158,0.00026,0.01139
000030_lcam_front_lidar.ply/000030_lcam_front_lidar.ply,0.15,500,0.85,0.01602,0.27011,31,0.25157,2e-05,0.00365
000031_lcam_front_lidar.ply/000031_lcam_front_lidar.ply,0.15,500,0.85,0.03186,0.25131,32,0.23498,0.00034,0.00758
000032_lcam_front_lidar.ply/000032_lcam_front_lidar.ply,0.15,500,0.85,0.02781,0.24276,33,0.22863,0.00096,0.0025
000033_lcam_front_lidar.ply/000033_lcam_front_lidar.ply,0.15,500,0.85,0.04073,0.2471,34,0.23644,0.00527,0.00502
