frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,200,0.8,2.67131,2.01412,1,0.00143,0.99991,0.00074
000001_lcam_front_lidar.ply,0.25,200,0.8,2.12162,1.99947,1,0.00075,0.99599,0.00048
000002_lcam_front_lidar.ply,0.25,200,0.8,2.02985,4.69015,1,0.26907,0.99971,0.14812
000003_lcam_front_lidar.ply,0.25,200,0.8,2.42714,2.00298,1,0.00067,0.99815,0.00043
000004_lcam_front_lidar.ply,0.25,200,0.8,2.45023,2.01388,1,0.0014,0.99995,0.00069
000005_lcam_front_lidar.ply,0.25,200,0.8,2.33676,2.0001,1,0.00157,0.99222,0.00388
000006_lcam_front_lidar.ply,0.25,200,0.8,1.67363,2.00031,1,0.00121,0.99411,0.00236
000007_lcam_front_lidar.ply,0.25,200,0.8,1.7473,2.00564,1,0.00061,0.99979,0.00012
000008_lcam_front_lidar.ply,0.25,200,0.8,1.47571,2.19857,1,0.01987,0.99993,0.103
000009_lcam_front_lidar.ply,0.25,200,0.8,1.4249,2.00112,1,0.00044,0.99836,0.0002
000010_lcam_front_lidar.ply,0.25,200,0.8,1.31077,2.18993,1,0.019,0.99999,0.09772
000011_lcam_front_lidar.ply,0.25,200,0.8,1.3635,4.16379,1,0.2164,0.99988,0.09527
000012_lcam_front_lidar.ply,0.25,200,0.8,1.27457,2.00818,1,0.00136,0.99726,0.00197
000013_lcam_front_lidar.ply,0.25,200,0.8,1.09291,2.00901,1,0.00112,0.99893,0.00132
000014_lcam_front_lidar.ply,0.25,200,0.8,1.30608,4.12669,1,0.21268,0.99995,0.07666
000015_lcam_front_lidar.ply,0.25,200,0.8,1.28985,2.18748,1,0.01876,0.99994,0.08613
000016_lcam_front_lidar.ply,0.25,200,0.8,1.30471,4.16061,1,0.21608,0.9999,0.09162
000017_lcam_front_lidar.ply,0.25,200,0.8,1.14369,2.04863,1,0.00493,0.99968,0.00503
000018_lcam_front_lidar.ply,0.25,200,0.8,1.38946,2.18337,1,0.01841,0.99965,0.06239
000019_lcam_front_lidar.ply,0.25,200,0.8,1.30582,4.12062,1,0.21207,0.99995,0.07368
000020_lcam_front_lidar.ply,0.25,200,0.8,1.54858,2.00068,1,0.00602,0.97026,0.04994
000021_lcam_front_lidar.ply,0.25,200,0.8,1.36886,4.09755,1,0.20976,0.99996,0.07074
000022_lcam_front_lidar.ply,0.25,200,0.8,1.79887,4.09508,1,0.20952,0.99995,0.07238
000023_lcam_front_lidar.ply,0.25,200,0.8,1.05567,4.11667,1,0.21168,0.99995,0.07706
000024_lcam_front_lidar.ply,0.25,200,0.8,1.97116,1.99852,1,0.00088,0.99488,0.00117
000025_lcam_front_lidar.ply,0.25,200,0.8,1.65905,2.00198,1,0.00069,0.99756,0.00072
000026_lcam_front_lidar.ply,0.25,200,0.8,1.96822,4.15183,1,0.21519,0.99999,0.10108
000027_lcam_front_lidar.ply,0.25,200,0.8,1.56146,4.1496,1,0.21497,0.99994,0.09335
000028_lcam_front_lidar.ply,0.25,200,0.8,1.88476,2.00425,1,0.00149,0.99468,0.00483
000029_lcam_front_lidar.ply,0.25,200,0.8,1.82139,2.00991,1,0.00126,0.99866,0.00177
000030_lcam_front_lidar.ply,0.25,200,0.8,1.35536,4.18782,1,0.21879,0.99995,0.11191
000031_lcam_front_lidar.ply,0.25,200,0.8,1.93202,1.99261,1,0.00068,0.99291,0.00104
000032_lcam_front_lidar.ply,0.25,200,0.8,1.62333,2.00314,1,0.0022,0.99058,0.00841
000033_lcam_front_lidar.ply,0.25,200,0.8,1.6283,4.12043,1,0.21204,1.0,0.09326
000034_lcam_front_lidar.ply,0.25,200,0.8,1.81464,2.00533,1,0.00125,0.99642,0.00116
000035_lcam_front_lidar.ply,0.25,200,0.8,1.82962,4.14098,1,0.21411,0.99996,0.10913
000036_lcam_front_lidar.ply,0.25,200,0.8,2.31448,2.01967,1,0.00231,0.99829,0.00389
000037_lcam_front_lidar.ply,0.25,200,0.8,1.74895,4.09524,1,0.20954,0.99995,0.08926
000038_lcam_front_lidar.ply,0.25,200,0.8,2.07806,1.97094,1,0.00098,0.98059,0.00205
000039_lcam_front_lidar.ply,0.25,200,0.8,2.09494,2.15158,1,0.01516,0.99998,0.02998
000040_lcam_front_lidar.ply,0.25,200,0.8,2.38557,2.14387,1,0.01439,1.0,0.00119
000041_lcam_front_lidar.ply,0.25,200,0.8,2.05382,1.9921,1,0.00073,0.9924,0.00115
000042_lcam_front_lidar.ply,0.25,200,0.8,1.91352,1.97603,1,0.00063,0.98487,0.00055
000043_lcam_front_lidar.ply,0.25,200,0.8,1.95264,1.99159,1,0.00049,0.99336,0.00052
000044_lcam_front_lidar.ply,0.25,200,0.8,2.41654,2.02714,1,0.00359,0.99561,0.00515
000045_lcam_front_lidar.ply,0.25,200,0.8,2.31381,2.01795,1,0.00211,0.9984,0.00286
000046_lcam_front_lidar.ply,0.25,200,0.8,2.53466,1.99955,1,0.0012,0.99376,0.00145
000047_lcam_front_lidar.ply,0.25,200,0.8,2.35586,1.99565,1,0.00133,0.99117,0.00287
