dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
Office,000000_lcam_front_lidar.ply,0.10002,799,0.05055,0.0006,0.15001,500,0.0182,0.00147,0.25,200,0.00143,0.00074,strict
Office,000001_lcam_front_lidar.ply,0.10002,799,0.05015,0.00061,0.15001,500,0.01434,0.00045,0.25,200,0.00075,0.00048,strict
Office,000002_lcam_front_lidar.ply,0.10002,799,0.05066,0.00055,0.15001,500,0.01419,0.00047,0.25,200,0.26907,0.14812,loose
Office,000003_lcam_front_lidar.ply,0.10002,799,0.05029,0.00058,0.15001,500,0.01452,0.00042,0.25,200,0.00067,0.00043,strict
Office,000004_lcam_front_lidar.ply,0.10002,799,0.05015,0.00051,0.15001,500,0.01471,0.00041,0.25,200,0.0014,0.00069,strict
Office,000005_lcam_front_lidar.ply,0.10002,799,0.05022,0.00051,0.15001,500,0.01486,0.00043,0.25,200,0.00157,0.00388,strict
Office,000006_lcam_front_lidar.ply,0.10002,799,0.05001,0.00051,0.15001,500,0.01494,0.00034,0.25,200,0.00121,0.00236,strict
Office,000007_lcam_front_lidar.ply,0.10002,799,0.04989,0.00071,0.15001,500,0.01508,0.00035,0.25,200,0.00061,0.00012,strict
Office,000008_lcam_front_lidar.ply,0.10002,799,0.05022,0.0004,0.15001,500,0.2026,0.03723,0.25,200,0.01987,0.103,standard
Office,000009_lcam_front_lidar.ply,0.10002,799,0.05032,0.00046,0.15001,500,0.01538,0.00038,0.25,200,0.00044,0.0002,strict
Office,000010_lcam_front_lidar.ply,0.10002,799,0.05128,0.01378,0.15001,500,0.01556,0.00055,0.25,200,0.019,0.09772,strict
Office,000011_lcam_front_lidar.ply,0.10002,799,0.05034,0.00058,0.15001,500,0.01754,0.00053,0.25,200,0.2164,0.09527,loose
Office,000012_lcam_front_lidar.ply,0.10002,799,0.05056,0.00062,0.15001,500,0.10677,0.0347,0.25,200,0.00136,0.00197,standard
Office,000013_lcam_front_lidar.ply,0.10002,799,0.05083,0.0006,0.15001,500,0.01599,0.00061,0.25,200,0.00112,0.00132,strict
Office,000014_lcam_front_lidar.ply,0.10002,799,0.05081,0.00073,0.15001,500,0.10672,0.03098,0.25,200,0.21268,0.07666,loose
Office,000015_lcam_front_lidar.ply,0.10002,799,0.04593,0.00046,0.15001,500,0.06585,0.01956,0.25,200,0.01876,0.08613,standard
Office,000016_lcam_front_lidar.ply,0.10002,799,0.04693,0.00058,0.15001,500,0.10677,0.0288,0.25,200,0.21608,0.09162,loose
Office,000017_lcam_front_lidar.ply,0.10002,799,0.01653,0.0006,0.15001,500,0.04648,0.00049,0.25,200,0.00493,0.00503,standard
Office,000018_lcam_front_lidar.ply,0.10002,799,0.04573,0.00056,0.15001,500,0.04641,0.00055,0.25,200,0.01841,0.06239,standard
Office,000019_lcam_front_lidar.ply,0.10002,799,0.01662,0.00053,0.15001,500,0.04674,0.00065,0.25,200,0.21207,0.07368,loose
Office,000020_lcam_front_lidar.ply,0.10002,799,0.04651,0.00063,0.15001,500,0.0467,0.00063,0.25,200,0.00602,0.04994,standard
Office,000021_lcam_front_lidar.ply,0.10002,799,0.04535,0.00061,0.15001,500,0.04579,0.0006,0.25,200,0.20976,0.07074,loose
Office,000022_lcam_front_lidar.ply,0.10002,799,0.04525,0.00061,0.15001,500,0.04535,0.0006,0.25,200,0.20952,0.07238,loose
Office,000023_lcam_front_lidar.ply,0.10002,799,0.04506,0.00054,0.15001,500,0.04589,0.00054,0.25,200,0.21168,0.07706,loose
Office,000024_lcam_front_lidar.ply,0.10002,799,0.04504,0.00061,0.15001,500,0.10744,0.04104,0.25,200,0.00088,0.00117,standard
Office,000025_lcam_front_lidar.ply,0.10002,799,0.04493,0.00053,0.15001,500,0.10725,0.0414,0.25,200,0.00069,0.00072,standard
Office,000026_lcam_front_lidar.ply,0.10002,799,0.04513,0.00048,0.15001,500,0.04517,0.00048,0.25,200,0.21519,0.10108,loose
Office,000027_lcam_front_lidar.ply,0.10002,799,0.04588,0.00047,0.15001,500,0.04605,0.00047,0.25,200,0.21497,0.09335,loose
Office,000028_lcam_front_lidar.ply,0.10002,799,0.04594,0.0005,0.15001,500,0.10663,0.04325,0.25,200,0.00149,0.00483,standard
Office,000029_lcam_front_lidar.ply,0.10002,799,0.0462,0.00043,0.15001,500,0.10645,0.0421,0.25,200,0.00126,0.00177,standard
Office,000030_lcam_front_lidar.ply,0.10002,799,0.04461,0.00049,0.15001,500,0.01402,0.00092,0.25,200,0.21879,0.11191,loose
Office,000031_lcam_front_lidar.ply,0.10002,799,0.04457,0.00049,0.15001,500,0.10516,0.03487,0.25,200,0.00068,0.00104,standard
Office,000032_lcam_front_lidar.ply,0.10002,799,0.04465,0.00043,0.15001,500,0.10421,0.03036,0.25,200,0.0022,0.00841,standard
Office,000033_lcam_front_lidar.ply,0.10002,799,0.04446,0.00046,0.15001,500,0.10404,0.02814,0.25,200,0.21204,0.09326,loose
Office,000034_lcam_front_lidar.ply,0.10002,799,0.04456,0.00049,0.15001,500,0.00744,0.00051,0.25,200,0.00125,0.00116,strict
Office,000035_lcam_front_lidar.ply,0.10002,799,0.04446,0.00052,0.15001,500,0.01763,0.00041,0.25,200,0.21411,0.10913,loose
