frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.4,800,0.9,0.07257,0.41276,1,0.30167,0.99936,0.2513
000001_lcam_front_lidar.ply,0.4,800,0.9,0.07719,0.39475,1,0.27115,0.99949,0.23135
000002_lcam_front_lidar.ply,0.4,800,0.9,0.07681,0.42922,1,0.27112,0.99987,0.16037
000003_lcam_front_lidar.ply,0.4,800,0.9,0.08652,0.38941,1,0.25739,0.99979,0.20673
000004_lcam_front_lidar.ply,0.4,800,0.9,0.07987,0.38811,1,0.26268,0.99974,0.22344
000005_lcam_front_lidar.ply,0.4,800,0.9,0.08378,0.37708,1,0.27065,0.99974,0.26145
000006_lcam_front_lidar.ply,0.4,800,0.9,0.06966,0.39123,1,0.28656,0.99967,0.26687
000007_lcam_front_lidar.ply,0.4,800,0.9,0.07941,0.16647,1,0.02358,0.99797,0.19043
000008_lcam_front_lidar.ply,0.4,800,0.9,0.0816,0.37082,1,0.26367,0.99972,0.25717
000009_lcam_front_lidar.ply,0.4,800,0.9,0.07735,0.41744,1,0.26565,0.99988,0.172
000010_lcam_front_lidar.ply,0.4,800,0.9,0.07226,0.38132,1,0.28492,0.99964,0.28273
000011_lcam_front_lidar.ply,0.4,800,0.9,0.08965,0.37256,1,0.27093,0.99975,0.26807
000012_lcam_front_lidar.ply,0.4,800,0.9,0.09114,0.36122,1,0.19692,0.99962,0.14508
000013_lcam_front_lidar.ply,0.4,800,0.9,0.06578,0.3817,1,0.28341,0.99963,0.28041
000014_lcam_front_lidar.ply,0.4,800,0.9,0.07083,0.40353,1,0.27892,0.9997,0.22644
000015_lcam_front_lidar.ply,0.4,800,0.9,0.0768,0.37916,1,0.27759,0.9997,0.27337
000016_lcam_front_lidar.ply,0.4,800,0.9,0.06353,0.40156,1,0.30518,0.99966,0.2799
000017_lcam_front_lidar.ply,0.4,800,0.9,0.06695,0.40178,1,0.28782,0.99949,0.24918
000018_lcam_front_lidar.ply,0.4,800,0.9,0.06844,0.38271,1,0.27882,0.9997,0.27074
000019_lcam_front_lidar.ply,0.4,800,0.9,0.08436,0.38124,1,0.2283,0.99987,0.17223
000020_lcam_front_lidar.ply,0.4,800,0.9,0.07932,0.41193,1,0.27277,0.99983,0.1947
000021_lcam_front_lidar.ply,0.4,800,0.9,0.07725,0.38322,1,0.27009,0.99968,0.24953
000022_lcam_front_lidar.ply,0.4,800,0.9,0.07618,0.42561,1,0.30227,0.99976,0.2274
000023_lcam_front_lidar.ply,0.4,800,0.9,0.07386,0.40434,1,0.27358,0.99976,0.21372
000024_lcam_front_lidar.ply,0.4,800,0.9,0.0765,0.38582,1,0.29534,0.99955,0.28972
000025_lcam_front_lidar.ply,0.4,800,0.9,0.06635,0.4179,1,0.30298,0.9995,0.24719
000026_lcam_front_lidar.ply,0.4,800,0.9,0.06532,0.39304,1,0.29114,0.99952,0.27312
000027_lcam_front_lidar.ply,0.4,800,0.9,0.08312,0.38849,1,0.28811,0.99948,0.27353
000028_lcam_front_lidar.ply,0.4,800,0.9,0.06913,0.41439,1,0.26671,0.99983,0.18138
000029_lcam_front_lidar.ply,0.4,800,0.9,0.07285,0.3721,1,0.27672,0.99952,0.28025
000030_lcam_front_lidar.ply,0.4,800,0.9,0.07111,0.39711,1,0.27107,0.99955,0.22231
000031_lcam_front_lidar.ply,0.4,800,0.9,0.07886,0.4121,1,0.30006,0.99946,0.24413
000032_lcam_front_lidar.ply,0.4,800,0.9,0.08918,0.3961,1,0.2341,0.99981,0.15077
000033_lcam_front_lidar.ply,0.4,800,0.9,0.0901,0.39467,1,0.1942,0.99997,0.07053
