frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15001,500,0.85,1.29318,2.18204,1,0.0182,1.0,0.00147
000001_lcam_front_lidar.ply,0.15001,500,0.85,1.44022,2.1434,1,0.01434,1.0,0.00045
000002_lcam_front_lidar.ply,0.15001,500,0.85,1.1885,2.14191,1,0.01419,1.0,0.00047
000003_lcam_front_lidar.ply,0.15001,500,0.85,0.85048,2.14518,1,0.01452,1.0,0.00042
000004_lcam_front_lidar.ply,0.15001,500,0.85,1.08816,2.14708,1,0.01471,1.0,0.00041
000005_lcam_front_lidar.ply,0.15001,500,0.85,0.91864,2.14861,1,0.01486,1.0,0.00043
000006_lcam_front_lidar.ply,0.15001,500,0.85,0.98583,2.14937,1,0.01494,1.0,0.00034
000007_lcam_front_lidar.ply,0.15001,500,0.85,1.0138,2.15083,1,0.01508,1.0,0.00035
000008_lcam_front_lidar.ply,0.15001,500,0.85,0.92811,4.02597,1,0.2026,0.99999,0.03723
000009_lcam_front_lidar.ply,0.15001,500,0.85,0.95998,2.15375,1,0.01538,1.0,0.00038
000010_lcam_front_lidar.ply,0.15001,500,0.85,0.84315,2.15557,1,0.01556,1.0,0.00055
000011_lcam_front_lidar.ply,0.15001,500,0.85,0.85788,2.17543,1,0.01754,1.0,0.00053
000012_lcam_front_lidar.ply,0.15001,500,0.85,0.96926,3.06767,1,0.10677,0.99997,0.0347
000013_lcam_front_lidar.ply,0.15001,500,0.85,0.95934,2.15989,1,0.01599,1.0,0.00061
000014_lcam_front_lidar.ply,0.15001,500,0.85,0.95195,3.06713,1,0.10672,0.99997,0.03098
000015_lcam_front_lidar.ply,0.15001,500,0.85,0.77361,2.65846,1,0.06585,0.99999,0.01956
000016_lcam_front_lidar.ply,0.15001,500,0.85,0.74277,3.06769,1,0.10677,0.99997,0.0288
000017_lcam_front_lidar.ply,0.15001,500,0.85,0.8042,2.46481,1,0.04648,1.0,0.00049
