frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.10002,799,0.9,0.97828,2.50549,1,0.05055,1.0,0.0006
000001_lcam_front_lidar.ply,0.10002,799,0.9,1.33596,2.50148,1,0.05015,1.0,0.00061
000002_lcam_front_lidar.ply,0.10002,799,0.9,1.04265,2.5066,1,0.05066,1.0,0.00055
000003_lcam_front_lidar.ply,0.10002,799,0.9,0.94622,2.5029,1,0.05029,1.0,0.00058
000004_lcam_front_lidar.ply,0.10002,799,0.9,0.79156,2.50153,1,0.05015,1.0,0.00051
000005_lcam_front_lidar.ply,0.10002,799,0.9,1.25515,2.50217,1,0.05022,1.0,0.00051
000006_lcam_front_lidar.ply,0.10002,799,0.9,1.14344,2.50006,1,0.05001,1.0,0.00051
000007_lcam_front_lidar.ply,0.10002,799,0.9,1.11916,2.49885,1,0.04989,1.0,0.00071
000008_lcam_front_lidar.ply,0.10002,799,0.9,0.8619,2.50221,1,0.05022,1.0,0.0004
000009_lcam_front_lidar.ply,0.10002,799,0.9,1.17358,2.50315,1,0.05032,1.0,0.00046
000010_lcam_front_lidar.ply,0.10002,799,0.9,1.0762,2.51283,1,0.05128,1.0,0.01378
000011_lcam_front_lidar.ply,0.10002,799,0.9,0.92665,2.50344,1,0.05034,1.0,0.00058
000012_lcam_front_lidar.ply,0.10002,799,0.9,0.87703,2.50563,1,0.05056,1.0,0.00062
000013_lcam_front_lidar.ply,0.10002,799,0.9,0.86197,2.50829,1,0.05083,1.0,0.0006
000014_lcam_front_lidar.ply,0.10002,799,0.9,0.99967,2.50813,1,0.05081,1.0,0.00073
000015_lcam_front_lidar.ply,0.10002,799,0.9,0.61071,2.45929,1,0.04593,1.0,0.00046
000016_lcam_front_lidar.ply,0.10002,799,0.9,0.62962,2.46927,1,0.04693,1.0,0.00058
000017_lcam_front_lidar.ply,0.10002,799,0.9,0.71209,2.16525,1,0.01653,1.0,0.0006
000018_lcam_front_lidar.ply,0.10002,799,0.9,0.89485,2.45733,1,0.04573,1.0,0.00056
