frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,200,0.8,0.2321,2.03133,1,0.02132,0.90906,0.10675
000001_lcam_front_lidar.ply,0.25,200,0.8,0.26941,2.06397,1,0.01723,0.94582,0.16011
000002_lcam_front_lidar.ply,0.25,200,0.8,0.28174,2.00057,1,0.005,0.97531,0.02172
000003_lcam_front_lidar.ply,0.25,200,0.8,0.22539,2.64128,1,0.08041,0.91861,0.28277
000004_lcam_front_lidar.ply,0.25,200,0.8,0.23722,1.98184,1,0.00957,0.94308,0.12471
000005_lcam_front_lidar.ply,0.25,200,0.8,0.20471,1.80148,1,0.00786,0.86146,0.21299
000006_lcam_front_lidar.ply,0.25,200,0.8,0.22186,1.9405,1,0.00667,0.9369,0.11691
000007_lcam_front_lidar.ply,0.25,200,0.8,0.2062,1.83422,1,0.00742,0.88002,0.11289
000008_lcam_front_lidar.ply,0.25,200,0.8,0.21798,6.26181,1,0.44049,0.92844,0.19948
000009_lcam_front_lidar.ply,0.25,200,0.8,0.22251,1.78139,1,0.00927,0.84436,0.16134
000010_lcam_front_lidar.ply,0.25,200,0.8,0.21992,1.9403,1,0.00097,0.96529,0.00167
000011_lcam_front_lidar.ply,0.25,200,0.8,0.20673,1.94237,1,0.01052,0.91861,0.16219
000012_lcam_front_lidar.ply,0.25,200,0.8,0.20562,2.1374,1,0.02964,0.92049,0.09978
000013_lcam_front_lidar.ply,0.25,200,0.8,0.21621,1.70059,1,0.0079,0.81081,0.19858
000014_lcam_front_lidar.ply,0.25,200,0.8,0.20616,1.81522,1,0.00987,0.85826,0.23421
000015_lcam_front_lidar.ply,0.25,200,0.8,0.20634,1.88649,1,0.00508,0.91783,0.09657
000016_lcam_front_lidar.ply,0.25,200,0.8,0.17444,3.0777,1,0.12386,0.91954,0.14147
000017_lcam_front_lidar.ply,0.25,200,0.8,0.20613,1.99978,1,0.00142,0.99277,0.00181
000018_lcam_front_lidar.ply,0.25,200,0.8,0.19298,1.75194,1,0.00185,0.86672,0.39983
000019_lcam_front_lidar.ply,0.25,200,0.8,0.20265,2.88117,1,0.10509,0.91511,0.14008
000020_lcam_front_lidar.ply,0.25,200,0.8,0.20597,2.79234,1,0.09647,0.9138,0.144
000021_lcam_front_lidar.ply,0.25,200,0.8,0.20688,1.78061,1,0.00151,0.88278,0.34882
000022_lcam_front_lidar.ply,0.25,200,0.8,0.20413,1.89038,1,0.00321,0.92913,0.21123
000023_lcam_front_lidar.ply,0.25,200,0.8,0.19804,2.64931,1,0.08271,0.91109,0.14582
000024_lcam_front_lidar.ply,0.25,200,0.8,0.19037,2.76075,1,0.09423,0.90924,0.14163
000025_lcam_front_lidar.ply,0.25,200,0.8,0.20181,1.8485,1,0.00241,0.91222,0.32647
000026_lcam_front_lidar.ply,0.25,200,0.8,0.19696,2.66092,1,0.08449,0.90803,0.1404
000027_lcam_front_lidar.ply,0.25,200,0.8,0.17626,2.64378,1,0.08268,0.90848,0.14314
000028_lcam_front_lidar.ply,0.25,200,0.8,0.2026,2.678,1,0.08633,0.90736,0.14783
000029_lcam_front_lidar.ply,0.25,200,0.8,0.21218,2.60334,1,0.07906,0.90637,0.14986
000030_lcam_front_lidar.ply,0.25,200,0.8,0.18759,2.00467,1,0.00742,0.96523,0.18946
