dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
OldScandinavia,000000_lcam_front_lidar.ply,0.10002,799,0.26117,0.11732,0.15001,500,0.02202,0.07545,0.25,200,0.02132,0.10675,strict
OldScandinavia,000001_lcam_front_lidar.ply,0.10002,799,0.03356,0.10189,0.15001,500,0.04746,0.12415,0.25,200,0.01723,0.16011,standard
OldScandinavia,000002_lcam_front_lidar.ply,0.10002,799,0.032,0.08567,0.15001,500,0.0279,0.0724,0.25,200,0.005,0.02172,strict
OldScandinavia,000003_lcam_front_lidar.ply,0.10002,799,0.24885,0.11583,0.15001,500,0.06253,0.11448,0.25,200,0.08041,0.28277,strict
OldScandinavia,000004_lcam_front_lidar.ply,0.10002,799,0.02946,0.06322,0.15001,500,0.08908,0.11276,0.25,200,0.00957,0.12471,standard
OldScandinavia,000005_lcam_front_lidar.ply,0.10002,799,0.06089,0.10195,0.15001,500,0.36294,0.15337,0.25,200,0.00786,0.21299,standard
OldScandinavia,000006_lcam_front_lidar.ply,0.10002,799,0.07463,0.09922,0.15001,500,0.33208,0.13298,0.25,200,0.00667,0.11691,standard
OldScandinavia,000007_lcam_front_lidar.ply,0.10002,799,0.06811,0.10373,0.15001,500,0.33609,0.13729,0.25,200,0.00742,0.11289,standard
OldScandinavia,000008_lcam_front_lidar.ply,0.10002,799,0.00182,0.00133,0.15001,500,0.00352,0.18213,0.25,200,0.44049,0.19948,loose
OldScandinavia,000009_lcam_front_lidar.ply,0.10002,799,0.06822,0.09985,0.15001,500,0.05436,0.12017,0.25,200,0.00927,0.16134,strict
OldScandinavia,000010_lcam_front_lidar.ply,0.10002,799,0.07529,0.09546,0.15001,500,0.09669,0.12064,0.25,200,0.00097,0.00167,standard
OldScandinavia,000011_lcam_front_lidar.ply,0.10002,799,0.0782,0.09078,0.15001,500,0.17379,0.1354,0.25,200,0.01052,0.16219,standard
OldScandinavia,000012_lcam_front_lidar.ply,0.10002,799,0.08286,0.09153,0.15001,500,0.27724,0.13877,0.25,200,0.02964,0.09978,standard
OldScandinavia,000013_lcam_front_lidar.ply,0.10002,799,0.10227,0.10044,0.15001,500,0.17242,0.12392,0.25,200,0.0079,0.19858,standard
OldScandinavia,000014_lcam_front_lidar.ply,0.10002,799,0.08356,0.10319,0.15001,500,0.04382,0.10797,0.25,200,0.00987,0.23421,strict
OldScandinavia,000015_lcam_front_lidar.ply,0.10002,799,0.11358,0.09865,0.15001,500,0.09362,0.15078,0.25,200,0.00508,0.09657,strict
OldScandinavia,000016_lcam_front_lidar.ply,0.10002,799,0.12532,0.09762,0.15001,500,0.08992,0.12112,0.25,200,0.12386,0.14147,strict
OldScandinavia,000017_lcam_front_lidar.ply,0.10002,799,0.05346,0.08234,0.15001,500,0.08571,0.11752,0.25,200,0.00142,0.00181,standard
OldScandinavia,000018_lcam_front_lidar.ply,0.10002,799,0.07164,0.08892,0.15001,500,0.13163,0.12975,0.25,200,0.00185,0.39983,standard
OldScandinavia,000019_lcam_front_lidar.ply,0.10002,799,0.03874,0.10959,0.15001,500,0.02887,0.11517,0.25,200,0.10509,0.14008,loose
OldScandinavia,000020_lcam_front_lidar.ply,0.10002,799,0.00339,0.04426,0.15001,500,0.35176,0.15075,0.25,200,0.09647,0.144,standard
OldScandinavia,000021_lcam_front_lidar.ply,0.10002,799,0.06635,0.10565,0.15001,500,0.11,0.12736,0.25,200,0.00151,0.34882,standard
OldScandinavia,000022_lcam_front_lidar.ply,0.10002,799,0.20364,0.10352,0.15001,500,0.00317,0.00265,0.25,200,0.00321,0.21123,strict
OldScandinavia,000023_lcam_front_lidar.ply,0.10002,799,0.05957,0.08904,0.15001,500,0.08797,0.12992,0.25,200,0.08271,0.14582,standard
OldScandinavia,000024_lcam_front_lidar.ply,0.10002,799,0.22003,0.10816,0.15001,500,0.10204,0.12491,0.25,200,0.09423,0.14163,strict
OldScandinavia,000025_lcam_front_lidar.ply,0.10002,799,0.22917,0.10378,0.15001,500,0.10237,0.12885,0.25,200,0.00241,0.32647,strict
OldScandinavia,000026_lcam_front_lidar.ply,0.10002,799,0.23449,0.10314,0.15001,500,0.09951,0.13089,0.25,200,0.08449,0.1404,strict
OldScandinavia,000027_lcam_front_lidar.ply,0.10002,799,0.23089,0.10634,0.15001,500,0.00094,0.00157,0.25,200,0.08268,0.14314,strict
OldScandinavia,000028_lcam_front_lidar.ply,0.10002,799,0.22817,0.10126,0.15001,500,0.39253,0.13068,0.25,200,0.08633,0.14783,standard
OldScandinavia,000029_lcam_front_lidar.ply,0.10002,799,0.10378,0.11322,0.15001,500,0.08764,0.13463,0.25,200,0.07906,0.14986,strict
OldScandinavia,000030_lcam_front_lidar.ply,0.10002,799,0.24332,0.10279,0.15001,500,0.02169,0.1008,0.25,200,0.00742,0.18946,strict
OldScandinavia,000031_lcam_front_lidar.ply,0.10002,799,0.24936,0.09999,0.15001,500,0.08227,0.138,0.25,200,0.07281,0.15655,strict
OldScandinavia,000032_lcam_front_lidar.ply,0.10002,799,0.27128,0.10163,0.15001,500,0.05769,0.14662,0.25,200,0.07666,0.15211,strict
OldScandinavia,000033_lcam_front_lidar.ply,0.10002,799,0.00448,0.008,0.15001,500,0.09671,0.14046,0.25,200,0.06396,0.1614,standard
OldScandinavia,000034_lcam_front_lidar.ply,0.10002,799,0.0342,0.07281,0.15001,500,0.00689,0.07541,0.25,200,0.00387,0.16462,strict
