frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15,800,0.9,0.13506,0.31542,1,0.16359,0.92227,0.15557
000001_lcam_front_lidar.ply,0.15,800,0.9,0.15407,0.20936,1,0.00546,0.86899,0.04914
000002_lcam_front_lidar.ply,0.15,800,0.9,0.13017,0.23517,1,0.06831,0.90827,0.12602
000003_lcam_front_lidar.ply,0.15,800,0.9,0.12224,0.33886,1,0.17357,0.91959,0.13123
000004_lcam_front_lidar.ply,0.15,800,0.9,0.12603,0.24345,1,0.06992,0.91035,0.11257
000005_lcam_front_lidar.ply,0.1,800,0.9,0.12605,0.32288,1,0.14224,0.91784,0.09909
000006_lcam_front_lidar.ply,0.1,800,0.9,0.12715,0.32606,1,0.14653,0.91759,0.1023
000007_lcam_front_lidar.ply,0.1,800,0.9,0.14645,0.33252,1,0.15385,0.91621,0.10094
000008_lcam_front_lidar.ply,0.1,800,0.9,0.1529,0.32139,1,0.14242,0.91957,0.09592
000009_lcam_front_lidar.ply,0.1,800,0.9,0.15253,0.32744,1,0.14738,0.91482,0.09849
000010_lcam_front_lidar.ply,0.1,800,0.9,0.17956,0.24504,1,0.06968,0.91246,0.10011
000011_lcam_front_lidar.ply,0.1,800,0.9,0.21948,0.31469,1,0.14272,0.91801,0.09689
000012_lcam_front_lidar.ply,0.1,800,0.9,0.20207,0.25559,1,0.08654,0.90693,0.10309
000013_lcam_front_lidar.ply,0.1,800,0.9,0.15072,0.26133,1,0.08126,0.90872,0.09602
000014_lcam_front_lidar.ply,0.1,800,0.9,0.16106,0.30959,1,0.1369,0.91005,0.10508
000015_lcam_front_lidar.ply,0.1,800,0.9,0.16034,0.27748,1,0.09726,0.90722,0.09307
000016_lcam_front_lidar.ply,0.1,800,0.9,0.16697,0.27913,1,0.10281,0.90747,0.09625
000017_lcam_front_lidar.ply,0.1,800,0.9,0.19552,0.26251,1,0.08595,0.92042,0.09672
000018_lcam_front_lidar.ply,0.1,800,0.9,0.15333,0.31754,1,0.14199,0.91124,0.10284
