frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.12059,0.25742,1,0.06743,0.90734,0.16261
000001_lcam_front_lidar.ply,0.2,800,0.9,0.12912,0.27076,1,0.0839,0.91063,0.16583
000002_lcam_front_lidar.ply,0.2,800,0.9,0.12853,0.38244,1,0.1939,0.9201,0.16619
000003_lcam_front_lidar.ply,0.2,800,0.9,0.11692,0.39489,1,0.2365,0.93453,0.22819
000004_lcam_front_lidar.ply,0.2,800,0.9,0.11026,0.37931,1,0.18115,0.91829,0.14734
000005_lcam_front_lidar.ply,0.2,800,0.9,0.09436,0.37908,1,0.18839,0.91645,0.16633
000006_lcam_front_lidar.ply,0.2,800,0.9,0.10682,0.37677,1,0.19039,0.92021,0.17158
000007_lcam_front_lidar.ply,0.2,800,0.9,0.08935,0.3825,1,0.18373,0.91774,0.151
000008_lcam_front_lidar.ply,0.2,800,0.9,0.09703,0.27394,1,0.00115,0.98163,0.00059
000009_lcam_front_lidar.ply,0.2,800,0.9,0.09489,0.38498,1,0.17794,0.914,0.13452
000010_lcam_front_lidar.ply,0.2,800,0.9,0.11897,0.38646,1,0.18682,0.91062,0.14643
000011_lcam_front_lidar.ply,0.2,800,0.9,0.098,0.38217,1,0.18041,0.9112,0.14385
000012_lcam_front_lidar.ply,0.2,800,0.9,0.09709,0.31654,1,0.10617,0.91168,0.12655
000013_lcam_front_lidar.ply,0.2,800,0.9,0.09054,0.31583,1,0.10323,0.91186,0.12367
000014_lcam_front_lidar.ply,0.2,800,0.9,0.11668,0.31458,1,0.10693,0.91264,0.12516
000015_lcam_front_lidar.ply,0.2,800,0.9,0.09239,0.31975,1,0.11115,0.91017,0.13044
000016_lcam_front_lidar.ply,0.1,800,0.9,0.10732,0.32657,1,0.10242,0.90806,0.09445
000017_lcam_front_lidar.ply,0.2,800,0.9,0.1038,0.30202,1,0.09569,0.91186,0.1308
000018_lcam_front_lidar.ply,0.2,800,0.9,0.10698,0.29941,1,0.09593,0.91276,0.1337
000019_lcam_front_lidar.ply,0.2,800,0.9,0.0971,0.29754,1,0.0921,0.90872,0.13416
000020_lcam_front_lidar.ply,0.2,800,0.9,0.10097,0.29437,1,0.08678,0.90762,0.13117
