frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15001,500,0.85,0.21224,2.11024,1,0.02202,0.94501,0.07545
000001_lcam_front_lidar.ply,0.15001,500,0.85,0.20082,2.30906,1,0.04746,0.91724,0.12415
000002_lcam_front_lidar.ply,0.15001,500,0.85,0.20671,2.14811,1,0.0279,0.93453,0.0724
000003_lcam_front_lidar.ply,0.15001,500,0.85,0.17313,2.52088,1,0.06253,0.94778,0.11448
000004_lcam_front_lidar.ply,0.15001,500,0.85,0.17689,2.70927,1,0.08908,0.90925,0.11276
000005_lcam_front_lidar.ply,0.15001,500,0.85,0.17037,5.49107,1,0.36294,0.93084,0.15337
000006_lcam_front_lidar.ply,0.15001,500,0.85,0.18821,5.17155,1,0.33208,0.92539,0.13298
000007_lcam_front_lidar.ply,0.15001,500,0.85,0.15056,5.21116,1,0.33609,0.92515,0.13729
000008_lcam_front_lidar.ply,0.15001,500,0.85,0.15667,1.98404,1,0.00352,0.9744,0.18213
000009_lcam_front_lidar.ply,0.15001,500,0.85,0.16046,2.4023,1,0.05436,0.92934,0.12017
000010_lcam_front_lidar.ply,0.15001,500,0.85,0.16312,2.78633,1,0.09669,0.90974,0.12064
000011_lcam_front_lidar.ply,0.15001,500,0.85,0.15755,3.56369,1,0.17379,0.91291,0.1354
000012_lcam_front_lidar.ply,0.15001,500,0.85,0.15346,4.61079,1,0.27724,0.9192,0.13877
000013_lcam_front_lidar.ply,0.15001,500,0.85,0.17936,3.5362,1,0.17242,0.90598,0.12392
000014_lcam_front_lidar.ply,0.15001,500,0.85,0.1621,2.28884,1,0.04382,0.92532,0.10797
000015_lcam_front_lidar.ply,0.15001,500,0.85,0.15973,2.84009,1,0.09362,0.95194,0.15078
000016_lcam_front_lidar.ply,0.15001,500,0.85,0.17459,2.71945,1,0.08992,0.91011,0.12112
000017_lcam_front_lidar.ply,0.15001,500,0.85,0.1747,2.67738,1,0.08571,0.91014,0.11752
000018_lcam_front_lidar.ply,0.15001,500,0.85,0.155,3.16291,1,0.13163,0.92332,0.12975
000019_lcam_front_lidar.ply,0.15001,500,0.85,0.17438,2.10137,1,0.02887,0.90633,0.11517
000020_lcam_front_lidar.ply,0.15001,500,0.85,0.16269,5.34717,1,0.35176,0.91478,0.15075
000021_lcam_front_lidar.ply,0.15001,500,0.85,0.15247,2.93842,1,0.11,0.9192,0.12736
000022_lcam_front_lidar.ply,0.15001,500,0.85,0.14339,2.02466,1,0.00317,0.9965,0.00265
000023_lcam_front_lidar.ply,0.15001,500,0.85,0.15933,2.70978,1,0.08797,0.91502,0.12992
000024_lcam_front_lidar.ply,0.15001,500,0.85,0.1739,2.84322,1,0.10204,0.91139,0.12491
000025_lcam_front_lidar.ply,0.15001,500,0.85,0.15963,2.84725,1,0.10237,0.9118,0.12885
000026_lcam_front_lidar.ply,0.15001,500,0.85,0.14306,2.81237,1,0.09951,0.90863,0.13089
000027_lcam_front_lidar.ply,0.15001,500,0.85,0.15954,1.95661,1,0.00094,0.97359,0.00157
000028_lcam_front_lidar.ply,0.15001,500,0.85,0.17068,5.7642,1,0.39253,0.91947,0.13068
000029_lcam_front_lidar.ply,0.15001,500,0.85,0.15925,2.69381,1,0.08764,0.90872,0.13463
000030_lcam_front_lidar.ply,0.15001,500,0.85,0.16664,2.07651,1,0.02169,0.92982,0.1008
000031_lcam_front_lidar.ply,0.15001,500,0.85,0.13528,2.65517,1,0.08227,0.91621,0.138
000032_lcam_front_lidar.ply,0.15001,500,0.85,0.17389,2.37904,1,0.05769,0.90109,0.14662
000033_lcam_front_lidar.ply,0.15001,500,0.85,0.15794,2.77226,1,0.09671,0.9026,0.14046
000034_lcam_front_lidar.ply,0.15001,500,0.85,0.19117,1.90971,1,0.00689,0.92041,0.07541
000035_lcam_front_lidar.ply,0.15001,500,0.85,0.17382,1.99679,1,0.01405,0.92813,0.07709
000036_lcam_front_lidar.ply,0.15001,500,0.85,0.16259,2.09887,1,0.03513,0.87377,0.10135
000037_lcam_front_lidar.ply,0.15001,500,0.85,0.16927,1.85553,1,0.00817,0.88689,0.07161
000038_lcam_front_lidar.ply,0.15001,500,0.85,0.16801,2.59414,1,0.07916,0.90129,0.15347
000039_lcam_front_lidar.ply,0.15001,500,0.85,0.13072,2.71835,1,0.08479,0.93524,0.16009
000040_lcam_front_lidar.ply,0.15001,500,0.85,0.17538,2.23965,1,0.04313,0.90418,0.13511
000041_lcam_front_lidar.ply,0.15001,500,0.85,0.14273,2.55695,1,0.07481,0.90441,0.16827
000042_lcam_front_lidar.ply,0.15001,500,0.85,0.14896,2.21488,1,0.04485,0.88318,0.11106
000043_lcam_front_lidar.ply,0.15001,500,0.85,0.1742,2.42223,1,0.05835,0.91936,0.16758
000044_lcam_front_lidar.ply,0.15001,500,0.85,0.16775,2.28111,1,0.04951,0.89303,0.12402
000045_lcam_front_lidar.ply,0.15001,500,0.85,0.16193,1.9091,1,0.01226,0.89323,0.05459
000046_lcam_front_lidar.ply,0.15001,500,0.85,0.17705,2.39993,1,0.05959,0.90201,0.1529
000047_lcam_front_lidar.ply,0.15001,500,0.85,0.16277,2.08165,1,0.015,0.96583,0.07169
000048_lcam_front_lidar.ply,0.15001,500,0.85,0.19019,1.98684,1,0.0168,0.90941,0.08635
000049_lcam_front_lidar.ply,0.15001,500,0.85,0.15712,1.99985,1,0.02047,0.89758,0.08539
000050_lcam_front_lidar.ply,0.15001,500,0.85,0.16634,1.9506,1,0.0164,0.89328,0.06045
000051_lcam_front_lidar.ply,0.15001,500,0.85,0.14669,1.98829,1,0.0156,0.91613,0.10279
