frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.10002,799,0.9,0.17187,4.51171,1,0.26117,0.95001,0.11732
000001_lcam_front_lidar.ply,0.10002,799,0.9,0.18019,2.16236,1,0.03356,0.91336,0.10189
000002_lcam_front_lidar.ply,0.10002,799,0.9,0.20396,2.20321,1,0.032,0.94161,0.08567
000003_lcam_front_lidar.ply,0.10002,799,0.9,0.18914,4.38612,1,0.24885,0.9488,0.11583
000004_lcam_front_lidar.ply,0.10002,799,0.9,0.18979,2.1676,1,0.02946,0.93649,0.06322
000005_lcam_front_lidar.ply,0.10002,799,0.9,0.16253,2.43833,1,0.06089,0.91473,0.10195
000006_lcam_front_lidar.ply,0.10002,799,0.9,0.17492,2.60747,1,0.07463,0.93057,0.09922
000007_lcam_front_lidar.ply,0.10002,799,0.9,0.1905,2.51607,1,0.06811,0.9175,0.10373
000008_lcam_front_lidar.ply,0.10002,799,0.9,0.23296,2.00252,1,0.00182,0.99217,0.00133
000009_lcam_front_lidar.ply,0.10002,799,0.9,0.17488,2.52019,1,0.06822,0.919,0.09985
000010_lcam_front_lidar.ply,0.10002,799,0.9,0.19316,2.58594,1,0.07529,0.91652,0.09546
000011_lcam_front_lidar.ply,0.10002,799,0.9,0.17338,2.60898,1,0.0782,0.91347,0.09078
000012_lcam_front_lidar.ply,0.10002,799,0.9,0.15709,2.68458,1,0.08286,0.92801,0.09153
000013_lcam_front_lidar.ply,0.10002,799,0.9,0.1569,2.85412,1,0.10227,0.91571,0.10044
000014_lcam_front_lidar.ply,0.10002,799,0.9,0.16796,2.65537,1,0.08356,0.90988,0.10319
000015_lcam_front_lidar.ply,0.10002,799,0.9,0.18285,2.97354,1,0.11358,0.91886,0.09865
000016_lcam_front_lidar.ply,0.10002,799,0.9,0.17646,3.09178,1,0.12532,0.91928,0.09762
000017_lcam_front_lidar.ply,0.10002,799,0.9,0.16983,2.38343,1,0.05346,0.92439,0.08234
000018_lcam_front_lidar.ply,0.10002,799,0.9,0.19099,2.55277,1,0.07164,0.91819,0.08892
000019_lcam_front_lidar.ply,0.10002,799,0.9,0.17436,2.22549,1,0.03874,0.91906,0.10959
000020_lcam_front_lidar.ply,0.10002,799,0.9,0.19027,1.83149,1,0.00339,0.89881,0.04426
000021_lcam_front_lidar.ply,0.10002,799,0.9,0.21973,2.50561,1,0.06635,0.92104,0.10565
000022_lcam_front_lidar.ply,0.10002,799,0.9,0.1612,3.88374,1,0.20364,0.92367,0.10352
000023_lcam_front_lidar.ply,0.10002,799,0.9,0.1739,2.44095,1,0.05957,0.92262,0.08904
000024_lcam_front_lidar.ply,0.10002,799,0.9,0.14527,4.0621,1,0.22003,0.9309,0.10816
000025_lcam_front_lidar.ply,0.10002,799,0.9,0.1571,4.14947,1,0.22917,0.92887,0.10378
000026_lcam_front_lidar.ply,0.10002,799,0.9,0.17187,4.20815,1,0.23449,0.93163,0.10314
000027_lcam_front_lidar.ply,0.10002,799,0.9,0.1549,4.1619,1,0.23089,0.92649,0.10634
000028_lcam_front_lidar.ply,0.10002,799,0.9,0.16275,4.13782,1,0.22817,0.92806,0.10126
000029_lcam_front_lidar.ply,0.10002,799,0.9,0.15492,2.96254,1,0.10378,0.96239,0.11322
000030_lcam_front_lidar.ply,0.10002,799,0.9,0.15848,4.2961,1,0.24332,0.93144,0.10279
000031_lcam_front_lidar.ply,0.10002,799,0.9,0.14988,4.35642,1,0.24936,0.93141,0.09999
000032_lcam_front_lidar.ply,0.10002,799,0.9,0.1576,4.59417,1,0.27128,0.9407,0.10163
000033_lcam_front_lidar.ply,0.10002,799,0.9,0.13458,1.96102,1,0.00448,0.95809,0.008
000034_lcam_front_lidar.ply,0.10002,799,0.9,0.162,2.18412,1,0.0342,0.92105,0.07281
000035_lcam_front_lidar.ply,0.10002,799,0.9,0.17102,2.3602,1,0.05149,0.92263,0.08372
000036_lcam_front_lidar.ply,0.10002,799,0.9,0.17632,2.20254,1,0.0346,0.92828,0.07948
000037_lcam_front_lidar.ply,0.10002,799,0.9,0.17057,2.39806,1,0.0549,0.92453,0.08814
000038_lcam_front_lidar.ply,0.10002,799,0.9,0.13822,2.24032,1,0.03901,0.92513,0.07147
000039_lcam_front_lidar.ply,0.10002,799,0.9,0.15725,4.56933,1,0.26609,0.95421,0.10204
000040_lcam_front_lidar.ply,0.10002,799,0.9,0.15282,2.48806,1,0.06311,0.92849,0.10519
000041_lcam_front_lidar.ply,0.10002,799,0.9,0.18279,2.28833,1,0.04125,0.93792,0.0778
000042_lcam_front_lidar.ply,0.10002,799,0.9,0.17462,2.32257,1,0.03999,0.96135,0.09202
000043_lcam_front_lidar.ply,0.10002,799,0.9,0.19865,2.20224,1,0.03116,0.9453,0.0675
000044_lcam_front_lidar.ply,0.10002,799,0.9,0.21554,2.76564,1,0.08607,0.95245,0.10125
000045_lcam_front_lidar.ply,0.10002,799,0.9,0.19276,2.91474,1,0.10147,0.95004,0.1021
000046_lcam_front_lidar.ply,0.10002,799,0.9,0.16695,2.95623,1,0.10619,0.94716,0.11185
000047_lcam_front_lidar.ply,0.10002,799,0.9,0.18302,2.24355,1,0.03487,0.94744,0.0638
000048_lcam_front_lidar.ply,0.10002,799,0.9,0.13711,2.84483,1,0.09342,0.95529,0.10183
000049_lcam_front_lidar.ply,0.10002,799,0.9,0.1409,2.99435,1,0.1091,0.95165,0.10671
000050_lcam_front_lidar.ply,0.10002,799,0.9,0.15403,2.52254,1,0.06135,0.95453,0.09717
000051_lcam_front_lidar.ply,0.10002,799,0.9,0.18139,2.56862,1,0.06587,0.95496,0.09313
000052_lcam_front_lidar.ply,0.10002,799,0.9,0.14741,2.72865,1,0.07747,0.97697,0.08634
000053_lcam_front_lidar.ply,0.10002,799,0.9,0.16333,2.61021,1,0.06977,0.95628,0.09703
000054_lcam_front_lidar.ply,0.10002,799,0.9,0.17543,2.66258,1,0.07506,0.95601,0.09431
000055_lcam_front_lidar.ply,0.10002,799,0.9,0.1626,2.6097,1,0.0699,0.95535,0.09316
000056_lcam_front_lidar.ply,0.10002,799,0.9,0.13602,3.04392,1,0.1131,0.95648,0.10561
000057_lcam_front_lidar.ply,0.10002,799,0.9,0.18688,1.98037,1,0.00217,0.97932,0.00211
000058_lcam_front_lidar.ply,0.10002,799,0.9,0.15921,3.4053,1,0.15044,0.95045,0.11079
000059_lcam_front_lidar.ply,0.10002,799,0.9,0.15949,2.33301,1,0.0439,0.94698,0.08755
000060_lcam_front_lidar.ply,0.10002,799,0.9,0.14724,2.54052,1,0.06821,0.92921,0.08352
000061_lcam_front_lidar.ply,0.10002,799,0.9,0.16844,2.19666,1,0.03643,0.91619,0.10453
000062_lcam_front_lidar.ply,0.10002,799,0.9,0.13508,2.54381,1,0.06426,0.95058,0.08366
000063_lcam_front_lidar.ply,0.10002,799,0.9,0.16132,2.73818,1,0.08384,0.9499,0.09566
000064_lcam_front_lidar.ply,0.10002,799,0.9,0.15315,2.6371,1,0.07543,0.9414,0.08799
000065_lcam_front_lidar.ply,0.10002,799,0.9,0.14196,2.69559,1,0.08109,0.94232,0.08152
000066_lcam_front_lidar.ply,0.10002,799,0.9,0.15156,2.64943,1,0.07733,0.93804,0.08182
000067_lcam_front_lidar.ply,0.10002,799,0.9,0.13489,2.86238,1,0.09669,0.94773,0.0856
000068_lcam_front_lidar.ply,0.10002,799,0.9,0.14226,2.67539,1,0.08038,0.93577,0.08269
000069_lcam_front_lidar.ply,0.10002,799,0.9,0.14219,2.63419,1,0.07642,0.93501,0.08076
000070_lcam_front_lidar.ply,0.10002,799,0.9,0.13546,2.52849,1,0.06851,0.9217,0.07433
000071_lcam_front_lidar.ply,0.10002,799,0.9,0.13221,2.46901,1,0.06581,0.90547,0.06721
000072_lcam_front_lidar.ply,0.10002,799,0.9,0.15695,2.239,1,0.0455,0.89202,0.04565
000073_lcam_front_lidar.ply,0.10002,799,0.9,0.16339,2.20418,1,0.03868,0.90871,0.04678
000074_lcam_front_lidar.ply,0.10002,799,0.9,0.15915,2.16487,1,0.01987,0.98308,0.09466
000075_lcam_front_lidar.ply,0.10002,799,0.9,0.17503,2.19272,1,0.02844,0.95415,0.05294
000076_lcam_front_lidar.ply,0.10002,799,0.9,0.15405,5.25841,1,0.32963,0.98106,0.10262
000077_lcam_front_lidar.ply,0.10002,799,0.9,0.17012,4.81537,1,0.28621,0.97666,0.10009
000078_lcam_front_lidar.ply,0.10002,799,0.9,0.18457,2.03043,1,0.0039,0.99571,0.00339
000079_lcam_front_lidar.ply,0.10002,799,0.9,0.16284,5.01205,1,0.30441,0.98398,0.10641
000080_lcam_front_lidar.ply,0.10002,799,0.9,0.15349,2.06221,1,0.00641,0.99904,0.00478
000081_lcam_front_lidar.ply,0.10002,799,0.9,0.15981,2.22102,1,0.02907,0.96518,0.06777
000082_lcam_front_lidar.ply,0.10002,799,0.9,0.17384,2.04351,1,0.00437,0.99988,0.00056
000083_lcam_front_lidar.ply,0.10002,799,0.9,0.14638,2.02601,1,0.00285,0.99877,0.0007
000084_lcam_front_lidar.ply,0.10002,799,0.9,0.17431,2.18598,1,0.02395,0.97326,0.06165
000085_lcam_front_lidar.ply,0.10002,799,0.9,0.15731,2.27576,1,0.03407,0.96752,0.0728
000086_lcam_front_lidar.ply,0.10002,799,0.9,0.15923,2.33742,1,0.04121,0.96267,0.07412
000087_lcam_front_lidar.ply,0.10002,799,0.9,0.14909,2.30724,1,0.03736,0.96683,0.07401
000088_lcam_front_lidar.ply,0.10002,799,0.9,0.18801,2.14434,1,0.02401,0.95213,0.09605
000089_lcam_front_lidar.ply,0.10002,799,0.9,0.164,2.07008,1,0.00703,0.99991,0.00152
000090_lcam_front_lidar.ply,0.10002,799,0.9,0.15702,4.91491,1,0.29447,0.98508,0.10706
000091_lcam_front_lidar.ply,0.10002,799,0.9,0.168,4.80849,1,0.28384,0.98504,0.10623
000092_lcam_front_lidar.ply,0.10002,799,0.9,0.15047,1.98062,1,0.00837,0.94849,0.06064
000093_lcam_front_lidar.ply,0.10002,799,0.9,0.17096,4.84556,1,0.28771,0.98423,0.10684
000094_lcam_front_lidar.ply,0.10002,799,0.9,0.14675,4.90019,1,0.29344,0.98292,0.10559
000095_lcam_front_lidar.ply,0.10002,799,0.9,0.17595,2.26586,1,0.04074,0.92923,0.10616
