dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
OldTownFall,000000_lcam_front_lidar.ply,0.10002,799,0.11878,0.14188,0.15001,500,0.03338,0.20131,0.25,200,0.00712,0.37068,strict
OldTownFall,000001_lcam_front_lidar.ply,0.10002,799,0.05517,0.09076,0.15001,500,0.00273,0.23345,0.25,200,0.00607,0.36172,strict
OldTownFall,000002_lcam_front_lidar.ply,0.10002,799,0.00205,0.00492,0.15001,500,0.00336,0.25005,0.25,200,0.00753,0.33435,loose
OldTownFall,000003_lcam_front_lidar.ply,0.10002,799,0.04256,0.13556,0.15001,500,0.00278,0.19802,0.25,200,0.00539,0.35449,strict
OldTownFall,000004_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.00333,0.10462,0.25,200,0.01365,0.30307,loose
OldTownFall,000005_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01078,0.16847,0.25,200,0.00613,0.343,standard
OldTownFall,000006_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.0176,0.22247,0.25,200,0.00841,0.42448,standard
OldTownFall,000007_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.00452,0.21157,0.25,200,0.00697,0.31394,loose
OldTownFall,000008_lcam_front_lidar.ply,0.10002,799,0.04079,0.07332,0.15001,500,0.00377,0.21357,0.25,200,0.00743,0.39177,strict
OldTownFall,000009_lcam_front_lidar.ply,0.10002,799,0.05097,0.05902,0.15001,500,0.00386,0.22605,0.25,200,0.01004,0.28061,strict
OldTownFall,000010_lcam_front_lidar.ply,0.10002,799,0.0422,0.05943,0.15001,500,0.09608,0.15142,0.25,200,0.01122,0.24635,standard
OldTownFall,000011_lcam_front_lidar.ply,0.10002,799,0.00213,0.00078,0.15001,500,0.00508,0.2075,0.25,200,0.0127,0.33468,loose
OldTownFall,000012_lcam_front_lidar.ply,0.10002,799,0.04768,0.09574,0.15001,500,0.00183,0.00267,0.25,200,0.00625,0.20538,strict
OldTownFall,000013_lcam_front_lidar.ply,0.10002,799,0.00186,0.00301,0.15001,500,0.00139,0.00272,0.25,200,0.01736,0.33711,loose
OldTownFall,000014_lcam_front_lidar.ply,0.10002,799,0.00121,0.00157,0.15001,500,0.00445,0.21154,0.25,200,0.00763,0.32837,loose
OldTownFall,000015_lcam_front_lidar.ply,0.10002,799,0.00529,0.14624,0.15001,500,0.0038,0.19742,0.25,200,0.00665,0.18571,loose
OldTownFall,000016_lcam_front_lidar.ply,0.10002,799,0.08996,0.12456,0.15001,500,0.00359,0.21199,0.25,200,0.0416,0.33947,strict
OldTownFall,000017_lcam_front_lidar.ply,0.10002,799,0.00537,0.13086,0.15001,500,0.0047,0.21718,0.25,200,0.04617,0.34801,loose
OldTownFall,000018_lcam_front_lidar.ply,0.10002,799,0.00199,0.00323,0.15001,500,0.15184,0.19299,0.25,200,0.00829,0.39258,standard
OldTownFall,000019_lcam_front_lidar.ply,0.10002,799,0.10154,0.13551,0.15001,500,0.00259,0.21496,0.25,200,0.0156,0.31744,strict
OldTownFall,000020_lcam_front_lidar.ply,0.10002,799,0.10415,0.14059,0.15001,500,0.00162,0.00444,0.25,200,0.00176,0.00408,strict
OldTownFall,000021_lcam_front_lidar.ply,0.10002,799,0.08397,0.12143,0.15001,500,0.0045,0.11094,0.25,200,0.00857,0.24756,strict
OldTownFall,000022_lcam_front_lidar.ply,0.10002,799,0.10825,0.14224,0.15001,500,0.0043,0.16098,0.25,200,0.01221,0.32378,strict
OldTownFall,000023_lcam_front_lidar.ply,0.10002,799,0.08839,0.12659,0.15001,500,0.00222,0.00515,0.25,200,0.02739,0.27796,strict
OldTownFall,000024_lcam_front_lidar.ply,0.10002,799,0.05014,0.10151,0.15001,500,0.00467,0.2049,0.25,200,0.00959,0.37937,strict
OldTownFall,000025_lcam_front_lidar.ply,0.10002,799,0.10393,0.13636,0.15001,500,0.00243,0.00224,0.25,200,0.00901,0.32324,strict
OldTownFall,000026_lcam_front_lidar.ply,0.10002,799,0.03161,0.10026,0.15001,500,0.17058,0.19591,0.25,200,0.02488,0.30062,standard
OldTownFall,000027_lcam_front_lidar.ply,0.10002,799,0.11287,0.14649,0.15001,500,0.00498,0.19912,0.25,200,0.00205,0.00462,strict
OldTownFall,000028_lcam_front_lidar.ply,0.10002,799,0.00443,0.00974,0.15001,500,0.16883,0.20479,0.25,200,0.0171,0.28955,standard
OldTownFall,000029_lcam_front_lidar.ply,0.10002,799,0.10377,0.13425,0.15001,500,0.00496,0.18782,0.25,200,0.02225,0.28617,strict
OldTownFall,000030_lcam_front_lidar.ply,0.10002,799,0.10571,0.13852,0.15001,500,0.00206,0.00769,0.25,200,0.0228,0.31911,strict
OldTownFall,000031_lcam_front_lidar.ply,0.10002,799,0.00397,0.01045,0.15001,500,0.17834,0.21402,0.25,200,0.00203,0.19277,standard
OldTownFall,000032_lcam_front_lidar.ply,0.10002,799,0.00242,0.00175,0.15001,500,0.00464,0.17503,0.25,200,0.02576,0.36963,loose
OldTownFall,000033_lcam_front_lidar.ply,0.10002,799,0.12488,0.14699,0.15001,500,0.00538,0.2095,0.25,200,0.02433,0.31142,strict
OldTownFall,000034_lcam_front_lidar.ply,0.10002,799,0.12323,0.14283,0.15001,500,0.00589,0.22021,0.25,200,0.00212,0.00796,strict
OldTownFall,000035_lcam_front_lidar.ply,0.10002,799,0.00134,0.0006,0.15001,500,0.16603,0.20673,0.25,200,0.00023,0.00013,standard
OldTownFall,000036_lcam_front_lidar.ply,0.10002,799,0.11248,0.13963,0.15001,500,0.1667,0.20452,0.25,200,0.01094,0.2098,standard
OldTownFall,000037_lcam_front_lidar.ply,0.10002,799,0.11527,0.13765,0.15001,500,0.06478,0.15495,0.25,200,0.02419,0.31794,strict
OldTownFall,000038_lcam_front_lidar.ply,0.10002,799,0.00337,0.11734,0.15001,500,0.16419,0.18864,0.25,200,0.02288,0.30515,standard
OldTownFall,000039_lcam_front_lidar.ply,0.10002,799,0.10662,0.13175,0.15001,500,0.15845,0.18808,0.25,200,0.00192,0.00344,standard
OldTownFall,000040_lcam_front_lidar.ply,0.10002,799,0.05706,0.10288,0.15001,500,0.00593,0.20744,0.25,200,0.02113,0.3107,strict
OldTownFall,000041_lcam_front_lidar.ply,0.10002,799,0.00282,0.12955,0.15001,500,0.00434,0.15761,0.25,200,0.00192,0.00328,standard
OldTownFall,000042_lcam_front_lidar.ply,0.10002,799,0.00407,0.01141,0.15001,500,0.08198,0.1678,0.25,200,0.01861,0.29725,standard
OldTownFall,000043_lcam_front_lidar.ply,0.10002,799,0.05793,0.0935,0.15001,500,0.00056,0.15105,0.25,200,0.00219,0.00871,strict
OldTownFall,000044_lcam_front_lidar.ply,0.10002,799,0.05803,0.08986,0.15001,500,0.06135,0.09481,0.25,200,0.0022,0.00849,standard
OldTownFall,000045_lcam_front_lidar.ply,0.10002,799,0.04045,0.07066,0.15001,500,0.00506,0.13001,0.25,200,0.00824,0.28748,strict
OldTownFall,000046_lcam_front_lidar.ply,0.10002,799,0.05653,0.09087,0.15001,500,0.00632,0.22153,0.25,200,0.0046,0.18503,strict
OldTownFall,000047_lcam_front_lidar.ply,0.10002,799,0.0312,0.02496,0.15001,500,0.00307,0.18125,0.25,200,0.01904,0.31988,strict
OldTownFall,000048_lcam_front_lidar.ply,0.10002,799,0.03104,0.02584,0.15001,500,0.0546,0.09522,0.25,200,0.01112,0.35545,standard
OldTownFall,000049_lcam_front_lidar.ply,0.10002,799,0.07303,0.13647,0.15001,500,0.00512,0.22333,0.25,200,0.01502,0.38477,strict
OldTownFall,000050_lcam_front_lidar.ply,0.10002,799,0.03136,0.02937,0.15001,500,0.13989,0.20521,0.25,200,0.02068,0.32869,standard
OldTownFall,000051_lcam_front_lidar.ply,0.10002,799,0.00124,0.00149,0.15001,500,0.00085,0.00121,0.25,200,0.0185,0.34881,loose
OldTownFall,000052_lcam_front_lidar.ply,0.10002,799,0.00482,0.00813,0.15001,500,0.00154,0.00215,0.25,200,0.02118,0.32578,loose
OldTownFall,000053_lcam_front_lidar.ply,0.10002,799,0.08057,0.1325,0.15001,500,0.03462,0.1471,0.25,200,0.01579,0.32851,strict
OldTownFall,000054_lcam_front_lidar.ply,0.10002,799,0.08164,0.14118,0.15001,500,0.00122,0.00254,0.25,200,0.01995,0.31902,strict
OldTownFall,000055_lcam_front_lidar.ply,0.10002,799,0.0866,0.14033,0.15001,500,0.00524,0.20468,0.25,200,0.00201,0.0095,strict
OldTownFall,000056_lcam_front_lidar.ply,0.10002,799,0.07371,0.13312,0.15001,500,0.00145,0.00788,0.25,200,0.01291,0.28975,strict
OldTownFall,000057_lcam_front_lidar.ply,0.10002,799,0.07615,0.13776,0.15001,500,0.0052,0.00668,0.25,200,0.00347,0.00697,strict
OldTownFall,000058_lcam_front_lidar.ply,0.10002,799,0.08146,0.14165,0.15001,500,0.00111,0.00149,0.25,200,0.00548,0.22786,strict
OldTownFall,000059_lcam_front_lidar.ply,0.10002,799,0.00157,0.00076,0.15001,500,0.11007,0.20681,0.25,200,0.00125,0.00427,standard
OldTownFall,000060_lcam_front_lidar.ply,0.10002,799,0.03682,0.10354,0.15001,500,0.03435,0.10866,0.25,200,0.00115,0.00141,strict
OldTownFall,000061_lcam_front_lidar.ply,0.10002,799,0.07596,0.1284,0.15001,500,0.0012,0.00322,0.25,200,0.01698,0.31199,strict
OldTownFall,000062_lcam_front_lidar.ply,0.10002,799,0.02224,0.10571,0.15001,500,0.01691,0.07514,0.25,200,0.01667,0.37462,strict
OldTownFall,000063_lcam_front_lidar.ply,0.10002,799,0.0791,0.13198,0.15001,500,0.0033,0.11528,0.25,200,0.00116,0.00152,strict
OldTownFall,000064_lcam_front_lidar.ply,0.10002,799,0.08541,0.13738,0.15001,500,0.00434,0.29086,0.25,200,0.0022,0.00169,strict
OldTownFall,000065_lcam_front_lidar.ply,0.10002,799,0.08046,0.13238,0.15001,500,0.1174,0.20226,0.25,200,0.00656,0.20087,standard
OldTownFall,000066_lcam_front_lidar.ply,0.10002,799,0.06684,0.1265,0.15001,500,0.11117,0.19294,0.25,200,0.0031,0.25465,standard
OldTownFall,000067_lcam_front_lidar.ply,0.10002,799,0.07152,0.12942,0.15001,500,0.00392,0.12444,0.25,200,0.01471,0.34365,strict
OldTownFall,000068_lcam_front_lidar.ply,0.10002,799,0.0764,0.13703,0.15001,500,0.00055,0.0003,0.25,200,0.02158,0.28428,strict
OldTownFall,000069_lcam_front_lidar.ply,0.10002,799,0.0704,0.13361,0.15001,500,0.10159,0.19458,0.25,200,0.00189,0.24629,standard
OldTownFall,000070_lcam_front_lidar.ply,0.10002,799,0.06706,0.13562,0.15001,500,0.00104,0.00145,0.25,200,0.00501,0.24886,strict
OldTownFall,000071_lcam_front_lidar.ply,0.10002,799,0.05642,0.13015,0.15001,500,0.00178,0.00135,0.25,200,0.00231,0.16803,strict
OldTownFall,000072_lcam_front_lidar.ply,0.10002,799,0.04491,0.12795,0.15001,500,0.09128,0.19908,0.25,200,0.00198,0.14396,standard
OldTownFall,000073_lcam_front_lidar.ply,0.10002,799,0.04007,0.12973,0.15001,500,0.08976,0.20738,0.25,200,0.00768,0.17302,standard
OldTownFall,000074_lcam_front_lidar.ply,0.10002,799,0.04952,0.04664,0.15001,500,0.00168,0.00119,0.25,200,0.00153,0.24918,strict
OldTownFall,000075_lcam_front_lidar.ply,0.10002,799,0.03223,0.1289,0.15001,500,0.0799,0.19072,0.25,200,0.00729,0.18028,standard
OldTownFall,000076_lcam_front_lidar.ply,0.10002,799,0.02804,0.08695,0.15001,500,0.00215,0.17003,0.25,200,0.00631,0.17122,strict
OldTownFall,000077_lcam_front_lidar.ply,0.10002,799,0.02938,0.09456,0.15001,500,0.00213,0.00232,0.25,200,0.00079,0.00064,strict
