frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.1,800,0.9,0.15805,0.2297,1,0.0,0.0,0.0
000001_lcam_front_lidar.ply,0.1,800,0.9,0.15084,0.23093,1,0.0,0.0,0.0
000002_lcam_front_lidar.ply,0.25,800,0.9,0.19169,0.26959,1,0.06289,0.99977,0.03865
000003_lcam_front_lidar.ply,0.1,800,0.9,0.14624,0.2316,1,0.0,0.0,0.0
000004_lcam_front_lidar.ply,0.25,800,0.9,0.18632,0.26982,1,0.06384,0.99977,0.03981
000005_lcam_front_lidar.ply,0.25,800,0.9,0.15625,0.28584,1,0.09023,0.99999,0.06867
000006_lcam_front_lidar.ply,0.25,800,0.9,0.20901,0.26797,1,0.06471,0.99979,0.03928
000007_lcam_front_lidar.ply,0.25,800,0.9,0.19291,0.28648,1,0.09217,1.0,0.06481
000008_lcam_front_lidar.ply,0.1,800,0.9,0.15618,0.23028,1,0.0,0.0,0.0
000009_lcam_front_lidar.ply,0.25,800,0.9,0.1719,0.28713,1,0.0944,1.0,0.06709
000010_lcam_front_lidar.ply,0.1,800,0.9,0.13088,0.23104,1,0.0,0.0,0.0
000011_lcam_front_lidar.ply,0.1,800,0.9,0.133,0.23298,1,0.0,0.0,0.0
000012_lcam_front_lidar.ply,0.1,800,0.9,0.12883,0.23247,1,0.0,0.0,0.0
000013_lcam_front_lidar.ply,0.25,800,0.9,0.14796,0.27886,1,0.08618,1.0,0.07244
000014_lcam_front_lidar.ply,0.1,800,0.9,0.16771,0.22768,1,0.0,0.0,0.0
000015_lcam_front_lidar.ply,0.1,800,0.9,0.12579,0.23379,1,0.0,0.0,0.0
000016_lcam_front_lidar.ply,0.1,800,0.9,0.14223,0.22955,1,0.0,0.0,0.0
000017_lcam_front_lidar.ply,0.1,800,0.9,0.14364,0.23152,1,0.0,0.0,0.0
000018_lcam_front_lidar.ply,0.1,800,0.9,0.17135,0.2272,1,0.0,0.0,0.0
000019_lcam_front_lidar.ply,0.1,800,0.9,0.14275,0.23249,1,0.0,0.0,0.0
