frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,800,0.9,0.10131,0.32027,1,0.06506,0.99978,0.03914
000001_lcam_front_lidar.ply,0.25,800,0.9,0.11807,0.3191,1,0.06542,0.99979,0.03965
000002_lcam_front_lidar.ply,0.25,800,0.9,0.11967,0.31654,1,0.06289,0.99977,0.03865
000003_lcam_front_lidar.ply,0.25,800,0.9,0.10002,0.31777,1,0.06492,0.99979,0.0405
000004_lcam_front_lidar.ply,0.25,800,0.9,0.11355,0.31784,1,0.06384,0.99977,0.03981
000005_lcam_front_lidar.ply,0.25,800,0.9,0.11375,0.33159,1,0.08982,1.0,0.06786
000006_lcam_front_lidar.ply,0.25,800,0.9,0.12721,0.31697,1,0.06471,0.99979,0.03928
000007_lcam_front_lidar.ply,0.25,800,0.9,0.12152,0.3235,1,0.08465,1.0,0.06745
000008_lcam_front_lidar.ply,0.25,800,0.9,0.11687,0.33297,1,0.09263,1.0,0.06616
000009_lcam_front_lidar.ply,0.25,800,0.9,0.12542,0.33313,1,0.0944,1.0,0.06709
000010_lcam_front_lidar.ply,0.25,800,0.9,0.10559,0.32931,1,0.0868,1.0,0.06253
000011_lcam_front_lidar.ply,0.25,800,0.9,0.15053,0.31387,1,0.07229,1.0,0.05698
000012_lcam_front_lidar.ply,0.25,800,0.9,0.11412,0.32844,1,0.08732,1.0,0.06234
000013_lcam_front_lidar.ply,0.25,800,0.9,0.1162,0.32708,1,0.08518,1.0,0.06356
000014_lcam_front_lidar.ply,0.25,800,0.9,0.13186,0.327,1,0.09243,1.0,0.07104
000015_lcam_front_lidar.ply,0.25,800,0.9,0.10309,0.32655,1,0.08896,1.0,0.07301
000016_lcam_front_lidar.ply,0.25,800,0.9,0.11825,0.32913,1,0.08986,0.99999,0.06939
000017_lcam_front_lidar.ply,0.25,800,0.9,0.12196,0.32581,1,0.09089,1.0,0.07378
000018_lcam_front_lidar.ply,0.25,800,0.9,0.12307,0.32689,1,0.09106,0.99999,0.07514
000019_lcam_front_lidar.ply,0.25,800,0.9,0.1171,0.33147,1,0.09092,1.0,0.06869
000020_lcam_front_lidar.ply,0.25,800,0.9,0.09985,0.33233,1,0.09196,0.99999,0.06981
