frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15001,500,0.85,0.41098,2.2622,1,0.03338,0.9642,0.20131
000001_lcam_front_lidar.ply,0.15001,500,0.85,0.4223,1.85085,1,0.00273,0.91177,0.23345
000002_lcam_front_lidar.ply,0.15001,500,0.85,0.42898,1.887,1,0.00336,0.9267,0.25005
000003_lcam_front_lidar.ply,0.15001,500,0.85,0.42243,1.86098,1,0.00278,0.91658,0.19802
000004_lcam_front_lidar.ply,0.15001,500,0.85,0.49566,2.02067,1,0.00333,0.9937,0.10462
000005_lcam_front_lidar.ply,0.15001,500,0.85,0.49101,1.74663,1,0.01078,0.81939,0.16847
000006_lcam_front_lidar.ply,0.15001,500,0.85,0.44685,2.08254,1,0.0176,0.95327,0.22247
000007_lcam_front_lidar.ply,0.15001,500,0.85,0.72895,2.03826,1,0.00452,0.99653,0.21157
000008_lcam_front_lidar.ply,0.15001,500,0.85,0.87377,1.90937,1,0.00377,0.93584,0.21357
000009_lcam_front_lidar.ply,0.15001,500,0.85,0.71604,1.92811,1,0.00386,0.94477,0.22605
000010_lcam_front_lidar.ply,0.15001,500,0.85,0.59375,2.72188,1,0.09608,0.88052,0.15142
000011_lcam_front_lidar.ply,0.15001,500,0.85,0.657,1.9377,1,0.00508,0.94347,0.2075
000012_lcam_front_lidar.ply,0.15001,500,0.85,0.55787,2.01408,1,0.00183,0.9979,0.00267
000013_lcam_front_lidar.ply,0.15001,500,0.85,0.56406,2.00401,1,0.00139,0.99507,0.00272
000014_lcam_front_lidar.ply,0.15001,500,0.85,0.53164,1.99341,1,0.00445,0.97446,0.21154
000015_lcam_front_lidar.ply,0.15001,500,0.85,0.42776,1.93686,1,0.0038,0.94943,0.19742
000016_lcam_front_lidar.ply,0.15001,500,0.85,0.41518,1.7923,1,0.00359,0.8782,0.21199
000017_lcam_front_lidar.ply,0.15001,500,0.85,0.4395,2.04218,1,0.0047,0.99759,0.21718
000018_lcam_front_lidar.ply,0.15001,500,0.85,0.36885,3.49225,1,0.15184,0.98693,0.19299
000019_lcam_front_lidar.ply,0.15001,500,0.85,0.49601,1.94551,1,0.00259,0.95981,0.21496
000020_lcam_front_lidar.ply,0.15001,500,0.85,0.424,1.99706,1,0.00162,0.99042,0.00444
000021_lcam_front_lidar.ply,0.15001,500,0.85,0.38155,2.02786,1,0.0045,0.99145,0.11094
000022_lcam_front_lidar.ply,0.15001,500,0.85,0.43771,2.01791,1,0.0043,0.98746,0.16098
000023_lcam_front_lidar.ply,0.15001,500,0.85,0.41622,1.99732,1,0.00222,0.98756,0.00515
000024_lcam_front_lidar.ply,0.15001,500,0.85,0.40898,1.94898,1,0.00467,0.95113,0.2049
000025_lcam_front_lidar.ply,0.15001,500,0.85,0.3881,2.024,1,0.00243,0.99983,0.00224
000026_lcam_front_lidar.ply,0.15001,500,0.85,0.35568,3.67036,1,0.17058,0.98228,0.19591
000027_lcam_front_lidar.ply,0.15001,500,0.85,0.39166,1.98246,1,0.00498,0.96635,0.19912
000028_lcam_front_lidar.ply,0.15001,500,0.85,0.44371,3.47019,1,0.16883,0.89092,0.20479
000029_lcam_front_lidar.ply,0.15001,500,0.85,0.33378,1.95273,1,0.00496,0.95157,0.18782
000030_lcam_front_lidar.ply,0.15001,500,0.85,0.36651,2.01221,1,0.00206,0.99578,0.00769
000031_lcam_front_lidar.ply,0.15001,500,0.85,0.28558,3.75611,1,0.17834,0.98638,0.21402
000032_lcam_front_lidar.ply,0.15001,500,0.85,0.39247,1.98556,1,0.00464,0.96958,0.17503
000033_lcam_front_lidar.ply,0.15001,500,0.85,0.31663,2.02708,1,0.00538,0.98664,0.2095
000034_lcam_front_lidar.ply,0.15001,500,0.85,0.34245,1.97059,1,0.00589,0.95583,0.22021
000035_lcam_front_lidar.ply,0.15001,500,0.85,0.32205,3.58369,1,0.16603,0.96169,0.20673
000036_lcam_front_lidar.ply,0.15001,500,0.85,0.30048,3.60088,1,0.1667,0.96696,0.20452
000037_lcam_front_lidar.ply,0.15001,500,0.85,0.29406,2.37352,1,0.06478,0.86286,0.15495
000038_lcam_front_lidar.ply,0.15001,500,0.85,0.38224,3.44359,1,0.16419,0.90084,0.18864
000039_lcam_front_lidar.ply,0.15001,500,0.85,0.31064,3.40954,1,0.15845,0.9125,0.18808
000040_lcam_front_lidar.ply,0.15001,500,0.85,0.48951,1.95849,1,0.00593,0.94961,0.20744
000041_lcam_front_lidar.ply,0.15001,500,0.85,0.58558,1.99987,1,0.00434,0.97824,0.15761
000042_lcam_front_lidar.ply,0.15001,500,0.85,0.66654,2.75429,1,0.08198,0.96724,0.1678
000043_lcam_front_lidar.ply,0.15001,500,0.85,0.34384,1.63179,1,0.00056,0.81307,0.15105
000044_lcam_front_lidar.ply,0.15001,500,0.85,0.69341,2.35961,1,0.06135,0.87307,0.09481
000045_lcam_front_lidar.ply,0.15001,500,0.85,0.77849,1.99603,1,0.00506,0.9727,0.13001
000046_lcam_front_lidar.ply,0.15001,500,0.85,0.96908,2.01454,1,0.00632,0.97569,0.22153
000047_lcam_front_lidar.ply,0.15001,500,0.85,0.85553,1.64836,1,0.00307,0.80883,0.18125
000048_lcam_front_lidar.ply,0.15001,500,0.85,1.01532,2.16529,1,0.0546,0.80966,0.09522
000049_lcam_front_lidar.ply,0.15001,500,0.85,0.68639,1.98416,1,0.00512,0.96649,0.22333
000050_lcam_front_lidar.ply,0.15001,500,0.85,0.6346,3.35949,1,0.13989,0.9803,0.20521
000051_lcam_front_lidar.ply,0.15001,500,0.85,0.54546,1.99376,1,0.00085,0.99264,0.00121
000052_lcam_front_lidar.ply,0.15001,500,0.85,0.76967,2.01328,1,0.00154,0.99897,0.00215
