frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.10002,799,0.9,0.43645,3.04311,1,0.11878,0.92767,0.14188
000001_lcam_front_lidar.ply,0.10002,799,0.9,0.45076,2.54509,1,0.05517,0.99667,0.09076
000002_lcam_front_lidar.ply,0.10002,799,0.9,0.72604,1.94419,1,0.00205,0.96186,0.00492
000003_lcam_front_lidar.ply,0.10002,799,0.9,0.81857,2.26394,1,0.04256,0.91916,0.13556
000004_lcam_front_lidar.ply,0.10002,799,0.9,0.59635,-2.0,1,0.0,0.0,0.0
000005_lcam_front_lidar.ply,0.10002,799,0.9,0.65208,-2.0,1,0.0,0.0,0.0
000006_lcam_front_lidar.ply,0.10002,799,0.9,0.59278,-2.0,1,0.0,0.0,0.0
000007_lcam_front_lidar.ply,0.10002,799,0.9,0.61664,-2.0,1,0.0,0.0,0.0
000008_lcam_front_lidar.ply,0.10002,799,0.9,0.61717,2.40784,1,0.04079,0.99999,0.07332
000009_lcam_front_lidar.ply,0.10002,799,0.9,0.5947,2.5096,1,0.05097,0.99993,0.05902
000010_lcam_front_lidar.ply,0.10002,799,0.9,0.54242,2.42155,1,0.0422,0.99976,0.05943
000011_lcam_front_lidar.ply,0.10002,799,0.9,0.54676,2.01279,1,0.00213,0.99577,0.00078
000012_lcam_front_lidar.ply,0.10002,799,0.9,0.54893,2.47655,1,0.04768,0.99986,0.09574
000013_lcam_front_lidar.ply,0.10002,799,0.9,0.4825,2.01453,1,0.00186,0.99795,0.00301
000014_lcam_front_lidar.ply,0.10002,799,0.9,0.43281,2.00963,1,0.00121,0.99875,0.00157
000015_lcam_front_lidar.ply,0.10002,799,0.9,0.48225,1.96936,1,0.00529,0.95821,0.14624
000016_lcam_front_lidar.ply,0.10002,799,0.9,0.42561,2.86119,1,0.08996,0.98081,0.12456
000017_lcam_front_lidar.ply,0.10002,799,0.9,0.41957,1.93259,1,0.00537,0.93945,0.13086
000018_lcam_front_lidar.ply,0.10002,799,0.9,0.42382,1.98558,1,0.00199,0.98284,0.00323
000019_lcam_front_lidar.ply,0.10002,799,0.9,0.45487,3.01189,1,0.10154,0.99825,0.13551
000020_lcam_front_lidar.ply,0.10002,799,0.9,0.47001,2.98972,1,0.10415,0.97409,0.14059
000021_lcam_front_lidar.ply,0.10002,799,0.9,0.41326,2.69544,1,0.08397,0.92788,0.12143
000022_lcam_front_lidar.ply,0.10002,799,0.9,0.45091,3.07507,1,0.10825,0.99627,0.14224
000023_lcam_front_lidar.ply,0.10002,799,0.9,0.41984,2.77481,1,0.08839,0.94544,0.12659
000024_lcam_front_lidar.ply,0.10002,799,0.9,0.5086,2.48405,1,0.05014,0.99131,0.10151
000025_lcam_front_lidar.ply,0.10002,799,0.9,0.42224,3.0263,1,0.10393,0.99351,0.13636
000026_lcam_front_lidar.ply,0.10002,799,0.9,0.52663,2.2945,1,0.03161,0.98918,0.10026
000027_lcam_front_lidar.ply,0.10002,799,0.9,0.40151,3.12514,1,0.11287,0.99821,0.14649
000028_lcam_front_lidar.ply,0.10002,799,0.9,0.50026,2.03985,1,0.00443,0.99778,0.00974
000029_lcam_front_lidar.ply,0.10002,799,0.9,0.38901,3.03369,1,0.10377,0.998,0.13425
000030_lcam_front_lidar.ply,0.10002,799,0.9,0.54175,3.02396,1,0.10571,0.98342,0.13852
000031_lcam_front_lidar.ply,0.10002,799,0.9,0.51273,1.95654,1,0.00397,0.95842,0.01045
000032_lcam_front_lidar.ply,0.10002,799,0.9,0.52498,2.00758,1,0.00242,0.9917,0.00175
000033_lcam_front_lidar.ply,0.10002,799,0.9,0.36851,3.17715,1,0.12488,0.96418,0.14699
000034_lcam_front_lidar.ply,0.10002,799,0.9,0.37193,3.17137,1,0.12323,0.96955,0.14283
000035_lcam_front_lidar.ply,0.10002,799,0.9,0.45097,2.01302,1,0.00134,0.9998,0.0006
000036_lcam_front_lidar.ply,0.10002,799,0.9,0.42074,3.04747,1,0.11248,0.96132,0.13963
000037_lcam_front_lidar.ply,0.10002,799,0.9,0.4565,3.06894,1,0.11527,0.95813,0.13765
000038_lcam_front_lidar.ply,0.10002,799,0.9,0.44541,1.88254,1,0.00337,0.92442,0.11734
000039_lcam_front_lidar.ply,0.10002,799,0.9,0.67587,2.89448,1,0.10662,0.91415,0.13175
000040_lcam_front_lidar.ply,0.10002,799,0.9,0.76271,2.41226,1,0.05706,0.92083,0.10288
000041_lcam_front_lidar.ply,0.10002,799,0.9,0.92735,1.87347,1,0.00282,0.92262,0.12955
000042_lcam_front_lidar.ply,0.10002,799,0.9,0.74287,1.95645,1,0.00407,0.95785,0.01141
000043_lcam_front_lidar.ply,0.10002,799,0.9,0.76174,2.37542,1,0.05793,0.89805,0.0935
000044_lcam_front_lidar.ply,0.10002,799,0.9,0.65541,2.31144,1,0.05803,0.86557,0.08986
