frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000.ply,0.1,800,0.9,0.19767,0.53592,1,0.42228,0.99962,0.05261
000001.ply,0.1,800,0.9,0.19573,-0.40119,2,0.01703,0.99958,0.02449
000002.ply,0.1,800,0.9,0.1901,0.3782,3,0.41969,0.9996,0.0534
000003.ply,0.1,800,0.9,0.19597,-0.40877,4,0.01075,0.99959,0.03307
000004.ply,0.1,800,0.9,0.18627,-0.0049,5,0.01719,0.99952,0.03574
000005.ply,0.1,800,0.9,0.1806,-0.00568,6,0.01803,0.99955,0.02878
000006.ply,0.1,800,0.9,0.19153,0.38156,7,0.42235,0.9996,0.05433
000007.ply,0.1,800,0.9,0.19223,-0.40189,8,0.01708,0.99955,0.02754
000008.ply,0.1,800,0.9,0.19742,0.39056,9,0.43055,0.99961,0.05339
000009.ply,0.1,800,0.9,0.20273,-0.40989,10,0.01698,0.99954,0.026
000010.ply,0.1,800,0.9,0.19964,-0.01329,11,0.01873,0.99953,0.03609
000011.ply,0.1,800,0.9,0.21589,-0.00819,12,0.01829,0.99954,0.0316
000012.ply,0.1,800,0.9,0.18928,0.37502,13,0.41384,0.99962,0.05268
000013.ply,0.1,800,0.9,0.17807,-0.39649,14,0.0179,0.99954,0.03376
000014.ply,0.1,800,0.9,0.17912,0.38253,15,0.42037,0.99961,0.05367
000015.ply,0.1,800,0.9,0.19879,-0.40943,16,0.0104,0.9996,0.03257
000016.ply,0.1,800,0.9,0.18082,0.38892,17,0.41966,0.99961,0.05326
000017.ply,0.1,800,0.9,0.18603,-0.40549,18,0.00985,0.99962,0.02463
000018.ply,0.1,800,0.9,0.16931,-0.01178,19,0.01001,0.9996,0.0285
000019.ply,0.1,800,0.9,0.21117,-0.00442,20,0.01258,0.99959,0.02247
lidar/000000.ply,0.1,800,0.9,0.19168,0.54204,1,0.42866,0.99961,0.05312
lidar/000001.ply,0.1,800,0.9,0.20128,-0.02031,2,0.41769,0.99962,0.05182
lidar/000002.ply,0.1,800,0.9,0.19521,-0.01125,3,0.41644,0.99962,0.05181
lidar/000003.ply,0.1,800,0.9,0.21905,-0.393,4,0.01639,0.9996,0.01772
lidar/000004.ply,0.1,800,0.9,0.2053,-0.01855,5,0.0102,0.99963,0.02245
lidar/000005.ply,0.1,800,0.9,0.21069,-0.00775,6,0.01819,0.99953,0.0339
lidar/000006.ply,0.1,800,0.9,0.20796,-0.00933,7,0.0166,0.99954,0.02939
lidar/000007.ply,0.1,800,0.9,0.20628,-0.01074,8,0.01704,0.99955,0.03173
lidar/000008.ply,0.1,800,0.9,0.20845,-0.01435,9,0.01035,0.99962,0.02707
lidar/000009.ply,0.1,800,0.9,0.21259,-0.00465,10,0.00958,0.99968,0.01486
lidar/000010.ply,0.1,800,0.9,0.2087,-0.01159,11,0.01887,0.99953,0.03656
lidar/000011.ply,0.1,800,0.9,0.20877,-0.00405,12,0.01768,0.99958,0.0223
lidar/000012.ply,0.1,800,0.9,0.20638,-0.0203,13,0.01042,0.99961,0.02838
lidar/000013.ply,0.1,800,0.9,0.21602,0.38442,14,0.41729,0.99961,0.05328
lidar/000014.ply,0.1,800,0.9,0.20435,-0.01015,15,0.41585,0.99963,0.05072
lidar/000015.ply,0.1,800,0.9,0.21533,-0.40201,16,0.00997,0.99964,0.02299
lidar/000016.ply,0.1,800,0.9,0.20848,-0.0074,17,0.01755,0.99954,0.03292
lidar/000017.ply,0.1,800,0.9,0.19919,0.37947,18,0.41684,0.99961,0.05258
lidar/000018.ply,0.1,800,0.9,0.19886,-0.40625,19,0.01013,0.99958,0.03165
lidar/000019.ply,0.1,800,0.9,0.20179,-0.0014,20,0.0172,0.99956,0.02857
lidar/000000.ply,0.1,800,0.9,0.20152,0.13433,1,0.01068,0.99959,0.03257
lidar/000001.ply,0.1,800,0.9,0.20148,-0.00137,2,0.01729,0.99956,0.02852
lidar/000002.ply,0.1,800,0.9,0.2222,0.37832,3,0.41766,0.99961,0.05263
lidar/000003.ply,0.1,800,0.9,0.20147,-0.4027,4,0.01033,0.99963,0.02336
lidar/000004.ply,0.1,800,0.9,0.21534,0.00196,5,0.02416,0.99954,0.02709
