frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000.ply,0.15,500,0.85,0.24223,0.15423,1,0.01925,0.99998,0.01004
000001.ply,0.15,500,0.85,0.21547,-0.01064,2,0.01843,0.99999,0.00969
000002.ply,0.15,500,0.85,0.21075,-0.01055,3,0.01806,0.99999,0.01005
000003.ply,0.15,500,0.85,0.22411,-0.00941,4,0.01853,0.99999,0.00981
000004.ply,0.15,500,0.85,0.23082,-0.00921,5,0.01951,0.99998,0.01017
000005.ply,0.15,500,0.85,0.26096,-0.0114,6,0.0181,0.99999,0.01017
000006.ply,0.15,500,0.85,0.22246,-0.00958,7,0.0184,0.99999,0.00992
000007.ply,0.15,500,0.85,0.19854,-0.01049,8,0.01794,0.99999,0.00999
000008.ply,0.15,500,0.85,0.21045,0.35667,9,0.41591,0.99993,0.07258
000009.ply,0.15,500,0.85,0.26874,-0.37554,10,0.01907,0.99999,0.00999
000010.ply,0.15,500,0.85,0.26758,-0.01028,11,0.01854,0.99999,0.0095
000011.ply,0.15,500,0.85,0.24532,0.33614,12,0.3969,0.99993,0.07393
000012.ply,0.15,500,0.85,0.22942,-0.37003,13,0.00234,0.9993,0.00469
000013.ply,0.15,500,0.85,0.21151,0.0038,14,0.01848,0.99999,0.00958
000014.ply,0.15,500,0.85,0.27786,-0.00851,15,0.01998,0.99998,0.00959
000015.ply,0.15,500,0.85,0.26329,-0.01153,16,0.01852,0.99999,0.00974
000016.ply,0.15,500,0.85,0.23972,-0.01004,17,0.01845,0.99999,0.00967
000017.ply,0.15,500,0.85,0.26688,-0.01001,18,0.01852,0.99999,0.00984
000018.ply,0.15,500,0.85,0.22158,-0.00952,19,0.0188,0.99999,0.00945
000019.ply,0.15,500,0.85,0.24643,-0.01084,20,0.0183,0.99999,0.01012
lidar/000000.ply,0.15,500,0.85,0.24304,0.49808,1,0.39558,0.99993,0.07498
lidar/000001.ply,0.15,500,0.85,0.23533,-0.3545,2,0.01843,0.99999,0.00969
lidar/000002.ply,0.15,500,0.85,0.22137,-0.01055,3,0.01806,0.99999,0.01005
lidar/000003.ply,0.15,500,0.85,0.25015,0.3363,4,0.39666,0.99993,0.07462
lidar/000004.ply,0.15,500,0.85,0.26328,-0.01211,5,0.39406,0.99993,0.07365
lidar/000005.ply,0.15,500,0.85,0.22913,-0.3542,6,0.0181,0.99999,0.01017
lidar/000006.ply,0.15,500,0.85,0.22939,-0.00958,7,0.0184,0.99999,0.00992
lidar/000007.ply,0.15,500,0.85,0.23638,-0.01049,8,0.01794,0.99999,0.00999
lidar/000008.ply,0.15,500,0.85,0.22223,-0.00909,9,0.01878,0.99999,0.00985
lidar/000009.ply,0.15,500,0.85,0.2227,-0.00979,10,0.01907,0.99999,0.00999
lidar/000010.ply,0.15,500,0.85,0.24449,-0.01028,11,0.01854,0.99999,0.0095
lidar/000011.ply,0.15,500,0.85,0.24901,0.33556,12,0.39568,0.99993,0.07265
lidar/000012.ply,0.15,500,0.85,0.21934,-0.36946,13,0.00234,0.9993,0.00469
lidar/000013.ply,0.15,500,0.85,0.26396,0.0038,14,0.01848,0.99999,0.00958
lidar/000014.ply,0.15,500,0.85,0.21552,-0.00851,15,0.01998,0.99998,0.00959
lidar/000015.ply,0.15,500,0.85,0.22925,-0.01153,16,0.01852,0.99999,0.00974
lidar/000016.ply,0.15,500,0.85,0.25734,0.33577,17,0.39716,0.99993,0.07545
lidar/000017.ply,0.15,500,0.85,0.22022,-0.35702,18,0.01755,0.99999,0.01029
lidar/000018.ply,0.15,500,0.85,0.22962,-0.00832,19,0.0188,0.99999,0.00945
lidar/000019.ply,0.15,500,0.85,0.22958,0.33337,20,0.39529,0.99993,0.07567
lidar/000000.ply,0.15,500,0.85,0.2225,0.15334,1,0.01829,0.99999,0.0099
lidar/000001.ply,0.15,500,0.85,0.25687,-0.00975,2,0.01843,0.99999,0.00969
lidar/000002.ply,0.15,500,0.85,0.22496,-0.01055,3,0.01806,0.99999,0.01005
lidar/000003.ply,0.15,500,0.85,0.22083,-0.00941,4,0.01853,0.99999,0.00981
lidar/000004.ply,0.15,500,0.85,0.24319,0.33298,5,0.39227,0.99993,0.07131
lidar/000005.ply,0.15,500,0.85,0.23626,-0.35358,6,0.0181,0.99999,0.01017
lidar/000006.ply,0.15,500,0.85,0.23919,-0.00958,7,0.0184,0.99999,0.00992
lidar/000007.ply,0.15,500,0.85,0.22223,-0.01049,8,0.01794,0.99999,0.00999
lidar/000008.ply,0.15,500,0.85,0.24275,-0.00909,9,0.01878,0.99999,0.00985
lidar/000009.ply,0.15,500,0.85,0.22913,-0.00979,10,0.01907,0.99999,0.00999
lidar/000010.ply,0.15,500,0.85,0.23192,-0.01028,11,0.01854,0.99999,0.0095
lidar/000011.ply,0.15,500,0.85,0.22927,-0.01049,12,0.0181,0.99999,0.0096
lidar/000012.ply,0.15,500,0.85,0.2224,-0.0234,13,0.00234,0.9993,0.00469
lidar/000013.ply,0.15,500,0.85,0.22244,0.0038,14,0.01848,0.99999,0.00958
lidar/000014.ply,0.15,500,0.85,0.22928,-0.00851,15,0.01998,0.99998,0.00959
lidar/000015.ply,0.15,500,0.85,0.22902,-0.01153,16,0.01852,0.99999,0.00974
lidar/000016.ply,0.15,500,0.85,0.24311,-0.01004,17,0.01845,0.99999,0.00967
lidar/000017.ply,0.15,500,0.85,0.28121,-0.01001,18,0.01852,0.99999,0.00984
lidar/000018.ply,0.15,500,0.85,0.24385,-0.00952,19,0.0188,0.99999,0.00945
lidar/000019.ply,0.15,500,0.85,0.26079,-0.01084,20,0.0183,0.99999,0.01012
