frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000.ply,0.25,200,0.8,0.16996,0.61699,1,0.5373,0.99986,0.12058
000001.ply,0.25,200,0.8,0.1946,-0.0062,2,0.54205,0.99982,0.12248
000002.ply,0.25,200,0.8,0.17176,-0.00839,3,0.54471,0.99987,0.12459
000003.ply,0.25,200,0.8,0.2042,-0.01327,4,0.53499,0.99984,0.1117
000004.ply,0.25,200,0.8,0.1999,-0.00966,5,0.53514,0.99974,0.11129
000005.ply,0.25,200,0.8,0.18342,-0.006,6,0.54454,0.99955,0.12203
000006.ply,0.25,200,0.8,0.18443,-0.00778,7,0.54203,0.99979,0.11263
000007.ply,0.25,200,0.8,0.21124,-0.00621,8,0.55869,0.99992,0.13843
000008.ply,0.25,200,0.8,0.18518,-0.00785,9,0.54815,0.99973,0.11299
000009.ply,0.25,200,0.8,0.21278,-0.00855,10,0.55455,0.99983,0.12292
000010.ply,0.25,200,0.8,0.16557,-0.01544,11,0.55566,0.99991,0.13605
000011.ply,0.25,200,0.8,0.20317,-0.00464,12,0.55131,0.99978,0.11659
000012.ply,0.25,200,0.8,0.19829,-0.01294,13,0.54552,0.99978,0.11089
000013.ply,0.25,200,0.8,0.2044,-0.01363,14,0.5465,0.99981,0.12013
000014.ply,0.25,200,0.8,0.19804,-0.00799,15,0.54864,0.99979,0.12037
000015.ply,0.25,200,0.8,0.19389,-0.01514,16,0.54253,0.99949,0.11835
000016.ply,0.25,200,0.8,0.19736,-0.00082,17,0.54994,0.99985,0.11491
000017.ply,0.25,200,0.8,0.16683,-0.01136,18,0.55847,0.9999,0.13471
000018.ply,0.25,200,0.8,0.18711,-0.01099,19,0.54736,0.99982,0.11445
000019.ply,0.25,200,0.8,0.16772,-0.00914,20,0.55522,0.99988,0.12847
lidar/000000.ply,0.25,200,0.8,0.21532,0.61784,1,0.53579,0.99977,0.11583
lidar/000001.ply,0.25,200,0.8,0.19494,-0.00771,2,0.53677,0.99974,0.11321
lidar/000002.ply,0.25,200,0.8,0.19604,-0.00684,3,0.54517,0.99981,0.12371
lidar/000003.ply,0.25,200,0.8,0.19927,-0.01261,4,0.547,0.9999,0.13261
lidar/000004.ply,0.25,200,0.8,0.20895,-0.01274,5,0.53156,0.99975,0.10716
lidar/000005.ply,0.25,200,0.8,0.20408,-0.00402,6,0.54295,0.99985,0.11803
lidar/000006.ply,0.25,200,0.8,0.20471,-0.00814,7,0.53955,0.99974,0.10746
lidar/000007.ply,0.25,200,0.8,0.20803,-0.00618,8,0.54704,0.99979,0.11483
lidar/000008.ply,0.25,200,0.8,0.18069,-0.00988,9,0.55419,0.99991,0.1289
lidar/000009.ply,0.25,200,0.8,0.20181,-0.00921,10,0.54811,0.99969,0.1151
lidar/000010.ply,0.25,200,0.8,0.26008,-0.01091,11,0.54622,0.99976,0.11317
lidar/000011.ply,0.25,200,0.8,0.21505,-0.00628,12,0.55262,0.99978,0.11852
lidar/000012.ply,0.25,200,0.8,0.25515,-0.01522,13,0.55533,0.99991,0.13442
lidar/000013.ply,0.25,200,0.8,0.22794,-0.01247,14,0.54455,0.99976,0.11776
lidar/000014.ply,0.25,200,0.8,0.19613,-0.00776,15,0.5518,0.99963,0.12774
lidar/000015.ply,0.25,200,0.8,0.19964,-0.01195,16,0.54073,0.99982,0.10955
lidar/000016.ply,0.25,200,0.8,0.21169,-0.00387,17,0.55135,0.99964,0.11848
lidar/000017.ply,0.25,200,0.8,0.1933,-0.01101,18,0.55698,0.99989,0.13184
lidar/000018.ply,0.25,200,0.8,0.1782,-0.01053,19,0.55479,0.99987,0.12851
lidar/000019.ply,0.25,200,0.8,0.20218,-0.0095,20,0.54965,0.99982,0.11721
lidar/000000.ply,0.25,200,0.8,0.28023,0.61746,1,0.54101,0.99985,0.12704
lidar/000001.ply,0.25,200,0.8,0.26026,-0.00868,2,0.54109,0.99989,0.12458
lidar/000002.ply,0.25,200,0.8,0.23224,-0.004,3,0.54949,0.99986,0.12937
lidar/000003.ply,0.25,200,0.8,0.24934,-0.01429,4,0.54887,0.99992,0.13673
lidar/000004.ply,0.25,200,0.8,0.2643,-0.01212,5,0.53297,0.9997,0.1091
lidar/000005.ply,0.25,200,0.8,0.30075,-0.00348,6,0.54043,0.99974,0.11099
lidar/000006.ply,0.25,200,0.8,0.23353,-0.00718,7,0.55379,0.99987,0.1321
lidar/000007.ply,0.25,200,0.8,0.26136,-0.01116,8,0.54727,0.99983,0.12137
lidar/000008.ply,0.25,200,0.8,0.24582,-0.00759,9,0.5492,0.99984,0.12041
lidar/000009.ply,0.25,200,0.8,0.31271,-0.00522,10,0.5554,0.99982,0.12322
lidar/000010.ply,0.25,200,0.8,0.27847,-0.01693,11,0.54223,0.99979,0.11073
lidar/000011.ply,0.25,200,0.8,0.29783,-0.00341,12,0.55525,0.99979,0.12359
lidar/000012.ply,0.25,200,0.8,0.25356,-0.0142,13,0.54985,0.99968,0.12116
lidar/000013.ply,0.25,200,0.8,0.27746,-0.01341,14,0.54616,0.99981,0.12062
lidar/000014.ply,0.25,200,0.8,0.26559,-0.00943,15,0.54156,0.99972,0.11027
lidar/000015.ply,0.25,200,0.8,0.29368,-0.00913,16,0.54517,0.9997,0.11574
lidar/000016.ply,0.25,200,0.8,0.23454,-0.00682,17,0.54523,0.99975,0.10951
lidar/000017.ply,0.25,200,0.8,0.25809,-0.01032,18,0.54742,0.99981,0.11454
lidar/000018.ply,0.25,200,0.8,0.27496,-0.01031,19,0.54243,0.99975,0.10517
lidar/000019.ply,0.25,200,0.8,0.29978,-0.00884,20,0.54941,0.99981,0.11684
