dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
SeasonalForestAutumn,000000_lcam_front_lidar.ply,0.10002,799,0.05044,0.12034,0.15001,500,0.0117,0.10696,0.25,200,0.0243,0.21643,strict
SeasonalForestAutumn,000001_lcam_front_lidar.ply,0.10002,799,0.09878,0.10939,0.15001,500,0.15176,0.16594,0.25,200,0.02541,0.17354,standard
SeasonalForestAutumn,000002_lcam_front_lidar.ply,0.10002,799,0.11423,0.10366,0.15001,500,0.01611,0.07257,0.25,200,0.02847,0.21908,strict
SeasonalForestAutumn,000003_lcam_front_lidar.ply,0.10002,799,0.10786,0.10134,0.15001,500,0.16032,0.16085,0.25,200,0.00576,0.01502,standard
SeasonalForestAutumn,000004_lcam_front_lidar.ply,0.10002,799,0.09034,0.10047,0.15001,500,0.16519,0.15909,0.25,200,0.00459,0.02552,standard
SeasonalForestAutumn,000005_lcam_front_lidar.ply,0.10002,799,0.14308,0.10191,0.15001,500,0.03353,0.10561,0.25,200,0.02054,0.26395,strict
SeasonalForestAutumn,000006_lcam_front_lidar.ply,0.10002,799,0.13167,0.08979,0.15001,500,0.02255,0.07294,0.25,200,0.01001,0.22138,strict
SeasonalForestAutumn,000007_lcam_front_lidar.ply,0.10002,799,0.13692,0.0925,0.15001,500,0.00382,0.00242,0.25,200,0.0138,0.21321,strict
SeasonalForestAutumn,000008_lcam_front_lidar.ply,0.10002,799,0.11468,0.07972,0.15001,500,0.18355,0.14746,0.25,200,0.00608,0.02739,standard
SeasonalForestAutumn,000009_lcam_front_lidar.ply,0.10002,799,0.124,0.0755,0.15001,500,0.02265,0.11096,0.25,200,0.01234,0.24722,strict
SeasonalForestAutumn,000010_lcam_front_lidar.ply,0.10002,799,0.12602,0.08524,0.15001,500,0.09614,0.08726,0.25,200,0.00603,0.0236,strict
SeasonalForestAutumn,000011_lcam_front_lidar.ply,0.10002,799,0.11926,0.08272,0.15001,500,0.01412,0.09103,0.25,200,0.00943,0.18458,strict
SeasonalForestAutumn,000012_lcam_front_lidar.ply,0.10002,799,0.10744,0.07089,0.15001,500,0.19895,0.15385,0.25,200,0.0066,0.17803,standard
SeasonalForestAutumn,000013_lcam_front_lidar.ply,0.10002,799,0.11003,0.08044,0.15001,500,0.05707,0.06089,0.25,200,0.00861,0.14941,strict
SeasonalForestAutumn,000014_lcam_front_lidar.ply,0.10002,799,0.09178,0.07647,0.15001,500,0.0584,0.07524,0.25,200,0.01144,0.27745,strict
SeasonalForestAutumn,000015_lcam_front_lidar.ply,0.10002,799,0.07841,0.07151,0.15001,500,0.04594,0.08238,0.25,200,0.02455,0.33848,strict
SeasonalForestAutumn,000016_lcam_front_lidar.ply,0.10002,799,0.04117,0.04741,0.15001,500,0.05314,0.08625,0.25,200,0.01187,0.25202,standard
SeasonalForestAutumn,000017_lcam_front_lidar.ply,0.10002,799,0.0236,0.05944,0.15001,500,0.04104,0.08651,0.25,200,0.00571,0.00933,standard
SeasonalForestAutumn,000018_lcam_front_lidar.ply,0.10002,799,0.03934,0.05291,0.15001,500,0.03211,0.084,0.25,200,0.00743,0.15239,strict
SeasonalForestAutumn,000019_lcam_front_lidar.ply,0.10002,799,0.03434,0.06582,0.15001,500,0.05057,0.06303,0.25,200,0.00372,0.00283,standard
SeasonalForestAutumn,000020_lcam_front_lidar.ply,0.10002,799,0.02015,0.03963,0.15001,500,0.03392,0.0929,0.25,200,0.01279,0.30963,standard
SeasonalForestAutumn,000021_lcam_front_lidar.ply,0.10002,799,0.02251,0.04206,0.15001,500,0.07854,0.1304,0.25,200,0.01126,0.09303,standard
SeasonalForestAutumn,000022_lcam_front_lidar.ply,0.10002,799,0.02375,0.02581,0.15001,500,0.07171,0.10585,0.25,200,0.0033,0.19293,standard
SeasonalForestAutumn,000023_lcam_front_lidar.ply,0.10002,799,0.05188,0.09105,0.15001,500,0.06058,0.13454,0.25,200,0.00709,0.22503,standard
SeasonalForestAutumn,000024_lcam_front_lidar.ply,0.10002,799,0.02308,0.04655,0.15001,500,0.06482,0.1291,0.25,200,0.00365,0.00651,standard
SeasonalForestAutumn,000025_lcam_front_lidar.ply,0.10002,799,0.09034,0.10675,0.15001,500,0.0726,0.11786,0.25,200,0.00204,0.00528,strict
SeasonalForestAutumn,000026_lcam_front_lidar.ply,0.10002,799,0.08078,0.08119,0.15001,500,0.06777,0.09016,0.25,200,0.00658,0.18086,strict
SeasonalForestAutumn,000027_lcam_front_lidar.ply,0.10002,799,0.11807,0.10586,0.15001,500,0.14709,0.15122,0.25,200,0.018,0.25073,standard
SeasonalForestAutumn,000028_lcam_front_lidar.ply,0.10002,799,0.05737,0.06757,0.15001,500,0.14596,0.14192,0.25,200,0.01278,0.28679,standard
SeasonalForestAutumn,000029_lcam_front_lidar.ply,0.10002,799,0.08307,0.07722,0.15001,500,0.02916,0.11259,0.25,200,0.01628,0.31124,strict
SeasonalForestAutumn,000030_lcam_front_lidar.ply,0.10002,799,0.06979,0.05971,0.15001,500,0.08877,0.07964,0.25,200,0.01439,0.23273,standard
SeasonalForestAutumn,000031_lcam_front_lidar.ply,0.10002,799,0.10144,0.04511,0.15001,500,0.01653,0.12034,0.25,200,0.03442,0.27865,strict
SeasonalForestAutumn,000032_lcam_front_lidar.ply,0.10002,799,0.11624,0.04887,0.15001,500,0.03152,0.12599,0.25,200,0.0012,0.00227,strict
SeasonalForestAutumn,000033_lcam_front_lidar.ply,0.10002,799,0.00296,0.00073,0.15001,500,0.00316,0.06488,0.25,200,0.00424,0.18978,loose
SeasonalForestAutumn,000034_lcam_front_lidar.ply,0.10002,799,0.09197,0.06189,0.15001,500,0.15865,0.11355,0.25,200,0.00554,0.25661,standard
SeasonalForestAutumn,000035_lcam_front_lidar.ply,0.10002,799,0.08083,0.06593,0.15001,500,0.09003,0.06284,0.25,200,0.00108,0.00141,standard
SeasonalForestAutumn,000036_lcam_front_lidar.ply,0.10002,799,0.06828,0.06485,0.15001,500,0.07902,0.07124,0.25,200,0.00677,0.17649,standard
SeasonalForestAutumn,000037_lcam_front_lidar.ply,0.10002,799,0.0864,0.10893,0.15001,500,0.075,0.07667,0.25,200,0.00159,0.00194,strict
SeasonalForestAutumn,000038_lcam_front_lidar.ply,0.10002,799,0.03152,0.05618,0.15001,500,0.05545,0.0853,0.25,200,0.0015,0.00293,standard
SeasonalForestAutumn,000039_lcam_front_lidar.ply,0.10002,799,0.02859,0.06255,0.15001,500,0.08022,0.13829,0.25,200,0.00242,0.00895,standard
SeasonalForestAutumn,000040_lcam_front_lidar.ply,0.10002,799,0.02201,0.05632,0.15001,500,0.07515,0.14085,0.25,200,0.00387,0.37793,standard
SeasonalForestAutumn,000041_lcam_front_lidar.ply,0.10002,799,0.0921,0.10211,0.15001,500,0.08613,0.10703,0.25,200,0.0248,0.25427,strict
SeasonalForestAutumn,000042_lcam_front_lidar.ply,0.10002,799,0.08776,0.10844,0.15001,500,0.08465,0.11431,0.25,200,0.00317,0.00935,strict
SeasonalForestAutumn,000043_lcam_front_lidar.ply,0.10002,799,0.0842,0.10414,0.15001,500,0.0864,0.12223,0.25,200,0.00236,0.00465,standard
SeasonalForestAutumn,000044_lcam_front_lidar.ply,0.10002,799,0.07192,0.09051,0.15001,500,0.07745,0.0989,0.25,200,0.00192,0.00675,standard
SeasonalForestAutumn,000045_lcam_front_lidar.ply,0.10002,799,0.10774,0.11249,0.15001,500,0.17862,0.1644,0.25,200,0.00196,0.00702,standard
SeasonalForestAutumn,000046_lcam_front_lidar.ply,0.10002,799,0.10996,0.11553,0.15001,500,0.17425,0.15349,0.25,200,0.00576,0.23338,standard
SeasonalForestAutumn,000047_lcam_front_lidar.ply,0.10002,799,0.08266,0.10105,0.15001,500,0.20446,0.17137,0.25,200,0.00273,0.00868,standard
SeasonalForestAutumn,000048_lcam_front_lidar.ply,0.10002,799,0.08147,0.09256,0.15001,500,0.0283,0.14862,0.25,200,0.00261,0.00831,strict
SeasonalForestAutumn,000049_lcam_front_lidar.ply,0.10002,799,0.07188,0.0796,0.15001,500,0.16628,0.14891,0.25,200,0.00115,0.00372,standard
SeasonalForestAutumn,000050_lcam_front_lidar.ply,0.10002,799,0.07295,0.0791,0.15001,500,0.19988,0.15683,0.25,200,0.00159,0.00254,standard
SeasonalForestAutumn,000051_lcam_front_lidar.ply,0.10002,799,0.16601,0.12289,0.15001,500,0.00068,0.00012,0.25,200,0.00119,0.00285,strict
SeasonalForestAutumn,000052_lcam_front_lidar.ply,0.10002,799,0.12718,0.11017,0.15001,500,0.00639,0.05065,0.25,200,0.00281,0.0076,strict
SeasonalForestAutumn,000053_lcam_front_lidar.ply,0.10002,799,0.1654,0.09776,0.15001,500,0.02533,0.13338,0.25,200,0.02088,0.10699,strict
SeasonalForestAutumn,000054_lcam_front_lidar.ply,0.10002,799,0.1486,0.09418,0.15001,500,0.03055,0.16414,0.25,200,0.0024,0.00662,strict
SeasonalForestAutumn,000055_lcam_front_lidar.ply,0.10002,799,0.1871,0.10296,0.15001,500,0.00824,0.06827,0.25,200,0.00256,0.00675,strict
SeasonalForestAutumn,000056_lcam_front_lidar.ply,0.10002,799,0.18192,0.10596,0.15001,500,0.00539,0.0925,0.25,200,0.00255,0.00719,strict
SeasonalForestAutumn,000057_lcam_front_lidar.ply,0.10002,799,0.20679,0.11015,0.15001,500,0.03094,0.1704,0.25,200,0.0026,0.00761,strict
SeasonalForestAutumn,000058_lcam_front_lidar.ply,0.10002,799,0.21296,0.12077,0.15001,500,0.03529,0.15906,0.25,200,0.00141,0.00484,strict
SeasonalForestAutumn,000059_lcam_front_lidar.ply,0.10002,799,0.21218,0.12013,0.15001,500,0.00259,0.07222,0.25,200,0.00154,0.00543,strict
SeasonalForestAutumn,000060_lcam_front_lidar.ply,0.10002,799,0.03202,0.0692,0.15001,500,0.01041,0.10619,0.25,200,0.00114,0.00386,strict
SeasonalForestAutumn,000061_lcam_front_lidar.ply,0.10002,799,0.19541,0.11538,0.15001,500,0.2408,0.15292,0.25,200,0.00123,0.00253,standard
SeasonalForestAutumn,000062_lcam_front_lidar.ply,0.10002,799,0.01525,0.07299,0.15001,500,0.01296,0.13003,0.25,200,0.00229,0.00438,strict
SeasonalForestAutumn,000063_lcam_front_lidar.ply,0.10002,799,0.03532,0.06467,0.15001,500,0.00302,0.09519,0.25,200,0.00101,0.00263,strict
SeasonalForestAutumn,000064_lcam_front_lidar.ply,0.10002,799,0.03793,0.07423,0.15001,500,0.00994,0.15863,0.25,200,0.0013,0.00435,strict
SeasonalForestAutumn,000065_lcam_front_lidar.ply,0.10002,799,0.15149,0.10459,0.15001,500,0.02581,0.1419,0.25,200,0.00131,0.00593,strict
SeasonalForestAutumn,000066_lcam_front_lidar.ply,0.10002,799,0.13111,0.09562,0.15001,500,0.19084,0.13949,0.25,200,0.00166,0.00418,standard
SeasonalForestAutumn,000067_lcam_front_lidar.ply,0.10002,799,0.1501,0.10589,0.15001,500,0.24794,0.15672,0.25,200,0.0019,0.00587,standard
SeasonalForestAutumn,000068_lcam_front_lidar.ply,0.10002,799,0.02074,0.05816,0.15001,500,0.01145,0.04715,0.25,200,0.00167,0.00371,strict
SeasonalForestAutumn,000069_lcam_front_lidar.ply,0.10002,799,0.02212,0.04941,0.15001,500,0.01219,0.05413,0.25,200,0.00091,0.00399,strict
SeasonalForestAutumn,000070_lcam_front_lidar.ply,0.10002,799,0.18102,0.10028,0.15001,500,0.23857,0.14697,0.25,200,0.00399,0.14415,standard
SeasonalForestAutumn,000071_lcam_front_lidar.ply,0.10002,799,0.15967,0.09328,0.15001,500,0.01055,0.04515,0.25,200,0.00154,0.00667,strict
SeasonalForestAutumn,000072_lcam_front_lidar.ply,0.10002,799,0.15422,0.07968,0.15001,500,0.2049,0.12942,0.25,200,0.00128,0.00354,standard
SeasonalForestAutumn,000073_lcam_front_lidar.ply,0.10002,799,0.15076,0.08085,0.15001,500,0.18422,0.11436,0.25,200,0.0059,0.23048,standard
SeasonalForestAutumn,000074_lcam_front_lidar.ply,0.10002,799,0.11479,0.07347,0.15001,500,0.19402,0.10545,0.25,200,0.0106,0.18952,standard
SeasonalForestAutumn,000075_lcam_front_lidar.ply,0.10002,799,0.08959,0.06118,0.15001,500,0.22012,0.12791,0.25,200,0.00833,0.17138,standard
SeasonalForestAutumn,000076_lcam_front_lidar.ply,0.10002,799,0.16559,0.05733,0.15001,500,0.23125,0.11878,0.25,200,0.0119,0.23646,standard
SeasonalForestAutumn,000077_lcam_front_lidar.ply,0.10002,799,0.16958,0.06364,0.15001,500,0.2293,0.10937,0.25,200,0.00135,0.00276,standard
SeasonalForestAutumn,000078_lcam_front_lidar.ply,0.10002,799,0.19476,0.07106,0.15001,500,0.21627,0.09585,0.25,200,0.00696,0.24756,standard
SeasonalForestAutumn,000079_lcam_front_lidar.ply,0.10002,799,0.19076,0.07032,0.15001,500,0.25243,0.1196,0.25,200,0.00785,0.22665,standard
SeasonalForestAutumn,000080_lcam_front_lidar.ply,0.10002,799,0.1762,0.06654,0.15001,500,0.23437,0.12085,0.25,200,0.00276,0.00354,standard
SeasonalForestAutumn,000081_lcam_front_lidar.ply,0.10002,799,0.15901,0.06288,0.15001,500,0.02068,0.15707,0.25,200,0.00152,0.0035,strict
