frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.16505,0.25106,1,0.07529,0.99057,0.17529
000001_lcam_front_lidar.ply,0.2,800,0.9,0.14295,0.26314,1,0.08185,0.99002,0.16788
000002_lcam_front_lidar.ply,0.2,800,0.9,0.12697,0.28083,1,0.08595,0.99061,0.14405
000003_lcam_front_lidar.ply,0.2,800,0.9,0.14754,0.2788,1,0.08801,0.99036,0.14636
000004_lcam_front_lidar.ply,0.2,800,0.9,0.13724,0.27641,1,0.08296,0.99169,0.14052
000005_lcam_front_lidar.ply,0.2,800,0.9,0.12701,0.28254,1,0.09623,0.99011,0.15913
000006_lcam_front_lidar.ply,0.2,800,0.9,0.13048,0.28467,1,0.10028,0.99062,0.16479
000007_lcam_front_lidar.ply,0.2,800,0.9,0.11123,0.29677,1,0.10193,0.98994,0.14689
000008_lcam_front_lidar.ply,0.2,800,0.9,0.12774,0.25635,1,0.10712,0.99557,0.23567
000009_lcam_front_lidar.ply,0.2,800,0.9,0.13292,0.25532,1,0.02184,0.98986,0.06712
000010_lcam_front_lidar.ply,0.2,800,0.9,0.1276,0.24107,1,0.02593,0.99031,0.10216
000011_lcam_front_lidar.ply,0.2,800,0.9,0.14319,0.2856,1,0.10116,0.99318,0.15835
000012_lcam_front_lidar.ply,0.2,800,0.9,0.14334,0.27671,1,0.10249,0.99245,0.1831
000013_lcam_front_lidar.ply,0.2,800,0.9,0.12719,0.29255,1,0.09825,0.99187,0.14344
000014_lcam_front_lidar.ply,0.2,800,0.9,0.14237,0.28857,1,0.10948,0.994,0.17203
000015_lcam_front_lidar.ply,0.2,800,0.9,0.14352,0.28802,1,0.10287,0.99194,0.15832
000016_lcam_front_lidar.ply,0.2,800,0.9,0.12527,0.28687,1,0.10406,0.99263,0.16327
000017_lcam_front_lidar.ply,0.2,800,0.9,0.13378,0.29414,1,0.09613,0.99047,0.13245
000018_lcam_front_lidar.ply,0.2,800,0.9,0.13717,0.29577,1,0.10081,0.99001,0.13871
