frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15001,500,0.85,0.30977,2.04291,1,0.0117,0.96294,0.10696
000001_lcam_front_lidar.ply,0.15001,500,0.85,0.34247,3.50967,1,0.15176,0.99605,0.16594
000002_lcam_front_lidar.ply,0.15001,500,0.85,0.34226,2.14379,1,0.01611,0.99135,0.07257
000003_lcam_front_lidar.ply,0.15001,500,0.85,0.30608,3.59589,1,0.16032,0.99634,0.16085
000004_lcam_front_lidar.ply,0.15001,500,0.85,0.31833,3.6432,1,0.16519,0.99563,0.15909
000005_lcam_front_lidar.ply,0.15001,500,0.85,0.29311,2.313,1,0.03353,0.98884,0.10561
000006_lcam_front_lidar.ply,0.15001,500,0.85,0.32717,2.21078,1,0.02255,0.99264,0.07294
000007_lcam_front_lidar.ply,0.15001,500,0.85,0.25368,2.03804,1,0.00382,0.99992,0.00242
000008_lcam_front_lidar.ply,0.15001,500,0.85,0.31723,3.82405,1,0.18355,0.99428,0.14746
000009_lcam_front_lidar.ply,0.15001,500,0.85,0.30059,2.20033,1,0.02265,0.98694,0.11096
000010_lcam_front_lidar.ply,0.15001,500,0.85,0.24406,2.93476,1,0.09614,0.98667,0.08726
000011_lcam_front_lidar.ply,0.15001,500,0.85,0.29175,2.11404,1,0.01412,0.98641,0.09103
000012_lcam_front_lidar.ply,0.15001,500,0.85,0.2606,3.9816,1,0.19895,0.99605,0.15385
000013_lcam_front_lidar.ply,0.15001,500,0.85,0.24184,2.55158,1,0.05707,0.99043,0.06089
000014_lcam_front_lidar.ply,0.15001,500,0.85,0.28462,2.54029,1,0.0584,0.97814,0.07524
000015_lcam_front_lidar.ply,0.15001,500,0.85,0.25812,2.41465,1,0.04594,0.97764,0.08238
000016_lcam_front_lidar.ply,0.15001,500,0.85,0.26153,2.49308,1,0.05314,0.98086,0.08625
000017_lcam_front_lidar.ply,0.15001,500,0.85,0.29566,2.37481,1,0.04104,0.9822,0.08651
000018_lcam_front_lidar.ply,0.15001,500,0.85,0.29017,2.27723,1,0.03211,0.97806,0.084
000019_lcam_front_lidar.ply,0.15001,500,0.85,0.27578,2.49708,1,0.05057,0.99567,0.06303
000020_lcam_front_lidar.ply,0.15001,500,0.85,0.26992,2.30199,1,0.03392,0.98139,0.0929
000021_lcam_front_lidar.ply,0.15001,500,0.85,0.2653,2.77361,1,0.07854,0.99412,0.1304
000022_lcam_front_lidar.ply,0.15001,500,0.85,0.30644,2.70428,1,0.07171,0.9936,0.10585
000023_lcam_front_lidar.ply,0.15001,500,0.85,0.28117,2.58676,1,0.06058,0.99049,0.13454
000024_lcam_front_lidar.ply,0.15001,500,0.85,0.29247,2.62322,1,0.06482,0.98751,0.1291
000025_lcam_front_lidar.ply,0.15001,500,0.85,0.31782,2.70199,1,0.0726,0.98801,0.11786
000026_lcam_front_lidar.ply,0.15001,500,0.85,0.30947,2.64322,1,0.06777,0.98277,0.09016
000027_lcam_front_lidar.ply,0.15001,500,0.85,0.32262,3.46655,1,0.14709,0.99783,0.15122
000028_lcam_front_lidar.ply,0.15001,500,0.85,0.30572,3.45413,1,0.14596,0.99724,0.14192
000029_lcam_front_lidar.ply,0.15001,500,0.85,0.34511,2.27127,1,0.02916,0.98983,0.11259
000030_lcam_front_lidar.ply,0.15001,500,0.85,0.28706,2.87231,1,0.08877,0.99231,0.07964
000031_lcam_front_lidar.ply,0.15001,500,0.85,0.37081,2.13333,1,0.01653,0.98401,0.12034
000032_lcam_front_lidar.ply,0.15001,500,0.85,0.33055,2.2896,1,0.03152,0.98719,0.12599
