frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.10002,799,0.9,0.23342,2.45868,1,0.05044,0.97712,0.12034
000001_lcam_front_lidar.ply,0.10002,799,0.9,0.29163,2.98187,1,0.09878,0.99703,0.10939
000002_lcam_front_lidar.ply,0.10002,799,0.9,0.23744,3.13579,1,0.11423,0.99676,0.10366
000003_lcam_front_lidar.ply,0.10002,799,0.9,0.20849,3.07191,1,0.10786,0.99666,0.10134
000004_lcam_front_lidar.ply,0.10002,799,0.9,0.26145,2.87925,1,0.09034,0.98792,0.10047
000005_lcam_front_lidar.ply,0.10002,799,0.9,0.20185,3.4201,1,0.14308,0.99465,0.10191
000006_lcam_front_lidar.ply,0.10002,799,0.9,0.19685,3.30363,1,0.13167,0.99347,0.08979
000007_lcam_front_lidar.ply,0.10002,799,0.9,0.2126,3.35611,1,0.13692,0.99347,0.0925
000008_lcam_front_lidar.ply,0.10002,799,0.9,0.22347,3.12611,1,0.11468,0.98964,0.07972
000009_lcam_front_lidar.ply,0.10002,799,0.9,0.23141,3.21462,1,0.124,0.9873,0.0755
000010_lcam_front_lidar.ply,0.10002,799,0.9,0.22599,3.23912,1,0.12602,0.98944,0.08524
000011_lcam_front_lidar.ply,0.10002,799,0.9,0.21491,3.17135,1,0.11926,0.9894,0.08272
000012_lcam_front_lidar.ply,0.10002,799,0.9,0.22272,3.04127,1,0.10744,0.98342,0.07089
000013_lcam_front_lidar.ply,0.10002,799,0.9,0.21324,3.06857,1,0.11003,0.98415,0.08044
000014_lcam_front_lidar.ply,0.10002,799,0.9,0.22282,2.88355,1,0.09178,0.98289,0.07647
000015_lcam_front_lidar.ply,0.10002,799,0.9,0.22407,2.74366,1,0.07841,0.97978,0.07151
000016_lcam_front_lidar.ply,0.10002,799,0.9,0.21954,2.35584,1,0.04117,0.97206,0.04741
000017_lcam_front_lidar.ply,0.10002,799,0.9,0.21261,2.21953,1,0.0236,0.99176,0.05944
000018_lcam_front_lidar.ply,0.10002,799,0.9,0.2231,2.34045,1,0.03934,0.97351,0.05291
000019_lcam_front_lidar.ply,0.10002,799,0.9,0.286,2.28961,1,0.03434,0.97313,0.06582
000020_lcam_front_lidar.ply,0.10002,799,0.9,0.22506,2.18213,1,0.02015,0.9903,0.03963
000021_lcam_front_lidar.ply,0.10002,799,0.9,0.26108,2.21017,1,0.02251,0.99254,0.04206
000022_lcam_front_lidar.ply,0.10002,799,0.9,0.2852,2.2042,1,0.02375,0.98334,0.02581
000023_lcam_front_lidar.ply,0.10002,799,0.9,0.2729,2.47908,1,0.05188,0.98014,0.09105
000024_lcam_front_lidar.ply,0.10002,799,0.9,0.25051,2.2103,1,0.02308,0.98977,0.04655
000025_lcam_front_lidar.ply,0.10002,799,0.9,0.22791,2.89741,1,0.09034,0.997,0.10675
000026_lcam_front_lidar.ply,0.10002,799,0.9,0.21689,2.78288,1,0.08078,0.98756,0.08119
000027_lcam_front_lidar.ply,0.10002,799,0.9,0.20677,3.17411,1,0.11807,0.99673,0.10586
000028_lcam_front_lidar.ply,0.10002,799,0.9,0.21098,2.55794,1,0.05737,0.99213,0.06757
000029_lcam_front_lidar.ply,0.10002,799,0.9,0.19155,2.81469,1,0.08307,0.99201,0.07722
000030_lcam_front_lidar.ply,0.10002,799,0.9,0.22373,2.6807,1,0.06979,0.9914,0.05971
000031_lcam_front_lidar.ply,0.10002,799,0.9,0.20344,2.9659,1,0.10144,0.97573,0.04511
000032_lcam_front_lidar.ply,0.10002,799,0.9,0.20631,3.10852,1,0.11624,0.97308,0.04887
000033_lcam_front_lidar.ply,0.10002,799,0.9,0.28649,2.02935,1,0.00296,0.99985,0.00073
000034_lcam_front_lidar.ply,0.10002,799,0.9,0.26322,2.83104,1,0.09197,0.95567,0.06189
000035_lcam_front_lidar.ply,0.10002,799,0.9,0.2302,2.71374,1,0.08083,0.95273,0.06593
000036_lcam_front_lidar.ply,0.10002,799,0.9,0.2227,2.58216,1,0.06828,0.94966,0.06485
000037_lcam_front_lidar.ply,0.10002,799,0.9,0.25606,2.79951,1,0.0864,0.96774,0.10893
000038_lcam_front_lidar.ply,0.10002,799,0.9,0.21162,2.2327,1,0.03152,0.95874,0.05618
000039_lcam_front_lidar.ply,0.10002,799,0.9,0.2075,2.21026,1,0.02859,0.96217,0.06255
000040_lcam_front_lidar.ply,0.10002,799,0.9,0.22227,2.1425,1,0.02201,0.9612,0.05632
000041_lcam_front_lidar.ply,0.10002,799,0.9,0.21568,2.9137,1,0.0921,0.99633,0.10211
000042_lcam_front_lidar.ply,0.10002,799,0.9,0.20403,2.85905,1,0.08776,0.9907,0.10844
000043_lcam_front_lidar.ply,0.10002,799,0.9,0.2393,2.82239,1,0.0842,0.9902,0.10414
000044_lcam_front_lidar.ply,0.10002,799,0.9,0.21289,2.69261,1,0.07192,0.98672,0.09051
000045_lcam_front_lidar.ply,0.10002,799,0.9,0.24396,3.05679,1,0.10774,0.98971,0.11249
000046_lcam_front_lidar.ply,0.10002,799,0.9,0.22298,3.07699,1,0.10996,0.98869,0.11553
000047_lcam_front_lidar.ply,0.10002,799,0.9,0.22751,2.78932,1,0.08266,0.98138,0.10105
000048_lcam_front_lidar.ply,0.10002,799,0.9,0.22662,2.77322,1,0.08147,0.97925,0.09256
000049_lcam_front_lidar.ply,0.10002,799,0.9,0.20669,2.6369,1,0.07188,0.95904,0.0796
000050_lcam_front_lidar.ply,0.10002,799,0.9,0.23813,2.63814,1,0.07295,0.95431,0.0791
000051_lcam_front_lidar.ply,0.10002,799,0.9,0.23928,3.64354,1,0.16601,0.99174,0.12289
000052_lcam_front_lidar.ply,0.10002,799,0.9,0.29417,3.21388,1,0.12718,0.97105,0.11017
000053_lcam_front_lidar.ply,0.10002,799,0.9,0.20696,3.63124,1,0.1654,0.9886,0.09776
000054_lcam_front_lidar.ply,0.10002,799,0.9,0.20615,3.44985,1,0.1486,0.98194,0.09418
000055_lcam_front_lidar.ply,0.10002,799,0.9,0.22341,3.86501,1,0.1871,0.99702,0.10296
