frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,200,0.8,0.24411,1.90118,1,0.00231,0.93902,0.10698
000001_lcam_front_lidar.ply,0.25,200,0.8,0.2833,6.04997,1,0.41868,0.93156,0.22704
000002_lcam_front_lidar.ply,0.25,200,0.8,0.2603,1.79917,1,0.01483,0.82542,0.08252
000003_lcam_front_lidar.ply,0.25,200,0.8,0.23833,1.78332,1,0.00969,0.84323,0.07331
000004_lcam_front_lidar.ply,0.25,200,0.8,0.25112,2.05209,1,0.00557,0.99818,0.01629
000005_lcam_front_lidar.ply,0.25,200,0.8,0.23274,2.3354,1,0.03453,0.99505,0.17975
000006_lcam_front_lidar.ply,0.25,200,0.8,0.28441,2.11702,1,0.01633,0.97687,0.09928
000007_lcam_front_lidar.ply,0.25,200,0.8,0.27195,5.5886,1,0.37048,0.94189,0.25191
000008_lcam_front_lidar.ply,0.25,200,0.8,0.24997,1.78139,1,0.00702,0.85562,0.05748
000009_lcam_front_lidar.ply,0.25,200,0.8,0.2415,1.6961,1,0.00702,0.81297,0.06792
000010_lcam_front_lidar.ply,0.25,200,0.8,0.26379,5.47889,1,0.35641,0.9574,0.27154
000011_lcam_front_lidar.ply,0.25,200,0.8,0.23428,2.61557,1,0.06904,0.96259,0.27136
000012_lcam_front_lidar.ply,0.25,200,0.8,0.21148,2.66843,1,0.08473,0.91054,0.3159
000013_lcam_front_lidar.ply,0.25,200,0.8,0.19507,1.88874,1,0.00292,0.9298,0.3091
000014_lcam_front_lidar.ply,0.25,200,0.8,0.20537,1.89877,1,0.00227,0.93804,0.40151
000015_lcam_front_lidar.ply,0.25,200,0.8,0.21489,1.7475,1,0.00816,0.83294,0.16795
000016_lcam_front_lidar.ply,0.25,200,0.8,0.19415,2.85385,1,0.09164,0.96873,0.2562
000017_lcam_front_lidar.ply,0.25,200,0.8,0.22649,1.88958,1,0.00135,0.93806,0.30282
000018_lcam_front_lidar.ply,0.25,200,0.8,0.23021,1.93941,1,0.00087,0.96536,0.00257
000019_lcam_front_lidar.ply,0.25,200,0.8,0.22367,1.98187,1,0.00948,0.94356,0.03771
000020_lcam_front_lidar.ply,0.25,200,0.8,0.25513,2.00829,1,0.01106,0.94883,0.02943
000021_lcam_front_lidar.ply,0.25,200,0.8,0.31983,1.72152,1,0.00676,0.82695,0.2241
000022_lcam_front_lidar.ply,0.25,200,0.8,0.23796,1.9474,1,0.01043,0.92154,0.17486
000023_lcam_front_lidar.ply,0.25,200,0.8,0.23147,6.17034,1,0.42481,0.96112,0.30764
000024_lcam_front_lidar.ply,0.25,200,0.8,0.23014,1.72044,1,0.00893,0.81559,0.21709
000025_lcam_front_lidar.ply,0.25,200,0.8,0.2802,2.0263,1,0.01809,0.92272,0.14707
000026_lcam_front_lidar.ply,0.25,200,0.8,0.28836,1.96992,1,0.01128,0.92857,0.28316
000027_lcam_front_lidar.ply,0.25,200,0.8,0.26224,2.01399,1,0.01385,0.93774,0.13482
000028_lcam_front_lidar.ply,0.25,200,0.8,0.39496,1.982,1,0.01139,0.93406,0.11976
000029_lcam_front_lidar.ply,0.25,200,0.8,0.2947,1.99975,1,0.01415,0.92914,0.12795
000030_lcam_front_lidar.ply,0.25,200,0.8,0.30991,1.9891,1,0.0108,0.94055,0.14062
000031_lcam_front_lidar.ply,0.25,200,0.8,0.30785,2.1656,1,0.021,0.97781,0.24917
000032_lcam_front_lidar.ply,0.25,200,0.8,0.31435,1.94953,1,0.01705,0.88949,0.13758
000033_lcam_front_lidar.ply,0.25,200,0.8,0.24015,1.93769,1,0.00069,0.9654,0.00371
000034_lcam_front_lidar.ply,0.25,200,0.8,0.25618,1.9833,1,0.0156,0.91363,0.28431
000035_lcam_front_lidar.ply,0.25,200,0.8,0.2726,2.10888,1,0.02571,0.92587,0.13684
000036_lcam_front_lidar.ply,0.25,200,0.8,0.30355,1.90904,1,0.00514,0.92883,0.13411
000037_lcam_front_lidar.ply,0.25,200,0.8,0.25015,2.13723,1,0.0437,0.85013,0.17416
000038_lcam_front_lidar.ply,0.25,200,0.8,0.25481,2.79186,1,0.08204,0.98571,0.23291
000039_lcam_front_lidar.ply,0.25,200,0.8,0.35028,2.91009,1,0.09517,0.9792,0.23251
000040_lcam_front_lidar.ply,0.25,200,0.8,0.23676,2.13622,1,0.02743,0.93094,0.17546
000041_lcam_front_lidar.ply,0.25,200,0.8,0.37687,2.63221,1,0.06652,0.98352,0.24632
000042_lcam_front_lidar.ply,0.25,200,0.8,0.35283,1.96228,1,0.00676,0.94735,0.12284
000043_lcam_front_lidar.ply,0.25,200,0.8,0.55294,2.34188,1,0.04194,0.96126,0.23
000044_lcam_front_lidar.ply,0.25,200,0.8,0.51541,2.27296,1,0.03513,0.96081,0.25148
000045_lcam_front_lidar.ply,0.25,200,0.8,0.47303,1.92691,1,0.01297,0.89861,0.15719
000046_lcam_front_lidar.ply,0.25,200,0.8,0.47438,1.87692,1,0.0052,0.91248,0.10474
000047_lcam_front_lidar.ply,0.25,200,0.8,0.48707,1.95715,1,0.00341,0.96155,0.04078
000048_lcam_front_lidar.ply,0.25,200,0.8,0.47959,1.93023,1,0.00795,0.92539,0.07172
000049_lcam_front_lidar.ply,0.25,200,0.8,0.54204,1.99374,1,0.0154,0.91985,0.13892
000050_lcam_front_lidar.ply,0.25,200,0.8,0.55658,1.98158,1,0.01624,0.90959,0.16087
000051_lcam_front_lidar.ply,0.25,200,0.8,0.34462,1.84298,1,0.00636,0.88968,0.15717
000052_lcam_front_lidar.ply,0.25,200,0.8,0.36446,1.88219,1,0.01196,0.8813,0.25737
000053_lcam_front_lidar.ply,0.25,200,0.8,0.38973,1.94908,1,0.00951,0.92697,0.13941
000054_lcam_front_lidar.ply,0.25,200,0.8,0.39716,1.98136,1,0.01624,0.9095,0.17962
000055_lcam_front_lidar.ply,0.25,200,0.8,0.46907,1.83209,1,0.0066,0.88306,0.13197
000056_lcam_front_lidar.ply,0.25,200,0.8,0.51479,2.03347,1,0.00585,0.98746,0.18867
000057_lcam_front_lidar.ply,0.25,200,0.8,0.55201,1.96979,1,0.00198,0.975,0.01532
000058_lcam_front_lidar.ply,0.25,200,0.8,0.5933,5.41033,1,0.35011,0.95463,0.16016
000059_lcam_front_lidar.ply,0.25,200,0.8,0.43005,1.93805,1,0.00963,0.92086,0.09794
000060_lcam_front_lidar.ply,0.25,200,0.8,0.49233,1.99328,1,0.01556,0.91886,0.1293
000061_lcam_front_lidar.ply,0.25,200,0.8,0.49015,1.98516,1,0.0144,0.92056,0.10661
000062_lcam_front_lidar.ply,0.25,200,0.8,0.42542,1.97601,1,0.0048,0.96399,0.03416
000063_lcam_front_lidar.ply,0.25,200,0.8,0.35508,2.30472,1,0.03917,0.95651,0.21746
000064_lcam_front_lidar.ply,0.25,200,0.8,0.39003,2.15048,1,0.02843,0.9331,0.21182
000065_lcam_front_lidar.ply,0.25,200,0.8,0.36983,1.95115,1,0.00411,0.95501,0.03094
000066_lcam_front_lidar.ply,0.25,200,0.8,0.45396,1.87955,1,0.01106,0.88447,0.18081
000067_lcam_front_lidar.ply,0.25,200,0.8,0.3959,1.98983,1,0.00825,0.95366,0.13579
000068_lcam_front_lidar.ply,0.25,200,0.8,0.42897,1.97551,1,0.00518,0.96184,0.05614
000069_lcam_front_lidar.ply,0.25,200,0.8,0.34882,1.93405,1,0.00721,0.93098,0.09447
000070_lcam_front_lidar.ply,0.25,200,0.8,0.27993,1.96293,1,0.00626,0.95017,0.04798
000071_lcam_front_lidar.ply,0.25,200,0.8,0.30989,2.38373,1,0.04783,0.95271,0.24591
000072_lcam_front_lidar.ply,0.25,200,0.8,0.38467,2.18473,1,0.03093,0.93769,0.20394
000073_lcam_front_lidar.ply,0.25,200,0.8,0.42942,2.0336,1,0.01759,0.92883,0.13139
000074_lcam_front_lidar.ply,0.25,200,0.8,0.35655,2.07171,1,0.02026,0.93458,0.15379
000075_lcam_front_lidar.ply,0.25,200,0.8,0.59191,2.07533,1,0.01895,0.9429,0.23079
000076_lcam_front_lidar.ply,0.25,200,0.8,0.38702,2.25074,1,0.04819,0.88442,0.26641
000077_lcam_front_lidar.ply,0.25,200,0.8,0.52096,1.92261,1,0.00593,0.93166,0.07144
000078_lcam_front_lidar.ply,0.25,200,0.8,0.50062,2.42778,1,0.059,0.91887,0.27862
000079_lcam_front_lidar.ply,0.25,200,0.8,0.43297,2.18701,1,0.04049,0.89107,0.23346
000080_lcam_front_lidar.ply,0.25,200,0.8,0.50895,1.98047,1,0.00621,0.9592,0.07027
000081_lcam_front_lidar.ply,0.25,200,0.8,0.40634,1.99471,1,0.00481,0.9733,0.03301
000082_lcam_front_lidar.ply,0.25,200,0.8,0.4703,2.01424,1,0.00156,0.99934,0.27253
000083_lcam_front_lidar.ply,0.25,200,0.8,0.7016,1.98059,1,0.00167,0.98194,0.00233
000084_lcam_front_lidar.ply,0.25,200,0.8,0.49994,1.97979,1,0.00226,0.97862,0.0308
000085_lcam_front_lidar.ply,0.25,200,0.8,0.56377,2.06201,1,0.02162,0.92291,0.2533
000086_lcam_front_lidar.ply,0.25,200,0.8,0.71022,2.12705,1,0.0364,0.88153,0.29249
000087_lcam_front_lidar.ply,0.25,200,0.8,0.49773,1.97724,1,0.00243,0.97649,0.0408
000088_lcam_front_lidar.ply,0.25,200,0.8,0.28986,1.72988,1,0.00618,0.83405,0.34415
000089_lcam_front_lidar.ply,0.25,200,0.8,0.27804,1.79654,1,0.01107,0.84292,0.12647
000090_lcam_front_lidar.ply,0.25,200,0.8,0.30785,1.80382,1,0.00148,0.89453,0.15511
000091_lcam_front_lidar.ply,0.25,200,0.8,0.34775,2.6521,1,0.06539,0.9991,0.19182
000092_lcam_front_lidar.ply,0.25,200,0.8,0.33282,1.93378,1,0.00862,0.92377,0.14456
000093_lcam_front_lidar.ply,0.25,200,0.8,0.3204,1.75742,1,0.00255,0.86598,0.14083
000094_lcam_front_lidar.ply,0.25,200,0.8,0.34673,2.43343,1,0.04776,0.9779,0.30146
000095_lcam_front_lidar.ply,0.25,200,0.8,0.39556,2.11913,1,0.01465,0.9863,0.25813
000096_lcam_front_lidar.ply,0.25,200,0.8,0.45951,2.07763,1,0.01094,0.98412,0.25936
000097_lcam_front_lidar.ply,0.25,200,0.8,0.45687,1.78084,1,0.00145,0.88315,0.13065
000098_lcam_front_lidar.ply,0.25,200,0.8,0.35918,1.93168,1,0.02459,0.84289,0.26872
000099_lcam_front_lidar.ply,0.25,200,0.8,0.3634,1.95537,1,0.01376,0.90889,0.21457
000100_lcam_front_lidar.ply,0.25,200,0.8,0.40684,1.94749,1,0.01578,0.89486,0.18283
000101_lcam_front_lidar.ply,0.25,200,0.8,0.39434,2.04263,1,0.01132,0.96473,0.12342
000102_lcam_front_lidar.ply,0.25,200,0.8,0.35314,2.24718,1,0.0278,0.98459,0.29294
000103_lcam_front_lidar.ply,0.25,200,0.8,0.37611,2.39231,1,0.04454,0.97344,0.32171
000104_lcam_front_lidar.ply,0.25,200,0.8,0.48957,2.34579,1,0.04056,0.97007,0.31593
000105_lcam_front_lidar.ply,0.25,200,0.8,0.4149,2.03321,1,0.01566,0.93831,0.1636
000106_lcam_front_lidar.ply,0.25,200,0.8,0.63674,2.05334,1,0.00961,0.97863,0.07298
000107_lcam_front_lidar.ply,0.25,200,0.8,0.55105,2.24538,1,0.02951,0.97516,0.23673
000108_lcam_front_lidar.ply,0.25,200,0.8,0.52497,2.34753,1,0.03908,0.97835,0.29097
000109_lcam_front_lidar.ply,0.25,200,0.8,0.71544,2.13209,1,0.02809,0.92558,0.19733
000110_lcam_front_lidar.ply,0.25,200,0.8,0.59638,2.12598,1,0.01329,0.99656,0.27124
000111_lcam_front_lidar.ply,0.25,200,0.8,0.79491,1.70369,1,0.0043,0.83037,0.25643
000112_lcam_front_lidar.ply,0.25,200,0.8,0.47232,1.96305,1,0.00846,0.93925,0.15915
000113_lcam_front_lidar.ply,0.25,200,0.8,0.4655,5.82289,1,0.39871,0.9179,0.23644
000114_lcam_front_lidar.ply,0.25,200,0.8,0.37041,1.7769,1,0.00645,0.85619,0.15665
000115_lcam_front_lidar.ply,0.25,200,0.8,0.46293,1.97656,1,0.00832,0.94667,0.17353
000116_lcam_front_lidar.ply,0.25,200,0.8,0.39368,1.82509,1,0.001,0.90753,0.14045
000117_lcam_front_lidar.ply,0.25,200,0.8,0.35427,1.97052,1,0.00883,0.94111,0.14864
000118_lcam_front_lidar.ply,0.25,200,0.8,0.25891,1.95658,1,0.02224,0.86709,0.20308
000119_lcam_front_lidar.ply,0.25,200,0.8,0.28987,2.00509,1,0.00197,0.99268,0.21324
000120_lcam_front_lidar.ply,0.25,200,0.8,0.33786,1.90081,1,0.00366,0.9321,0.11412
000121_lcam_front_lidar.ply,0.25,200,0.8,0.31831,2.19811,1,0.03124,0.94285,0.21433
000122_lcam_front_lidar.ply,0.25,200,0.8,0.21704,2.2626,1,0.04277,0.91744,0.24631
000123_lcam_front_lidar.ply,0.25,200,0.8,0.32257,2.09145,1,0.02754,0.90802,0.24543
000124_lcam_front_lidar.ply,0.25,200,0.8,0.23573,2.32891,1,0.04466,0.94114,0.24578
000125_lcam_front_lidar.ply,0.25,200,0.8,0.26005,2.06912,1,0.00712,0.99897,0.10644
000126_lcam_front_lidar.ply,0.25,200,0.8,0.26794,1.93749,1,0.0095,0.92125,0.14494
000127_lcam_front_lidar.ply,0.25,200,0.8,0.23218,2.4301,1,0.04323,0.99892,0.22376
000128_lcam_front_lidar.ply,0.25,200,0.8,0.27664,1.96161,1,0.01197,0.92094,0.13405
000129_lcam_front_lidar.ply,0.25,200,0.8,0.26694,1.80899,1,0.00467,0.88113,0.06669
000130_lcam_front_lidar.ply,0.25,200,0.8,0.30355,1.8571,1,0.01215,0.8678,0.1675
000131_lcam_front_lidar.ply,0.25,200,0.8,0.27809,1.92334,1,0.00685,0.9274,0.102
000132_lcam_front_lidar.ply,0.25,200,0.8,0.25073,2.21058,1,0.03877,0.91146,0.22669
000133_lcam_front_lidar.ply,0.25,200,0.8,0.27955,1.99698,1,0.02198,0.88858,0.16484
000134_lcam_front_lidar.ply,0.25,200,0.8,0.25717,1.88239,1,0.00155,0.93345,0.12042
000135_lcam_front_lidar.ply,0.25,200,0.8,0.19461,2.79498,1,0.09207,0.93716,0.28623
000136_lcam_front_lidar.ply,0.25,200,0.8,0.34105,2.62771,1,0.07686,0.92955,0.26833
000137_lcam_front_lidar.ply,0.25,200,0.8,0.19764,2.50912,1,0.06524,0.92835,0.26013
000138_lcam_front_lidar.ply,0.25,200,0.8,0.20063,1.9417,1,0.01021,0.9198,0.15986
000139_lcam_front_lidar.ply,0.25,200,0.8,0.20792,2.79885,1,0.09402,0.9293,0.29237
000140_lcam_front_lidar.ply,0.25,200,0.8,0.23198,2.65747,1,0.08141,0.92167,0.27199
000141_lcam_front_lidar.ply,0.25,200,0.8,0.23173,2.58896,1,0.07456,0.9217,0.26641
000142_lcam_front_lidar.ply,0.25,200,0.8,0.22082,2.53913,1,0.06482,0.94546,0.25595
000143_lcam_front_lidar.ply,0.25,200,0.8,0.20409,2.01689,1,0.01764,0.92027,0.20274
000144_lcam_front_lidar.ply,0.25,200,0.8,0.23599,1.99644,1,0.0177,0.90973,0.21738
000145_lcam_front_lidar.ply,0.25,200,0.8,0.24726,1.87491,1,0.00632,0.90587,0.14596
000146_lcam_front_lidar.ply,0.25,200,0.8,0.25315,1.92904,1,0.00565,0.93629,0.10749
000147_lcam_front_lidar.ply,0.25,200,0.8,0.26961,2.01443,1,0.00164,0.99903,0.11533
000148_lcam_front_lidar.ply,0.25,200,0.8,0.30634,2.71868,1,0.07846,0.96702,0.20532
000149_lcam_front_lidar.ply,0.25,200,0.8,0.30895,1.89272,1,0.0056,0.91835,0.11626
000150_lcam_front_lidar.ply,0.25,200,0.8,0.28043,2.39915,1,0.05213,0.93891,0.3006
000151_lcam_front_lidar.ply,0.25,200,0.8,0.22039,2.2028,1,0.03437,0.92955,0.23916
000152_lcam_front_lidar.ply,0.25,200,0.8,0.22366,2.55144,1,0.05833,0.98409,0.23146
000153_lcam_front_lidar.ply,0.25,200,0.8,0.21011,2.32356,1,0.03827,0.97045,0.21462
000154_lcam_front_lidar.ply,0.25,200,0.8,0.24592,2.60426,1,0.0662,0.97114,0.25434
000155_lcam_front_lidar.ply,0.25,200,0.8,0.28001,1.87939,1,0.01101,0.88467,0.23771
000156_lcam_front_lidar.ply,0.25,200,0.8,0.26038,2.45378,1,0.0596,0.92887,0.28807
000157_lcam_front_lidar.ply,0.25,200,0.8,0.29073,2.73252,1,0.07662,0.98315,0.23765
000158_lcam_front_lidar.ply,0.25,200,0.8,0.40651,1.95939,1,0.0086,0.93671,0.17081
000159_lcam_front_lidar.ply,0.25,200,0.8,0.27498,2.91371,1,0.0949,0.98237,0.25668
000160_lcam_front_lidar.ply,0.25,200,0.8,0.2622,1.96123,1,0.00922,0.93451,0.15228
000161_lcam_front_lidar.ply,0.25,200,0.8,0.31738,1.89505,1,0.00579,0.91857,0.119
000162_lcam_front_lidar.ply,0.25,200,0.8,0.23608,2.07879,1,0.01374,0.97069,0.12748
000163_lcam_front_lidar.ply,0.25,200,0.8,0.28456,2.42443,1,0.04959,0.96428,0.20862
000164_lcam_front_lidar.ply,0.25,200,0.8,0.31481,2.23171,1,0.03756,0.92804,0.27177
000165_lcam_front_lidar.ply,0.25,200,0.8,0.29113,2.20232,1,0.03374,0.93244,0.28621
000166_lcam_front_lidar.ply,0.25,200,0.8,0.32363,2.28264,1,0.04304,0.92611,0.28108
000167_lcam_front_lidar.ply,0.25,200,0.8,0.31847,2.45463,1,0.06115,0.92158,0.23538
000168_lcam_front_lidar.ply,0.25,200,0.8,0.36032,2.26737,1,0.04342,0.91657,0.25808
000169_lcam_front_lidar.ply,0.25,200,0.8,0.33095,1.93933,1,0.00507,0.9443,0.14839
000170_lcam_front_lidar.ply,0.25,200,0.8,0.31505,2.31915,1,0.04087,0.95521,0.28721
000171_lcam_front_lidar.ply,0.25,200,0.8,0.29793,2.24462,1,0.0395,0.9248,0.19768
000172_lcam_front_lidar.ply,0.25,200,0.8,0.30349,2.05955,1,0.01331,0.96321,0.22705
000173_lcam_front_lidar.ply,0.25,200,0.8,0.31858,2.00609,1,0.00454,0.98037,0.18415
000174_lcam_front_lidar.ply,0.25,200,0.8,0.32025,1.98896,1,0.00747,0.95711,0.20598
000175_lcam_front_lidar.ply,0.25,200,0.8,0.29968,2.46403,1,0.05889,0.93758,0.27021
000176_lcam_front_lidar.ply,0.25,200,0.8,0.30375,1.89787,1,0.00253,0.93631,0.12327
000177_lcam_front_lidar.ply,0.25,200,0.8,0.32604,2.51732,1,0.06737,0.92183,0.20582
000178_lcam_front_lidar.ply,0.25,200,0.8,0.30668,2.18672,1,0.02838,0.95146,0.24732
000179_lcam_front_lidar.ply,0.25,200,0.8,0.33823,1.98101,1,0.00811,0.94994,0.05028
000180_lcam_front_lidar.ply,0.25,200,0.8,0.32013,2.09088,1,0.02392,0.92584,0.21463
000181_lcam_front_lidar.ply,0.25,200,0.8,0.29314,2.3721,1,0.04626,0.95477,0.28019
000182_lcam_front_lidar.ply,0.25,200,0.8,0.28792,2.07633,1,0.01042,0.98609,0.15154
000183_lcam_front_lidar.ply,0.25,200,0.8,0.24615,1.97559,1,0.01075,0.93404,0.11239
000184_lcam_front_lidar.ply,0.25,200,0.8,0.30595,2.19812,1,0.02488,0.97467,0.16775
000185_lcam_front_lidar.ply,0.25,200,0.8,0.28596,2.06933,1,0.01963,0.93654,0.09828
000186_lcam_front_lidar.ply,0.25,200,0.8,0.40469,1.90841,1,0.00689,0.91976,0.11253
000187_lcam_front_lidar.ply,0.25,200,0.8,0.30955,2.05646,1,0.01249,0.96576,0.25313
000188_lcam_front_lidar.ply,0.25,200,0.8,0.32018,1.97411,1,0.00922,0.94097,0.11215
000189_lcam_front_lidar.ply,0.25,200,0.8,0.40421,1.7755,1,0.00847,0.8454,0.20392
000190_lcam_front_lidar.ply,0.25,200,0.8,0.32268,1.9401,1,0.00413,0.94941,0.23185
000191_lcam_front_lidar.ply,0.25,200,0.8,0.31517,2.19969,1,0.02659,0.96688,0.1571
000192_lcam_front_lidar.ply,0.25,200,0.8,0.36268,1.8744,1,0.00772,0.89861,0.20088
000193_lcam_front_lidar.ply,0.25,200,0.8,0.30734,1.81652,1,0.01215,0.84752,0.16119
000194_lcam_front_lidar.ply,0.25,200,0.8,0.33623,2.0573,1,0.0083,0.98717,0.2157
000195_lcam_front_lidar.ply,0.25,200,0.8,0.35312,2.46409,1,0.0616,0.92403,0.19313
000196_lcam_front_lidar.ply,0.25,200,0.8,0.36818,2.47425,1,0.06231,0.92558,0.20844
000197_lcam_front_lidar.ply,0.25,200,0.8,0.32484,2.00489,1,0.01553,0.9248,0.2078
000198_lcam_front_lidar.ply,0.25,200,0.8,0.3042,2.10814,1,0.01339,0.98711,0.25051
000199_lcam_front_lidar.ply,0.25,200,0.8,0.30512,2.62672,1,0.07084,0.95914,0.27366
000200_lcam_front_lidar.ply,0.25,200,0.8,0.2938,2.49165,1,0.05963,0.94769,0.23947
000201_lcam_front_lidar.ply,0.25,200,0.8,0.38496,1.78096,1,0.0151,0.81497,0.18072
000202_lcam_front_lidar.ply,0.25,200,0.8,0.34814,1.78784,1,0.00246,0.88163,0.24501
000203_lcam_front_lidar.ply,0.25,200,0.8,0.34193,4.6941,1,0.28361,0.92902,0.21181
000204_lcam_front_lidar.ply,0.25,200,0.8,0.3886,4.63663,1,0.27742,0.9312,0.21326
000205_lcam_front_lidar.ply,0.25,200,0.8,0.25849,4.71524,1,0.28389,0.93819,0.2456
000206_lcam_front_lidar.ply,0.25,200,0.8,0.33967,4.75184,1,0.28927,0.92958,0.20666
000207_lcam_front_lidar.ply,0.25,200,0.8,0.33994,4.69163,1,0.2816,0.93779,0.23452
000208_lcam_front_lidar.ply,0.25,200,0.8,0.24772,2.20013,1,0.02805,0.95983,0.21592
000209_lcam_front_lidar.ply,0.25,200,0.8,0.27737,2.73037,1,0.08858,0.92226,0.22425
000210_lcam_front_lidar.ply,0.25,200,0.8,0.28205,2.12214,1,0.02785,0.92183,0.1568
000211_lcam_front_lidar.ply,0.25,200,0.8,0.30872,4.66099,1,0.27944,0.93329,0.19651
000212_lcam_front_lidar.ply,0.25,200,0.8,0.33885,4.63629,1,0.27761,0.93008,0.21749
000213_lcam_front_lidar.ply,0.25,200,0.8,0.39468,4.70764,1,0.2835,0.93631,0.23455
000214_lcam_front_lidar.ply,0.25,200,0.8,0.47158,4.5089,1,0.26561,0.92642,0.19715
000215_lcam_front_lidar.ply,0.25,200,0.8,0.4317,4.41298,1,0.25668,0.9231,0.18147
000216_lcam_front_lidar.ply,0.25,200,0.8,0.67127,2.02579,1,0.01044,0.96071,0.18585
000217_lcam_front_lidar.ply,0.25,200,0.8,0.48765,4.67968,1,0.28422,0.91871,0.16949
000218_lcam_front_lidar.ply,0.25,200,0.8,0.75577,2.09809,1,0.00999,0.99908,0.09966
000219_lcam_front_lidar.ply,0.25,200,0.8,0.73889,4.73248,1,0.29064,0.91306,0.14608
000220_lcam_front_lidar.ply,0.25,200,0.8,0.42491,4.76026,1,0.29308,0.91471,0.14741
000221_lcam_front_lidar.ply,0.25,200,0.8,0.4337,1.7811,1,0.01254,0.82787,0.12553
000222_lcam_front_lidar.ply,0.25,200,0.8,0.44791,1.756,1,0.00977,0.82913,0.18308
000223_lcam_front_lidar.ply,0.25,200,0.8,0.41698,4.46321,1,0.26434,0.90991,0.15163
000224_lcam_front_lidar.ply,0.25,200,0.8,0.56991,4.60833,1,0.27685,0.91993,0.17778
000225_lcam_front_lidar.ply,0.25,200,0.8,0.6579,1.8218,1,0.00157,0.90307,0.02448
000226_lcam_front_lidar.ply,0.25,200,0.8,0.50178,4.53162,1,0.27086,0.91153,0.15114
000227_lcam_front_lidar.ply,0.25,200,0.8,0.61841,4.644,1,0.28136,0.91518,0.16446
000228_lcam_front_lidar.ply,0.25,200,0.8,0.55033,4.6298,1,0.28053,0.91224,0.15478
000229_lcam_front_lidar.ply,0.25,200,0.8,0.49099,1.83511,1,0.00722,0.88148,0.30175
000230_lcam_front_lidar.ply,0.25,200,0.8,0.464,4.8981,1,0.30508,0.92367,0.19674
000231_lcam_front_lidar.ply,0.25,200,0.8,0.40999,1.99208,1,0.01116,0.94023,0.25621
000232_lcam_front_lidar.ply,0.25,200,0.8,0.41855,4.4962,1,0.26505,0.92286,0.21341
000233_lcam_front_lidar.ply,0.25,200,0.8,0.43278,1.87344,1,0.00918,0.89081,0.09999
000234_lcam_front_lidar.ply,0.25,200,0.8,0.36549,2.50369,1,0.05653,0.96919,0.25791
000235_lcam_front_lidar.ply,0.25,200,0.8,0.32919,2.5533,1,0.0658,0.94764,0.27514
000236_lcam_front_lidar.ply,0.25,200,0.8,0.33018,1.86517,1,0.00655,0.89981,0.14559
000237_lcam_front_lidar.ply,0.25,200,0.8,0.45436,2.4356,1,0.05745,0.93054,0.20921
000238_lcam_front_lidar.ply,0.25,200,0.8,0.37855,2.64069,1,0.07959,0.92237,0.21401
000239_lcam_front_lidar.ply,0.25,200,0.8,0.44008,2.54644,1,0.07245,0.91099,0.17742
000240_lcam_front_lidar.ply,0.25,200,0.8,0.47005,2.6346,1,0.07891,0.92272,0.19706
000241_lcam_front_lidar.ply,0.25,200,0.8,0.34904,1.99758,1,0.01866,0.90548,0.19001
000242_lcam_front_lidar.ply,0.25,200,0.8,0.46918,1.76787,1,0.00501,0.85887,0.10766
000243_lcam_front_lidar.ply,0.25,200,0.8,0.41255,1.95863,1,0.01476,0.90551,0.15887
000244_lcam_front_lidar.ply,0.25,200,0.8,0.49484,1.91621,1,0.00993,0.90845,0.07498
000245_lcam_front_lidar.ply,0.25,200,0.8,0.4862,1.93115,1,0.01208,0.90518,0.09017
000246_lcam_front_lidar.ply,0.25,200,0.8,0.47396,1.95208,1,0.01483,0.90188,0.14039
000247_lcam_front_lidar.ply,0.25,200,0.8,0.50861,1.85139,1,0.00089,0.92124,0.13959
000248_lcam_front_lidar.ply,0.25,200,0.8,0.6763,1.952,1,0.0017,0.96749,0.00533
000249_lcam_front_lidar.ply,0.25,200,0.8,0.52489,1.91801,1,0.01255,0.89626,0.11893
000250_lcam_front_lidar.ply,0.25,200,0.8,0.61358,1.7737,1,0.00492,0.86223,0.12952
000251_lcam_front_lidar.ply,0.25,200,0.8,0.35021,1.92231,1,0.01184,0.90197,0.12182
000252_lcam_front_lidar.ply,0.25,200,0.8,0.41701,1.82642,1,0.00566,0.88491,0.12015
000253_lcam_front_lidar.ply,0.25,200,0.8,0.32901,2.0642,1,0.0088,0.98808,0.11187
