dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
SeasonalForestSpring,000000_lcam_front_lidar.ply,0.10002,799,0.04393,0.0987,0.15001,500,0.02566,0.13462,0.25,200,0.00231,0.10698,strict
SeasonalForestSpring,000001_lcam_front_lidar.ply,0.10002,799,0.03816,0.09456,0.15001,500,0.04942,0.16387,0.25,200,0.41868,0.22704,loose
SeasonalForestSpring,000002_lcam_front_lidar.ply,0.10002,799,0.2065,0.10453,0.15001,500,0.02422,0.10758,0.25,200,0.01483,0.08252,strict
SeasonalForestSpring,000003_lcam_front_lidar.ply,0.10002,799,0.19695,0.10839,0.15001,500,0.02502,0.1094,0.25,200,0.00969,0.07331,strict
SeasonalForestSpring,000004_lcam_front_lidar.ply,0.10002,799,0.0383,0.09549,0.15001,500,0.03934,0.15532,0.25,200,0.00557,0.01629,standard
SeasonalForestSpring,000005_lcam_front_lidar.ply,0.10002,799,0.04804,0.11568,0.15001,500,0.0026,0.004,0.25,200,0.03453,0.17975,strict
SeasonalForestSpring,000006_lcam_front_lidar.ply,0.10002,799,0.08954,0.10351,0.15001,500,0.03977,0.16533,0.25,200,0.01633,0.09928,strict
SeasonalForestSpring,000007_lcam_front_lidar.ply,0.10002,799,0.17947,0.12434,0.15001,500,0.03756,0.15176,0.25,200,0.37048,0.25191,loose
SeasonalForestSpring,000008_lcam_front_lidar.ply,0.10002,799,0.16996,0.11558,0.15001,500,0.04693,0.16943,0.25,200,0.00702,0.05748,strict
SeasonalForestSpring,000009_lcam_front_lidar.ply,0.10002,799,0.0825,0.1223,0.15001,500,0.04231,0.18178,0.25,200,0.00702,0.06792,strict
SeasonalForestSpring,000010_lcam_front_lidar.ply,0.10002,799,0.13235,0.10547,0.15001,500,0.04197,0.19665,0.25,200,0.35641,0.27154,loose
SeasonalForestSpring,000011_lcam_front_lidar.ply,0.10002,799,0.12559,0.10851,0.15001,500,0.0344,0.1666,0.25,200,0.06904,0.27136,strict
SeasonalForestSpring,000012_lcam_front_lidar.ply,0.10002,799,0.16418,0.12029,0.15001,500,0.05333,0.17615,0.25,200,0.08473,0.3159,strict
SeasonalForestSpring,000013_lcam_front_lidar.ply,0.10002,799,0.03759,0.05221,0.15001,500,0.05247,0.16667,0.25,200,0.00292,0.3091,standard
SeasonalForestSpring,000014_lcam_front_lidar.ply,0.10002,799,0.03638,0.10418,0.15001,500,0.04024,0.14401,0.25,200,0.00227,0.40151,standard
SeasonalForestSpring,000015_lcam_front_lidar.ply,0.10002,799,0.04335,0.12279,0.15001,500,0.04201,0.15714,0.25,200,0.00816,0.16795,strict
SeasonalForestSpring,000016_lcam_front_lidar.ply,0.10002,799,0.06779,0.09159,0.15001,500,0.04152,0.17579,0.25,200,0.09164,0.2562,loose
SeasonalForestSpring,000017_lcam_front_lidar.ply,0.10002,799,0.01924,0.09519,0.15001,500,0.02277,0.08757,0.25,200,0.00135,0.30282,standard
SeasonalForestSpring,000018_lcam_front_lidar.ply,0.10002,799,0.03179,0.12317,0.15001,500,0.04294,0.17695,0.25,200,0.00087,0.00257,standard
SeasonalForestSpring,000019_lcam_front_lidar.ply,0.10002,799,0.02002,0.10601,0.15001,500,0.0258,0.14615,0.25,200,0.00948,0.03771,standard
SeasonalForestSpring,000020_lcam_front_lidar.ply,0.10002,799,0.07908,0.13648,0.15001,500,0.00221,0.00193,0.25,200,0.01106,0.02943,strict
SeasonalForestSpring,000021_lcam_front_lidar.ply,0.10002,799,0.05539,0.0997,0.15001,500,0.00319,0.00325,0.25,200,0.00676,0.2241,strict
SeasonalForestSpring,000022_lcam_front_lidar.ply,0.10002,799,0.07467,0.09388,0.15001,500,0.00049,0.00028,0.25,200,0.01043,0.17486,strict
SeasonalForestSpring,000023_lcam_front_lidar.ply,0.10002,799,0.02876,0.04679,0.15001,500,0.01354,0.0666,0.25,200,0.42481,0.30764,loose
SeasonalForestSpring,000024_lcam_front_lidar.ply,0.10002,799,0.04634,0.06721,0.15001,500,0.0726,0.1629,0.25,200,0.00893,0.21709,standard
SeasonalForestSpring,000025_lcam_front_lidar.ply,0.10002,799,0.03434,0.04589,0.15001,500,0.02533,0.1295,0.25,200,0.01809,0.14707,strict
SeasonalForestSpring,000026_lcam_front_lidar.ply,0.10002,799,0.05596,0.09965,0.15001,500,0.01624,0.0585,0.25,200,0.01128,0.28316,strict
SeasonalForestSpring,000027_lcam_front_lidar.ply,0.10002,799,0.05241,0.09756,0.15001,500,0.00519,0.10521,0.25,200,0.01385,0.13482,strict
SeasonalForestSpring,000028_lcam_front_lidar.ply,0.10002,799,0.01973,0.10741,0.15001,500,0.0208,0.13629,0.25,200,0.01139,0.11976,standard
SeasonalForestSpring,000029_lcam_front_lidar.ply,0.10002,799,0.05773,0.10354,0.15001,500,0.00894,0.12766,0.25,200,0.01415,0.12795,strict
SeasonalForestSpring,000030_lcam_front_lidar.ply,0.10002,799,0.02196,0.10731,0.15001,500,0.22523,0.19685,0.25,200,0.0108,0.14062,standard
SeasonalForestSpring,000031_lcam_front_lidar.ply,0.10002,799,0.05133,0.09457,0.15001,500,0.01755,0.11421,0.25,200,0.021,0.24917,strict
SeasonalForestSpring,000032_lcam_front_lidar.ply,0.10002,799,0.07094,0.14327,0.15001,500,0.01738,0.12175,0.25,200,0.01705,0.13758,strict
SeasonalForestSpring,000033_lcam_front_lidar.ply,0.10002,799,0.12925,0.13646,0.15001,500,0.02036,0.14968,0.25,200,0.00069,0.00371,strict
SeasonalForestSpring,000034_lcam_front_lidar.ply,0.10002,799,0.01983,0.11929,0.15001,500,0.03962,0.12373,0.25,200,0.0156,0.28431,standard
SeasonalForestSpring,000035_lcam_front_lidar.ply,0.10002,799,0.04937,0.11959,0.15001,500,0.04299,0.11785,0.25,200,0.02571,0.13684,strict
SeasonalForestSpring,000036_lcam_front_lidar.ply,0.10002,799,0.04962,0.12247,0.15001,500,0.03831,0.11404,0.25,200,0.00514,0.13411,strict
SeasonalForestSpring,000037_lcam_front_lidar.ply,0.10002,799,0.03258,0.09508,0.15001,500,0.04106,0.11969,0.25,200,0.0437,0.17416,loose
SeasonalForestSpring,000038_lcam_front_lidar.ply,0.10002,799,0.03084,0.10006,0.15001,500,0.03821,0.12192,0.25,200,0.08204,0.23291,loose
SeasonalForestSpring,000039_lcam_front_lidar.ply,0.10002,799,0.16439,0.09526,0.15001,500,0.031,0.11373,0.25,200,0.09517,0.23251,strict
