frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,800,0.9,0.0842,0.30684,1,0.1605,0.95869,0.16211
000001_lcam_front_lidar.ply,0.25,800,0.9,0.09326,0.30032,1,0.15894,0.95808,0.17252
000002_lcam_front_lidar.ply,0.25,800,0.9,0.10283,0.28642,1,0.14506,0.95424,0.17111
000003_lcam_front_lidar.ply,0.25,800,0.9,0.11743,0.30105,1,0.15895,0.94569,0.16231
000004_lcam_front_lidar.ply,0.25,800,0.9,0.10277,0.29637,1,0.16538,0.95673,0.1882
000005_lcam_front_lidar.ply,0.25,800,0.9,0.09877,0.30122,1,0.16322,0.94364,0.17327
000006_lcam_front_lidar.ply,0.25,800,0.9,0.09696,0.29952,1,0.16598,0.9501,0.18547
000007_lcam_front_lidar.ply,0.25,800,0.9,0.08973,0.29881,1,0.17464,0.94757,0.2038
000008_lcam_front_lidar.ply,0.25,800,0.9,0.08698,0.29837,1,0.1676,0.93594,0.18807
000009_lcam_front_lidar.ply,0.25,800,0.9,0.09294,0.3084,1,0.19096,0.94631,0.20982
000010_lcam_front_lidar.ply,0.25,800,0.9,0.12026,0.29954,1,0.1889,0.94242,0.21367
000011_lcam_front_lidar.ply,0.25,800,0.9,0.13888,0.29816,1,0.1918,0.94585,0.2278
000012_lcam_front_lidar.ply,0.25,800,0.9,0.13219,0.30241,1,0.19963,0.94014,0.23503
000013_lcam_front_lidar.ply,0.25,800,0.9,0.09406,0.30105,1,0.18292,0.94658,0.20936
000014_lcam_front_lidar.ply,0.25,800,0.9,0.08425,0.3114,1,0.19464,0.94553,0.2222
000015_lcam_front_lidar.ply,0.25,800,0.9,0.10956,0.30702,1,0.19102,0.94638,0.21119
000016_lcam_front_lidar.ply,0.25,800,0.9,0.10287,0.30739,1,0.19367,0.94483,0.21627
000017_lcam_front_lidar.ply,0.2,800,0.9,0.08642,0.30895,1,0.16961,0.94462,0.17088
000018_lcam_front_lidar.ply,0.2,800,0.9,0.08881,0.3015,1,0.16451,0.94381,0.1732
000019_lcam_front_lidar.ply,0.2,800,0.9,0.08373,0.31332,1,0.16039,0.9445,0.14575
000020_lcam_front_lidar.ply,0.2,800,0.9,0.07532,0.30637,1,0.15999,0.94494,0.15347
000021_lcam_front_lidar.ply,0.2,800,0.9,0.10032,0.29627,1,0.14111,0.94524,0.13444
000022_lcam_front_lidar.ply,0.2,800,0.9,0.09609,0.29157,1,0.13711,0.94334,0.13751
000023_lcam_front_lidar.ply,0.2,800,0.9,0.07628,0.20181,1,0.00373,0.90381,0.04874
000024_lcam_front_lidar.ply,0.2,800,0.9,0.08396,0.27548,1,0.13305,0.94805,0.16121
000025_lcam_front_lidar.ply,0.2,800,0.9,0.08836,0.2858,1,0.14667,0.94599,0.16604
000026_lcam_front_lidar.ply,0.2,800,0.9,0.09946,0.26031,1,0.12655,0.93706,0.17735
