frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,800,0.9,0.0896,0.32923,1,0.16931,0.97539,0.21538
000001_lcam_front_lidar.ply,0.25,800,0.9,0.08552,0.3384,1,0.15737,0.95927,0.17861
000002_lcam_front_lidar.ply,0.25,800,0.9,0.08015,0.31858,1,0.14882,0.96157,0.19354
000003_lcam_front_lidar.ply,0.25,800,0.9,0.0773,0.34806,1,0.15865,0.94416,0.15843
000004_lcam_front_lidar.ply,0.25,800,0.9,0.08661,0.34815,1,0.16619,0.93834,0.16865
000005_lcam_front_lidar.ply,0.25,800,0.9,0.06466,0.3394,1,0.16529,0.95094,0.18706
000006_lcam_front_lidar.ply,0.25,800,0.9,0.08889,0.33412,1,0.16975,0.93626,0.20092
000007_lcam_front_lidar.ply,0.25,800,0.9,0.07893,0.33884,1,0.17337,0.93771,0.20374
000008_lcam_front_lidar.ply,0.25,800,0.9,0.07768,0.33992,1,0.17646,0.9476,0.20741
000009_lcam_front_lidar.ply,0.25,800,0.9,0.078,0.34663,1,0.18912,0.94076,0.214
000010_lcam_front_lidar.ply,0.25,800,0.9,0.07671,0.34728,1,0.18597,0.9399,0.21026
000011_lcam_front_lidar.ply,0.25,800,0.9,0.07344,0.34707,1,0.19155,0.94623,0.22646
000012_lcam_front_lidar.ply,0.25,800,0.9,0.08549,0.3461,1,0.19411,0.93892,0.2239
000013_lcam_front_lidar.ply,0.25,800,0.9,0.07998,0.34128,1,0.18452,0.94552,0.21926
000014_lcam_front_lidar.ply,0.25,800,0.9,0.07905,0.34708,1,0.19212,0.94555,0.21539
000015_lcam_front_lidar.ply,0.25,800,0.9,0.08905,0.34843,1,0.19075,0.94725,0.21062
000016_lcam_front_lidar.ply,0.25,800,0.9,0.07296,0.35204,1,0.19416,0.94474,0.21777
000017_lcam_front_lidar.ply,0.2,800,0.9,0.07318,0.34713,1,0.16804,0.94496,0.17093
000018_lcam_front_lidar.ply,0.2,800,0.9,0.08582,0.35767,1,0.18061,0.94433,0.17818
000019_lcam_front_lidar.ply,0.2,800,0.9,0.09017,0.34946,1,0.16217,0.9446,0.15502
000020_lcam_front_lidar.ply,0.2,800,0.9,0.08817,0.34724,1,0.16484,0.94504,0.16278
000021_lcam_front_lidar.ply,0.2,800,0.9,0.07122,0.33969,1,0.14215,0.94518,0.13845
000022_lcam_front_lidar.ply,0.2,800,0.9,0.0795,0.3342,1,0.1375,0.94354,0.13789
000023_lcam_front_lidar.ply,0.25,800,0.9,0.06159,0.33145,1,0.1486,0.94729,0.16571
000024_lcam_front_lidar.ply,0.25,800,0.9,0.07383,0.31847,1,0.14444,0.94738,0.18298
000025_lcam_front_lidar.ply,0.25,800,0.9,0.08101,0.32286,1,0.14825,0.94588,0.18315
000026_lcam_front_lidar.ply,0.25,800,0.9,0.07927,0.29447,1,0.13581,0.93389,0.21223
000027_lcam_front_lidar.ply,0.25,800,0.9,0.07513,0.28686,1,0.12741,0.93672,0.21209
000028_lcam_front_lidar.ply,0.25,800,0.9,0.08018,0.28986,1,0.12422,0.93602,0.19972
000029_lcam_front_lidar.ply,0.25,800,0.9,0.06938,0.28232,1,0.11906,0.94355,0.20754
000030_lcam_front_lidar.ply,0.25,800,0.9,0.08464,0.26879,1,0.10551,0.93426,0.20616
000031_lcam_front_lidar.ply,0.25,800,0.9,0.08507,0.26848,1,0.10173,0.93697,0.19997
000032_lcam_front_lidar.ply,0.25,800,0.9,0.0775,0.26393,1,0.10158,0.9377,0.20698
000033_lcam_front_lidar.ply,0.25,800,0.9,0.08487,0.24691,1,0.08516,0.9345,0.21167
000034_lcam_front_lidar.ply,0.25,800,0.9,0.07375,0.28243,1,0.12961,0.94282,0.22938
000035_lcam_front_lidar.ply,0.25,800,0.9,0.07272,0.30261,1,0.13765,0.93647,0.20196
000036_lcam_front_lidar.ply,0.25,800,0.9,0.07952,0.24352,1,0.04184,0.83509,0.13122
000037_lcam_front_lidar.ply,0.25,800,0.9,0.08757,0.23685,1,0.04,0.83179,0.13836
000038_lcam_front_lidar.ply,0.25,800,0.9,0.09847,0.23804,1,0.04121,0.83675,0.13871
000039_lcam_front_lidar.ply,0.25,800,0.9,0.0683,0.34373,1,0.15717,0.93059,0.16803
000040_lcam_front_lidar.ply,0.25,800,0.9,0.08273,0.37489,1,0.19566,0.9394,0.17911
000041_lcam_front_lidar.ply,0.25,800,0.9,0.09524,0.3527,1,0.17806,0.93855,0.1866
000042_lcam_front_lidar.ply,0.25,800,0.9,0.09492,0.37107,1,0.19008,0.93938,0.17841
000043_lcam_front_lidar.ply,0.25,800,0.9,0.08473,0.39203,1,0.20766,0.93663,0.1703
000044_lcam_front_lidar.ply,0.25,800,0.9,0.09504,0.40495,1,0.21595,0.94199,0.15759
000045_lcam_front_lidar.ply,0.25,800,0.9,0.07953,0.40925,1,0.22684,0.94234,0.17798
000046_lcam_front_lidar.ply,0.25,800,0.9,0.09093,0.40578,1,0.22981,0.94704,0.18733
000047_lcam_front_lidar.ply,0.25,800,0.9,0.08679,0.41459,1,0.23672,0.95012,0.18282
000048_lcam_front_lidar.ply,0.25,800,0.9,0.07621,0.42807,1,0.24947,0.94881,0.18318
000049_lcam_front_lidar.ply,0.25,800,0.9,0.08286,0.41644,1,0.241,0.94682,0.19148
000050_lcam_front_lidar.ply,0.25,800,0.9,0.09678,0.42213,1,0.24652,0.94823,0.1894
000051_lcam_front_lidar.ply,0.25,800,0.9,0.08698,0.41259,1,0.23088,0.9486,0.17869
000052_lcam_front_lidar.ply,0.25,800,0.9,0.0878,0.41922,1,0.2405,0.94955,0.18237
000053_lcam_front_lidar.ply,0.25,800,0.9,0.09371,0.40733,1,0.23389,0.94891,0.19077
000054_lcam_front_lidar.ply,0.25,800,0.9,0.08232,0.40669,1,0.22405,0.94966,0.17575
000055_lcam_front_lidar.ply,0.25,800,0.9,0.08897,0.40548,1,0.22382,0.95068,0.17845
000056_lcam_front_lidar.ply,0.25,800,0.9,0.08849,0.40812,1,0.23219,0.94841,0.18649
000057_lcam_front_lidar.ply,0.25,800,0.9,0.08962,0.40052,1,0.21784,0.95177,0.17021
000058_lcam_front_lidar.ply,0.25,800,0.9,0.09527,0.37823,1,0.1819,0.94809,0.14319
000059_lcam_front_lidar.ply,0.25,800,0.9,0.08321,0.38804,1,0.21152,0.95235,0.18324
000060_lcam_front_lidar.ply,0.25,800,0.9,0.09444,0.39248,1,0.21615,0.95172,0.18192
000061_lcam_front_lidar.ply,0.25,800,0.9,0.07921,0.39162,1,0.22211,0.95235,0.20358
000062_lcam_front_lidar.ply,0.25,800,0.9,0.08354,0.39662,1,0.22338,0.95779,0.19291
000063_lcam_front_lidar.ply,0.25,800,0.9,0.08997,0.39002,1,0.21759,0.95498,0.19516
000064_lcam_front_lidar.ply,0.25,800,0.9,0.08983,0.38918,1,0.21142,0.96247,0.18823
000065_lcam_front_lidar.ply,0.25,800,0.9,0.06921,0.38943,1,0.2074,0.95652,0.18169
000066_lcam_front_lidar.ply,0.25,800,0.9,0.08928,0.37887,1,0.2061,0.96272,0.19588
000067_lcam_front_lidar.ply,0.25,800,0.9,0.08803,0.38102,1,0.20899,0.95638,0.19653
000068_lcam_front_lidar.ply,0.25,800,0.9,0.07344,0.37596,1,0.1864,0.96846,0.16395
