frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15001,500,0.85,0.14326,1.88809,1,0.02566,0.81573,0.13462
000001_lcam_front_lidar.ply,0.15001,500,0.85,0.15725,2.10224,1,0.04942,0.80403,0.16387
000002_lcam_front_lidar.ply,0.15001,500,0.85,0.14239,1.85408,1,0.02422,0.80594,0.10758
000003_lcam_front_lidar.ply,0.15001,500,0.85,0.1371,2.24995,1,0.02502,0.9999,0.1094
000004_lcam_front_lidar.ply,0.15001,500,0.85,0.14248,2.06095,1,0.03934,0.83379,0.15532
000005_lcam_front_lidar.ply,0.15001,500,0.85,0.15463,2.02314,1,0.0026,0.99855,0.004
000006_lcam_front_lidar.ply,0.15001,500,0.85,0.14269,2.17514,1,0.03977,0.88874,0.16533
000007_lcam_front_lidar.ply,0.15001,500,0.85,0.16732,2.25496,1,0.03756,0.93969,0.15176
000008_lcam_front_lidar.ply,0.15001,500,0.85,0.15917,2.10295,1,0.04693,0.81682,0.16943
000009_lcam_front_lidar.ply,0.15001,500,0.85,0.13214,2.04995,1,0.04231,0.81341,0.18178
000010_lcam_front_lidar.ply,0.15001,500,0.85,0.1585,2.31214,1,0.04197,0.94622,0.19665
000011_lcam_front_lidar.ply,0.15001,500,0.85,0.14325,2.2572,1,0.0344,0.9566,0.1666
000012_lcam_front_lidar.ply,0.15001,500,0.85,0.17171,2.14738,1,0.05333,0.80703,0.17615
000013_lcam_front_lidar.ply,0.15001,500,0.85,0.13406,2.18175,1,0.05247,0.82851,0.16667
000014_lcam_front_lidar.ply,0.15001,500,0.85,0.13064,2.02526,1,0.04024,0.81145,0.14401
000015_lcam_front_lidar.ply,0.15001,500,0.85,0.14233,2.15583,1,0.04201,0.86787,0.15714
000016_lcam_front_lidar.ply,0.15001,500,0.85,0.14121,2.06202,1,0.04152,0.8234,0.17579
000017_lcam_front_lidar.ply,0.15001,500,0.85,0.17445,2.03582,1,0.02277,0.90406,0.08757
000018_lcam_front_lidar.ply,0.15001,500,0.85,0.20277,2.09773,1,0.04294,0.83416,0.17695
000019_lcam_front_lidar.ply,0.15001,500,0.85,0.26006,2.02532,1,0.0258,0.88366,0.14615
000020_lcam_front_lidar.ply,0.15001,500,0.85,0.30958,2.00897,1,0.00221,0.99342,0.00193
000021_lcam_front_lidar.ply,0.15001,500,0.85,0.32876,1.9734,1,0.00319,0.97074,0.00325
000022_lcam_front_lidar.ply,0.15001,500,0.85,0.24253,1.98911,1,0.00049,0.99208,0.00028
000023_lcam_front_lidar.ply,0.15001,500,0.85,0.15819,1.8539,1,0.01354,0.85926,0.0666
000024_lcam_front_lidar.ply,0.15001,500,0.85,0.15837,2.61423,1,0.0726,0.94414,0.1629
000025_lcam_front_lidar.ply,0.15001,500,0.85,0.16613,2.18558,1,0.02533,0.96613,0.1295
000026_lcam_front_lidar.ply,0.15001,500,0.85,0.19073,1.89498,1,0.01624,0.86628,0.0585
000027_lcam_front_lidar.ply,0.15001,500,0.85,0.21467,1.8641,1,0.00519,0.90608,0.10521
000028_lcam_front_lidar.ply,0.15001,500,0.85,0.31388,2.04678,1,0.0208,0.91937,0.13629
000029_lcam_front_lidar.ply,0.15001,500,0.85,0.26809,1.9588,1,0.00894,0.93471,0.12766
000030_lcam_front_lidar.ply,0.15001,500,0.85,0.22363,4.15639,1,0.22523,0.95205,0.19685
000031_lcam_front_lidar.ply,0.15001,500,0.85,0.22392,2.01557,1,0.01755,0.92004,0.11421
000032_lcam_front_lidar.ply,0.15001,500,0.85,0.21973,1.91838,1,0.01738,0.8723,0.12175
000033_lcam_front_lidar.ply,0.15001,500,0.85,0.21573,2.03218,1,0.02036,0.91428,0.14968
000034_lcam_front_lidar.ply,0.15001,500,0.85,0.18031,2.21081,1,0.03962,0.90732,0.12373
000035_lcam_front_lidar.ply,0.15001,500,0.85,0.20914,2.23858,1,0.04299,0.90433,0.11785
000036_lcam_front_lidar.ply,0.15001,500,0.85,0.20432,2.23101,1,0.03831,0.92393,0.11404
000037_lcam_front_lidar.ply,0.15001,500,0.85,0.18978,2.23251,1,0.04106,0.91095,0.11969
000038_lcam_front_lidar.ply,0.15001,500,0.85,0.17468,2.19897,1,0.03821,0.90843,0.12192
000039_lcam_front_lidar.ply,0.15001,500,0.85,0.19103,2.13354,1,0.031,0.91175,0.11373
000040_lcam_front_lidar.ply,0.15001,500,0.85,0.18649,2.30393,1,0.04171,0.94343,0.15728
