frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.10002,799,0.9,0.14186,2.33178,1,0.04393,0.94624,0.0987
000001_lcam_front_lidar.ply,0.10002,799,0.9,0.14825,2.29778,1,0.03816,0.95808,0.09456
000002_lcam_front_lidar.ply,0.10002,799,0.9,0.14654,3.99023,1,0.2065,0.96261,0.10453
000003_lcam_front_lidar.ply,0.10002,799,0.9,0.13464,3.86747,1,0.19695,0.94899,0.10839
000004_lcam_front_lidar.ply,0.10002,799,0.9,0.14214,2.20669,1,0.0383,0.91184,0.09549
000005_lcam_front_lidar.ply,0.10002,799,0.9,0.16416,2.24096,1,0.04804,0.88026,0.11568
000006_lcam_front_lidar.ply,0.10002,799,0.9,0.15813,2.74625,1,0.08954,0.92545,0.10351
000007_lcam_front_lidar.ply,0.10002,799,0.9,0.14302,3.69254,1,0.17947,0.94892,0.12434
000008_lcam_front_lidar.ply,0.10002,799,0.9,0.12746,3.60873,1,0.16996,0.95454,0.11558
000009_lcam_front_lidar.ply,0.10002,799,0.9,0.15852,2.70737,1,0.0825,0.94117,0.1223
000010_lcam_front_lidar.ply,0.10002,799,0.9,0.12807,3.23479,1,0.13235,0.95566,0.10547
000011_lcam_front_lidar.ply,0.10002,799,0.9,0.14247,3.16067,1,0.12559,0.9524,0.10851
000012_lcam_front_lidar.ply,0.10002,799,0.9,0.1515,3.56539,1,0.16418,0.96178,0.12029
000013_lcam_front_lidar.ply,0.10002,799,0.9,0.15078,2.28426,1,0.03759,0.95416,0.05221
000014_lcam_front_lidar.ply,0.10002,799,0.9,0.16567,2.16147,1,0.03638,0.89885,0.10418
000015_lcam_front_lidar.ply,0.10002,799,0.9,0.14296,2.17736,1,0.04335,0.87195,0.12279
000016_lcam_front_lidar.ply,0.10002,799,0.9,0.15867,2.58431,1,0.06779,0.95323,0.09159
000017_lcam_front_lidar.ply,0.10002,799,0.9,0.17254,1.93867,1,0.01924,0.87315,0.09519
000018_lcam_front_lidar.ply,0.10002,799,0.9,0.1852,2.02418,1,0.03179,0.85315,0.12317
000019_lcam_front_lidar.ply,0.10002,799,0.9,0.22707,1.8646,1,0.02002,0.83221,0.10601
000020_lcam_front_lidar.ply,0.10002,799,0.9,0.22999,2.63352,1,0.07908,0.92135,0.13648
000021_lcam_front_lidar.ply,0.10002,799,0.9,0.23304,2.44408,1,0.05539,0.94507,0.0997
000022_lcam_front_lidar.ply,0.10002,799,0.9,0.21243,2.47797,1,0.07467,0.86565,0.09388
000023_lcam_front_lidar.ply,0.10002,799,0.9,0.17505,2.05834,1,0.02876,0.88535,0.04679
000024_lcam_front_lidar.ply,0.10002,799,0.9,0.1709,2.08285,1,0.04634,0.80971,0.06721
000025_lcam_front_lidar.ply,0.10002,799,0.9,0.15928,1.9548,1,0.03434,0.80568,0.04589
000026_lcam_front_lidar.ply,0.10002,799,0.9,0.19051,2.44246,1,0.05596,0.94142,0.09965
