frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,200,0.8,0.46912,1.97747,1,0.02026,0.88741,0.23819
000001_lcam_front_lidar.ply,0.25,200,0.8,0.54015,2.04578,1,0.00492,0.99827,0.00568
000002_lcam_front_lidar.ply,0.25,200,0.8,0.51557,2.05197,1,0.0055,0.99847,0.01881
000003_lcam_front_lidar.ply,0.25,200,0.8,0.48884,2.04521,1,0.00486,0.99828,0.00514
000004_lcam_front_lidar.ply,0.25,200,0.8,0.47535,2.05299,1,0.0056,0.99847,0.01965
000005_lcam_front_lidar.ply,0.25,200,0.8,0.48711,2.41433,1,0.06904,0.86198,0.17043
000006_lcam_front_lidar.ply,0.25,200,0.8,0.51883,2.05282,1,0.00559,0.99849,0.01982
000007_lcam_front_lidar.ply,0.25,200,0.8,0.55457,1.89318,1,0.01926,0.85028,0.19635
000008_lcam_front_lidar.ply,0.25,200,0.8,0.49582,1.72116,1,0.01055,0.80783,0.24242
000009_lcam_front_lidar.ply,0.25,200,0.8,0.50239,1.93264,1,0.01844,0.8741,0.23513
000010_lcam_front_lidar.ply,0.25,200,0.8,0.50317,1.92893,1,0.0138,0.89544,0.26065
000011_lcam_front_lidar.ply,0.25,200,0.8,0.49866,1.89348,1,0.02,0.84675,0.22979
000012_lcam_front_lidar.ply,0.25,200,0.8,0.32398,1.756,1,0.00462,0.85492,0.08005
000013_lcam_front_lidar.ply,0.25,200,0.8,0.41602,1.91789,1,0.01382,0.88987,0.21672
000014_lcam_front_lidar.ply,0.25,200,0.8,0.43546,2.05134,1,0.00551,0.99814,0.01417
000015_lcam_front_lidar.ply,0.25,200,0.8,0.35865,2.05947,1,0.00635,0.998,0.01533
000016_lcam_front_lidar.ply,0.25,200,0.8,0.38087,2.0602,1,0.00642,0.998,0.01722
000017_lcam_front_lidar.ply,0.25,200,0.8,0.32384,1.85023,1,0.01341,0.85806,0.18438
000018_lcam_front_lidar.ply,0.25,200,0.8,0.39647,2.0626,1,0.0067,0.99778,0.02542
000019_lcam_front_lidar.ply,0.25,200,0.8,0.33795,2.05206,1,0.00538,0.99915,0.00988
000020_lcam_front_lidar.ply,0.25,200,0.8,0.32968,2.08778,1,0.00888,0.99951,0.04043
000021_lcam_front_lidar.ply,0.25,200,0.8,0.38231,2.01002,1,0.00185,0.99579,0.00126
000022_lcam_front_lidar.ply,0.25,200,0.8,0.41013,1.99749,1,0.00047,0.99641,0.21655
000023_lcam_front_lidar.ply,0.25,200,0.8,0.27077,2.04143,1,0.00469,0.99728,0.00401
000024_lcam_front_lidar.ply,0.25,200,0.8,0.25238,2.34416,1,0.05564,0.89389,0.19672
000025_lcam_front_lidar.ply,0.25,200,0.8,0.23378,2.0536,1,0.00552,0.99919,0.02494
000026_lcam_front_lidar.ply,0.25,200,0.8,0.25913,2.77298,1,0.09499,0.91156,0.25261
000027_lcam_front_lidar.ply,0.25,200,0.8,0.23069,1.87775,1,0.01834,0.84716,0.18393
000028_lcam_front_lidar.ply,0.25,200,0.8,0.29126,1.89403,1,0.02497,0.82219,0.1912
000029_lcam_front_lidar.ply,0.25,200,0.8,0.27954,2.06836,1,0.01866,0.9409,0.18686
000030_lcam_front_lidar.ply,0.25,200,0.8,0.2981,2.85961,1,0.10319,0.91385,0.2466
000031_lcam_front_lidar.ply,0.25,200,0.8,0.32438,2.05707,1,0.00631,0.99699,0.01501
000032_lcam_front_lidar.ply,0.25,200,0.8,0.30647,1.97347,1,0.00312,0.97111,0.30326
000033_lcam_front_lidar.ply,0.25,200,0.8,0.23591,2.09133,1,0.03584,0.86647,0.2102
000034_lcam_front_lidar.ply,0.25,200,0.8,0.27383,2.78743,1,0.09989,0.89424,0.23807
000035_lcam_front_lidar.ply,0.25,200,0.8,0.31607,2.0572,1,0.00592,0.99902,0.02654
000036_lcam_front_lidar.ply,0.25,200,0.8,0.34339,2.01032,1,0.00127,0.99879,0.00078
000037_lcam_front_lidar.ply,0.25,200,0.8,0.32476,1.99849,1,0.01699,0.91429,0.20186
