frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.17291,0.2419,1,0.11145,0.90065,0.19151
000001_lcam_front_lidar.ply,0.2,800,0.9,0.168,0.23597,1,0.11627,0.91847,0.21157
000002_lcam_front_lidar.ply,0.2,800,0.9,0.14882,0.2399,1,0.11412,0.91439,0.20344
000003_lcam_front_lidar.ply,0.2,800,0.9,0.16911,0.21953,1,0.08925,0.89738,0.19127
000004_lcam_front_lidar.ply,0.2,800,0.9,0.1479,0.2151,1,0.0636,0.88052,0.15213
000005_lcam_front_lidar.ply,0.2,800,0.9,0.1669,0.21559,1,0.09664,0.91389,0.2142
000006_lcam_front_lidar.ply,0.2,800,0.9,0.17283,0.20092,1,0.08497,0.89904,0.21815
000007_lcam_front_lidar.ply,0.2,800,0.9,0.14887,0.20183,1,0.08242,0.89526,0.21393
000008_lcam_front_lidar.ply,0.2,800,0.9,0.16876,0.17809,1,0.07022,0.88618,0.22984
000009_lcam_front_lidar.ply,0.2,800,0.9,0.14289,0.20632,1,0.08428,0.89157,0.21029
000010_lcam_front_lidar.ply,0.2,800,0.9,0.13704,0.24632,1,0.13441,0.98222,0.23114
000011_lcam_front_lidar.ply,0.2,800,0.9,0.14332,0.20559,1,0.08514,0.88598,0.21186
000012_lcam_front_lidar.ply,0.2,800,0.9,0.13373,0.20903,1,0.09031,0.89059,0.20765
000013_lcam_front_lidar.ply,0.2,800,0.9,0.1367,0.20785,1,0.08092,0.88694,0.19942
000014_lcam_front_lidar.ply,0.2,800,0.9,0.12315,0.19226,1,0.07277,0.90141,0.21011
000015_lcam_front_lidar.ply,0.2,800,0.9,0.11746,0.20547,1,0.08004,0.8929,0.2055
000016_lcam_front_lidar.ply,0.2,800,0.9,0.12347,0.22066,1,0.09662,0.89989,0.20932
000017_lcam_front_lidar.ply,0.2,800,0.9,0.11299,0.22897,1,0.00231,0.96325,0.00128
000018_lcam_front_lidar.ply,0.2,800,0.9,0.10685,0.22687,1,0.09896,0.90302,0.20194
000019_lcam_front_lidar.ply,0.2,800,0.9,0.11032,0.17882,1,0.00188,0.87939,0.09837
000020_lcam_front_lidar.ply,0.2,800,0.9,0.10614,0.23849,1,0.118,0.9048,0.21409
000021_lcam_front_lidar.ply,0.2,800,0.9,0.10633,0.18424,1,0.03625,0.94193,0.1616
000022_lcam_front_lidar.ply,0.2,800,0.9,0.10541,0.28901,1,0.18088,0.95405,0.23457
000023_lcam_front_lidar.ply,0.2,800,0.9,0.10281,0.23132,1,0.00525,0.99806,0.00383
000024_lcam_front_lidar.ply,0.2,800,0.9,0.09763,0.29983,1,0.16396,0.92556,0.18615
000025_lcam_front_lidar.ply,0.2,800,0.9,0.09562,0.19727,1,0.05133,0.9275,0.16299
000026_lcam_front_lidar.ply,0.2,800,0.9,0.08773,0.25151,1,0.12787,0.91594,0.21432
000027_lcam_front_lidar.ply,0.2,800,0.9,0.12362,0.20025,1,0.05363,0.90372,0.15807
000028_lcam_front_lidar.ply,0.2,800,0.9,0.11183,0.2479,1,0.11956,0.90577,0.20032
000029_lcam_front_lidar.ply,0.2,800,0.9,0.1099,0.28446,1,0.15144,0.92625,0.19177
000030_lcam_front_lidar.ply,0.2,800,0.9,0.11059,0.2502,1,0.12885,0.91461,0.21672
000031_lcam_front_lidar.ply,0.2,800,0.9,0.1072,0.2538,1,0.12961,0.91296,0.21561
000032_lcam_front_lidar.ply,0.2,800,0.9,0.13239,0.20907,1,0.00293,0.89933,0.04672
000033_lcam_front_lidar.ply,0.2,800,0.9,0.10731,0.24095,1,0.12962,0.91021,0.23637
000034_lcam_front_lidar.ply,0.2,800,0.9,0.126,0.19754,1,0.06378,0.88652,0.1889
000035_lcam_front_lidar.ply,0.2,800,0.9,0.11261,0.227,1,0.12952,0.96118,0.26397
000036_lcam_front_lidar.ply,0.2,800,0.9,0.1431,0.28383,1,0.18292,0.95746,0.24993
000037_lcam_front_lidar.ply,0.2,800,0.9,0.13185,0.28308,1,0.16763,0.97136,0.22808
000038_lcam_front_lidar.ply,0.2,800,0.9,0.14368,0.27192,1,0.16709,0.9705,0.24182
000039_lcam_front_lidar.ply,0.2,800,0.9,0.14553,0.28255,1,0.1792,0.96316,0.24763
000040_lcam_front_lidar.ply,0.2,800,0.9,0.12477,0.16412,1,0.02887,0.93324,0.18388
000041_lcam_front_lidar.ply,0.2,800,0.9,0.14231,0.28658,1,0.16779,0.96687,0.21511
000042_lcam_front_lidar.ply,0.2,800,0.9,0.11594,0.25448,1,0.13767,0.90974,0.22635
000043_lcam_front_lidar.ply,0.2,800,0.9,0.14213,0.29558,1,0.19046,0.95584,0.24795
000044_lcam_front_lidar.ply,0.2,800,0.9,0.1415,0.30021,1,0.18452,0.96064,0.22331
000045_lcam_front_lidar.ply,0.2,800,0.9,0.14207,0.18667,1,0.05495,0.87409,0.19398
000046_lcam_front_lidar.ply,0.2,800,0.9,0.14052,0.29245,1,0.17811,0.96991,0.22907
000047_lcam_front_lidar.ply,0.2,800,0.9,0.14248,0.177,1,0.03066,0.88271,0.16224
000048_lcam_front_lidar.ply,0.2,800,0.9,0.12976,0.29566,1,0.17991,0.97206,0.22839
000049_lcam_front_lidar.ply,0.2,800,0.9,0.14118,0.29451,1,0.17604,0.96413,0.21955
000050_lcam_front_lidar.ply,0.2,800,0.9,0.1323,0.2921,1,0.17669,0.96599,0.22446
000051_lcam_front_lidar.ply,0.2,800,0.9,0.17675,0.30056,1,0.17818,0.97166,0.20388
000052_lcam_front_lidar.ply,0.2,800,0.9,0.14722,0.29167,1,0.17421,0.96429,0.21909
000053_lcam_front_lidar.ply,0.2,800,0.9,0.14048,0.30115,1,0.17665,0.9656,0.20906
000054_lcam_front_lidar.ply,0.2,800,0.9,0.14435,0.30546,1,0.18339,0.96526,0.21065
000055_lcam_front_lidar.ply,0.2,800,0.9,0.16456,0.30122,1,0.17553,0.96874,0.19834
000056_lcam_front_lidar.ply,0.2,800,0.9,0.15744,0.29098,1,0.16186,0.97138,0.19206
000057_lcam_front_lidar.ply,0.2,800,0.9,0.1562,0.29979,1,0.17579,0.96641,0.20366
000058_lcam_front_lidar.ply,0.2,800,0.9,0.15478,0.30004,1,0.16714,0.97271,0.19106
000059_lcam_front_lidar.ply,0.2,800,0.9,0.22995,0.29215,1,0.17924,0.96143,0.21279
000060_lcam_front_lidar.ply,0.2,800,0.9,0.16855,0.30129,1,0.175,0.96432,0.20319
000061_lcam_front_lidar.ply,0.2,800,0.9,0.14147,0.28972,1,0.16252,0.97614,0.2014
000062_lcam_front_lidar.ply,0.2,800,0.9,0.15199,0.2965,1,0.16784,0.96895,0.19717
000063_lcam_front_lidar.ply,0.2,800,0.9,0.15233,0.30314,1,0.18029,0.98883,0.20957
000064_lcam_front_lidar.ply,0.2,800,0.9,0.14831,0.29591,1,0.16374,0.97576,0.19063
000065_lcam_front_lidar.ply,0.2,800,0.9,0.13706,0.21786,1,0.07386,0.94763,0.17354
000066_lcam_front_lidar.ply,0.2,800,0.9,0.13122,0.27993,1,0.1288,0.96626,0.16011
000067_lcam_front_lidar.ply,0.2,800,0.9,0.11685,0.30342,1,0.15773,0.98863,0.16857
000068_lcam_front_lidar.ply,0.2,800,0.9,0.15816,0.29251,1,0.14012,0.96938,0.15185
000069_lcam_front_lidar.ply,0.2,800,0.9,0.15058,0.29107,1,0.14374,0.9702,0.16326
000070_lcam_front_lidar.ply,0.2,800,0.9,0.1125,0.28968,1,0.13901,0.97187,0.1605
000071_lcam_front_lidar.ply,0.2,800,0.9,0.12787,0.29112,1,0.12985,0.96962,0.13907
000072_lcam_front_lidar.ply,0.2,800,0.9,0.14284,0.2933,1,0.15256,0.98791,0.1767
000073_lcam_front_lidar.ply,0.2,800,0.9,0.13588,0.27317,1,0.13325,0.97442,0.17975
000074_lcam_front_lidar.ply,0.2,800,0.9,0.12676,0.26406,1,0.12561,0.97369,0.18394
000075_lcam_front_lidar.ply,0.2,800,0.9,0.13168,0.29172,1,0.14059,0.98912,0.15619
000076_lcam_front_lidar.ply,0.2,800,0.9,0.11926,0.28479,1,0.1418,0.98762,0.18044
000077_lcam_front_lidar.ply,0.2,800,0.9,0.12018,0.28275,1,0.1279,0.98924,0.15374
000078_lcam_front_lidar.ply,0.2,800,0.9,0.12957,0.25263,1,0.10835,0.9732,0.16903
000079_lcam_front_lidar.ply,0.2,800,0.9,0.13268,0.27214,1,0.13771,0.98739,0.19083
000080_lcam_front_lidar.ply,0.2,800,0.9,0.11137,0.25998,1,0.11686,0.98826,0.17671
000081_lcam_front_lidar.ply,0.2,800,0.9,0.14689,0.24979,1,0.10915,0.98782,0.17809
000082_lcam_front_lidar.ply,0.2,800,0.9,0.14855,0.23992,1,0.10368,0.98735,0.18457
000083_lcam_front_lidar.ply,0.2,800,0.9,0.14181,0.22759,1,0.08663,0.98793,0.1762
000084_lcam_front_lidar.ply,0.2,800,0.9,0.13385,0.26047,1,0.10843,0.98599,0.15854
000085_lcam_front_lidar.ply,0.2,800,0.9,0.13842,0.26083,1,0.12145,0.98853,0.17634
000086_lcam_front_lidar.ply,0.2,800,0.9,0.1214,0.25371,1,0.12157,0.98709,0.1898
000087_lcam_front_lidar.ply,0.2,800,0.9,0.11802,0.26149,1,0.12383,0.98542,0.18417
000088_lcam_front_lidar.ply,0.2,800,0.9,0.12249,0.258,1,0.12148,0.98763,0.19052
000089_lcam_front_lidar.ply,0.2,800,0.9,0.12534,0.25634,1,0.1181,0.98742,0.18462
000090_lcam_front_lidar.ply,0.2,800,0.9,0.15488,0.24375,1,0.10851,0.98534,0.18482
000091_lcam_front_lidar.ply,0.2,800,0.9,0.11928,0.24789,1,0.12043,0.98253,0.20272
000092_lcam_front_lidar.ply,0.2,800,0.9,0.13636,0.25818,1,0.121,0.98637,0.18286
000093_lcam_front_lidar.ply,0.2,800,0.9,0.1276,0.25162,1,0.11398,0.98621,0.18554
000094_lcam_front_lidar.ply,0.2,800,0.9,0.12951,0.24995,1,0.11061,0.98627,0.18061
000095_lcam_front_lidar.ply,0.2,800,0.9,0.11245,0.26006,1,0.11745,0.98624,0.17696
000096_lcam_front_lidar.ply,0.2,800,0.9,0.12814,0.25455,1,0.11315,0.98758,0.17495
