frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.14618,0.27786,1,0.09619,0.88048,0.17477
000001_lcam_front_lidar.ply,0.2,800,0.9,0.12905,0.28076,1,0.12537,0.93108,0.22886
000002_lcam_front_lidar.ply,0.2,800,0.9,0.14201,0.28283,1,0.12491,0.92566,0.222
000003_lcam_front_lidar.ply,0.2,800,0.9,0.15394,0.24504,1,0.07106,0.91255,0.18928
000004_lcam_front_lidar.ply,0.2,800,0.9,0.13843,0.25058,1,0.06491,0.89407,0.16891
000005_lcam_front_lidar.ply,0.2,800,0.9,0.12578,0.2419,1,0.06276,0.88783,0.18235
000006_lcam_front_lidar.ply,0.2,800,0.9,0.15917,0.23877,1,0.05857,0.88886,0.17324
000007_lcam_front_lidar.ply,0.2,800,0.9,0.14998,0.23241,1,0.05042,0.87622,0.1658
000008_lcam_front_lidar.ply,0.2,800,0.9,0.14714,0.22927,1,0.07407,0.88895,0.22442
000009_lcam_front_lidar.ply,0.2,800,0.9,0.13331,0.24062,1,0.07713,0.88963,0.21026
000010_lcam_front_lidar.ply,0.2,800,0.9,0.12419,0.24804,1,0.0751,0.88142,0.19174
000011_lcam_front_lidar.ply,0.2,800,0.9,0.12891,0.25888,1,0.09892,0.89358,0.21409
000012_lcam_front_lidar.ply,0.2,800,0.9,0.11153,0.25768,1,0.08681,0.89322,0.19725
000013_lcam_front_lidar.ply,0.2,800,0.9,0.10551,0.24563,1,0.08216,0.88875,0.2121
000014_lcam_front_lidar.ply,0.2,800,0.9,0.10487,0.23657,1,0.07281,0.90136,0.20996
000015_lcam_front_lidar.ply,0.2,800,0.9,0.10296,0.24284,1,0.07676,0.89309,0.20451
000016_lcam_front_lidar.ply,0.2,800,0.9,0.09718,0.25297,1,0.08632,0.8875,0.20406
000017_lcam_front_lidar.ply,0.2,800,0.9,0.09814,0.24445,1,0.0045,0.86243,0.05483
000018_lcam_front_lidar.ply,0.2,800,0.9,0.09769,0.26543,1,0.09959,0.9038,0.20389
000019_lcam_front_lidar.ply,0.2,800,0.9,0.10633,0.26237,1,0.09723,0.89815,0.20689
000020_lcam_front_lidar.ply,0.2,800,0.9,0.0984,0.28016,1,0.11342,0.90726,0.20715
000021_lcam_front_lidar.ply,0.2,800,0.9,0.10321,0.28258,1,0.11326,0.90583,0.20042
000022_lcam_front_lidar.ply,0.2,800,0.9,0.07565,0.28197,1,0.11095,0.91022,0.20319
000023_lcam_front_lidar.ply,0.2,800,0.9,0.09329,0.28636,1,0.11714,0.91539,0.20452
000024_lcam_front_lidar.ply,0.2,800,0.9,0.08973,0.2774,1,0.11007,0.90976,0.19923
000025_lcam_front_lidar.ply,0.2,800,0.9,0.07523,0.29285,1,0.12552,0.9149,0.2074
000026_lcam_front_lidar.ply,0.2,800,0.9,0.08805,0.28919,1,0.12034,0.90636,0.20466
000027_lcam_front_lidar.ply,0.2,800,0.9,0.09845,0.24324,1,0.05784,0.9003,0.16582
000028_lcam_front_lidar.ply,0.25,800,0.9,0.09447,0.27971,1,0.12612,0.91044,0.23633
000029_lcam_front_lidar.ply,0.25,800,0.9,0.08603,0.27381,1,0.12499,0.91334,0.24354
000030_lcam_front_lidar.ply,0.25,800,0.9,0.09229,0.27102,1,0.00088,0.96441,0.0002
000031_lcam_front_lidar.ply,0.25,800,0.9,0.09473,0.22017,1,0.05735,0.90349,0.21056
000032_lcam_front_lidar.ply,0.25,800,0.9,0.09642,0.27617,1,0.12785,0.9127,0.24341
000033_lcam_front_lidar.ply,0.25,800,0.9,0.09506,0.27482,1,0.12597,0.90705,0.2435
000034_lcam_front_lidar.ply,0.25,800,0.9,0.08649,0.27644,1,0.13015,0.91127,0.25381
000035_lcam_front_lidar.ply,0.25,800,0.9,0.10319,0.28289,1,0.14122,0.91838,0.25743
000036_lcam_front_lidar.ply,0.25,800,0.9,0.1002,0.28291,1,0.13703,0.91358,0.25415
000037_lcam_front_lidar.ply,0.25,800,0.9,0.10129,0.32907,1,0.20572,0.96315,0.2912
000038_lcam_front_lidar.ply,0.25,800,0.9,0.09679,0.26626,1,0.12101,0.92154,0.25317
000039_lcam_front_lidar.ply,0.25,800,0.9,0.10431,0.33044,1,0.19935,0.96436,0.27916
000040_lcam_front_lidar.ply,0.25,800,0.9,0.10993,0.33167,1,0.21209,0.96746,0.30217
000041_lcam_front_lidar.ply,0.25,800,0.9,0.10425,0.33544,1,0.21668,0.96488,0.30487
000042_lcam_front_lidar.ply,0.25,800,0.9,0.08741,0.28262,1,0.13971,0.92745,0.25848
000043_lcam_front_lidar.ply,0.25,800,0.9,0.11341,0.21329,1,0.05822,0.88839,0.22811
000044_lcam_front_lidar.ply,0.25,800,0.9,0.12728,0.2231,1,0.05818,0.89093,0.2083
000045_lcam_front_lidar.ply,0.25,800,0.9,0.11735,0.21107,1,0.02624,0.9474,0.17433
000046_lcam_front_lidar.ply,0.2,800,0.9,0.1303,0.33346,1,0.18165,0.9706,0.23161
000047_lcam_front_lidar.ply,0.2,800,0.9,0.1192,0.33579,1,0.17946,0.96697,0.22706
000048_lcam_front_lidar.ply,0.2,800,0.9,0.13517,0.27167,1,0.00469,0.99893,0.00163
