frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15001,500,0.85,0.31057,3.31174,1,0.14866,0.91255,0.1526
000001_lcam_front_lidar.ply,0.15001,500,0.85,0.24638,2.35131,1,0.06295,0.86091,0.13153
000002_lcam_front_lidar.ply,0.15001,500,0.85,0.26458,2.15776,1,0.0451,0.85336,0.11945
000003_lcam_front_lidar.ply,0.15001,500,0.85,0.26905,2.20261,1,0.04998,0.85143,0.12697
000004_lcam_front_lidar.ply,0.15001,500,0.85,0.24408,2.50393,1,0.07161,0.8939,0.17005
000005_lcam_front_lidar.ply,0.15001,500,0.85,0.24263,2.99798,1,0.11176,0.9402,0.17583
000006_lcam_front_lidar.ply,0.15001,500,0.85,0.30578,2.20783,1,0.04775,0.86514,0.13948
000007_lcam_front_lidar.ply,0.15001,500,0.85,0.26271,2.26283,1,0.0525,0.8689,0.14302
000008_lcam_front_lidar.ply,0.15001,500,0.85,0.26232,2.20518,1,0.04616,0.87181,0.14902
000009_lcam_front_lidar.ply,0.15001,500,0.85,0.25278,2.20765,1,0.04478,0.87993,0.16328
000010_lcam_front_lidar.ply,0.15001,500,0.85,0.25924,2.00236,1,0.02401,0.88111,0.1288
000011_lcam_front_lidar.ply,0.15001,500,0.85,0.23768,2.17875,1,0.04063,0.88621,0.15535
000012_lcam_front_lidar.ply,0.15001,500,0.85,0.22277,1.87322,1,0.01664,0.85344,0.14267
000013_lcam_front_lidar.ply,0.15001,500,0.85,0.23332,2.2309,1,0.04641,0.88338,0.16514
000014_lcam_front_lidar.ply,0.15001,500,0.85,0.20834,2.15431,1,0.03585,0.89788,0.14437
000015_lcam_front_lidar.ply,0.15001,500,0.85,0.19079,2.19642,1,0.04473,0.87456,0.15039
000016_lcam_front_lidar.ply,0.15001,500,0.85,0.17122,2.35692,1,0.05904,0.88327,0.15728
000017_lcam_front_lidar.ply,0.15001,500,0.85,0.14239,2.52453,1,0.0718,0.90327,0.14995
000018_lcam_front_lidar.ply,0.15001,500,0.85,0.16681,2.47,1,0.0659,0.90551,0.14957
000019_lcam_front_lidar.ply,0.15001,500,0.85,0.17083,2.27875,1,0.0498,0.89039,0.15545
000020_lcam_front_lidar.ply,0.15001,500,0.85,0.15859,2.43124,1,0.06328,0.89921,0.15006
000021_lcam_front_lidar.ply,0.15001,500,0.85,0.14173,2.56386,1,0.07529,0.9055,0.15937
000022_lcam_front_lidar.ply,0.15001,500,0.85,0.14943,2.12174,1,0.03502,0.88576,0.14412
000023_lcam_front_lidar.ply,0.15001,500,0.85,0.15531,1.78675,1,0.00154,0.88567,0.07524
000024_lcam_front_lidar.ply,0.15001,500,0.85,0.14661,2.51988,1,0.06863,0.91679,0.16198
000025_lcam_front_lidar.ply,0.15001,500,0.85,0.16063,1.7764,1,0.00837,0.84636,0.09483
000026_lcam_front_lidar.ply,0.15001,500,0.85,0.14078,2.30722,1,0.05261,0.89057,0.15214
000027_lcam_front_lidar.ply,0.15001,500,0.85,0.1582,2.55121,1,0.0762,0.89458,0.17107
000028_lcam_front_lidar.ply,0.15001,500,0.85,0.20802,2.89329,1,0.10188,0.93724,0.21191
000029_lcam_front_lidar.ply,0.15001,500,0.85,0.18252,2.19661,1,0.04184,0.8891,0.13839
000030_lcam_front_lidar.ply,0.15001,500,0.85,0.20425,2.26228,1,0.04603,0.901,0.15966
