frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.10002,799,0.9,0.17314,2.81242,1,0.08616,0.97543,0.10001
000001_lcam_front_lidar.ply,0.10002,799,0.9,0.16766,2.80297,1,0.08573,0.97283,0.09937
000002_lcam_front_lidar.ply,0.10002,799,0.9,0.18372,2.7657,1,0.0819,0.97337,0.10602
000003_lcam_front_lidar.ply,0.10002,799,0.9,0.17869,2.52036,1,0.05692,0.97558,0.08557
000004_lcam_front_lidar.ply,0.10002,799,0.9,0.19142,2.45622,1,0.05048,0.97571,0.09678
000005_lcam_front_lidar.ply,0.10002,799,0.9,0.18692,2.47171,1,0.0503,0.98434,0.09369
000006_lcam_front_lidar.ply,0.10002,799,0.9,0.15908,2.5867,1,0.06056,0.99054,0.08881
000007_lcam_front_lidar.ply,0.10002,799,0.9,0.18735,-2.0,1,0.0,0.0,0.0
000008_lcam_front_lidar.ply,0.10002,799,0.9,0.20657,2.42841,1,0.05756,0.92643,0.10398
000009_lcam_front_lidar.ply,0.10002,799,0.9,0.17455,2.52854,1,0.05371,0.9957,0.08736
000010_lcam_front_lidar.ply,0.10002,799,0.9,0.16905,2.73259,1,0.07506,0.99098,0.105
000011_lcam_front_lidar.ply,0.10002,799,0.9,0.17462,2.1626,1,0.03706,0.89599,0.11615
000012_lcam_front_lidar.ply,0.10002,799,0.9,0.1815,2.68995,1,0.0764,0.96295,0.09206
000013_lcam_front_lidar.ply,0.10002,799,0.9,0.15841,3.3541,1,0.1386,0.98404,0.11566
000014_lcam_front_lidar.ply,0.10002,799,0.9,0.1548,3.58813,1,0.16155,0.98633,0.10713
000015_lcam_front_lidar.ply,0.10002,799,0.9,0.16535,3.77531,1,0.18036,0.98587,0.09712
000016_lcam_front_lidar.ply,0.10002,799,0.9,0.16403,3.75699,1,0.17827,0.98716,0.10104
000017_lcam_front_lidar.ply,0.10002,799,0.9,0.14298,4.17443,1,0.22307,0.97185,0.09657
000018_lcam_front_lidar.ply,0.10002,799,0.9,0.17234,2.00054,1,0.00032,0.99867,5e-05
000019_lcam_front_lidar.ply,0.10002,799,0.9,0.15841,1.93985,1,0.00077,0.96609,0.00085
000020_lcam_front_lidar.ply,0.10002,799,0.9,0.17393,1.86907,1,0.00502,0.90942,0.08132
000021_lcam_front_lidar.ply,0.10002,799,0.9,0.1583,2.29294,1,0.04513,0.92083,0.09215
000022_lcam_front_lidar.ply,0.10002,799,0.9,0.20241,2.41835,1,0.05762,0.92106,0.11353
000023_lcam_front_lidar.ply,0.10002,799,0.9,0.15022,4.54354,1,0.26156,0.96396,0.08492
000024_lcam_front_lidar.ply,0.10002,799,0.9,0.19052,2.46074,1,0.06146,0.92307,0.09888
000025_lcam_front_lidar.ply,0.10002,799,0.9,0.1588,2.81225,1,0.09608,0.92574,0.0937
000026_lcam_front_lidar.ply,0.10002,799,0.9,0.19169,2.04487,1,0.0229,0.90791,0.10064
000027_lcam_front_lidar.ply,0.10002,799,0.9,0.15871,2.3693,1,0.05262,0.92157,0.10255
000028_lcam_front_lidar.ply,0.10002,799,0.9,0.14662,2.63588,1,0.06629,0.98647,0.13479
000029_lcam_front_lidar.ply,0.10002,799,0.9,0.17275,3.68025,1,0.17609,0.9597,0.08808
000030_lcam_front_lidar.ply,0.10002,799,0.9,0.18181,2.46585,1,0.06078,0.92902,0.09865
000031_lcam_front_lidar.ply,0.10002,799,0.9,0.15866,2.69874,1,0.08479,0.92543,0.09989
000032_lcam_front_lidar.ply,0.10002,799,0.9,0.18918,2.73581,1,0.08536,0.9411,0.0965
000033_lcam_front_lidar.ply,0.10002,799,0.9,0.21105,2.12664,1,0.02219,0.95237,0.10431
000034_lcam_front_lidar.ply,0.10002,799,0.9,0.20702,2.26349,1,0.04047,0.92938,0.12178
000035_lcam_front_lidar.ply,0.10002,799,0.9,0.23109,2.35134,1,0.04149,0.9682,0.09576
000036_lcam_front_lidar.ply,0.10002,799,0.9,0.24622,2.28419,1,0.03779,0.95316,0.07076
000037_lcam_front_lidar.ply,0.10002,799,0.9,0.22218,2.31868,1,0.04273,0.94567,0.13239
000038_lcam_front_lidar.ply,0.10002,799,0.9,0.23817,3.66104,1,0.16902,0.98544,0.09358
000039_lcam_front_lidar.ply,0.10002,799,0.9,0.28477,3.74309,1,0.17727,0.98522,0.0996
000040_lcam_front_lidar.ply,0.10002,799,0.9,0.24072,3.77905,1,0.18136,0.98271,0.09804
000041_lcam_front_lidar.ply,0.10002,799,0.9,0.30061,3.87017,1,0.18931,0.98853,0.10622
000042_lcam_front_lidar.ply,0.10002,799,0.9,0.30183,3.7206,1,0.17542,0.98318,0.08938
000043_lcam_front_lidar.ply,0.10002,799,0.9,0.24138,3.87535,1,0.19137,0.98085,0.09985
000044_lcam_front_lidar.ply,0.10002,799,0.9,0.26231,3.7265,1,0.17567,0.98489,0.09193
000045_lcam_front_lidar.ply,0.10002,799,0.9,0.33632,3.76075,1,0.17844,0.98815,0.1015
000046_lcam_front_lidar.ply,0.10002,799,0.9,0.24712,3.71075,1,0.1748,0.98139,0.09643
000047_lcam_front_lidar.ply,0.10002,799,0.9,0.33756,3.31619,1,0.13488,0.98372,0.08479
000048_lcam_front_lidar.ply,0.10002,799,0.9,0.35313,2.273,1,0.02868,0.99309,0.09255
000049_lcam_front_lidar.ply,0.10002,799,0.9,0.29405,3.40607,1,0.14467,0.97967,0.08658
000050_lcam_front_lidar.ply,0.10002,799,0.9,0.30146,3.59176,1,0.16326,0.97958,0.08209
000051_lcam_front_lidar.ply,0.10002,799,0.9,0.31709,3.67319,1,0.17111,0.98103,0.08082
000052_lcam_front_lidar.ply,0.10002,799,0.9,0.27138,3.53116,1,0.15704,0.98038,0.08585
