frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,200,0.8,0.54625,2.16477,1,0.01802,0.99228,0.23673
000001_lcam_front_lidar.ply,0.25,200,0.8,0.73857,2.16895,1,0.01852,0.99185,0.24108
000002_lcam_front_lidar.ply,0.25,200,0.8,0.80998,2.52259,1,0.05306,0.99602,0.25365
000003_lcam_front_lidar.ply,0.25,200,0.8,0.53454,2.16751,1,0.01847,0.99139,0.2293
000004_lcam_front_lidar.ply,0.25,200,0.8,0.75161,2.17063,1,0.01875,0.99157,0.22971
000005_lcam_front_lidar.ply,0.25,200,0.8,0.90391,2.16548,1,0.01828,0.99133,0.22746
000006_lcam_front_lidar.ply,0.25,200,0.8,1.01029,2.15349,1,0.01667,0.99341,0.19757
000007_lcam_front_lidar.ply,0.25,200,0.8,0.78688,1.76498,1,0.00281,0.86843,0.08137
000008_lcam_front_lidar.ply,0.25,200,0.8,1.37933,2.15864,1,0.0175,0.99182,0.21035
000009_lcam_front_lidar.ply,0.25,200,0.8,0.38441,2.00494,1,0.00104,0.99726,0.0007
000010_lcam_front_lidar.ply,0.25,200,0.8,1.10138,2.13346,1,0.01439,0.99477,0.23284
000011_lcam_front_lidar.ply,0.25,200,0.8,0.64214,2.31162,1,0.04771,0.91727,0.11269
000012_lcam_front_lidar.ply,0.25,200,0.8,0.52112,1.96562,1,0.00234,0.97109,0.00256
000013_lcam_front_lidar.ply,0.25,200,0.8,0.51816,3.78388,1,0.21559,0.81399,0.06851
000014_lcam_front_lidar.ply,0.25,200,0.8,0.48975,1.77744,1,0.01196,0.82891,0.23806
000015_lcam_front_lidar.ply,0.25,200,0.8,0.62097,2.09915,1,0.01467,0.97622,0.26705
000016_lcam_front_lidar.ply,0.25,200,0.8,0.39729,2.048,1,0.01563,0.94587,0.28998
000017_lcam_front_lidar.ply,0.25,200,0.8,0.66274,1.73141,1,0.00153,0.85807,0.07526
000018_lcam_front_lidar.ply,0.25,200,0.8,0.37623,1.85915,1,0.01283,0.86543,0.23382
000019_lcam_front_lidar.ply,0.25,200,0.8,0.31928,2.05911,1,0.01665,0.94631,0.29274
000020_lcam_front_lidar.ply,0.25,200,0.8,0.44828,4.07265,1,0.24109,0.83086,0.06502
000021_lcam_front_lidar.ply,0.25,200,0.8,0.47823,2.56967,1,0.0657,0.95636,0.12734
000022_lcam_front_lidar.ply,0.25,200,0.8,0.42938,2.01101,1,0.00259,0.99257,0.00562
000023_lcam_front_lidar.ply,0.25,200,0.8,0.58477,1.69566,1,0.00175,0.83906,0.08955
000024_lcam_front_lidar.ply,0.25,200,0.8,0.31957,2.05132,1,0.01748,0.93825,0.28034
000025_lcam_front_lidar.ply,0.25,200,0.8,0.37475,1.99292,1,0.01405,0.92623,0.14112
000026_lcam_front_lidar.ply,0.25,200,0.8,0.41351,2.00331,1,0.00101,0.99662,0.00055
000027_lcam_front_lidar.ply,0.25,200,0.8,0.33656,2.01727,1,0.01427,0.93728,0.25533
000028_lcam_front_lidar.ply,0.25,200,0.8,0.3984,1.89485,1,0.01208,0.887,0.24219
000029_lcam_front_lidar.ply,0.25,200,0.8,0.40109,1.99835,1,0.00424,0.978,0.13236
000030_lcam_front_lidar.ply,0.25,200,0.8,0.41947,1.91142,1,0.01462,0.88262,0.30874
000031_lcam_front_lidar.ply,0.25,200,0.8,0.32807,2.00321,1,0.00101,0.99657,0.00058
000032_lcam_front_lidar.ply,0.25,200,0.8,0.47277,2.01232,1,0.0058,0.97717,0.1114
000033_lcam_front_lidar.ply,0.25,200,0.8,0.37877,2.066,1,0.01505,0.95773,0.28955
000034_lcam_front_lidar.ply,0.25,200,0.8,0.32512,4.2538,1,0.24825,0.88567,0.0736
000035_lcam_front_lidar.ply,0.25,200,0.8,0.29148,4.23342,1,0.24541,0.88967,0.07394
000036_lcam_front_lidar.ply,0.25,200,0.8,0.37603,4.91582,1,0.2958,0.97893,0.10029
000037_lcam_front_lidar.ply,0.25,200,0.8,0.45548,1.95893,1,0.00488,0.95507,0.11815
000038_lcam_front_lidar.ply,0.25,200,0.8,0.43484,1.9876,1,0.00571,0.96524,0.11116
000039_lcam_front_lidar.ply,0.25,200,0.8,0.28952,2.04473,1,0.00668,0.98894,0.14474
000040_lcam_front_lidar.ply,0.25,200,0.8,0.30724,1.98567,1,0.00583,0.96367,0.10994
000041_lcam_front_lidar.ply,0.25,200,0.8,0.34797,3.01589,1,0.10172,0.99934,0.24168
000042_lcam_front_lidar.ply,0.25,200,0.8,0.36038,2.0257,1,0.00493,0.98819,0.08914
000043_lcam_front_lidar.ply,0.25,200,0.8,0.42147,7.74939,1,0.57504,0.99951,0.18525
000044_lcam_front_lidar.ply,0.25,200,0.8,0.39403,2.06921,1,0.00771,0.99606,0.20875
000045_lcam_front_lidar.ply,0.25,200,0.8,0.48837,4.20685,1,0.24128,0.89702,0.0754
000046_lcam_front_lidar.ply,0.25,200,0.8,0.40467,4.26575,1,0.24117,0.92704,0.06655
000047_lcam_front_lidar.ply,0.25,200,0.8,0.41207,1.86666,1,0.00359,0.91536,0.10136
000048_lcam_front_lidar.ply,0.25,200,0.8,0.38045,2.00574,1,0.00123,0.99671,0.00096
000049_lcam_front_lidar.ply,0.25,200,0.8,0.30298,1.94104,1,0.00226,0.95923,0.0748
000050_lcam_front_lidar.ply,0.25,200,0.8,0.35721,1.96111,1,0.00297,0.96571,0.012
000051_lcam_front_lidar.ply,0.25,200,0.8,0.48926,2.06674,1,0.01063,0.98024,0.21488
000052_lcam_front_lidar.ply,0.25,200,0.8,0.38641,2.03761,1,0.00821,0.97774,0.17602
000053_lcam_front_lidar.ply,0.25,200,0.8,0.39295,2.01843,1,0.00958,0.9613,0.17827
000054_lcam_front_lidar.ply,0.25,200,0.8,0.39512,2.04228,1,0.00486,0.99683,0.08555
000055_lcam_front_lidar.ply,0.25,200,0.8,0.37969,1.86695,1,0.00299,0.91854,0.01276
000056_lcam_front_lidar.ply,0.25,200,0.8,0.40038,4.30164,1,0.24313,0.9352,0.06367
000057_lcam_front_lidar.ply,0.25,200,0.8,0.43605,1.86295,1,0.00964,0.8833,0.20383
000058_lcam_front_lidar.ply,0.25,200,0.8,0.39522,4.26071,1,0.23719,0.94442,0.06197
000059_lcam_front_lidar.ply,0.25,200,0.8,0.45246,1.9508,1,0.00151,0.96785,0.05118
000060_lcam_front_lidar.ply,0.25,200,0.8,0.31742,1.95405,1,0.00194,0.9673,0.07242
000061_lcam_front_lidar.ply,0.25,200,0.8,0.35962,2.00439,1,0.00113,0.99655,0.00076
000062_lcam_front_lidar.ply,0.25,200,0.8,0.47959,4.27071,1,0.23696,0.95055,0.06248
000063_lcam_front_lidar.ply,0.25,200,0.8,0.38889,2.00102,1,0.00149,0.99304,0.00228
000064_lcam_front_lidar.ply,0.25,200,0.8,0.43552,1.83046,1,0.00142,0.90811,0.0535
000065_lcam_front_lidar.ply,0.25,200,0.8,0.36311,4.32004,1,0.24252,0.94743,0.06296
000066_lcam_front_lidar.ply,0.25,200,0.8,0.42682,1.90393,1,0.00424,0.93079,0.12366
000067_lcam_front_lidar.ply,0.25,200,0.8,0.43882,2.00658,1,0.0013,0.99678,0.00104
000068_lcam_front_lidar.ply,0.25,200,0.8,0.40167,4.23987,1,0.23375,0.95119,0.06193
000069_lcam_front_lidar.ply,0.25,200,0.8,0.60454,2.01148,1,0.00646,0.97345,0.14429
000070_lcam_front_lidar.ply,0.25,200,0.8,0.46582,1.89086,1,0.00436,0.92364,0.12057
000071_lcam_front_lidar.ply,0.25,200,0.8,0.38517,4.30665,1,0.24184,0.94412,0.0607
000072_lcam_front_lidar.ply,0.25,200,0.8,0.35347,1.88718,1,0.00453,0.92093,0.1217
000073_lcam_front_lidar.ply,0.25,200,0.8,0.30747,1.9992,1,0.00667,0.96627,0.15566
000074_lcam_front_lidar.ply,0.25,200,0.8,0.40643,1.99828,1,0.00681,0.96511,0.15841
000075_lcam_front_lidar.ply,0.25,200,0.8,0.28765,2.05226,1,0.00901,0.98108,0.14813
000076_lcam_front_lidar.ply,0.25,200,0.8,0.4542,2.0542,1,0.00906,0.98179,0.21606
000077_lcam_front_lidar.ply,0.25,200,0.8,0.35071,1.87694,1,0.00486,0.91417,0.12066
000078_lcam_front_lidar.ply,0.25,200,0.8,0.4541,1.99924,1,0.00118,0.99372,0.00072
000079_lcam_front_lidar.ply,0.25,200,0.8,0.29569,1.98619,1,0.00175,0.98433,0.00451
000080_lcam_front_lidar.ply,0.25,200,0.8,0.34423,4.2865,1,0.23925,0.94698,0.05863
000081_lcam_front_lidar.ply,0.25,200,0.8,0.52999,2.0129,1,0.01403,0.93631,0.2597
000082_lcam_front_lidar.ply,0.25,200,0.8,0.32155,1.91958,1,0.01547,0.88245,0.25306
000083_lcam_front_lidar.ply,0.25,200,0.8,0.3551,1.99473,1,0.01297,0.93252,0.1896
000084_lcam_front_lidar.ply,0.25,200,0.8,0.44083,1.9907,1,0.00714,0.95967,0.1582
000085_lcam_front_lidar.ply,0.25,200,0.8,0.51547,1.96953,1,0.00111,0.97921,0.00342
000086_lcam_front_lidar.ply,0.25,200,0.8,0.43057,1.98998,1,0.007,0.96001,0.09917
000087_lcam_front_lidar.ply,0.25,200,0.8,0.38124,2.01141,1,0.00144,0.9985,0.01108
000088_lcam_front_lidar.ply,0.25,200,0.8,0.4095,1.94066,1,0.00771,0.93179,0.13364
000089_lcam_front_lidar.ply,0.25,200,0.8,0.42719,1.96203,1,0.0076,0.94299,0.1089
000090_lcam_front_lidar.ply,0.25,200,0.8,0.56875,1.93093,1,0.01467,0.89211,0.12622
000091_lcam_front_lidar.ply,0.25,200,0.8,0.42416,1.94701,1,0.01295,0.90875,0.12725
000092_lcam_front_lidar.ply,0.25,200,0.8,0.32517,1.94955,1,0.00667,0.94144,0.11122
000093_lcam_front_lidar.ply,0.25,200,0.8,0.50316,1.97276,1,0.00714,0.9507,0.11503
000094_lcam_front_lidar.ply,0.25,200,0.8,0.49134,1.86333,1,0.00559,0.90371,0.10826
000095_lcam_front_lidar.ply,0.25,200,0.8,0.55746,1.88532,1,0.00688,0.90828,0.10798
000096_lcam_front_lidar.ply,0.25,200,0.8,0.64325,4.00379,1,0.20976,0.95311,0.05394
000097_lcam_front_lidar.ply,0.25,200,0.8,0.48816,1.93074,1,0.01217,0.90452,0.12402
000098_lcam_front_lidar.ply,0.25,200,0.8,0.54979,1.94754,1,0.01175,0.915,0.11639
000099_lcam_front_lidar.ply,0.25,200,0.8,0.42858,1.88965,1,0.00769,0.90637,0.12043
000100_lcam_front_lidar.ply,0.25,200,0.8,0.88114,1.8507,1,0.00753,0.88767,0.11676
000101_lcam_front_lidar.ply,0.25,200,0.8,0.5648,1.87921,1,0.01115,0.88387,0.16931
000102_lcam_front_lidar.ply,0.25,200,0.8,0.45552,2.02616,1,0.00418,0.99216,0.17381
000103_lcam_front_lidar.ply,0.25,200,0.8,0.73052,4.0525,1,0.22314,0.91054,0.04786
000104_lcam_front_lidar.ply,0.25,200,0.8,0.31861,2.03633,1,0.00458,0.99525,0.00911
000105_lcam_front_lidar.ply,0.25,200,0.8,0.37469,1.9468,1,0.00519,0.94745,0.13506
000106_lcam_front_lidar.ply,0.25,200,0.8,0.44841,2.05925,1,0.01576,0.95081,0.21232
000107_lcam_front_lidar.ply,0.25,200,0.8,0.60158,1.97111,1,0.0042,0.96455,0.06613
000108_lcam_front_lidar.ply,0.25,200,0.8,0.6511,2.07655,1,0.00972,0.98967,0.14196
000109_lcam_front_lidar.ply,0.25,200,0.8,0.53566,2.10852,1,0.0112,0.99827,0.19182
000110_lcam_front_lidar.ply,0.25,200,0.8,0.56159,2.1215,1,0.01252,0.99816,0.18902
000111_lcam_front_lidar.ply,0.25,200,0.8,0.76283,2.10773,1,0.0154,0.97687,0.14348
000112_lcam_front_lidar.ply,0.25,200,0.8,0.76723,2.13142,1,0.01696,0.9809,0.11079
000113_lcam_front_lidar.ply,0.25,200,0.8,0.96773,2.33488,1,0.03351,0.99991,0.15771
000114_lcam_front_lidar.ply,0.25,200,0.8,0.86927,2.23221,1,0.02451,0.99354,0.21527
000115_lcam_front_lidar.ply,0.25,200,0.8,1.46245,2.51189,1,0.0512,0.99995,0.21062
000116_lcam_front_lidar.ply,0.25,200,0.8,0.96226,2.10716,1,0.01495,0.97884,0.28254
000117_lcam_front_lidar.ply,0.25,200,0.8,2.09315,2.1713,1,0.01786,0.99633,0.15975
000118_lcam_front_lidar.ply,0.25,200,0.8,1.08019,2.56334,1,0.05634,0.99998,0.20272
000119_lcam_front_lidar.ply,0.25,200,0.8,1.57905,1.98053,1,0.00318,0.97438,0.04225
000120_lcam_front_lidar.ply,0.25,200,0.8,1.184,1.97645,1,0.00283,0.97408,0.05483
000121_lcam_front_lidar.ply,0.25,200,0.8,1.85311,1.84317,1,0.00179,0.91264,0.05135
000122_lcam_front_lidar.ply,0.25,200,0.8,1.71106,2.01343,1,0.00181,0.99769,0.00282
000123_lcam_front_lidar.ply,0.25,200,0.8,1.84362,2.14511,1,0.01528,0.99616,0.13941
000124_lcam_front_lidar.ply,0.25,200,0.8,2.87651,2.01137,1,0.00467,0.98234,0.0476
000125_lcam_front_lidar.ply,0.25,200,0.8,2.50114,2.10126,1,0.01092,0.99602,0.11708
000126_lcam_front_lidar.ply,0.25,200,0.8,2.55197,2.14702,1,0.0154,0.99652,0.14879
000127_lcam_front_lidar.ply,0.25,200,0.8,1.99243,2.67692,1,0.06771,0.99989,0.21531
000128_lcam_front_lidar.ply,0.25,200,0.8,1.952,2.71691,1,0.07178,0.99956,0.23662
000129_lcam_front_lidar.ply,0.25,200,0.8,2.50556,2.15579,1,0.01587,0.99856,0.13974
000130_lcam_front_lidar.ply,0.25,200,0.8,2.20608,1.88385,1,0.00224,0.93073,0.09208
000131_lcam_front_lidar.ply,0.25,200,0.8,2.27956,2.16226,1,0.01641,0.9991,0.13657
000132_lcam_front_lidar.ply,0.25,200,0.8,3.66082,2.19373,1,0.02076,0.99304,0.10241
000133_lcam_front_lidar.ply,0.25,200,0.8,2.01439,2.77696,1,0.07783,0.99932,0.27033
000134_lcam_front_lidar.ply,0.25,200,0.8,2.07791,2.1635,1,0.01637,0.99989,0.13843
000135_lcam_front_lidar.ply,0.25,200,0.8,1.62042,2.16533,1,0.01655,0.99994,0.1401
000136_lcam_front_lidar.ply,0.25,200,0.8,1.82939,2.1599,1,0.01601,0.99991,0.14262
000137_lcam_front_lidar.ply,0.25,200,0.8,2.11552,2.16208,1,0.01627,0.9997,0.15474
000138_lcam_front_lidar.ply,0.25,200,0.8,1.11339,2.15843,1,0.01597,0.99935,0.16309
000139_lcam_front_lidar.ply,0.25,200,0.8,1.97295,2.15155,1,0.01533,0.99912,0.16715
000140_lcam_front_lidar.ply,0.25,200,0.8,2.02131,2.15187,1,0.01549,0.9985,0.17959
000141_lcam_front_lidar.ply,0.25,200,0.8,1.32754,2.65648,1,0.06575,0.9995,0.21254
000142_lcam_front_lidar.ply,0.25,200,0.8,1.18289,2.07056,1,0.00957,0.98745,0.12982
000143_lcam_front_lidar.ply,0.25,200,0.8,1.28011,2.13477,1,0.01411,0.99681,0.20566
000144_lcam_front_lidar.ply,0.25,200,0.8,1.25703,2.10779,1,0.01104,0.99868,0.16723
000145_lcam_front_lidar.ply,0.25,200,0.8,1.08167,1.99944,1,0.00069,0.99625,0.00038
000146_lcam_front_lidar.ply,0.25,200,0.8,1.18398,2.60737,1,0.06082,0.99958,0.20745
000147_lcam_front_lidar.ply,0.25,200,0.8,1.32919,2.13433,1,0.01448,0.99477,0.13039
000148_lcam_front_lidar.ply,0.25,200,0.8,0.95571,2.09651,1,0.00977,0.99938,0.1516
000149_lcam_front_lidar.ply,0.25,200,0.8,1.00917,1.92224,1,0.00217,0.95027,0.11265
000150_lcam_front_lidar.ply,0.25,200,0.8,0.8141,1.91337,1,0.00221,0.94566,0.10886
000151_lcam_front_lidar.ply,0.25,200,0.8,0.95934,1.94021,1,0.00139,0.96316,0.15825
000152_lcam_front_lidar.ply,0.25,200,0.8,1.16455,1.99776,1,0.00122,0.9928,0.00096
000153_lcam_front_lidar.ply,0.25,200,0.8,1.00203,2.61292,1,0.06177,0.9976,0.25023
