dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
Sewerage,000000_lcam_front_lidar.ply,0.10002,799,0.17554,0.06276,0.15001,500,0.08609,0.21568,0.25,200,0.01802,0.23673,strict
Sewerage,000001_lcam_front_lidar.ply,0.10002,799,0.05023,0.13411,0.15001,500,0.03384,0.20115,0.25,200,0.01852,0.24108,strict
Sewerage,000002_lcam_front_lidar.ply,0.10002,799,0.03687,0.14653,0.15001,500,0.01257,0.15786,0.25,200,0.05306,0.25365,loose
Sewerage,000003_lcam_front_lidar.ply,0.10002,799,0.04837,0.14598,0.15001,500,0.03368,0.20321,0.25,200,0.01847,0.2293,strict
Sewerage,000004_lcam_front_lidar.ply,0.10002,799,0.00599,0.06162,0.15001,500,0.0109,0.12081,0.25,200,0.01875,0.22971,loose
Sewerage,000005_lcam_front_lidar.ply,0.10002,799,0.04408,0.14573,0.15001,500,0.0058,0.19246,0.25,200,0.01828,0.22746,strict
Sewerage,000006_lcam_front_lidar.ply,0.10002,799,0.04387,0.15162,0.15001,500,0.00248,0.00589,0.25,200,0.01667,0.19757,strict
Sewerage,000007_lcam_front_lidar.ply,0.10002,799,0.16321,0.03931,0.15001,500,0.03542,0.16358,0.25,200,0.00281,0.08137,strict
Sewerage,000008_lcam_front_lidar.ply,0.10002,799,0.03097,0.12074,0.15001,500,0.04073,0.16704,0.25,200,0.0175,0.21035,standard
Sewerage,000009_lcam_front_lidar.ply,0.10002,799,0.01635,0.13865,0.15001,500,0.05245,0.20534,0.25,200,0.00104,0.0007,standard
Sewerage,000010_lcam_front_lidar.ply,0.10002,799,0.02844,0.1231,0.15001,500,0.00146,0.00151,0.25,200,0.01439,0.23284,strict
Sewerage,000011_lcam_front_lidar.ply,0.10002,799,0.00266,0.07707,0.15001,500,0.04009,0.19502,0.25,200,0.04771,0.11269,loose
Sewerage,000012_lcam_front_lidar.ply,0.10002,799,0.01123,0.07718,0.15001,500,0.00193,0.00125,0.25,200,0.00234,0.00256,strict
Sewerage,000013_lcam_front_lidar.ply,0.10002,799,0.02972,0.0552,0.15001,500,0.00898,0.18171,0.25,200,0.21559,0.06851,loose
Sewerage,000014_lcam_front_lidar.ply,0.10002,799,0.03227,0.05661,0.15001,500,0.00686,0.04663,0.25,200,0.01196,0.23806,strict
Sewerage,000015_lcam_front_lidar.ply,0.10002,799,0.00156,0.00152,0.15001,500,0.02278,0.10824,0.25,200,0.01467,0.26705,standard
Sewerage,000016_lcam_front_lidar.ply,0.10002,799,0.00106,0.00069,0.15001,500,0.04702,0.09657,0.25,200,0.01563,0.28998,standard
Sewerage,000017_lcam_front_lidar.ply,0.10002,799,0.02095,0.09962,0.15001,500,0.05413,0.08768,0.25,200,0.00153,0.07526,standard
Sewerage,000018_lcam_front_lidar.ply,0.10002,799,0.04352,0.04963,0.15001,500,0.0303,0.08419,0.25,200,0.01283,0.23382,strict
Sewerage,000019_lcam_front_lidar.ply,0.10002,799,0.02505,0.02222,0.15001,500,0.00104,8e-05,0.25,200,0.01665,0.29274,strict
Sewerage,000020_lcam_front_lidar.ply,0.10002,799,0.02705,0.12429,0.15001,500,0.02689,0.08176,0.25,200,0.24109,0.06502,loose
Sewerage,000021_lcam_front_lidar.ply,0.10002,799,0.05149,0.05785,0.15001,500,0.03583,0.12546,0.25,200,0.0657,0.12734,loose
Sewerage,000022_lcam_front_lidar.ply,0.10002,799,0.04635,0.05926,0.15001,500,0.01901,0.10299,0.25,200,0.00259,0.00562,strict
Sewerage,000023_lcam_front_lidar.ply,0.10002,799,0.01406,0.09431,0.15001,500,0.02689,0.22057,0.25,200,0.00175,0.08955,standard
Sewerage,000024_lcam_front_lidar.ply,0.10002,799,0.03247,0.12923,0.15001,500,0.06944,0.12556,0.25,200,0.01748,0.28034,standard
Sewerage,000025_lcam_front_lidar.ply,0.10002,799,0.05457,0.08563,0.15001,500,0.02514,0.1103,0.25,200,0.01405,0.14112,strict
Sewerage,000026_lcam_front_lidar.ply,0.10002,799,0.0137,0.09525,0.15001,500,0.02925,0.15509,0.25,200,0.00101,0.00055,standard
Sewerage,000027_lcam_front_lidar.ply,0.10002,799,0.05073,0.06602,0.15001,500,0.00248,0.00894,0.25,200,0.01427,0.25533,strict
Sewerage,000028_lcam_front_lidar.ply,0.10002,799,0.01983,0.10237,0.15001,500,0.0246,0.11131,0.25,200,0.01208,0.24219,standard
Sewerage,000029_lcam_front_lidar.ply,0.10002,799,0.02479,0.14556,0.15001,500,0.02495,0.1517,0.25,200,0.00424,0.13236,standard
Sewerage,000030_lcam_front_lidar.ply,0.10002,799,0.04995,0.08552,0.15001,500,0.01637,0.16403,0.25,200,0.01462,0.30874,strict
Sewerage,000031_lcam_front_lidar.ply,0.10002,799,0.0484,0.14234,0.15001,500,0.02542,0.14883,0.25,200,0.00101,0.00058,strict
Sewerage,000032_lcam_front_lidar.ply,0.10002,799,0.05703,0.09307,0.15001,500,0.00115,0.00069,0.25,200,0.0058,0.1114,strict
Sewerage,000033_lcam_front_lidar.ply,0.10002,799,0.04405,0.06253,0.15001,500,0.04669,0.18088,0.25,200,0.01505,0.28955,standard
Sewerage,000034_lcam_front_lidar.ply,0.10002,799,0.01903,0.1056,0.15001,500,0.02464,0.14872,0.25,200,0.24825,0.0736,loose
Sewerage,000035_lcam_front_lidar.ply,0.10002,799,0.03844,0.13659,0.15001,500,0.01634,0.10151,0.25,200,0.24541,0.07394,loose
Sewerage,000036_lcam_front_lidar.ply,0.10002,799,0.00095,6e-05,0.15001,500,0.02011,0.11124,0.25,200,0.2958,0.10029,loose
Sewerage,000037_lcam_front_lidar.ply,0.10002,799,0.00115,0.00081,0.15001,500,0.01715,0.09762,0.25,200,0.00488,0.11815,standard
Sewerage,000038_lcam_front_lidar.ply,0.10002,799,0.018,0.10522,0.15001,500,0.01908,0.2165,0.25,200,0.00571,0.11116,standard
Sewerage,000039_lcam_front_lidar.ply,0.10002,799,0.00894,0.1197,0.15001,500,0.01894,0.21687,0.25,200,0.00668,0.14474,standard
