frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.1,800,0.9,0.05935,0.46259,1,0.23425,0.00121,0.02839
000001_lcam_front_lidar.ply,0.1,800,0.9,0.06346,0.4601,1,0.23378,0.00175,0.03136
000002_lcam_front_lidar.ply,0.1,800,0.9,0.05832,0.46595,1,0.23858,0.00317,0.0302
000003_lcam_front_lidar.ply,0.1,800,0.9,0.06141,0.46321,1,0.23658,0.00247,0.02983
000004_lcam_front_lidar.ply,0.1,800,0.9,0.05264,0.50733,1,0.27867,0.00093,0.02829
000005_lcam_front_lidar.ply,0.1,800,0.9,0.06367,0.47314,1,0.24537,0.00696,0.02944
000006_lcam_front_lidar.ply,0.1,800,0.9,0.04758,0.47419,1,0.24571,0.00565,0.03087
000007_lcam_front_lidar.ply,0.1,800,0.9,0.05337,0.47197,1,0.24528,0.00485,0.0302
000008_lcam_front_lidar.ply,0.1,800,0.9,0.07228,0.47706,1,0.25136,0.00299,0.0309
000009_lcam_front_lidar.ply,0.1,800,0.9,0.05691,0.48162,1,0.2553,0.00454,0.0321
000010_lcam_front_lidar.ply,0.1,800,0.9,0.05981,0.53678,1,0.31036,0.00428,0.03159
000011_lcam_front_lidar.ply,0.1,800,0.9,0.08868,0.23996,1,0.0,0.0,0.0
000012_lcam_front_lidar.ply,0.1,800,0.9,0.06598,0.54232,1,0.31719,0.00465,0.03191
000013_lcam_front_lidar.ply,0.1,800,0.9,0.06611,0.5452,1,0.31972,0.00547,0.03137
000014_lcam_front_lidar.ply,0.1,800,0.9,0.09086,0.54525,1,0.32192,0.00565,0.03188
000015_lcam_front_lidar.ply,0.1,800,0.9,0.06159,0.55161,1,0.32616,0.00754,0.03206
000016_lcam_front_lidar.ply,0.1,800,0.9,0.05762,0.55265,1,0.32602,0.00406,0.03116
000017_lcam_front_lidar.ply,0.25,800,0.9,0.05508,0.55038,1,0.32543,0.00121,0.03307
000018_lcam_front_lidar.ply,0.25,800,0.9,0.05754,0.55239,1,0.32726,0.00118,0.03372
000019_lcam_front_lidar.ply,0.25,800,0.9,0.05677,0.55245,1,0.32807,0.00175,0.0334
