frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.1,800,0.9,0.06212,0.50303,1,0.23412,0.00044,0.0281
000001_lcam_front_lidar.ply,0.1,800,0.9,0.06746,0.49945,1,0.23378,0.00175,0.03136
000002_lcam_front_lidar.ply,0.1,800,0.9,0.05756,0.50613,1,0.23844,0.00384,0.02998
000003_lcam_front_lidar.ply,0.1,800,0.9,0.05933,0.50355,1,0.23699,0.00314,0.03072
000004_lcam_front_lidar.ply,0.1,800,0.9,0.05903,0.5467,1,0.27867,0.00259,0.02777
000005_lcam_front_lidar.ply,0.1,800,0.9,0.04556,0.51374,1,0.24537,0.00695,0.02944
000006_lcam_front_lidar.ply,0.1,800,0.9,0.06319,0.51243,1,0.24571,0.00565,0.03087
000007_lcam_front_lidar.ply,0.1,800,0.9,0.06221,0.51128,1,0.24528,0.00485,0.0302
000008_lcam_front_lidar.ply,0.1,800,0.9,0.06575,0.51831,1,0.25136,0.00299,0.0309
000009_lcam_front_lidar.ply,0.1,800,0.9,0.06042,0.52149,1,0.2553,0.00454,0.03223
000010_lcam_front_lidar.ply,0.1,800,0.9,0.0631,0.52378,1,0.2584,0.00055,0.03334
000011_lcam_front_lidar.ply,0.1,800,0.9,0.0671,0.57897,1,0.31271,0.00556,0.03009
000012_lcam_front_lidar.ply,0.1,800,0.9,0.0595,0.5812,1,0.31561,0.00524,0.03066
000013_lcam_front_lidar.ply,0.1,800,0.9,0.05684,0.58562,1,0.31966,0.00538,0.03133
000014_lcam_front_lidar.ply,0.1,800,0.9,0.06335,0.58686,1,0.32199,0.0057,0.0319
000015_lcam_front_lidar.ply,0.1,800,0.9,0.07504,0.59084,1,0.3265,0.0066,0.03267
000016_lcam_front_lidar.ply,0.1,800,0.9,0.07232,0.58981,1,0.32561,0.00509,0.03058
000017_lcam_front_lidar.ply,0.1,800,0.9,0.08131,0.58808,1,0.32469,0.00464,0.03158
000018_lcam_front_lidar.ply,0.1,800,0.9,0.06703,0.59026,1,0.32658,0.00471,0.03224
000019_lcam_front_lidar.ply,0.1,800,0.9,0.11888,0.58691,1,0.32718,0.00541,0.03173
000020_lcam_front_lidar.ply,0.1,800,0.9,0.07091,0.59006,1,0.32628,0.00424,0.03264
000021_lcam_front_lidar.ply,0.25,800,0.9,0.06087,0.59257,1,0.32861,0.00294,0.03327
000022_lcam_front_lidar.ply,0.25,800,0.9,0.05593,0.58973,1,0.32505,0.00138,0.03382
000023_lcam_front_lidar.ply,0.25,800,0.9,0.05136,0.59233,1,0.32677,0.00274,0.0331
000024_lcam_front_lidar.ply,0.25,800,0.9,0.05548,0.58284,1,0.3183,0.00201,0.03392
000025_lcam_front_lidar.ply,0.25,800,0.9,0.04765,0.58874,1,0.32325,0.00176,0.03416
000026_lcam_front_lidar.ply,0.25,800,0.9,0.05413,0.57844,1,0.31366,0.00204,0.03379
000027_lcam_front_lidar.ply,0.25,800,0.9,0.0464,0.58348,1,0.31922,0.00037,0.0337
000028_lcam_front_lidar.ply,0.25,800,0.9,0.04834,0.57813,1,0.31431,0.0002,0.03532
000029_lcam_front_lidar.ply,0.25,800,0.9,0.05298,0.57717,1,0.31297,0.00144,0.03499
000030_lcam_front_lidar.ply,0.25,800,0.9,0.05036,0.57414,1,0.30903,0.00228,0.03584
000031_lcam_front_lidar.ply,0.25,800,0.9,0.05274,0.57264,1,0.30913,0.00314,0.03715
000032_lcam_front_lidar.ply,0.25,800,0.9,0.05152,0.57215,1,0.30905,0.00378,0.03682
000033_lcam_front_lidar.ply,0.25,800,0.9,0.04702,0.57192,1,0.30782,0.00521,0.03662
000034_lcam_front_lidar.ply,0.25,800,0.9,0.03942,0.57411,1,0.30889,0.0056,0.03764
000035_lcam_front_lidar.ply,0.25,800,0.9,0.03548,0.57246,1,0.30956,0.01072,0.04048
000036_lcam_front_lidar.ply,0.25,800,0.9,0.0453,0.56899,1,0.30644,0.01063,0.04055
000037_lcam_front_lidar.ply,0.25,800,0.9,0.04318,0.5684,1,0.30606,0.01026,0.03993
000038_lcam_front_lidar.ply,0.25,800,0.9,0.05129,0.56524,1,0.3022,0.00992,0.03923
000039_lcam_front_lidar.ply,0.25,800,0.9,0.04645,0.56337,1,0.30223,0.00591,0.04143
000040_lcam_front_lidar.ply,0.25,800,0.9,0.03852,0.56966,1,0.30585,0.00909,0.03919
000041_lcam_front_lidar.ply,0.25,800,0.9,0.04557,0.56696,1,0.30422,0.01015,0.03985
000042_lcam_front_lidar.ply,0.25,800,0.9,0.08688,0.55998,1,0.3024,0.00532,0.04069
000043_lcam_front_lidar.ply,0.25,800,0.9,0.04894,0.56655,1,0.30412,0.00646,0.0394
000044_lcam_front_lidar.ply,0.25,800,0.9,0.0536,0.56442,1,0.30352,0.00682,0.03966
000045_lcam_front_lidar.ply,0.25,800,0.9,0.05119,0.56495,1,0.30212,0.00683,0.04057
000046_lcam_front_lidar.ply,0.25,800,0.9,0.03887,0.5659,1,0.30249,0.00579,0.04047
000047_lcam_front_lidar.ply,0.25,800,0.9,0.05427,0.56436,1,0.30165,0.00642,0.03975
000048_lcam_front_lidar.ply,0.25,800,0.9,0.05533,0.55996,1,0.29873,0.00681,0.0401
000049_lcam_front_lidar.ply,0.25,800,0.9,0.05028,0.56092,1,0.29906,0.00731,0.04046
000050_lcam_front_lidar.ply,0.25,800,0.9,0.05805,0.56088,1,0.29946,0.00756,0.04
000051_lcam_front_lidar.ply,0.25,800,0.9,0.05075,0.56249,1,0.30016,0.00825,0.03945
000052_lcam_front_lidar.ply,0.25,800,0.9,0.04382,0.55786,1,0.29471,0.00896,0.0386
000053_lcam_front_lidar.ply,0.25,800,0.9,0.04551,0.55814,1,0.29637,0.00594,0.04075
000054_lcam_front_lidar.ply,0.25,800,0.9,0.05534,0.55536,1,0.29372,0.00983,0.03963
000055_lcam_front_lidar.ply,0.25,800,0.9,0.04517,0.55349,1,0.29158,0.00769,0.0389
000056_lcam_front_lidar.ply,0.25,800,0.9,0.04757,0.55476,1,0.29271,0.00802,0.03928
000057_lcam_front_lidar.ply,0.25,800,0.9,0.05166,0.55522,1,0.29303,0.00784,0.03954
000058_lcam_front_lidar.ply,0.25,800,0.9,0.04942,0.55205,1,0.2891,0.01071,0.03895
000059_lcam_front_lidar.ply,0.25,800,0.9,0.0493,0.55214,1,0.29024,0.00329,0.04075
000060_lcam_front_lidar.ply,0.25,800,0.9,0.04932,0.54921,1,0.28899,0.00302,0.04266
000061_lcam_front_lidar.ply,0.25,800,0.9,0.04711,0.54768,1,0.28725,0.00541,0.04024
000062_lcam_front_lidar.ply,0.25,800,0.9,0.04967,0.55216,1,0.29217,0.00037,0.04171
000063_lcam_front_lidar.ply,0.25,800,0.9,0.05779,0.55603,1,0.29465,0.0025,0.04185
000064_lcam_front_lidar.ply,0.25,800,0.9,0.04668,0.55116,1,0.29021,0.00093,0.04143
000065_lcam_front_lidar.ply,0.25,800,0.9,0.05551,0.5512,1,0.28979,0.00062,0.0423
000066_lcam_front_lidar.ply,0.25,800,0.9,0.04541,0.54884,1,0.28841,0.00165,0.04472
000067_lcam_front_lidar.ply,0.25,800,0.9,0.05195,0.54654,1,0.28627,0.00328,0.04178
000068_lcam_front_lidar.ply,0.25,800,0.9,0.04954,0.54852,1,0.28699,0.00313,0.04286
000069_lcam_front_lidar.ply,0.25,800,0.9,0.04831,0.54307,1,0.28401,0.0034,0.04306
000070_lcam_front_lidar.ply,0.25,800,0.9,0.05022,0.54348,1,0.28299,0.00532,0.04186
000071_lcam_front_lidar.ply,0.25,800,0.9,0.04933,0.54309,1,0.28043,0.00542,0.04023
000072_lcam_front_lidar.ply,0.25,800,0.9,0.0453,0.54138,1,0.27972,0.00914,0.04005
000073_lcam_front_lidar.ply,0.25,800,0.9,0.04089,0.536,1,0.27379,0.00771,0.04085
000074_lcam_front_lidar.ply,0.25,800,0.9,0.05537,0.53709,1,0.27536,0.01104,0.03906
000075_lcam_front_lidar.ply,0.25,800,0.9,0.06304,0.5332,1,0.27451,0.00788,0.04303
000076_lcam_front_lidar.ply,0.25,800,0.9,0.04992,0.53218,1,0.27226,0.00026,0.04459
000077_lcam_front_lidar.ply,0.25,800,0.9,0.04551,0.52892,1,0.27042,0.00233,0.04466
000078_lcam_front_lidar.ply,0.25,800,0.9,0.04918,0.52702,1,0.26743,0.00339,0.04527
000079_lcam_front_lidar.ply,0.25,800,0.9,0.0611,0.52535,1,0.26819,0.00489,0.0459
000080_lcam_front_lidar.ply,0.25,800,0.9,0.06018,0.52362,1,0.2646,0.00616,0.0449
000081_lcam_front_lidar.ply,0.25,800,0.9,0.05307,0.52105,1,0.26259,0.00705,0.04473
000082_lcam_front_lidar.ply,0.25,800,0.9,0.05326,0.51817,1,0.26023,0.01038,0.04402
000083_lcam_front_lidar.ply,0.25,800,0.9,0.05429,0.51999,1,0.26155,0.00917,0.04558
000084_lcam_front_lidar.ply,0.25,800,0.9,0.03847,0.51717,1,0.25586,0.01533,0.04487
000085_lcam_front_lidar.ply,0.25,800,0.9,0.04757,0.52187,1,0.26169,0.01627,0.04399
000086_lcam_front_lidar.ply,0.25,800,0.9,0.04323,0.50978,1,0.2494,0.01481,0.04351
