frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15001,500,0.85,0.51014,2.8255,1,0.08609,0.98228,0.21568
000001_lcam_front_lidar.ply,0.15001,500,0.85,0.42878,2.31078,1,0.03384,0.9862,0.20115
000002_lcam_front_lidar.ply,0.15001,500,0.85,0.34761,2.12271,1,0.01257,0.99851,0.15786
000003_lcam_front_lidar.ply,0.15001,500,0.85,0.50191,2.31244,1,0.03368,0.98782,0.20321
000004_lcam_front_lidar.ply,0.15001,500,0.85,0.44992,2.074,1,0.0109,0.98249,0.12081
000005_lcam_front_lidar.ply,0.15001,500,0.85,0.6032,1.98093,1,0.0058,0.96147,0.19246
000006_lcam_front_lidar.ply,0.15001,500,0.85,0.62751,1.98233,1,0.00248,0.97875,0.00589
000007_lcam_front_lidar.ply,0.15001,500,0.85,0.31768,2.351,1,0.03542,0.99841,0.16358
000008_lcam_front_lidar.ply,0.15001,500,0.85,0.33754,2.39898,1,0.04073,0.99585,0.16704
000009_lcam_front_lidar.ply,0.15001,500,0.85,0.46367,2.43954,1,0.05245,0.95753,0.20534
000010_lcam_front_lidar.ply,0.15001,500,0.85,0.36506,2.01393,1,0.00146,0.99967,0.00151
000011_lcam_front_lidar.ply,0.15001,500,0.85,0.37749,2.37806,1,0.04009,0.9886,0.19502
000012_lcam_front_lidar.ply,0.15001,500,0.85,0.39808,2.00045,1,0.00193,0.99059,0.00125
000013_lcam_front_lidar.ply,0.15001,500,0.85,0.43992,2.05714,1,0.00898,0.98369,0.18171
000014_lcam_front_lidar.ply,0.15001,500,0.85,0.41344,2.03229,1,0.00686,0.98186,0.04663
000015_lcam_front_lidar.ply,0.15001,500,0.85,0.35569,2.22695,1,0.02278,0.99959,0.10824
000016_lcam_front_lidar.ply,0.15001,500,0.85,0.38083,2.34391,1,0.04702,0.93688,0.09657
000017_lcam_front_lidar.ply,0.15001,500,0.85,0.31456,2.43164,1,0.05413,0.94516,0.08768
000018_lcam_front_lidar.ply,0.15001,500,0.85,0.30237,2.09243,1,0.0303,0.89474,0.08419
000019_lcam_front_lidar.ply,0.15001,500,0.85,0.37402,2.01007,1,0.00104,0.99983,8e-05
000020_lcam_front_lidar.ply,0.15001,500,0.85,0.25937,2.09409,1,0.02689,0.91258,0.08176
000021_lcam_front_lidar.ply,0.15001,500,0.85,0.34839,2.30513,1,0.03583,0.9734,0.12546
000022_lcam_front_lidar.ply,0.15001,500,0.85,0.2952,1.96672,1,0.01901,0.88831,0.10299
000023_lcam_front_lidar.ply,0.15001,500,0.85,0.36727,2.24146,1,0.02689,0.98627,0.22057
000024_lcam_front_lidar.ply,0.15001,500,0.85,0.28403,2.61469,1,0.06944,0.96013,0.12556
000025_lcam_front_lidar.ply,0.15001,500,0.85,0.24482,2.09405,1,0.02514,0.92133,0.1103
000026_lcam_front_lidar.ply,0.15001,500,0.85,0.31322,2.16489,1,0.02925,0.93618,0.15509
000027_lcam_front_lidar.ply,0.15001,500,0.85,0.31752,1.99971,1,0.00248,0.98744,0.00894
000028_lcam_front_lidar.ply,0.15001,500,0.85,0.33493,2.09435,1,0.0246,0.92416,0.11131
000029_lcam_front_lidar.ply,0.15001,500,0.85,0.32462,2.19683,1,0.02495,0.97367,0.1517
000030_lcam_front_lidar.ply,0.15001,500,0.85,0.28605,1.92814,1,0.01637,0.88221,0.16403
000031_lcam_front_lidar.ply,0.15001,500,0.85,0.28592,2.16416,1,0.02542,0.955,0.14883
000032_lcam_front_lidar.ply,0.15001,500,0.85,0.25589,1.99762,1,0.00115,0.99308,0.00069
000033_lcam_front_lidar.ply,0.15001,500,0.85,0.27054,2.44918,1,0.04669,0.99116,0.18088
000034_lcam_front_lidar.ply,0.15001,500,0.85,0.29175,2.1265,1,0.02464,0.94007,0.14872
