frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.10002,799,0.9,0.27071,1.91302,1,0.17554,0.07882,0.06276
000001_lcam_front_lidar.ply,0.10002,799,0.9,0.4856,2.49887,1,0.05023,0.99831,0.13411
000002_lcam_front_lidar.ply,0.10002,799,0.9,0.30444,2.36748,1,0.03687,0.99936,0.14653
000003_lcam_front_lidar.ply,0.10002,799,0.9,0.24247,2.43383,1,0.04837,0.97508,0.14598
000004_lcam_front_lidar.ply,0.10002,799,0.9,0.38763,1.98698,1,0.00599,0.96354,0.06162
000005_lcam_front_lidar.ply,0.10002,799,0.9,0.38762,2.41054,1,0.04408,0.98487,0.14573
000006_lcam_front_lidar.ply,0.10002,799,0.9,0.29279,2.43623,1,0.04387,0.99876,0.15162
000007_lcam_front_lidar.ply,0.10002,799,0.9,0.35183,1.67277,1,0.16321,0.02033,0.03931
000008_lcam_front_lidar.ply,0.10002,799,0.9,0.33815,2.15756,1,0.03097,0.92392,0.12074
000009_lcam_front_lidar.ply,0.10002,799,0.9,0.29953,2.13647,1,0.01635,0.98646,0.13865
000010_lcam_front_lidar.ply,0.10002,799,0.9,0.33359,2.24489,1,0.02844,0.98026,0.1231
000011_lcam_front_lidar.ply,0.10002,799,0.9,0.32179,1.69871,1,0.00266,0.83607,0.07707
000012_lcam_front_lidar.ply,0.10002,799,0.9,0.32272,1.88571,1,0.01123,0.88669,0.07718
000013_lcam_front_lidar.ply,0.10002,799,0.9,0.29913,2.157,1,0.02972,0.92989,0.0552
000014_lcam_front_lidar.ply,0.10002,799,0.9,0.43253,1.99754,1,0.03227,0.8374,0.05661
000015_lcam_front_lidar.ply,0.10002,799,0.9,0.33974,2.00714,1,0.00156,0.99576,0.00152
000016_lcam_front_lidar.ply,0.10002,799,0.9,0.27288,2.01016,1,0.00106,0.99979,0.00069
000017_lcam_front_lidar.ply,0.10002,799,0.9,0.27003,2.08614,1,0.02095,0.9383,0.09962
000018_lcam_front_lidar.ply,0.10002,799,0.9,0.27049,2.37112,1,0.04352,0.96794,0.04963
000019_lcam_front_lidar.ply,0.10002,799,0.9,0.31398,2.09908,1,0.02505,0.92428,0.02222
000020_lcam_front_lidar.ply,0.10002,799,0.9,0.22539,2.19082,1,0.02705,0.96016,0.12429
000021_lcam_front_lidar.ply,0.10002,799,0.9,0.31159,2.46144,1,0.05149,0.97325,0.05785
000022_lcam_front_lidar.ply,0.10002,799,0.9,0.27521,2.41805,1,0.04635,0.97725,0.05926
000023_lcam_front_lidar.ply,0.10002,799,0.9,0.24858,1.91098,1,0.01406,0.88518,0.09431
000024_lcam_front_lidar.ply,0.10002,799,0.9,0.24613,2.2171,1,0.03247,0.94622,0.12923
000025_lcam_front_lidar.ply,0.10002,799,0.9,0.22261,2.50497,1,0.05457,0.97965,0.08563
000026_lcam_front_lidar.ply,0.10002,799,0.9,0.25928,1.97875,1,0.0137,0.92089,0.09525
000027_lcam_front_lidar.ply,0.10002,799,0.9,0.21504,2.46628,1,0.05073,0.97949,0.06602
000028_lcam_front_lidar.ply,0.10002,799,0.9,0.23243,2.16447,1,0.01983,0.9831,0.10237
000029_lcam_front_lidar.ply,0.10002,799,0.9,0.25874,2.24706,1,0.02479,0.99957,0.14556
000030_lcam_front_lidar.ply,0.10002,799,0.9,0.25362,2.47918,1,0.04995,0.98985,0.08552
000031_lcam_front_lidar.ply,0.10002,799,0.9,0.26354,2.45592,1,0.0484,0.98594,0.14234
000032_lcam_front_lidar.ply,0.10002,799,0.9,0.26182,2.54279,1,0.05703,0.98624,0.09307
000033_lcam_front_lidar.ply,0.10002,799,0.9,0.20323,2.38369,1,0.04405,0.97161,0.06253
000034_lcam_front_lidar.ply,0.10002,799,0.9,0.23998,2.15314,1,0.01903,0.98143,0.1056
000035_lcam_front_lidar.ply,0.10002,799,0.9,0.23318,2.36738,1,0.03844,0.99149,0.13659
000036_lcam_front_lidar.ply,0.10002,799,0.9,0.25965,2.0092,1,0.00095,0.99982,6e-05
000037_lcam_front_lidar.ply,0.10002,799,0.9,0.28507,2.00803,1,0.00115,0.99829,0.00081
000038_lcam_front_lidar.ply,0.10002,799,0.9,0.19445,2.14583,1,0.018,0.98289,0.10522
000039_lcam_front_lidar.ply,0.10002,799,0.9,0.31461,2.02396,1,0.00894,0.96727,0.1197
000040_lcam_front_lidar.ply,0.10002,799,0.9,0.25356,2.10324,1,0.02052,0.94901,0.12593
000041_lcam_front_lidar.ply,0.10002,799,0.9,0.25989,2.01145,1,0.00118,0.99982,0.0001
000042_lcam_front_lidar.ply,0.10002,799,0.9,0.22626,2.14301,1,0.01832,0.97992,0.10614
000043_lcam_front_lidar.ply,0.10002,799,0.9,0.25416,2.34218,1,0.04113,0.96544,0.11369
000044_lcam_front_lidar.ply,0.10002,799,0.9,0.26942,1.95501,1,0.01222,0.91639,0.00563
000045_lcam_front_lidar.ply,0.10002,799,0.9,0.25777,2.04929,1,0.01993,0.92499,0.10529
000046_lcam_front_lidar.ply,0.10002,799,0.9,0.23194,2.20364,1,0.02083,0.99765,0.13932
000047_lcam_front_lidar.ply,0.10002,799,0.9,0.23868,2.53659,1,0.05547,0.99095,0.11087
000048_lcam_front_lidar.ply,0.10002,799,0.9,0.23685,2.41246,1,0.0462,0.97524,0.06615
000049_lcam_front_lidar.ply,0.10002,799,0.9,0.24212,2.09748,1,0.01328,0.98233,0.14113
000050_lcam_front_lidar.ply,0.10002,799,0.9,0.27541,2.43982,1,0.04821,0.97885,0.08293
000051_lcam_front_lidar.ply,0.10002,799,0.9,0.25358,2.03129,1,0.0037,0.99715,0.00256
000052_lcam_front_lidar.ply,0.10002,799,0.9,0.24367,1.88776,1,0.01609,0.86341,0.03551
000053_lcam_front_lidar.ply,0.10002,799,0.9,0.22594,3.37458,1,0.22259,0.57435,0.0196
000054_lcam_front_lidar.ply,0.10002,799,0.9,0.23373,2.27033,1,0.02755,0.9974,0.14873
000055_lcam_front_lidar.ply,0.10002,799,0.9,0.22191,1.95516,1,0.01868,0.88418,0.07511
000056_lcam_front_lidar.ply,0.10002,799,0.9,0.18037,3.33329,1,0.22741,0.52958,0.01951
000057_lcam_front_lidar.ply,0.10002,799,0.9,0.25717,2.31407,1,0.03158,0.99914,0.15114
000058_lcam_front_lidar.ply,0.10002,799,0.9,0.24297,3.37479,1,0.2237,0.56891,0.01858
000059_lcam_front_lidar.ply,0.10002,799,0.9,0.25911,2.18679,1,0.02141,0.98637,0.14242
000060_lcam_front_lidar.ply,0.10002,799,0.9,0.22296,2.21615,1,0.02359,0.99011,0.16146
000061_lcam_front_lidar.ply,0.10002,799,0.9,0.23429,2.10669,1,0.01578,0.97444,0.10617
000062_lcam_front_lidar.ply,0.10002,799,0.9,0.21193,2.21907,1,0.02872,0.96596,0.07493
000063_lcam_front_lidar.ply,0.10002,799,0.9,0.2137,3.39213,1,0.22792,0.55648,0.01887
000064_lcam_front_lidar.ply,0.10002,799,0.9,0.2581,2.18289,1,0.01998,0.99153,0.14161
000065_lcam_front_lidar.ply,0.10002,799,0.9,0.24522,1.83659,1,0.01181,0.85927,0.03588
000066_lcam_front_lidar.ply,0.10002,799,0.9,0.20571,3.39045,1,0.22493,0.57057,0.01886
000067_lcam_front_lidar.ply,0.10002,799,0.9,0.22774,2.3807,1,0.03939,0.99339,0.11013
000068_lcam_front_lidar.ply,0.10002,799,0.9,0.25474,2.05275,1,0.0084,0.98436,0.14493
000069_lcam_front_lidar.ply,0.10002,799,0.9,0.27451,1.74828,1,0.00533,0.84749,0.019
000070_lcam_front_lidar.ply,0.10002,799,0.9,0.22677,2.1491,1,0.01764,0.98636,0.14303
000071_lcam_front_lidar.ply,0.10002,799,0.9,0.2293,2.04259,1,0.00792,0.98171,0.0428
000072_lcam_front_lidar.ply,0.10002,799,0.9,0.22449,2.00399,1,0.01036,0.95017,0.03238
000073_lcam_front_lidar.ply,0.10002,799,0.9,0.24159,2.06011,1,0.00813,0.98943,0.13966
000074_lcam_front_lidar.ply,0.10002,799,0.9,0.23145,2.0007,1,0.01002,0.95026,0.02903
000075_lcam_front_lidar.ply,0.10002,799,0.9,0.21928,2.12384,1,0.01488,0.98753,0.13519
000076_lcam_front_lidar.ply,0.10002,799,0.9,0.20869,1.73064,1,0.00995,0.81558,0.0371
000077_lcam_front_lidar.ply,0.10002,799,0.9,0.24767,2.07913,1,0.01431,0.96804,0.07908
000078_lcam_front_lidar.ply,0.10002,799,0.9,0.302,2.13513,1,0.01486,0.99326,0.14722
000079_lcam_front_lidar.ply,0.10002,799,0.9,0.25071,2.05839,1,0.00774,0.99048,0.0467
000080_lcam_front_lidar.ply,0.10002,799,0.9,0.24064,2.11303,1,0.01382,0.98742,0.14673
000081_lcam_front_lidar.ply,0.10002,799,0.9,0.23893,2.00889,1,0.00134,0.99776,0.00102
000082_lcam_front_lidar.ply,0.10002,799,0.9,0.25541,1.79907,1,0.00905,0.85431,0.14522
000083_lcam_front_lidar.ply,0.10002,799,0.9,0.25744,3.39953,1,0.22932,0.55315,0.01701
000084_lcam_front_lidar.ply,0.10002,799,0.9,0.2705,1.96056,1,0.00363,0.96214,0.09919
000085_lcam_front_lidar.ply,0.10002,799,0.9,0.35814,2.04497,1,0.00653,0.98984,0.11159
000086_lcam_front_lidar.ply,0.10002,799,0.9,0.20412,2.01264,1,0.00898,0.96144,0.10791
000087_lcam_front_lidar.ply,0.10002,799,0.9,0.2886,1.97967,1,0.00497,0.96501,0.13336
000088_lcam_front_lidar.ply,0.10002,799,0.9,0.27501,2.0037,1,0.0004,0.99985,0.0
000089_lcam_front_lidar.ply,0.10002,799,0.9,0.25436,2.06414,1,0.00941,0.98502,0.1498
000090_lcam_front_lidar.ply,0.10002,799,0.9,0.2727,2.01175,1,0.00431,0.98435,0.10683
000091_lcam_front_lidar.ply,0.10002,799,0.9,0.30812,2.02793,1,0.0049,0.98948,0.07378
000092_lcam_front_lidar.ply,0.10002,799,0.9,0.2219,2.06492,1,0.00677,0.99861,0.017
000093_lcam_front_lidar.ply,0.10002,799,0.9,0.22035,2.03869,1,0.00931,0.97282,0.05779
000094_lcam_front_lidar.ply,0.10002,799,0.9,0.26472,2.0788,1,0.00809,0.99895,0.15865
000095_lcam_front_lidar.ply,0.10002,799,0.9,0.27632,1.93072,1,0.00819,0.92439,0.10505
000096_lcam_front_lidar.ply,0.10002,799,0.9,0.26049,2.00108,1,0.00038,0.99863,8e-05
000097_lcam_front_lidar.ply,0.10002,799,0.9,0.26896,2.0517,1,0.00519,0.99989,0.00109
