frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,200,0.8,1.06362,2.20664,1,0.02067,0.99998,0.03681
000001_lcam_front_lidar.ply,0.25,200,0.8,0.84568,2.03893,1,0.00389,0.99999,0.00157
000002_lcam_front_lidar.ply,0.25,200,0.8,0.84963,2.02182,1,0.00223,0.99978,0.00146
000003_lcam_front_lidar.ply,0.25,200,0.8,1.06207,2.15399,1,0.0154,0.99998,0.06604
000004_lcam_front_lidar.ply,0.25,200,0.8,0.82765,2.12365,1,0.01241,0.99976,0.04767
000005_lcam_front_lidar.ply,0.25,200,0.8,0.99317,2.02364,1,0.00236,1.0,0.00098
000006_lcam_front_lidar.ply,0.25,200,0.8,1.03542,2.04015,1,0.00402,0.99999,0.00198
000007_lcam_front_lidar.ply,0.25,200,0.8,0.82183,2.20912,1,0.02092,0.99998,0.04939
000008_lcam_front_lidar.ply,0.25,200,0.8,0.76507,2.14752,1,0.01483,0.99961,0.04985
000009_lcam_front_lidar.ply,0.25,200,0.8,1.05389,2.06797,1,0.0068,1.0,0.00172
000010_lcam_front_lidar.ply,0.25,200,0.8,1.13486,2.0427,1,0.00428,0.99996,0.00418
000011_lcam_front_lidar.ply,0.25,200,0.8,1.45883,2.03701,1,0.0037,0.99999,0.00158
000012_lcam_front_lidar.ply,0.25,200,0.8,1.05137,2.1176,1,0.01191,0.99925,0.0595
000013_lcam_front_lidar.ply,0.25,200,0.8,1.15064,2.15921,1,0.016,0.99962,0.05514
000014_lcam_front_lidar.ply,0.25,200,0.8,1.10774,2.04358,1,0.00445,0.99954,0.00987
000015_lcam_front_lidar.ply,0.25,200,0.8,0.67674,1.84178,1,0.00489,0.89646,0.05791
000016_lcam_front_lidar.ply,0.25,200,0.8,1.09197,2.14442,1,0.01456,0.99943,0.05908
000017_lcam_front_lidar.ply,0.25,200,0.8,1.39653,2.13996,1,0.01414,0.99927,0.06003
000018_lcam_front_lidar.ply,0.25,200,0.8,0.44653,2.16296,1,0.01644,0.9993,0.06046
000019_lcam_front_lidar.ply,0.25,200,0.8,1.55136,2.13247,1,0.01345,0.99901,0.06394
000020_lcam_front_lidar.ply,0.25,200,0.8,0.75125,2.08151,1,0.00858,0.99788,0.08029
000021_lcam_front_lidar.ply,0.25,200,0.8,1.44318,2.11181,1,0.01157,0.99808,0.06263
000022_lcam_front_lidar.ply,0.25,200,0.8,0.55749,2.00399,1,0.0024,0.98999,0.00698
000023_lcam_front_lidar.ply,0.25,200,0.8,1.22504,2.14091,1,0.0144,0.99846,0.07228
