dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
Supermarket,000000_lcam_front_lidar.ply,0.10002,799,0.0634,0.12773,0.15001,500,0.01283,0.0459,0.25,200,0.02067,0.03681,strict
Supermarket,000001_lcam_front_lidar.ply,0.10002,799,0.21486,0.07536,0.15001,500,0.0011,0.05648,0.25,200,0.00389,0.00157,strict
Supermarket,000002_lcam_front_lidar.ply,0.10002,799,0.07049,0.12729,0.15001,500,0.27937,0.11468,0.25,200,0.00223,0.00146,standard
Supermarket,000003_lcam_front_lidar.ply,0.10002,799,0.05409,0.02915,0.15001,500,0.29331,0.12312,0.25,200,0.0154,0.06604,standard
Supermarket,000004_lcam_front_lidar.ply,0.10002,799,0.04723,0.03597,0.15001,500,0.00309,0.00991,0.25,200,0.01241,0.04767,strict
Supermarket,000005_lcam_front_lidar.ply,0.10002,799,0.05604,0.02851,0.15001,500,0.29214,0.11533,0.25,200,0.00236,0.00098,standard
Supermarket,000006_lcam_front_lidar.ply,0.10002,799,0.03616,0.02553,0.15001,500,0.04202,0.02869,0.25,200,0.00402,0.00198,standard
Supermarket,000007_lcam_front_lidar.ply,0.10002,799,0.04568,0.12089,0.15001,500,0.01403,0.11016,0.25,200,0.02092,0.04939,strict
Supermarket,000008_lcam_front_lidar.ply,0.10002,799,0.0617,0.12364,0.15001,500,0.01985,0.12609,0.25,200,0.01483,0.04985,strict
Supermarket,000009_lcam_front_lidar.ply,0.10002,799,0.05845,0.12318,0.15001,500,0.30956,0.12229,0.25,200,0.0068,0.00172,standard
Supermarket,000010_lcam_front_lidar.ply,0.10002,799,0.02822,0.04264,0.15001,500,0.3068,0.11619,0.25,200,0.00428,0.00418,standard
Supermarket,000011_lcam_front_lidar.ply,0.10002,799,0.04514,0.06668,0.15001,500,0.00595,0.02754,0.25,200,0.0037,0.00158,strict
Supermarket,000012_lcam_front_lidar.ply,0.10002,799,0.04082,0.11986,0.15001,500,0.0025,0.00299,0.25,200,0.01191,0.0595,strict
Supermarket,000013_lcam_front_lidar.ply,0.10002,799,0.03652,0.11883,0.15001,500,0.00523,0.09446,0.25,200,0.016,0.05514,strict
Supermarket,000014_lcam_front_lidar.ply,0.10002,799,0.05373,0.12505,0.15001,500,0.32046,0.11913,0.25,200,0.00445,0.00987,standard
Supermarket,000015_lcam_front_lidar.ply,0.10002,799,0.09702,0.08013,0.15001,500,0.03678,0.05623,0.25,200,0.00489,0.05791,strict
Supermarket,000016_lcam_front_lidar.ply,0.10002,799,0.02979,0.13669,0.15001,500,0.00403,0.01139,0.25,200,0.01456,0.05908,strict
Supermarket,000017_lcam_front_lidar.ply,0.10002,799,0.07219,0.07158,0.15001,500,0.32325,0.12062,0.25,200,0.01414,0.06003,standard
Supermarket,000018_lcam_front_lidar.ply,0.10002,799,0.11699,0.08115,0.15001,500,0.00421,0.0143,0.25,200,0.01644,0.06046,strict
Supermarket,000019_lcam_front_lidar.ply,0.10002,799,0.25741,0.07828,0.15001,500,0.30941,0.12763,0.25,200,0.01345,0.06394,standard
Supermarket,000020_lcam_front_lidar.ply,0.10002,799,0.09628,0.07864,0.15001,500,0.3295,0.12545,0.25,200,0.00858,0.08029,standard
Supermarket,000021_lcam_front_lidar.ply,0.10002,799,0.00357,0.11325,0.15001,500,0.32122,0.11804,0.25,200,0.01157,0.06263,standard
Supermarket,000022_lcam_front_lidar.ply,0.10002,799,0.01705,0.13808,0.15001,500,0.32858,0.12904,0.25,200,0.0024,0.00698,standard
Supermarket,000023_lcam_front_lidar.ply,0.10002,799,0.06509,0.06187,0.15001,500,0.03308,0.05941,0.25,200,0.0144,0.07228,strict
Supermarket,000024_lcam_front_lidar.ply,0.10002,799,0.03221,0.05653,0.15001,500,0.31573,0.1163,0.25,200,0.00647,0.00148,standard
Supermarket,000025_lcam_front_lidar.ply,0.10002,799,0.11719,0.08398,0.15001,500,0.00242,0.00647,0.25,200,0.01028,0.11118,strict
Supermarket,000026_lcam_front_lidar.ply,0.10002,799,0.24169,0.07177,0.15001,500,0.00484,0.05524,0.25,200,0.01141,0.08049,strict
Supermarket,000027_lcam_front_lidar.ply,0.10002,799,0.02597,0.13865,0.15001,500,0.11228,0.10336,0.25,200,0.00593,0.0102,standard
Supermarket,000028_lcam_front_lidar.ply,0.10002,799,0.24676,0.07217,0.15001,500,0.00339,0.01196,0.25,200,0.00537,0.01028,strict
Supermarket,000029_lcam_front_lidar.ply,0.10002,799,0.08798,0.08882,0.15001,500,0.3099,0.1162,0.25,200,0.00562,0.00112,standard
Supermarket,000030_lcam_front_lidar.ply,0.10002,799,0.12502,0.06928,0.15001,500,0.00393,0.11801,0.25,200,0.01092,0.001,strict
Supermarket,000031_lcam_front_lidar.ply,0.10002,799,0.15902,0.07538,0.15001,500,0.2133,0.12681,0.25,200,0.00597,0.00109,standard
Supermarket,000032_lcam_front_lidar.ply,0.10002,799,0.08741,0.08097,0.15001,500,0.07249,0.08862,0.25,200,0.0028,0.00372,strict
Supermarket,000033_lcam_front_lidar.ply,0.10002,799,0.08398,0.06784,0.15001,500,0.27661,0.12015,0.25,200,0.00643,0.01118,standard
Supermarket,000034_lcam_front_lidar.ply,0.10002,799,0.05862,0.08922,0.15001,500,0.28017,0.11338,0.25,200,0.01206,0.00111,standard
Supermarket,000035_lcam_front_lidar.ply,0.10002,799,0.03632,0.07474,0.15001,500,0.03051,0.18698,0.25,200,0.01179,0.00092,strict
Supermarket,000036_lcam_front_lidar.ply,0.10002,799,0.10802,0.07993,0.15001,500,0.00586,0.18785,0.25,200,0.01207,0.00113,strict
Supermarket,000037_lcam_front_lidar.ply,0.10002,799,0.0413,0.06866,0.15001,500,0.09232,0.11852,0.25,200,0.0063,0.00075,standard
Supermarket,000038_lcam_front_lidar.ply,0.10002,799,0.06959,0.07814,0.15001,500,0.00535,0.04747,0.25,200,0.01368,0.00126,strict
Supermarket,000039_lcam_front_lidar.ply,0.10002,799,0.06803,0.09811,0.15001,500,0.00887,0.02267,0.25,200,0.01529,0.02077,strict
Supermarket,000040_lcam_front_lidar.ply,0.10002,799,0.19415,0.07266,0.15001,500,0.2672,0.12069,0.25,200,0.01468,0.00115,standard
Supermarket,000041_lcam_front_lidar.ply,0.10002,799,0.21378,0.08235,0.15001,500,0.08987,0.11934,0.25,200,0.00813,0.00102,strict
Supermarket,000042_lcam_front_lidar.ply,0.10002,799,0.20407,0.08145,0.15001,500,0.08931,0.12484,0.25,200,0.01686,0.01613,strict
Supermarket,000043_lcam_front_lidar.ply,0.10002,799,0.20199,0.082,0.15001,500,0.24394,0.11362,0.25,200,0.02292,0.01411,standard
Supermarket,000044_lcam_front_lidar.ply,0.10002,799,0.18796,0.07607,0.15001,500,0.24906,0.12616,0.25,200,0.01497,0.01578,standard
Supermarket,000045_lcam_front_lidar.ply,0.10002,799,0.17721,0.07342,0.15001,500,0.24321,0.12801,0.25,200,0.00839,0.001,standard
Supermarket,000046_lcam_front_lidar.ply,0.10002,799,0.0146,0.14878,0.15001,500,0.22396,0.11441,0.25,200,0.01947,0.02953,standard
Supermarket,000047_lcam_front_lidar.ply,0.10002,799,0.1839,0.10319,0.15001,500,0.22456,0.12481,0.25,200,0.02546,0.01166,standard
Supermarket,000048_lcam_front_lidar.ply,0.10002,799,0.05711,0.10544,0.15001,500,0.18683,0.10525,0.25,200,0.01738,0.01947,standard
Supermarket,000049_lcam_front_lidar.ply,0.10002,799,0.06395,0.11109,0.15001,500,0.02737,0.16089,0.25,200,0.00472,0.00474,strict
Supermarket,000050_lcam_front_lidar.ply,0.10002,799,0.15014,0.07554,0.15001,500,0.07404,0.12297,0.25,200,0.00994,0.00139,strict
Supermarket,000051_lcam_front_lidar.ply,0.10002,799,0.05039,0.10407,0.15001,500,0.06619,0.12975,0.25,200,0.02139,0.02066,standard
Supermarket,000052_lcam_front_lidar.ply,0.10002,799,0.06258,0.09644,0.15001,500,0.00984,0.02828,0.25,200,0.00497,0.00407,strict
Supermarket,000053_lcam_front_lidar.ply,0.10002,799,0.05981,0.10204,0.15001,500,0.04481,0.10367,0.25,200,0.01834,0.02987,strict
Supermarket,000054_lcam_front_lidar.ply,0.10002,799,0.06071,0.11389,0.15001,500,0.02744,0.17928,0.25,200,0.00586,0.00427,strict
Supermarket,000055_lcam_front_lidar.ply,0.10002,799,0.00394,0.0973,0.15001,500,0.16998,0.11959,0.25,200,0.00503,0.00352,standard
