frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.1,800,0.9,0.04673,0.44567,1,0.2178,0.00667,0.02308
000001_lcam_front_lidar.ply,0.1,800,0.9,0.05294,0.44327,1,0.21633,0.00501,0.02362
000002_lcam_front_lidar.ply,0.1,800,0.9,0.04882,0.43873,1,0.21106,0.00494,0.02394
000003_lcam_front_lidar.ply,0.1,800,0.9,0.05669,0.43257,1,0.20686,0.00419,0.02439
000004_lcam_front_lidar.ply,0.1,800,0.9,0.04996,0.43643,1,0.21117,0.00501,0.02476
000005_lcam_front_lidar.ply,0.1,800,0.9,0.04771,0.43612,1,0.21189,0.00587,0.02529
000006_lcam_front_lidar.ply,0.1,800,0.9,0.05811,0.43138,1,0.2049,0.0073,0.02392
000007_lcam_front_lidar.ply,0.1,800,0.9,0.05744,0.42436,1,0.19857,0.00788,0.02478
000008_lcam_front_lidar.ply,0.1,800,0.9,0.06166,0.41885,1,0.19314,0.00827,0.02493
000009_lcam_front_lidar.ply,0.1,800,0.9,0.05941,0.41881,1,0.19418,0.0078,0.02614
000010_lcam_front_lidar.ply,0.1,800,0.9,0.05554,0.41488,1,0.18985,0.00799,0.0256
000011_lcam_front_lidar.ply,0.1,800,0.9,0.06138,0.41412,1,0.1897,0.00653,0.02635
000012_lcam_front_lidar.ply,0.1,800,0.9,0.06299,0.4153,1,0.19244,0.00815,0.02612
000013_lcam_front_lidar.ply,0.1,800,0.9,0.06149,0.40859,1,0.18417,0.00676,0.0262
000014_lcam_front_lidar.ply,0.1,800,0.9,0.05865,0.40985,1,0.18453,0.00602,0.02598
000015_lcam_front_lidar.ply,0.1,800,0.9,0.06776,0.40265,1,0.1779,0.00693,0.02629
000016_lcam_front_lidar.ply,0.1,800,0.9,0.06949,0.40117,1,0.17551,0.00773,0.02412
000017_lcam_front_lidar.ply,0.1,800,0.9,0.0499,0.39711,1,0.16961,0.00688,0.02432
000018_lcam_front_lidar.ply,0.1,800,0.9,0.06933,0.39575,1,0.17075,0.00686,0.02511
000019_lcam_front_lidar.ply,0.1,800,0.9,0.06747,0.39145,1,0.16693,0.00578,0.02464
000020_lcam_front_lidar.ply,0.1,800,0.9,0.06647,0.39322,1,0.16737,0.00594,0.02456
000021_lcam_front_lidar.ply,0.1,800,0.9,0.06348,0.39262,1,0.16553,0.00497,0.02339
000022_lcam_front_lidar.ply,0.1,800,0.9,0.05138,0.38698,1,0.16013,0.00476,0.02373
000023_lcam_front_lidar.ply,0.1,800,0.9,0.06184,0.38323,1,0.15628,0.00329,0.02381
000024_lcam_front_lidar.ply,0.1,800,0.9,0.06169,0.38082,1,0.1559,0.00405,0.02537
000025_lcam_front_lidar.ply,0.1,800,0.9,0.05306,0.37508,1,0.15095,0.00361,0.02409
000026_lcam_front_lidar.ply,0.1,800,0.9,0.05556,0.36876,1,0.14486,0.00321,0.02545
000027_lcam_front_lidar.ply,0.1,800,0.9,0.06316,0.36747,1,0.14371,0.00325,0.02441
000028_lcam_front_lidar.ply,0.1,800,0.9,0.05132,0.36143,1,0.13798,0.00228,0.02372
000029_lcam_front_lidar.ply,0.1,800,0.9,0.05767,0.36281,1,0.1373,0.00292,0.02408
000030_lcam_front_lidar.ply,0.1,800,0.9,0.06247,0.23642,1,0.0,0.0,0.0
000031_lcam_front_lidar.ply,0.1,800,0.9,0.05543,0.35944,1,0.13353,7e-05,0.02431
000032_lcam_front_lidar.ply,0.1,800,0.9,0.05707,0.23584,1,0.0,0.0,0.0
000033_lcam_front_lidar.ply,0.1,800,0.9,0.06135,0.23642,1,0.0,0.0,0.0
000034_lcam_front_lidar.ply,0.1,800,0.9,0.06896,0.3513,1,0.12545,0.00265,0.02229
000035_lcam_front_lidar.ply,0.1,800,0.9,0.06458,0.23722,1,0.0,0.0,0.0
000036_lcam_front_lidar.ply,0.1,800,0.9,0.06682,0.23843,1,0.0,0.0,0.0
000037_lcam_front_lidar.ply,0.2,800,0.9,0.07654,0.2364,1,0.0,0.0,0.0
000038_lcam_front_lidar.ply,0.1,800,0.9,0.07697,0.23527,1,0.0,0.0,0.0
000039_lcam_front_lidar.ply,0.1,800,0.9,0.07369,0.23453,1,0.0,0.0,0.0
000040_lcam_front_lidar.ply,0.1,800,0.9,0.06853,0.23505,1,0.0,0.0,0.0
000041_lcam_front_lidar.ply,0.1,800,0.9,0.06856,0.23684,1,0.0,0.0,0.0
000042_lcam_front_lidar.ply,0.1,800,0.9,0.0717,0.23517,1,0.0,0.0,0.0
000043_lcam_front_lidar.ply,0.1,800,0.9,0.06546,0.33528,1,0.10967,0.00301,0.01952
000044_lcam_front_lidar.ply,0.1,800,0.9,0.05935,0.23758,1,0.0,0.0,0.0
000045_lcam_front_lidar.ply,0.1,800,0.9,0.085,0.23436,1,0.0,0.0,0.0
000046_lcam_front_lidar.ply,0.1,800,0.9,0.06393,0.2368,1,0.0,0.0,0.0
000047_lcam_front_lidar.ply,0.1,800,0.9,0.07849,0.23399,1,0.0,0.0,0.0
000048_lcam_front_lidar.ply,0.1,800,0.9,0.07019,0.23535,1,0.0,0.0,0.0
000049_lcam_front_lidar.ply,0.1,800,0.9,0.07151,0.32145,1,0.09451,0.00112,0.01686
000050_lcam_front_lidar.ply,0.1,800,0.9,0.06738,0.32433,1,0.09571,0.00178,0.01562
000051_lcam_front_lidar.ply,0.1,800,0.9,0.08247,0.23517,1,0.0,0.0,0.0
000052_lcam_front_lidar.ply,0.2,800,0.9,0.07873,0.23196,1,0.0,0.0,0.0
000053_lcam_front_lidar.ply,0.1,800,0.9,0.08243,0.23603,1,0.0,0.0,0.0
000054_lcam_front_lidar.ply,0.15,800,0.9,0.08362,0.2331,1,0.0,0.0,0.0
000055_lcam_front_lidar.ply,0.2,800,0.9,0.09136,0.23351,1,0.0,0.0,0.0
000056_lcam_front_lidar.ply,0.2,800,0.9,0.10415,0.30645,1,0.08777,0.01439,0.0271
000057_lcam_front_lidar.ply,0.2,800,0.9,0.10288,0.30852,1,0.08807,0.00944,0.02069
000058_lcam_front_lidar.ply,0.2,800,0.9,0.09697,0.23059,1,0.0,0.0,0.0
000059_lcam_front_lidar.ply,0.2,800,0.9,0.09692,0.23329,1,0.0,0.0,0.0
000060_lcam_front_lidar.ply,0.2,800,0.9,0.09179,0.23244,1,0.0,0.0,0.0
000061_lcam_front_lidar.ply,0.2,800,0.9,0.0867,0.30208,1,0.07367,0.0011,0.01155
000062_lcam_front_lidar.ply,0.2,800,0.9,0.09023,0.23539,1,0.0,0.0,0.0
000063_lcam_front_lidar.ply,0.2,800,0.9,0.09031,0.23493,1,0.0,0.0,0.0
000064_lcam_front_lidar.ply,0.2,800,0.9,0.10368,0.23073,1,0.0,0.0,0.0
000065_lcam_front_lidar.ply,0.2,800,0.9,0.09538,0.23405,1,0.0,0.0,0.0
000066_lcam_front_lidar.ply,0.2,800,0.9,0.10997,0.23246,1,0.0,0.0,0.0
000067_lcam_front_lidar.ply,0.2,800,0.9,0.08261,0.23367,1,0.0,0.0,0.0
000068_lcam_front_lidar.ply,0.2,800,0.9,0.09947,0.23197,1,0.0,0.0,0.0
000069_lcam_front_lidar.ply,0.2,800,0.9,0.09554,0.23428,1,0.0,0.0,0.0
000070_lcam_front_lidar.ply,0.2,800,0.9,0.10371,0.23163,1,0.0,0.0,0.0
000071_lcam_front_lidar.ply,0.2,800,0.9,0.11726,0.23034,1,0.0,0.0,0.0
000072_lcam_front_lidar.ply,0.2,800,0.9,0.09419,0.2338,1,0.0,0.0,0.0
000073_lcam_front_lidar.ply,0.2,800,0.9,0.09248,0.23323,1,0.0,0.0,0.0
000074_lcam_front_lidar.ply,0.2,800,0.9,0.08901,0.23463,1,0.0,0.0,0.0
000075_lcam_front_lidar.ply,0.2,800,0.9,0.11111,0.23168,1,0.0,0.0,0.0
000076_lcam_front_lidar.ply,0.2,800,0.9,0.10937,0.23094,1,0.0,0.0,0.0
000077_lcam_front_lidar.ply,0.2,800,0.9,0.10031,0.23197,1,0.0,0.0,0.0
000078_lcam_front_lidar.ply,0.2,800,0.9,0.1014,0.23051,1,0.0,0.0,0.0
000079_lcam_front_lidar.ply,0.2,800,0.9,0.08463,0.23548,1,0.0,0.0,0.0
000080_lcam_front_lidar.ply,0.2,800,0.9,0.10809,0.2319,1,0.0,0.0,0.0
000081_lcam_front_lidar.ply,0.2,800,0.9,0.11366,0.23123,1,0.0,0.0,0.0
000082_lcam_front_lidar.ply,0.2,800,0.9,0.10823,0.23355,1,0.0,0.0,0.0
000083_lcam_front_lidar.ply,0.2,800,0.9,0.10121,0.23173,1,0.0,0.0,0.0
000084_lcam_front_lidar.ply,0.2,800,0.9,0.10992,0.23159,1,0.0,0.0,0.0
000085_lcam_front_lidar.ply,0.2,800,0.9,0.10675,0.23077,1,0.0,0.0,0.0
000086_lcam_front_lidar.ply,0.15,800,0.9,0.10274,0.23317,1,0.0,0.0,0.0
000087_lcam_front_lidar.ply,0.2,800,0.9,0.09721,0.23571,1,0.0,0.0,0.0
000088_lcam_front_lidar.ply,0.2,800,0.9,0.1119,0.23239,1,0.0,0.0,0.0
000089_lcam_front_lidar.ply,0.2,800,0.9,0.10213,0.23344,1,0.0,0.0,0.0
000090_lcam_front_lidar.ply,0.2,800,0.9,0.1081,0.23105,1,0.0,0.0,0.0
000091_lcam_front_lidar.ply,0.2,800,0.9,0.12289,0.23102,1,0.0,0.0,0.0
000092_lcam_front_lidar.ply,0.2,800,0.9,0.10998,0.23141,1,0.0,0.0,0.0
000093_lcam_front_lidar.ply,0.2,800,0.9,0.11008,0.23295,1,0.0,0.0,0.0
000094_lcam_front_lidar.ply,0.2,800,0.9,0.10772,0.23203,1,0.0,0.0,0.0
000095_lcam_front_lidar.ply,0.2,800,0.9,0.10238,0.23401,1,0.0,0.0,0.0
000096_lcam_front_lidar.ply,0.2,800,0.9,0.09684,0.23381,1,0.0,0.0,0.0
000097_lcam_front_lidar.ply,0.2,800,0.9,0.09935,0.23254,1,0.0,0.0,0.0
000098_lcam_front_lidar.ply,0.2,800,0.9,0.12403,0.23031,1,0.0,0.0,0.0
000099_lcam_front_lidar.ply,0.2,800,0.9,0.11118,0.23232,1,0.0,0.0,0.0
000100_lcam_front_lidar.ply,0.2,800,0.9,0.1115,0.23279,1,0.0,0.0,0.0
000101_lcam_front_lidar.ply,0.2,800,0.9,0.10288,0.23239,1,0.0,0.0,0.0
000102_lcam_front_lidar.ply,0.2,800,0.9,0.09662,0.23238,1,0.0,0.0,0.0
000103_lcam_front_lidar.ply,0.2,800,0.9,0.10457,0.23108,1,0.0,0.0,0.0
000104_lcam_front_lidar.ply,0.2,800,0.9,0.09642,0.23501,1,0.0,0.0,0.0
000105_lcam_front_lidar.ply,0.2,800,0.9,0.10968,0.23059,1,0.0,0.0,0.0
000106_lcam_front_lidar.ply,0.2,800,0.9,0.1035,0.2335,1,0.0,0.0,0.0
000107_lcam_front_lidar.ply,0.2,800,0.9,0.10731,0.23156,1,0.0,0.0,0.0
000108_lcam_front_lidar.ply,0.2,800,0.9,0.08912,0.23314,1,0.0,0.0,0.0
000109_lcam_front_lidar.ply,0.2,800,0.9,0.10399,0.23307,1,0.0,0.0,0.0
000110_lcam_front_lidar.ply,0.2,800,0.9,0.09338,0.23486,1,0.0,0.0,0.0
000111_lcam_front_lidar.ply,0.2,800,0.9,0.09523,0.23283,1,0.0,0.0,0.0
000112_lcam_front_lidar.ply,0.2,800,0.9,0.09914,0.23431,1,0.0,0.0,0.0
000113_lcam_front_lidar.ply,0.2,800,0.9,0.10642,0.2317,1,0.0,0.0,0.0
