frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15,800,0.9,0.0487,0.48537,1,0.2178,0.00667,0.02308
000001_lcam_front_lidar.ply,0.1,800,0.9,0.04524,0.48495,1,0.21633,0.00501,0.02362
000002_lcam_front_lidar.ply,0.1,800,0.9,0.06514,0.47757,1,0.21106,0.00494,0.02394
000003_lcam_front_lidar.ply,0.15,800,0.9,0.0643,0.47155,1,0.20694,0.00396,0.02445
000004_lcam_front_lidar.ply,0.15,800,0.9,0.03978,0.47869,1,0.21182,0.00377,0.02529
000005_lcam_front_lidar.ply,0.15,800,0.9,0.04602,0.47906,1,0.21204,0.00572,0.02537
000006_lcam_front_lidar.ply,0.15,800,0.9,0.06563,0.47095,1,0.20548,0.00621,0.02449
000007_lcam_front_lidar.ply,0.15,800,0.9,0.06339,0.46458,1,0.19857,0.00788,0.02478
000008_lcam_front_lidar.ply,0.15,800,0.9,0.04293,0.45973,1,0.19321,0.00787,0.0251
000009_lcam_front_lidar.ply,0.15,800,0.9,0.0516,0.46031,1,0.19439,0.00674,0.02664
000010_lcam_front_lidar.ply,0.15,800,0.9,0.07218,0.45313,1,0.19042,0.00617,0.02643
000011_lcam_front_lidar.ply,0.15,800,0.9,0.04084,0.45686,1,0.18963,0.00655,0.02635
000012_lcam_front_lidar.ply,0.15,800,0.9,0.05985,0.45636,1,0.19265,0.00744,0.02659
000013_lcam_front_lidar.ply,0.15,800,0.9,0.05549,0.44987,1,0.18417,0.00676,0.0262
000014_lcam_front_lidar.ply,0.15,800,0.9,0.05774,0.44956,1,0.18481,0.00477,0.02654
000015_lcam_front_lidar.ply,0.15,800,0.9,0.04907,0.44401,1,0.17805,0.00643,0.02651
000016_lcam_front_lidar.ply,0.15,800,0.9,0.0577,0.4423,1,0.17564,0.00723,0.02435
000017_lcam_front_lidar.ply,0.15,800,0.9,0.04586,0.43708,1,0.16996,0.00582,0.02503
000018_lcam_front_lidar.ply,0.15,800,0.9,0.06691,0.4358,1,0.17075,0.00686,0.02511
000019_lcam_front_lidar.ply,0.15,800,0.9,0.03427,0.43466,1,0.16727,0.00466,0.0251
000020_lcam_front_lidar.ply,0.15,800,0.9,0.06575,0.43282,1,0.16771,0.00382,0.02541
000021_lcam_front_lidar.ply,0.15,800,0.9,0.04938,0.4331,1,0.16553,0.00497,0.02339
000022_lcam_front_lidar.ply,0.15,800,0.9,0.04577,0.42668,1,0.16026,0.00413,0.02402
000023_lcam_front_lidar.ply,0.15,800,0.9,0.04606,0.4234,1,0.15689,0.00111,0.02486
000024_lcam_front_lidar.ply,0.15,800,0.9,0.05599,0.42063,1,0.15603,0.00366,0.02566
000025_lcam_front_lidar.ply,0.15,800,0.9,0.05288,0.41831,1,0.15169,0.00049,0.02552
000026_lcam_front_lidar.ply,0.15,800,0.9,0.05851,0.40788,1,0.14513,0.00222,0.02587
000027_lcam_front_lidar.ply,0.15,800,0.9,0.05498,0.41031,1,0.14501,0.00107,0.02589
000028_lcam_front_lidar.ply,0.15,800,0.9,0.0565,0.40444,1,0.13853,0.00103,0.02475
000029_lcam_front_lidar.ply,0.15,800,0.9,0.046,0.40401,1,0.13799,0.0011,0.0256
000030_lcam_front_lidar.ply,0.15,800,0.9,0.04444,0.39882,1,0.1335,0.00027,0.02471
000031_lcam_front_lidar.ply,0.15,800,0.9,0.04663,0.2789,1,0.0,0.0,0.0
000032_lcam_front_lidar.ply,0.2,800,0.9,0.05313,0.27581,1,0.0,0.0,0.0
000033_lcam_front_lidar.ply,0.15,800,0.9,0.06627,0.27658,1,0.0,0.0,0.0
000034_lcam_front_lidar.ply,0.1,800,0.9,0.06315,0.39227,1,0.12545,0.00265,0.02229
000035_lcam_front_lidar.ply,0.15,800,0.9,0.05565,0.27699,1,0.0,0.0,0.0
000036_lcam_front_lidar.ply,0.1,800,0.9,0.04811,0.27808,1,0.0,0.0,0.0
000037_lcam_front_lidar.ply,0.15,800,0.9,0.0442,0.28034,1,0.0,0.0,0.0
000038_lcam_front_lidar.ply,0.15,800,0.9,0.06443,0.27693,1,0.0,0.0,0.0
000039_lcam_front_lidar.ply,0.15,800,0.9,0.06939,0.27651,1,0.0,0.0,0.0
000040_lcam_front_lidar.ply,0.2,800,0.9,0.05754,0.27719,1,0.0,0.0,0.0
000041_lcam_front_lidar.ply,0.2,800,0.9,0.06153,0.27736,1,0.0,0.0,0.0
000042_lcam_front_lidar.ply,0.1,800,0.9,0.05376,0.27804,1,0.0,0.0,0.0
000043_lcam_front_lidar.ply,0.1,800,0.9,0.05062,0.27962,1,0.0,0.0,0.0
000044_lcam_front_lidar.ply,0.2,800,0.9,0.06014,0.27669,1,0.0,0.0,0.0
000045_lcam_front_lidar.ply,0.2,800,0.9,0.08126,0.2745,1,0.0,0.0,0.0
000046_lcam_front_lidar.ply,0.2,800,0.9,0.07979,0.27483,1,0.0,0.0,0.0
000047_lcam_front_lidar.ply,0.2,800,0.9,0.07312,0.27594,1,0.0,0.0,0.0
000048_lcam_front_lidar.ply,0.2,800,0.9,0.06873,0.27579,1,0.0,0.0,0.0
000049_lcam_front_lidar.ply,0.2,800,0.9,0.07671,0.27578,1,0.0,0.0,0.0
000050_lcam_front_lidar.ply,0.2,800,0.9,0.07665,0.27382,1,0.0,0.0,0.0
000051_lcam_front_lidar.ply,0.2,800,0.9,0.08656,0.35573,1,0.09159,0.00785,0.0225
000052_lcam_front_lidar.ply,0.2,800,0.9,0.0738,0.27529,1,0.0,0.0,0.0
000053_lcam_front_lidar.ply,0.2,800,0.9,0.08534,0.27496,1,0.0,0.0,0.0
000054_lcam_front_lidar.ply,0.2,800,0.9,0.08441,0.27455,1,0.0,0.0,0.0
000055_lcam_front_lidar.ply,0.2,800,0.9,0.07756,0.27532,1,0.0,0.0,0.0
000056_lcam_front_lidar.ply,0.2,800,0.9,0.08846,0.3511,1,0.08763,0.01254,0.02495
000057_lcam_front_lidar.ply,0.2,800,0.9,0.08543,0.27329,1,0.0,0.0,0.0
