frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15001,500,0.85,0.42052,2.12798,1,0.01283,0.99985,0.0459
000001_lcam_front_lidar.ply,0.15001,500,0.85,0.36849,1.8832,1,0.0011,0.93613,0.05648
000002_lcam_front_lidar.ply,0.15001,500,0.85,0.36352,4.55078,1,0.27937,0.87853,0.11468
000003_lcam_front_lidar.ply,0.15001,500,0.85,0.32213,4.70222,1,0.29331,0.88458,0.12312
000004_lcam_front_lidar.ply,0.15001,500,0.85,0.40009,2.02019,1,0.00309,0.99462,0.00991
000005_lcam_front_lidar.ply,0.15001,500,0.85,0.33902,4.66912,1,0.29214,0.87384,0.11533
000006_lcam_front_lidar.ply,0.15001,500,0.85,0.41804,2.12326,1,0.04202,0.85153,0.02869
000007_lcam_front_lidar.ply,0.15001,500,0.85,0.42762,1.89094,1,0.01403,0.87531,0.11016
000008_lcam_front_lidar.ply,0.15001,500,0.85,0.436,2.00952,1,0.01985,0.90549,0.12609
000009_lcam_front_lidar.ply,0.15001,500,0.85,0.33281,4.86005,1,0.30956,0.88224,0.12229
000010_lcam_front_lidar.ply,0.15001,500,0.85,0.38691,4.83709,1,0.3068,0.88454,0.11619
000011_lcam_front_lidar.ply,0.15001,500,0.85,0.31605,2.05942,1,0.00595,0.99997,0.02754
000012_lcam_front_lidar.ply,0.15001,500,0.85,0.38993,2.01907,1,0.0025,0.99702,0.00299
000013_lcam_front_lidar.ply,0.15001,500,0.85,0.37708,2.04534,1,0.00523,0.9965,0.09446
000014_lcam_front_lidar.ply,0.15001,500,0.85,0.37009,4.94558,1,0.32046,0.87051,0.11913
000015_lcam_front_lidar.ply,0.15001,500,0.85,0.34697,2.08496,1,0.03678,0.85859,0.05623
000016_lcam_front_lidar.ply,0.15001,500,0.85,0.31712,1.98881,1,0.00403,0.97423,0.01139
000017_lcam_front_lidar.ply,0.15001,500,0.85,0.36523,5.01355,1,0.32325,0.89052,0.12062
