frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.10002,799,0.9,0.35323,2.36726,1,0.0634,0.86665,0.12773
000001_lcam_front_lidar.ply,0.10002,799,0.9,0.40066,3.96466,1,0.21486,0.90803,0.07536
000002_lcam_front_lidar.ply,0.10002,799,0.9,0.29898,2.49378,1,0.07049,0.89442,0.12729
000003_lcam_front_lidar.ply,0.10002,799,0.9,0.34604,2.24618,1,0.05409,0.85266,0.02915
000004_lcam_front_lidar.ply,0.10002,799,0.9,0.36877,2.16159,1,0.04723,0.84463,0.03597
000005_lcam_front_lidar.ply,0.10002,799,0.9,0.36977,2.26995,1,0.05604,0.85479,0.02851
000006_lcam_front_lidar.ply,0.10002,799,0.9,0.47342,2.0716,1,0.03616,0.85499,0.02553
000007_lcam_front_lidar.ply,0.10002,799,0.9,0.29138,2.13337,1,0.04568,0.8383,0.12089
000008_lcam_front_lidar.ply,0.10002,799,0.9,0.30756,2.35705,1,0.0617,0.87002,0.12364
000009_lcam_front_lidar.ply,0.10002,799,0.9,0.44812,2.24672,1,0.05845,0.83112,0.12318
000010_lcam_front_lidar.ply,0.10002,799,0.9,0.42018,2.1145,1,0.02822,0.91616,0.04264
000011_lcam_front_lidar.ply,0.10002,799,0.9,0.34958,2.0829,1,0.04514,0.81576,0.06668
000012_lcam_front_lidar.ply,0.10002,799,0.9,0.27601,2.11218,1,0.04082,0.85197,0.11986
000013_lcam_front_lidar.ply,0.10002,799,0.9,0.38067,2.11455,1,0.03652,0.87469,0.11883
000014_lcam_front_lidar.ply,0.10002,799,0.9,0.24561,2.18368,1,0.05373,0.82321,0.12505
000015_lcam_front_lidar.ply,0.10002,799,0.9,0.36751,2.70474,1,0.09702,0.86729,0.08013
000016_lcam_front_lidar.ply,0.10002,799,0.9,0.29257,2.17482,1,0.02979,0.93846,0.13669
000017_lcam_front_lidar.ply,0.10002,799,0.9,0.29816,2.57233,1,0.07219,0.92524,0.07158
000018_lcam_front_lidar.ply,0.10002,799,0.9,0.33627,2.79553,1,0.11699,0.81283,0.08115
000019_lcam_front_lidar.ply,0.10002,799,0.9,0.30927,4.40174,1,0.25741,0.91384,0.07828
000020_lcam_front_lidar.ply,0.10002,799,0.9,0.27152,2.71476,1,0.09628,0.876,0.07864
000021_lcam_front_lidar.ply,0.10002,799,0.9,0.2928,1.7648,1,0.00357,0.86457,0.11325
000022_lcam_front_lidar.ply,0.10002,799,0.9,0.23108,2.16412,1,0.01705,0.99683,0.13808
000023_lcam_front_lidar.ply,0.10002,799,0.9,0.26973,2.52714,1,0.06509,0.9381,0.06187
000024_lcam_front_lidar.ply,0.10002,799,0.9,0.21207,2.23378,1,0.03221,0.95583,0.05653
000025_lcam_front_lidar.ply,0.10002,799,0.9,0.273,2.80285,1,0.11719,0.81545,0.08398
000026_lcam_front_lidar.ply,0.10002,799,0.9,0.27538,4.23609,1,0.24169,0.90957,0.07177
000027_lcam_front_lidar.ply,0.10002,799,0.9,0.21242,1.97697,1,0.02597,0.85863,0.13865
000028_lcam_front_lidar.ply,0.10002,799,0.9,0.24043,4.27258,1,0.24676,0.90251,0.07217
000029_lcam_front_lidar.ply,0.10002,799,0.9,0.24363,2.6517,1,0.08798,0.88596,0.08882
000030_lcam_front_lidar.ply,0.10002,799,0.9,0.16454,3.02457,1,0.12502,0.88721,0.06928
000031_lcam_front_lidar.ply,0.10002,799,0.9,0.21308,3.38588,1,0.15902,0.89782,0.07538
000032_lcam_front_lidar.ply,0.10002,799,0.9,0.22916,2.52558,1,0.08741,0.82575,0.08097
000033_lcam_front_lidar.ply,0.10002,799,0.9,0.23437,2.58582,1,0.08398,0.87299,0.06784
000034_lcam_front_lidar.ply,0.10002,799,0.9,0.23753,2.47753,1,0.05862,0.94566,0.08922
000035_lcam_front_lidar.ply,0.10002,799,0.9,0.27316,2.25068,1,0.03632,0.94375,0.07474
000036_lcam_front_lidar.ply,0.10002,799,0.9,0.26438,2.69082,1,0.10802,0.80533,0.07993
000037_lcam_front_lidar.ply,0.10002,799,0.9,0.23754,2.21279,1,0.0413,0.89989,0.06866
000038_lcam_front_lidar.ply,0.10002,799,0.9,0.26546,2.46391,1,0.06959,0.884,0.07814
000039_lcam_front_lidar.ply,0.10002,799,0.9,0.26084,2.55876,1,0.06803,0.93923,0.09811
000040_lcam_front_lidar.ply,0.10002,799,0.9,0.28649,3.7812,1,0.19415,0.91983,0.07266
000041_lcam_front_lidar.ply,0.10002,799,0.9,0.27111,3.91298,1,0.21378,0.88757,0.08235
000042_lcam_front_lidar.ply,0.10002,799,0.9,0.28615,3.85752,1,0.20407,0.90839,0.08145
000043_lcam_front_lidar.ply,0.10002,799,0.9,0.27596,3.81788,1,0.20199,0.89899,0.082
000044_lcam_front_lidar.ply,0.10002,799,0.9,0.27278,3.71209,1,0.18796,0.91623,0.07607
000045_lcam_front_lidar.ply,0.10002,799,0.9,0.28281,3.60984,1,0.17721,0.91886,0.07342
000046_lcam_front_lidar.ply,0.10002,799,0.9,0.35579,2.13232,1,0.0146,0.99317,0.14878
000047_lcam_front_lidar.ply,0.10002,799,0.9,0.28617,3.69233,1,0.1839,0.92667,0.10319
000048_lcam_front_lidar.ply,0.10002,799,0.9,0.33306,2.40818,1,0.05711,0.91856,0.10544
000049_lcam_front_lidar.ply,0.10002,799,0.9,0.33387,2.46445,1,0.06395,0.91249,0.11109
000050_lcam_front_lidar.ply,0.10002,799,0.9,0.33215,3.35631,1,0.15014,0.92748,0.07554
000051_lcam_front_lidar.ply,0.10002,799,0.9,0.30701,2.37258,1,0.05039,0.93436,0.10407
000052_lcam_front_lidar.ply,0.10002,799,0.9,0.30488,2.32609,1,0.06258,0.85014,0.09644
000053_lcam_front_lidar.ply,0.10002,799,0.9,0.33782,2.30471,1,0.05981,0.8533,0.10204
000054_lcam_front_lidar.ply,0.10002,799,0.9,0.37122,2.3333,1,0.06071,0.8631,0.11389
000055_lcam_front_lidar.ply,0.10002,799,0.9,0.36228,1.70207,1,0.00394,0.83132,0.0973
000056_lcam_front_lidar.ply,0.10002,799,0.9,0.35197,2.27368,1,0.05399,0.86688,0.10034
000057_lcam_front_lidar.ply,0.10002,799,0.9,0.36872,2.35579,1,0.05187,0.91854,0.11623
000058_lcam_front_lidar.ply,0.10002,799,0.9,0.37292,2.20992,1,0.04722,0.86884,0.10486
000059_lcam_front_lidar.ply,0.10002,799,0.9,0.32055,3.06472,1,0.13181,0.8733,0.08183
000060_lcam_front_lidar.ply,0.10002,799,0.9,0.39946,3.10086,1,0.11821,0.95939,0.08647
000061_lcam_front_lidar.ply,0.10002,799,0.9,0.35107,2.168,1,0.0481,0.84349,0.10635
000062_lcam_front_lidar.ply,0.10002,799,0.9,0.35742,2.15187,1,0.0465,0.84344,0.10579
000063_lcam_front_lidar.ply,0.10002,799,0.9,0.38497,2.22771,1,0.03552,0.93625,0.12395
000064_lcam_front_lidar.ply,0.10002,799,0.9,0.44651,2.34848,1,0.03509,0.99877,0.13462
000065_lcam_front_lidar.ply,0.10002,799,0.9,0.51763,1.92597,1,0.00762,0.92489,0.11514
000066_lcam_front_lidar.ply,0.10002,799,0.9,0.39307,2.71662,1,0.07911,0.96276,0.09101
000067_lcam_front_lidar.ply,0.10002,799,0.9,0.39234,2.78235,1,0.08455,0.96843,0.08168
000068_lcam_front_lidar.ply,0.10002,799,0.9,0.44898,1.79349,1,0.0179,0.80725,0.11495
000069_lcam_front_lidar.ply,0.10002,799,0.9,0.56437,2.00206,1,0.03253,0.83837,0.09263
000070_lcam_front_lidar.ply,0.10002,799,0.9,0.47721,2.84052,1,0.08676,0.98647,0.08414
000071_lcam_front_lidar.ply,0.10002,799,0.9,0.46307,1.82375,1,0.00741,0.87484,0.10464
000072_lcam_front_lidar.ply,0.10002,799,0.9,0.43435,2.64024,1,0.07493,0.94548,0.09929
000073_lcam_front_lidar.ply,0.10002,799,0.9,0.46014,1.80274,1,0.01369,0.83294,0.10395
000074_lcam_front_lidar.ply,0.10002,799,0.9,0.40506,2.75783,1,0.08178,0.97001,0.1155
000075_lcam_front_lidar.ply,0.10002,799,0.9,0.50414,2.83398,1,0.08909,0.97153,0.09399
000076_lcam_front_lidar.ply,0.10002,799,0.9,0.51132,2.05072,1,0.027,0.89036,0.09936
000077_lcam_front_lidar.ply,0.10002,799,0.9,0.45394,1.79274,1,0.01749,0.80893,0.1473
000078_lcam_front_lidar.ply,0.10002,799,0.9,0.44726,1.93146,1,0.02834,0.82403,0.12955
000079_lcam_front_lidar.ply,0.10002,799,0.9,0.44114,1.9701,1,0.02874,0.84134,0.12345
000080_lcam_front_lidar.ply,0.10002,799,0.9,0.37737,2.36883,1,0.04137,0.97755,0.05217
000081_lcam_front_lidar.ply,0.10002,799,0.9,0.42533,2.42005,1,0.06088,0.90563,0.10394
000082_lcam_front_lidar.ply,0.10002,799,0.9,0.43325,1.92223,1,0.02219,0.85018,0.10506
000083_lcam_front_lidar.ply,0.10002,799,0.9,0.35965,-2.0,1,0.0,0.0,0.0
000084_lcam_front_lidar.ply,0.10002,799,0.9,0.3519,-2.0,1,0.0,0.0,0.0
000085_lcam_front_lidar.ply,0.10002,799,0.9,0.36547,-2.0,1,0.0,0.0,0.0
000086_lcam_front_lidar.ply,0.10002,799,0.9,0.39634,-2.0,1,0.0,0.0,0.0
000087_lcam_front_lidar.ply,0.10002,799,0.9,0.38362,-2.0,1,0.0,0.0,0.0
000088_lcam_front_lidar.ply,0.10002,799,0.9,0.37324,-2.0,1,0.0,0.0,0.0
000089_lcam_front_lidar.ply,0.10002,799,0.9,0.38482,-2.0,1,0.0,0.0,0.0
