frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000255_lcam_front_lidar.ply,0.05,800,0.9,0.12432,0.22631,1,0.0,0.0,0.0
000614_lcam_front_lidar.ply,0.05,50,0.9,3.80404,-0.13726,1,0.0,0.0,0.0
001015_lcam_front_lidar.ply,0.1,50,0.9,2.02728,0.03646,1,0.00302,0.99028,0.00201
000448_lcam_front_lidar.ply,0.3,800,0.9,0.13291,0.0,1,0.20619,0.99882,0.144
000448_lcam_front_lidar.ply,0.1,300,0.9,0.25124,0.0,2,0.07912,0.99838,0.07734
000448_lcam_front_lidar.ply,0.15,300,0.9,0.20848,0.0,3,0.00932,0.99836,0.01753
000448_lcam_front_lidar.ply,0.05,50,0.9,3.31957,0.0,4,0.00172,0.99543,0.00113
000448_lcam_front_lidar.ply,0.25,200,0.9,0.2716,0.13628,5,0.19287,0.9988,0.13686
000379_lcam_front_lidar.ply,0.1,100,0.9,1.50192,0.09446,1,0.00616,0.99964,0.01493
001073_lcam_front_lidar.ply,0.25,500,0.9,0.2153,0.0,1,0.0,0.0,0.0
001073_lcam_front_lidar.ply,0.5,500,0.9,0.29276,0.16219,2,0.0,0.0,0.0
000222_lcam_front_lidar.ply,0.5,800,0.9,0.11285,0.19004,1,0.18995,0.9969,0.44966
000144_lcam_front_lidar.ply,0.2,200,0.9,0.24005,0.0,1,0.10456,0.96591,0.18419
000144_lcam_front_lidar.ply,0.25,300,0.9,0.1596,0.18614,2,0.11192,0.96843,0.20832
001720_lcam_front_lidar.ply,0.15,100,0.9,0.0416,0.0,1,0.02343,0.88353,0.00927
001720_lcam_front_lidar.ply,0.4,300,0.9,0.02782,0.0,2,0.32292,0.03635,0.223
001720_lcam_front_lidar.ply,0.05,100,0.9,0.04951,0.0,3,0.22139,0.00182,0.00088
001720_lcam_front_lidar.ply,0.2,300,0.9,0.0261,0.31655,4,0.22139,0.00182,0.00088
001373_lcam_front_lidar.ply,0.4,200,0.9,0.08486,0.25556,1,0.01977,0.99999,0.00481
000566_lcam_front_lidar.ply,0.25,800,0.9,0.12506,0.0,1,0.00894,0.99984,0.00563
000566_lcam_front_lidar.ply,0.2,100,0.9,0.61105,0.14004,2,0.01057,0.99729,0.0063
001656_lcam_front_lidar.ply,0.2,100,0.9,0.02788,0.50559,1,0.26072,0.00081,0.00089
000581_lcam_front_lidar.ply,0.05,500,0.9,0.08714,0.51919,1,0.29571,0.05597,0.02883
000018_lcam_front_lidar.ply,0.1,50,0.9,1.00913,0.17848,1,0.03516,1.0,0.0003
000150_lcam_front_lidar.ply,0.3,50,0.9,0.2867,0.0,1,0.01586,0.99675,0.2381
