frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
SeasideTown/000455_lcam_front_lidar.ply,0.1,200,0.85,0.34516,0.14558,1,0.01057,0.99855,0.00955
SeasonalForestWinterNight/000599_lcam_front_lidar.ply,0.1,100,0.88,1.48112,0.14678,1,0.01022,0.99735,0.00608
SeasonalForestWinterNight/000599_lcam_front_lidar.ply,0.5,800,0.8,0.0974,0.23184,2,0.49127,0.99838,0.48482
GothicIsland/000455_lcam_front_lidar.ply,0.4,800,0.95,0.05662,0.25027,1,0.12862,0.99943,0.03654
GothicIsland/000455_lcam_front_lidar.ply,0.3,800,0.95,0.04667,-0.02534,2,0.11185,0.99923,0.03362
Office/000380_lcam_front_lidar.ply,0.2,300,0.88,0.08384,0.26407,1,0.30543,0.03536,0.07334
Office/000380_lcam_front_lidar.ply,0.2,300,0.93,0.06662,-0.01198,2,0.29976,0.03182,0.0649
Office/000380_lcam_front_lidar.ply,0.25,200,0.95,0.0888,-0.08111,3,0.08566,0.99956,0.06923
SeasonalForestAutumn/000172_lcam_front_lidar.ply,0.05,500,0.9,0.09517,-0.01,1,0.0,0.0,0.0
SeasonalForestWinterNight/002337_lcam_front_lidar.ply,0.4,300,0.95,0.14375,0.11071,1,0.12936,0.89771,0.2866
SeasonalForestWinterNight/002337_lcam_front_lidar.ply,0.3,50,0.88,0.5366,0.02463,2,0.0126,0.99937,0.01432
OldScandinavia/000309_lcam_front_lidar.ply,0.4,100,0.8,0.44546,0.12404,1,0.00704,0.98597,0.04179
OldScandinavia/000309_lcam_front_lidar.ply,0.25,200,0.93,0.47277,-0.0037,2,0.00906,0.99437,0.03575
OldScandinavia/000309_lcam_front_lidar.ply,0.4,800,0.93,0.11079,-0.0715,3,0.0482,0.91618,0.21356
OldScandinavia/000309_lcam_front_lidar.ply,0.3,300,0.9,0.17834,0.01966,4,0.06275,0.90387,0.17965
OldScandinavia/000309_lcam_front_lidar.ply,0.25,200,0.93,0.41233,0.02183,5,0.00906,0.99437,0.03575
Office/000650_lcam_front_lidar.ply,0.15,50,0.95,0.82919,0.15397,1,0.01453,1.0,0.0011
Office/000650_lcam_front_lidar.ply,0.25,800,0.8,0.09849,0.11731,2,0.14727,1.0,0.01196
SeasonalForestAutumn/001377_lcam_front_lidar.ply,0.1,800,0.9,0.11706,0.19543,1,0.09511,0.9589,0.06704
SeasonalForestAutumn/001377_lcam_front_lidar.ply,0.15,50,0.95,0.94591,-0.08192,2,0.00765,0.95652,0.03523
OldTownFall/000634_lcam_front_lidar.ply,0.3,500,0.95,0.17069,0.14365,1,0.03245,0.99948,0.05745
OldTownFall/000634_lcam_front_lidar.ply,0.1,300,0.93,0.25625,-0.02473,2,0.01698,0.99983,0.05605
Sewerage/000669_lcam_front_lidar.ply,0.05,500,0.9,0.08367,0.25511,1,0.26532,0.04393,0.01359
Sewerage/000669_lcam_front_lidar.ply,0.2,300,0.8,0.11748,0.01544,2,0.30036,0.07695,0.04271
