frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000326_lcam_front_lidar.ply,0.1,300,0.9,0.37051,0.25861,1,0.01801,0.99959,0.01574
001219_lcam_front_lidar.ply,0.4,50,0.9,2.87493,-0.37088,1,0.00218,0.98229,0.15114
001219_lcam_front_lidar.ply,0.4,50,0.9,2.60398,-0.42993,2,0.00528,0.85826,0.47641
001219_lcam_front_lidar.ply,0.4,200,0.9,0.64587,-0.02488,3,0.00829,0.96777,0.38301
001219_lcam_front_lidar.ply,0.15,50,0.9,3.11515,0.15187,4,0.00181,0.96596,0.00537
001476_lcam_front_lidar.ply,0.4,500,0.9,0.14999,0.02799,1,0.16048,0.94211,0.21499
001476_lcam_front_lidar.ply,0.15,800,0.9,0.11408,0.26576,2,0.11352,0.93894,0.12214
000807_lcam_front_lidar.ply,0.25,300,0.9,0.46182,0.24234,1,0.00982,0.99997,0.00851
000522_lcam_front_lidar.ply,0.5,500,0.9,0.17873,-0.02371,1,0.14829,0.99846,0.28827
000522_lcam_front_lidar.ply,0.4,300,0.9,0.25433,0.26813,2,0.021,1.0,0.01316
000040_lcam_front_lidar.ply,0.3,500,0.9,0.12703,0.0806,1,0.144,0.99998,0.0814
000040_lcam_front_lidar.ply,0.25,50,0.9,0.84037,-0.3339,2,0.01153,0.96258,0.29619
000040_lcam_front_lidar.ply,0.25,500,0.9,0.14434,0.08764,3,0.03473,0.99998,0.11844
000040_lcam_front_lidar.ply,0.5,300,0.9,0.20631,0.3759,4,0.19144,0.9998,0.20793
000404_lcam_front_lidar.ply,0.15,200,0.9,0.56322,-0.06039,1,0.0112,0.99978,0.01053
000404_lcam_front_lidar.ply,0.4,800,0.9,0.1407,-0.02624,2,0.00613,0.99974,0.00475
000404_lcam_front_lidar.ply,0.15,50,0.9,1.8361,0.09743,3,0.00519,0.99833,0.00161
000098_lcam_front_lidar.ply,0.4,500,0.9,0.13757,0.14821,1,0.04383,0.85255,0.32284
000792_lcam_front_lidar.ply,0.5,300,0.9,0.26547,0.30521,1,0.22111,0.99996,0.33751
000926_lcam_front_lidar.ply,0.3,300,0.9,0.34421,-0.04442,1,0.0,0.0,0.0
000926_lcam_front_lidar.ply,0.25,800,0.9,0.1479,-0.02479,2,0.0,0.0,0.0
000926_lcam_front_lidar.ply,0.05,200,0.9,0.3388,-0.04388,3,0.0,0.0,0.0
000926_lcam_front_lidar.ply,0.2,500,0.9,0.21418,-0.03142,4,0.0,0.0,0.0
000926_lcam_front_lidar.ply,0.1,300,0.9,0.26057,0.2555,5,0.0,0.0,0.0
000003_lcam_front_lidar.ply,0.1,100,0.9,0.10077,0.49986,1,0.23706,0.00268,0.03086
001529_lcam_front_lidar.ply,0.2,300,0.9,0.02528,0.59318,1,0.30892,1e-05,0.00039
000154_lcam_front_lidar.ply,0.3,100,0.9,0.90906,-0.09742,1,0.00734,0.99916,0.00772
000154_lcam_front_lidar.ply,0.25,50,0.9,1.68389,-0.17839,2,0.00734,0.99916,0.00772
000154_lcam_front_lidar.ply,0.5,800,0.9,0.12344,0.0775,3,0.30253,0.98874,0.39839
000154_lcam_front_lidar.ply,0.1,100,0.9,1.05834,0.07964,4,0.00446,0.99984,0.00115
000966_lcam_front_lidar.ply,0.2,50,0.9,0.33255,-0.07564,1,0.02109,0.99917,0.10695
000966_lcam_front_lidar.ply,0.5,500,0.9,0.07153,0.22961,2,0.05112,0.99746,0.27009
001580_lcam_front_lidar.ply,0.2,800,0.9,0.12233,-0.03455,1,0.07943,0.99544,0.18349
001580_lcam_front_lidar.ply,0.15,200,0.9,0.21537,-0.03209,2,0.05946,0.99536,0.14468
001580_lcam_front_lidar.ply,0.4,200,0.9,0.23747,0.08744,3,0.01312,0.97519,0.37995
000656_lcam_front_lidar.ply,0.5,50,0.9,0.17691,0.13459,1,0.05418,0.99027,0.37771
000985_lcam_front_lidar.ply,0.1,500,0.9,0.1456,0.02246,1,0.09402,0.99616,0.09399
000985_lcam_front_lidar.ply,0.4,200,0.9,0.17659,-0.0196,2,0.03424,0.99115,0.53975
000739_lcam_front_lidar.ply,0.1,50,0.9,2.30609,0.05193,1,0.00984,0.98652,0.01856
000439_lcam_front_lidar.ply,0.4,300,0.9,0.17026,-0.16896,1,0.01026,0.93303,0.30437
000439_lcam_front_lidar.ply,0.15,800,0.9,0.14566,0.12183,2,0.04325,0.99913,0.07757
000439_lcam_front_lidar.ply,0.15,100,0.9,0.60714,-0.07363,3,0.002,0.99902,0.00091
000439_lcam_front_lidar.ply,0.25,500,0.9,0.14354,0.38623,4,0.19793,0.99916,0.14814
001401_lcam_front_lidar.ply,0.4,50,0.9,0.111,0.28687,1,0.01317,1.0,0.00193
000614_lcam_front_lidar.ply,0.4,800,0.9,0.06136,0.20889,1,0.26385,0.00789,0.07766
000614_lcam_front_lidar.ply,0.2,500,0.9,0.06577,-0.08901,2,0.20074,0.02097,0.09629
000614_lcam_front_lidar.ply,0.2,100,0.9,0.12506,0.13267,3,0.01193,1.0,0.00245
001051_lcam_front_lidar.ply,0.1,500,0.9,0.07249,0.09199,1,0.14854,0.03546,0.0786
001051_lcam_front_lidar.ply,0.5,300,0.9,0.07746,-0.16019,2,0.04277,0.99771,0.15194
001051_lcam_front_lidar.ply,0.2,100,0.9,0.16098,0.31041,3,0.00816,1.0,0.00203
001420_lcam_front_lidar.ply,0.3,100,0.9,0.91362,-0.27084,1,0.00187,0.92626,0.3427
001420_lcam_front_lidar.ply,0.3,800,0.9,0.12504,0.14697,2,0.0,0.0,0.0
